
[00:00:00.000 --> 00:00:02.180]  各位弟兄姊妹,早安!
[00:00:02.180 --> 00:00:09.600]  很高興在主日的早上再一次跟大家分享上帝的信息
[00:00:09.600 --> 00:00:13.120]  在螢光幕之前的朋友,弟兄姊妹
[00:00:13.120 --> 00:00:18.600]  都很歡迎你來到香港浸信教會的YouTube Channel
[00:00:18.600 --> 00:00:20.600]  跟大家一起去敬拜
[00:00:20.600 --> 00:00:23.920]  願意今天我們在正道之先的時間
[00:00:23.920 --> 00:00:26.920]  我們大家一起去翻開聖經
[00:00:26.920 --> 00:00:30.320]  如果你手上都有電子版的聖經的話
[00:00:30.320 --> 00:00:32.320]  我也很歡迎你自己拿出來
[00:00:32.320 --> 00:00:35.720]  其實教會我們現在慢慢都倡議大家
[00:00:35.720 --> 00:00:37.720]  可以帶自己的聖經
[00:00:37.720 --> 00:00:40.320]  在螢光幕面前的弟兄姊妹
[00:00:40.320 --> 00:00:41.320]  我也鼓勵你
[00:00:41.320 --> 00:00:43.720]  可以翻開你自己的聖經
[00:00:43.720 --> 00:00:46.320]  如果你不方便打開的話也不要緊
[00:00:46.320 --> 00:00:48.920]  我會慢慢地去讀出來
[00:00:48.920 --> 00:00:50.920]  讓大家可以聽到
[00:00:52.520 --> 00:00:57.120]  《哥羅世書》日章15至23節
[00:00:57.120 --> 00:00:58.520]  聖經是這樣說的
[00:00:58.520 --> 00:01:02.720]  「愛子是那不能看見之神的像
[00:01:02.720 --> 00:01:04.120]  是守生的
[00:01:04.120 --> 00:01:07.120]  在一切被做的而善
[00:01:07.120 --> 00:01:09.920]  因為萬有都是靠他做的
[00:01:09.920 --> 00:01:13.120]  無論是天上的、地上的
[00:01:13.120 --> 00:01:15.920]  能看見的、不能看見的
[00:01:15.920 --> 00:01:20.920]  或是有為的、主治的、執政的、掌權的
[00:01:20.920 --> 00:01:24.120]  一概都是藉著他做的
[00:01:24.120 --> 00:01:26.520]  又是為他做的
[00:01:26.520 --> 00:01:28.320]  他在萬有之先
[00:01:28.320 --> 00:01:31.920]  萬有也靠他而立」第十八節
[00:01:31.920 --> 00:01:34.720]  「他也是教會全體之首
[00:01:34.720 --> 00:01:36.120]  他是原始
[00:01:36.120 --> 00:01:38.920]  是從死裡首先復活的
[00:01:38.920 --> 00:01:42.720]  使他可以在凡事上居首位
[00:01:42.720 --> 00:01:45.920]  因為父喜歡叫一切的豐盛
[00:01:45.920 --> 00:01:47.920]  在他裡面居住
[00:01:47.920 --> 00:01:51.720]  既然藉著他在十誡上所流的血
[00:01:51.720 --> 00:01:53.720]  就成就了和平
[00:01:53.720 --> 00:01:55.920]  便藉著他叫萬有
[00:01:55.920 --> 00:01:58.520]  無論是地上、天上的
[00:01:58.520 --> 00:02:01.320]  都與自己和好了
[00:02:01.320 --> 00:02:04.720]  他們從前與神隔絕
[00:02:04.720 --> 00:02:05.920]  因為惡行
[00:02:05.920 --> 00:02:08.320]  心裡與他為敵
[00:02:08.320 --> 00:02:09.720]  但如今
[00:02:09.720 --> 00:02:13.520]  他藉著基督的肉身受死
[00:02:13.520 --> 00:02:15.720]  叫你們與自己和好
[00:02:15.720 --> 00:02:17.320]  都成了聖潔
[00:02:17.320 --> 00:02:18.720]  沒有瑕疵
[00:02:18.720 --> 00:02:19.920]  無可責備
[00:02:19.920 --> 00:02:22.720]  把你們引到自己面前
[00:02:22.720 --> 00:02:25.920]  只要你們在所信的道上行心
[00:02:25.920 --> 00:02:27.320]  根基穩固
[00:02:27.320 --> 00:02:28.720]  堅定不移
[00:02:28.720 --> 00:02:32.920]  不至被引動失去福音的盼望
[00:02:32.920 --> 00:02:35.720]  這福音就是你們所聽過的
[00:02:35.720 --> 00:02:39.720]  也是傳語普天下萬人聽的
[00:02:39.720 --> 00:02:43.920]  我保羅也作了這福音的執事」
