
[00:00:00.000 --> 00:00:01.600]  弟兄姊妹 早晨
[00:00:01.600 --> 00:00:03.580]  很高興能夠再次在崇拜的時間
[00:00:03.580 --> 00:00:05.420]  和大家在這裡見面
[00:00:05.420 --> 00:00:08.600]  再次代表多倫多以馬來尼雲浸信會
[00:00:08.600 --> 00:00:10.100]  歡迎所有的弟兄姊妹
[00:00:10.100 --> 00:00:12.780]  來參加今天我們的主日崇拜
[00:00:12.780 --> 00:00:14.900]  讓我們在聆聽主導儀先
[00:00:14.900 --> 00:00:16.780]  我們一起再次透過禱告
[00:00:16.780 --> 00:00:17.860]  將我們的身心靈
[00:00:17.860 --> 00:00:20.760]  交給我們主 我們的神的面前
[00:00:20.760 --> 00:00:21.940]  慈悲的天父 多謝你
[00:00:21.940 --> 00:00:23.720]  讓我們能夠再次回來
[00:00:23.720 --> 00:00:26.020]  在主日崇拜的時間
[00:00:26.020 --> 00:00:28.580]  能夠一起藉著你的話語
[00:00:28.580 --> 00:00:31.740]  去學校主怎樣在這個地上而活
[00:00:31.740 --> 00:00:33.000]  求祢的幫助
[00:00:33.000 --> 00:00:36.420]  讓我們能夠在今天這個敬拜的時間裏面
[00:00:36.420 --> 00:00:38.760]  能夠大家彼此的心
[00:00:38.760 --> 00:00:41.520]  能夠連結在我們的恩主的上面
[00:00:41.520 --> 00:00:44.860]  願祢賦神祢所賜予的聖靈
[00:00:44.860 --> 00:00:45.940]  能夠帶領我們
[00:00:45.940 --> 00:00:47.860]  能夠將祢的說話
[00:00:47.860 --> 00:00:50.280]  能夠清楚明白的去領受
[00:00:50.280 --> 00:00:53.500]  求祢的幫助 阿們
[00:00:53.500 --> 00:00:55.700]  很高興能夠今天繼續
[00:00:55.700 --> 00:00:57.780]  和弟兄姊妹能夠去分享
[00:00:57.780 --> 00:00:58.620]  主的話語
[00:00:58.620 --> 00:01:00.980]  今天和大家一起分享的經文
[00:01:00.980 --> 00:01:04.120]  是《若爾書》的第三章
[00:01:04.120 --> 00:01:06.960]  我們今天只會看兩節的經文
[00:01:06.960 --> 00:01:10.700]  就是第三章第十二節和第十三節
[00:01:10.700 --> 00:01:13.760]  今天的講題就是「時候滿了」
[00:01:13.760 --> 00:01:16.180]  The time is full
[00:01:16.180 --> 00:01:19.280]  讓我們再次回來在主的說話的面前
[00:01:19.280 --> 00:01:22.160]  一起去細心研讀一下 好不好?
[00:01:22.160 --> 00:01:26.600]  在我們回到主的話語之前
[00:01:26.600 --> 00:01:30.680]  我想和大家一起分享一些我的經歷
[00:01:30.680 --> 00:01:35.360]  在我家的後院裏有一棵桑樹
[00:01:35.360 --> 00:01:39.860]  其實自從我搬進來這間屋之後
[00:01:39.860 --> 00:01:46.720]  這棵桑樹大大話話都有十年左右的樹齡
[00:01:46.720 --> 00:01:49.480]  其實這棵桑樹是很特別的
[00:01:49.480 --> 00:01:54.280]  因為每一年的五月尾
[00:01:54.280 --> 00:01:56.600]  到六月左右這個時間
[00:01:56.600 --> 00:02:02.560]  很多時候這棵桑樹上會開始結很多的桑果
[00:02:02.560 --> 00:02:05.720]  我其實很喜歡吃桑果
[00:02:05.720 --> 00:02:11.160]  其實以前我也很喜歡買一些乾的桑果來吃
[00:02:11.160 --> 00:02:16.520]  自從這棵樹和它有很多的交通、交往
[00:02:16.520 --> 00:02:17.960]  種了它這麼多年之後
[00:02:17.960 --> 00:02:20.960]  其實我也有很多故事曾經和大家分享過
[00:02:20.960 --> 00:02:27.720]  但是這棵樹現在每一年在這段時間都會生出很多的桑果
[00:02:27.720 --> 00:02:31.360]  因為它生出很多的桑果
[00:02:31.360 --> 00:02:37.960]  而且很多時候這些桑果的熟透程度也挺快的
[00:02:37.960 --> 00:02:40.800]  不是說一個蘋果你看著它小小一個
[00:02:40.800 --> 00:02:42.840]  然後看它怎樣變大
[00:02:42.840 --> 00:02:44.720]  然後由青色變成紅色
[00:02:44.720 --> 00:02:45.680]  沒有這樣的機會
[00:02:45.680 --> 00:02:47.640]  這個時間很短的
[00:02:47.640 --> 00:02:55.280]  所以你看到這棵桑果今天只是仍然青青綠綠的狀態之下
[00:02:55.280 --> 00:02:57.640]  其實可能到明天的下午
[00:02:57.640 --> 00:03:01.200]  它已經突然間變得很成熟
[00:03:01.200 --> 00:03:04.920]  變成很深紫色的顏色
[00:03:04.920 --> 00:03:07.080]  甚至因為它很快就熟了
[00:03:07.080 --> 00:03:10.280]  所以有時候不單是樹上的桑果
[00:03:10.280 --> 00:03:18.520]  有時候在地上的地面也掉滿了這棵桑果樹
[00:03:18.520 --> 00:03:21.080]  所掉下來的桑果
[00:03:21.080 --> 00:03:23.800]  不過也因為這個緣故
[00:03:23.800 --> 00:03:30.800]  這棵桑果樹每逢這個時段就會很忙碌
[00:03:30.800 --> 00:03:32.640]  而且很熱鬧
[00:03:32.640 --> 00:03:33.760]  為什麼呢?
[00:03:33.760 --> 00:03:40.440]  因為無論在天上、地上甚至是地底下
