
[00:00:00.000 --> 00:00:04.740]  當我去準備這次的講章的時候
[00:00:04.740 --> 00:00:11.540]  我就不其然地數算一下自己的日子
[00:00:11.540 --> 00:00:13.040]  數著數著
[00:00:13.040 --> 00:00:19.040]  原來我今年是正式成為傳道人三十週年
[00:00:19.040 --> 00:00:22.420]  亦是三十年來一直在尖浸
[00:00:22.420 --> 00:00:25.900]  受聘為教睦同工
[00:00:25.900 --> 00:00:27.840]  曾經有人問我
[00:00:27.840 --> 00:00:30.020]  其實這段時間過去這麼多年裡面
[00:00:30.020 --> 00:00:34.920]  有沒有想過你會離開尖沙咀浸信會呢?
[00:00:34.920 --> 00:00:37.520]  我的答案是有的
[00:00:37.520 --> 00:00:39.940]  什麼時候會有呢?
[00:00:39.940 --> 00:00:45.520]  有時候我是懷疑自己的能力的時候
[00:00:45.520 --> 00:00:49.480]  有時候是別人懷疑我的能力的時候
[00:00:49.480 --> 00:00:54.580]  更加有時候我是懷疑神的時候
[00:00:54.580 --> 00:00:58.880]  當中充滿了掙扎
[00:00:58.880 --> 00:01:01.660]  但裡面亦有很多的契機
[00:01:01.660 --> 00:01:05.960]  掙扎裡面又讓我能夠繼續依靠神
[00:01:05.960 --> 00:01:08.800]  繼續能夠去成長
[00:01:08.800 --> 00:01:10.200]  所以今天我的題目是
[00:01:10.200 --> 00:01:12.840]  「我掙扎,我成長」
[00:01:12.840 --> 00:01:17.600]  三方面跟大家去看一篇的講章
[00:01:17.600 --> 00:01:22.400]  第一是「戴著面紗的生活」
[00:01:22.400 --> 00:01:26.880]  第二是「揭開面紗的掙扎」
[00:01:26.880 --> 00:01:31.800]  第三是「似自由,活出真我」
[00:01:31.800 --> 00:01:33.420]  三方面
[00:01:33.420 --> 00:01:38.320]  其實為什麼用這三方面去講呢?
[00:01:38.320 --> 00:01:43.460]  其實我想再跟大家看一次
[00:01:43.460 --> 00:01:46.300]  一個《華盤修訂版》的經文
[00:01:46.300 --> 00:01:49.880]  希望大家能夠更加清楚看那段經文
[00:01:49.880 --> 00:01:54.380]  三章十五到十八節都在螢光幕看到的
[00:01:54.380 --> 00:01:56.200]  我們一起再讀一次
[00:01:56.200 --> 00:01:57.200]  十五到十八節
[00:01:57.200 --> 00:01:58.980]  這是《華盤修訂版》的
[00:01:58.980 --> 00:02:00.080]  請
[00:02:00.080 --> 00:02:01.980]  然而直到今日
[00:02:01.980 --> 00:02:04.820]  每逢眾讀摩西書的時候
[00:02:04.820 --> 00:02:07.600]  面紗還在他們心上
[00:02:07.600 --> 00:02:10.580]  但他們的心何時歸向主
[00:02:10.580 --> 00:02:13.280]  面紗就何時除去
[00:02:13.280 --> 00:02:15.320]  主就是那靈
[00:02:15.320 --> 00:02:17.080]  主的靈在那裡
[00:02:17.080 --> 00:02:19.460]  那裡就有自由
[00:02:19.460 --> 00:02:23.140]  既然我們眾人以揭去面紗的臉
[00:02:23.140 --> 00:02:25.660]  得以看見主的榮光
[00:02:25.660 --> 00:02:28.340]  好像從鏡子裡反照
[00:02:28.340 --> 00:02:31.960]  就變成了主有同樣的形象
[00:02:31.960 --> 00:02:33.660]  榮上加榮
[00:02:33.660 --> 00:02:37.060]  如同從主的靈變成的
[00:02:37.060 --> 00:02:38.960]  《華盤修訂版》是現代化一點
[00:02:38.960 --> 00:02:40.920]  可以明白多一點
[00:02:40.920 --> 00:02:44.460]  首先第一方面是「戴著面紗的生活」
[00:02:44.460 --> 00:02:45.260]  大家留意
[00:02:45.260 --> 00:02:47.540]  不是「戴著面具的生活」
[00:02:47.540 --> 00:02:49.840]  也不是「戴著口罩的生活」
[00:02:49.840 --> 00:02:51.960]  是「戴著面紗的生活」
[00:02:51.960 --> 00:02:54.460]  這是一個歷史事件
[00:02:54.460 --> 00:02:58.860]  這件事是保羅引用了
[00:02:58.860 --> 00:03:06.660]  《春埃及記》34章29-35那段經文裡面
[00:03:06.660 --> 00:03:08.960]  引申他所說的話
[00:03:08.960 --> 00:03:11.940]  當時摩西是帶著
[00:03:11.940 --> 00:03:13.940]  以色列人離開了埃及
[00:03:13.940 --> 00:03:15.940]  這個奴役的地方
[00:03:15.940 --> 00:03:20.260]  以色列人在歷史上是一個偉大的時刻
[00:03:20.260 --> 00:03:24.660]  而摩西也是人類少有能夠與神面對面的
[00:03:24.660 --> 00:03:26.160]  說話的人
[00:03:26.160 --> 00:03:32.260]  保羅就將一個歷史事件回顧
