
[00:00:00.000 --> 00:00:01.060]  各位好
[00:00:01.060 --> 00:00:03.320]  在這個新的一年裡面
[00:00:03.320 --> 00:00:06.840]  希望大家能夠在主流裡面平安
[00:00:06.840 --> 00:00:10.360]  當我們想到生活艱難的時候
[00:00:10.360 --> 00:00:14.260]  或者疫情已經進入了第三個年頭了
[00:00:14.260 --> 00:00:16.280]  無論你住在哪一個地方
[00:00:16.280 --> 00:00:19.160]  都是有一些不受控制
[00:00:19.160 --> 00:00:22.600]  或者使得我們生活非常困苦的
[00:00:22.600 --> 00:00:25.480]  也看不到盡頭
[00:00:25.480 --> 00:00:26.640]  不知道什麼時候完結
[00:00:26.640 --> 00:00:29.640]  當我們遇見很多不幸的時候
[00:00:29.880 --> 00:00:33.640]  我們很多時候會想起不同的經文
[00:00:33.640 --> 00:00:37.240]  會想起聖經裡面一些的故事
[00:00:37.240 --> 00:00:39.200]  或者一些的詩篇
[00:00:39.200 --> 00:00:41.560]  一些的經段
[00:00:41.560 --> 00:00:45.640]  其中一個想起的當然就是《約伯記》了
[00:00:45.640 --> 00:00:48.680]  如果你是熟悉聖經的話
[00:00:48.680 --> 00:00:49.760]  我也是想考考你
[00:00:49.760 --> 00:00:51.720]  除了想起《約伯記》之外
[00:00:51.720 --> 00:00:53.680]  當我們受苦的時候
[00:00:53.680 --> 00:00:55.080]  想起這本書
[00:00:55.080 --> 00:00:59.160]  你還會想起什麼章節什麼段落呢?
[00:00:59.680 --> 00:01:01.120]  如果你想到的話
[00:01:01.120 --> 00:01:02.720]  除了《約伯記》之外
[00:01:02.720 --> 00:01:04.920]  你可以在 live chat 裡面
[00:01:04.920 --> 00:01:06.560]  comment 裡面告訴我們
[00:01:06.560 --> 00:01:10.000]  到底你想起什麼的聖經段落
[00:01:10.000 --> 00:01:13.080]  或者一些人物的遭遇
[00:01:13.080 --> 00:01:14.880]  或者一些聖經的故事
[00:01:14.880 --> 00:01:18.600]  那麼今天我們就去看《約伯記》
[00:01:18.600 --> 00:01:23.280]  《約伯記》是整本聖經裡面
[00:01:23.280 --> 00:01:26.480]  其中一個 collection 裡面
[00:01:26.480 --> 00:01:27.800]  其中一卷書
[00:01:28.120 --> 00:01:30.040]  聖經裡面大概在中間
[00:01:30.040 --> 00:01:34.560]  有一個叫做詩篇智慧的 collection
[00:01:34.560 --> 00:01:36.120]  那裡有幾本書
[00:01:36.120 --> 00:01:37.840]  包括詩篇
[00:01:37.840 --> 00:01:40.560]  《雅歌》等等
[00:01:40.560 --> 00:01:41.560]  傳道書
[00:01:41.560 --> 00:01:43.440]  那麼《約伯記》
[00:01:43.440 --> 00:01:48.480]  就是其中一個核心的書
[00:01:48.480 --> 00:01:51.720]  講到一個人類普遍的問題
[00:01:51.720 --> 00:01:54.080]  就是苦難的問題
[00:01:54.080 --> 00:01:56.040]  苦難有很多方面
[00:01:56.040 --> 00:01:56.800]  大家知道
[00:01:57.840 --> 00:02:00.720]  譬如有個人的一方面
