
[00:00:00.000 --> 00:00:02.760]  親主,讓主祢的靈來到我們當中
[00:00:02.760 --> 00:00:06.120]  我們宣告神,祢在我們當中坐著為王
[00:00:06.120 --> 00:00:09.080]  所以無論今天在什麼地方都好
[00:00:09.080 --> 00:00:11.120]  神啊,祢的能力
[00:00:11.120 --> 00:00:14.560]  祢自己讓我們每一位都剛強壯膽
[00:00:14.560 --> 00:00:19.600]  讓我們今天好像全世界都好像很黑暗一樣
[00:00:19.600 --> 00:00:22.000]  但是主,祢卻是我們的亮光
[00:00:22.000 --> 00:00:23.280]  祢是我們的盤石
[00:00:23.280 --> 00:00:24.400]  是我們的山寨
[00:00:24.400 --> 00:00:25.560]  是我們的盾牌
[00:00:25.560 --> 00:00:27.080]  是我們的避難所
[00:00:27.080 --> 00:00:29.120]  是我們的高台
[00:00:29.120 --> 00:00:31.200]  所以主啊,我們不是誇自己
[00:00:31.200 --> 00:00:34.920]  我們要誇主祢自己的德性權能在我們當中
[00:00:34.920 --> 00:00:38.160]  我們奉耶穌基督的名宣告祢在我們當中坐著為王
[00:00:38.160 --> 00:00:40.720]  一切不屬於祢的都要退去
[00:00:40.720 --> 00:00:43.840]  因為祢的十字架已經擊敗了黑暗勢力
[00:00:43.840 --> 00:00:46.000]  讓我們今天一起仰望祢
[00:00:46.000 --> 00:00:47.280]  一起跟從祢
[00:00:47.280 --> 00:00:48.520]  聖靈啊帶領我們
[00:00:48.520 --> 00:00:49.760]  在以後的時間
[00:00:49.760 --> 00:00:53.120]  讓我們心裡面擁留那種能力在我們當中
[00:00:53.120 --> 00:00:54.480]  祂聚集的時候
[00:00:54.480 --> 00:00:56.120]  主,祢就在我們當中
[00:00:56.120 --> 00:00:57.800]  多謝祢,聽我們的禱告
[00:00:57.800 --> 00:00:59.640]  奉耶穌基督的聖名
[00:00:59.640 --> 00:01:01.640]  Amen
[00:01:27.800 --> 00:01:30.040]  由香港移居日本
[00:01:30.040 --> 00:01:32.760]  在日本經歷聖靈的更新
[00:01:32.760 --> 00:01:36.760]  在他家裡開一個小組的教會
[00:01:36.760 --> 00:01:38.920]  慢慢因為聖靈的工作
[00:01:38.920 --> 00:01:42.400]  那個家庭的小組一路一路地擴展
[00:01:42.400 --> 00:01:44.960]  到今天,那間教會仍然存在
[00:01:44.960 --> 00:01:50.040]  就是在東京的惠比壽的國際教會
[00:01:50.040 --> 00:01:51.440]  1960年代
[00:01:51.440 --> 00:01:56.360]  聖靈很清楚地呼召徐媽媽的一家
[00:01:56.360 --> 00:01:59.320]  由東京移居到台北
[00:01:59.320 --> 00:02:02.560]  後來加入台北靈良堂
[00:02:02.560 --> 00:02:04.080]  1990年
[00:02:04.080 --> 00:02:07.120]  台北靈良堂說要興建靈良山莊
[00:02:07.120 --> 00:02:09.760]  所以借了銀行三億
[00:02:09.760 --> 00:02:11.720]  只是利息支出
[00:02:11.720 --> 00:02:14.000]  也有245萬
[00:02:14.000 --> 00:02:15.520]  徐媽媽感動
[00:02:15.520 --> 00:02:19.320]  如果這245萬不是可以給利息
[00:02:19.320 --> 00:02:21.640]  可以來傳福音,你說多好呢
[00:02:21.640 --> 00:02:23.520]  於是她就在家裡禱告
[00:02:23.520 --> 00:02:27.400]  她說主啊,求你感動弟兄姊妹去奉獻
[00:02:27.400 --> 00:02:29.800]  可以還了這一筆錢
[00:02:29.800 --> 00:02:34.520]  這245萬就可以用來傳福音,用來宣教
[00:02:34.520 --> 00:02:36.720]  但是徐媽媽禱告的時候
[00:02:36.720 --> 00:02:38.320]  神就這樣跟她說
[00:02:38.320 --> 00:02:42.240]  祂說如果你祈禱要弟兄姊妹去奉獻
[00:02:42.240 --> 00:02:44.880]  你自己就必先要奉獻
[00:02:44.880 --> 00:02:46.880]  於是徐媽媽毫不猶豫
[00:02:46.880 --> 00:02:50.760]  將她所有的積蓄全部去奉獻
[00:02:50.760 --> 00:02:53.800]  但是這樣也是很少的錢
[00:02:53.800 --> 00:02:55.320]  也不是不夠
[00:02:55.320 --> 00:02:57.520]  於是徐媽媽就繼續祈禱
[00:02:57.520 --> 00:02:59.440]  她在禱告裡面
[00:02:59.440 --> 00:03:01.480]  神竟然是
[00:03:01.480 --> 00:03:03.680]  她感動神要這樣跟她說
[00:03:03.680 --> 00:03:09.040]  祂說要她將她一個人住的1800呎的家賣掉
[00:03:09.040 --> 00:03:12.600]  然後用三分之一來奉獻
[00:03:12.600 --> 00:03:15.280]  一開始徐媽媽也覺得自己可能想多了
[00:03:15.280 --> 00:03:16.960]  會不會是幻覺
[00:03:16.960 --> 00:03:22.600]  但是持續的禱告讓她越來越清楚這個祭神的心意
[00:03:22.600 --> 00:03:26.480]  於是她就求一個印證
[00:03:26.480 --> 00:03:28.680]  她心裡面想了一個價錢
[00:03:28.680 --> 00:03:29.960]  然後就禱告我
[00:03:29.960 --> 00:03:32.160]  主啊,如果真是祢的心意
[00:03:32.160 --> 00:03:34.080]  祢就給我買家吧
[00:03:34.080 --> 00:03:36.320]  她早上有這個禱告
[00:03:36.320 --> 00:03:39.000]  下午她鄰居已經來找她了
[00:03:39.000 --> 00:03:40.920]  鄰居跟她說
[00:03:40.920 --> 00:03:43.360]  她說我很想跟媽媽一起住
[00:03:43.360 --> 00:03:47.000]  你知不知道這棟大廈有沒有人想買房子
[00:03:47.000 --> 00:03:47.800]  一拍就立刻
[00:03:47.800 --> 00:03:52.080]  於是徐媽媽就將心裡面的價錢說出來
[00:03:52.080 --> 00:03:53.600]  一拍就立刻
[00:03:53.600 --> 00:03:57.320]  巧到徐媽媽也有點呆了
[00:03:57.320 --> 00:04:00.320]  後來徐媽媽就換了較小的地方
[00:04:00.320 --> 00:04:01.680]  本來是1800呎
[00:04:01.680 --> 00:04:04.160]  現在改為一個人住960呎
[00:04:04.160 --> 00:04:07.120]  就住在寧良山莊附近
[00:04:07.120 --> 00:04:09.400]  雖然徐媽媽說奉獻
[00:04:09.400 --> 00:04:12.280]  但是當時的主任牧師
[00:04:12.280 --> 00:04:15.120]  周臣助牧師不肯接受
[00:04:15.120 --> 00:04:16.680]  不過如果讓我是周牧師
[00:04:16.680 --> 00:04:17.760]  我也不太肯接受
[00:04:17.760 --> 00:04:18.840]  為什麼呢
[00:04:18.840 --> 00:04:20.760]  因為徐媽媽當時
[00:04:20.760 --> 00:04:24.080]  她的丈夫徐弟兄已經與為安息了
[00:04:24.080 --> 00:04:26.840]  作為一個寡婦要賣了自己的房子
[00:04:26.840 --> 00:04:28.560]  來奉獻給教會
[00:04:28.560 --> 00:04:29.760]  其實老實說
[00:04:29.760 --> 00:04:31.560]  在情感上很難接受
[00:04:31.560 --> 00:04:32.920]  很難過得去
[00:04:32.920 --> 00:04:34.080]  但是徐媽媽很堅持
[00:04:34.080 --> 00:04:37.160]  她說周牧師這是神的心意
[00:04:37.160 --> 00:04:39.520]  並且她不僅如此
[00:04:39.520 --> 00:04:43.000]  她當時有八個子女
[00:04:43.000 --> 00:04:44.720]  其實三個在外國
[00:04:44.720 --> 00:04:47.440]  徐媽媽逐一打電話給子女
[00:04:47.440 --> 00:04:48.880]  告訴他們這個決定
[00:04:48.880 --> 00:04:50.720]  她的八個子女
[00:04:50.720 --> 00:04:53.200]  竟然一致支持媽媽的決定
[00:04:53.200 --> 00:04:54.720]  於是周牧師就沒有辦法
[00:04:54.720 --> 00:04:56.080]  唯有接受
[00:04:56.080 --> 00:04:58.640]  但是這樣仍然是不夠
[00:04:58.640 --> 00:04:59.520]  徐媽媽說
[00:04:59.520 --> 00:05:00.440]  主啊
[00:05:00.440 --> 00:05:02.800]  究竟祢的計劃是怎樣呢
[00:05:02.800 --> 00:05:04.880]  當她一路祈禱的時候
[00:05:04.880 --> 00:05:08.480]  神就一路揭示祂的計劃給她聽
[00:05:08.480 --> 00:05:10.880]  神就給了她四個字
[00:05:10.880 --> 00:05:11.920]  這四個字
[00:05:11.920 --> 00:05:15.560]  現在教會奉獻的時候
[00:05:15.560 --> 00:05:17.040]  我們就覺得不奇怪
[00:05:17.040 --> 00:05:19.840]  但是當年這是全新的概念
[00:05:19.840 --> 00:05:21.680]  神給了哪四個字呢
[00:05:21.680 --> 00:05:23.640]  就是無息貸款
[00:05:23.640 --> 00:05:25.040]  現在我們覺得沒什麼
[00:05:25.040 --> 00:05:28.600]  但是當時從來沒有教會這樣做
[00:05:28.600 --> 00:05:31.920]  徐媽媽甚至主動拍了一條短片
[00:05:31.920 --> 00:05:33.600]  呼籲弟兄姊妹
[00:05:33.600 --> 00:05:35.640]  無息貸款是奉獻
[00:05:35.640 --> 00:05:38.040]  當這條短片播出之後
[00:05:38.040 --> 00:05:40.120]  感動了所有弟兄姊妹
[00:05:40.120 --> 00:05:42.200]  於是神蹟就出現了
[00:05:42.200 --> 00:05:43.600]  在一個星期之內
[00:05:43.600 --> 00:05:46.160]  教會收到三億的奉獻
[00:05:46.160 --> 00:05:51.400]  當凌梁山莊獻堂崇拜當日
[00:05:51.400 --> 00:05:55.160]  教會不單止可以還清所有銀行貸款
[00:05:55.160 --> 00:05:58.240]  並且有能力捐出一筆錢
[00:05:58.240 --> 00:06:01.760]  給當時台北九二一大地震
[00:06:01.760 --> 00:06:04.640]  甚至可以捐出一筆錢
[00:06:04.640 --> 00:06:09.240]  幫助整個台北做重建工作
[00:06:09.240 --> 00:06:11.720]  徐媽媽的毀身奉獻
[00:06:11.720 --> 00:06:14.120]  其實對教會有很大影響力
[00:06:14.120 --> 00:06:18.840]  甚至改變了當時教會整個信心的歷程
[00:06:18.840 --> 00:06:21.440]  徐媽媽曾經這樣說
[00:06:21.440 --> 00:06:25.040]  她說能夠奉獻是因典
[00:06:25.040 --> 00:06:28.360]  我用信服加上行動
[00:06:28.360 --> 00:06:31.120]  就讓神的心意去成就
[00:06:31.120 --> 00:06:32.920]  雖然我這樣去奉獻
[00:06:32.920 --> 00:06:36.520]  但神在我一生中從來沒有令我缺乏過
[00:06:36.520 --> 00:06:38.840]  徐媽媽另外一個影響
[00:06:38.840 --> 00:06:41.320]  就是她對禱告的火熱
[00:06:41.320 --> 00:06:45.800]  影響了整個教會的禱告生活
[00:06:45.800 --> 00:06:47.920]  徐媽媽也說過這句話
[00:06:47.920 --> 00:06:52.080]  她說禱告為人祈禱不要自誇
[00:06:52.080 --> 00:06:55.560]  代禱是不需要到處跟別人說的
[00:06:55.560 --> 00:06:56.920]  你的禱告生活
[00:06:56.920 --> 00:06:58.680]  你是向神去禱告
[00:06:58.680 --> 00:07:00.480]  你為人禱告
[00:07:00.480 --> 00:07:04.680]  徐媽媽的生命見證令很多人的生命改變
[00:07:04.680 --> 00:07:08.000]  我們今天講到的
[00:07:08.000 --> 00:07:10.360]  也有一個人的生命見證
[00:07:10.360 --> 00:07:13.600]  是讓兩個人的生命改變
[00:07:13.600 --> 00:07:15.240]  這兩個人是甚麼人呢
[00:07:15.240 --> 00:07:19.680]  就是約書亞派出去偵察迦南地
[00:07:19.680 --> 00:07:22.440]  偵察耶利哥城的探子
[00:07:22.440 --> 00:07:25.400]  這兩個探子的生命如何改變呢
[00:07:25.400 --> 00:07:27.880]  我們看看當時的背景
[00:07:27.880 --> 00:07:30.640]  當時之前講道也講過
[00:07:30.640 --> 00:07:33.880]  以色列人集結在迦南地的邊界
[00:07:33.880 --> 00:07:38.000]  打算奪取佔領整個迦南地
[00:07:38.000 --> 00:07:41.480]  但如果以色列人想奪取迦南地的時候
[00:07:41.480 --> 00:07:43.880]  他必須要奪取耶利哥城
[00:07:43.880 --> 00:07:44.680]  為甚麼呢
[00:07:44.680 --> 00:07:45.520]  因為耶利哥城
[00:07:45.520 --> 00:07:46.720]  你看回那張圖
[00:07:46.720 --> 00:07:49.760]  耶利哥城剛剛握手著約旦河谷
[00:07:49.760 --> 00:07:54.120]  和中央山地的南北戰略要地
[00:07:54.120 --> 00:07:56.200]  如果你佔領了耶利哥城
[00:07:56.200 --> 00:08:00.960]  就可以切斷迦南地南北軍事互相的支援
[00:08:00.960 --> 00:08:04.400]  接著那些城市就可以捉一擊破
[00:08:04.400 --> 00:08:09.280]  於是約書亞派了兩個探子進去打探
[00:08:09.280 --> 00:08:11.880]  其實是軍事的偵察
[00:08:11.880 --> 00:08:13.800]  既然大家想
[00:08:13.800 --> 00:08:15.000]  以色列那麼多人
[00:08:15.000 --> 00:08:16.480]  選了兩個探子出來
[00:08:16.480 --> 00:08:18.920]  要執行那麼重要的軍事任務
[00:08:18.920 --> 00:08:21.920]  必定是精英中之精英
[00:08:21.920 --> 00:08:24.200]  所以就算不是
[00:08:24.200 --> 00:08:28.680]  Mission Impossible 職業特工隊的Tom Cruise
[00:08:28.680 --> 00:08:30.320]  也是皇家特工
[00:08:30.320 --> 00:08:31.920]  也是很厲害的人
[00:08:31.920 --> 00:08:33.240]  但事實上
[00:08:33.240 --> 00:08:36.160]  當你看回整個描述的時候
[00:08:36.160 --> 00:08:38.000]  這兩個探子不是我們所想的
[00:08:38.000 --> 00:08:40.880]  我們一起看約書亞記二章一節
[00:08:40.880 --> 00:08:41.800]  我們一起讀
