
[00:00:00.000 --> 00:00:05.240]  弟兄姊妹好 今天天氣非常寒冷
[00:00:05.240 --> 00:00:08.660]  很高興可以在寒冷的寒冬裡面
[00:00:08.660 --> 00:00:11.840]  與大家一起分享神的話
[00:00:11.840 --> 00:00:17.600]  今天的傳道的經文是《格林德後書》
[00:00:17.600 --> 00:00:22.160]  是一篇保羅處於非常艱難的時刻
[00:00:22.160 --> 00:00:27.540]  保羅也許他病重 他面對好多好多的挑戰
[00:00:27.540 --> 00:00:30.740]  說到病 說到病重
[00:00:30.740 --> 00:00:34.940]  似乎我們今天也真是沒有辦法可以避免
[00:00:34.940 --> 00:00:40.560]  疫情所帶來的各方面潛能的病的傳播
[00:00:40.560 --> 00:00:44.180]  病菌的傳播 大範圍的傳播
[00:00:44.180 --> 00:00:48.720]  每一天都聽到身邊所熟悉的朋友
[00:00:48.720 --> 00:00:54.280]  弟兄姊妹的公司 家裡面的大廈都有個案
[00:00:54.280 --> 00:00:57.880]  每一天都上千個案例
[00:00:57.880 --> 00:01:02.440]  到處都是病菌和死亡的事實
[00:01:02.440 --> 00:01:07.860]  淋在我們每一天的新聞和我們身邊的信息裡面
[00:01:07.860 --> 00:01:11.940]  帶來恐慌 我們每一天都在準備新的東西
[00:01:11.940 --> 00:01:14.960]  有時候真不知道我們應該怎麼做
[00:01:14.960 --> 00:01:17.260]  怎麼來保護自己 保護自己家人
[00:01:17.260 --> 00:01:19.720]  如何來回應這個社會
[00:01:19.720 --> 00:01:21.280]  我們在這個困難的時間
[00:01:21.280 --> 00:01:24.240]  不然我們一起來再來一次禱告
[00:01:24.240 --> 00:01:27.820]  來求耶穌幫助我們
[00:01:27.820 --> 00:01:34.580]  親愛的主耶穌 疫情傳世界都是那麼嚴重
[00:01:34.580 --> 00:01:36.680]  香港也免不了
[00:01:36.680 --> 00:01:41.840]  香港這個城市就像病了一樣 好軟弱
[00:01:41.840 --> 00:01:46.480]  求主來幫助我們 以祢的道作為我們的力量
[00:01:46.480 --> 00:01:52.120]  祢的靈更新我們的內心 讓我們更踏實的往前走
[00:01:52.120 --> 00:01:55.940]  可以更加有力量來面對明天
[00:01:55.940 --> 00:02:01.040]  我們感謝祢 禱告奉耶穌基督名求 阿們
[00:02:01.040 --> 00:02:03.920]  保羅重來的挑戰都是大的
[00:02:03.920 --> 00:02:06.100]  就是正如我和你一樣
[00:02:06.100 --> 00:02:09.240]  我們所面對的挑戰真不少
[00:02:09.240 --> 00:02:14.040]  保羅依然感謝神 他來到哥林多教會
[00:02:14.040 --> 00:02:17.880]  哥林多人來接待他
[00:02:17.880 --> 00:02:21.280]  不過保羅其實上他面對的困難
[00:02:21.280 --> 00:02:26.180]  不比他的身體上面所面對的方方面面的困難多
[00:02:26.180 --> 00:02:29.140]  他最大的掙扎 他最大的困難
[00:02:29.140 --> 00:02:33.140]  就是哥林多教會與自己的關係
[00:02:33.140 --> 00:02:35.040]  我們往前看一兩章
[00:02:35.040 --> 00:02:39.380]  我們有前文有後文 我們來更多的看到
[00:02:39.380 --> 00:02:45.020]  哥林多是一個很多問題的哥林多
[00:02:45.020 --> 00:02:49.560]  哥林多人與保羅的關係 他們所看重的是什麼呢?
[00:02:49.560 --> 00:02:52.700]  他們所看重的是自己擁戴的傳道人
[00:02:52.700 --> 00:02:56.340]  而不是真正懂得如何去尊重
[00:02:56.340 --> 00:02:59.700]  一個真的出於神的傳道人
[00:02:59.700 --> 00:03:02.420]  在前文我們反映了看到有好多
[00:03:02.420 --> 00:03:04.760]  哥林多教會的情況是什麼呢?
[00:03:04.760 --> 00:03:08.380]  也反映了今天我們的現實的生活裡面
[00:03:08.380 --> 00:03:11.740]  好多一些的信徒來迷惑大眾
[00:03:11.740 --> 00:03:16.980]  來違反保羅他的人品 有好多的衝突
[00:03:16.980 --> 00:03:21.240]  你比方說保羅曾經答應說要來 後來也沒來
[00:03:21.240 --> 00:03:25.580]  好多人就做出很多的猜測 如何如何
[00:03:25.580 --> 00:03:27.580]  事實上問題在哪呢?
[00:03:27.580 --> 00:03:31.220]  問題是保羅事實上在前文後文裡面
[00:03:31.220 --> 00:03:35.480]  提到很多他的掙扎 比方說哥林多裡面
[00:03:35.480 --> 00:03:39.440]  保羅曾經也在哥林多前書裡面提到說
[00:03:39.440 --> 00:03:43.860]  有人跟他的繼母同睡犯罪
[00:03:43.860 --> 00:03:46.260]  他不想親自來去處理那麼尷尬
[00:03:46.260 --> 00:03:49.320]  讓大家那麼傷痛 也讓自己很傷痛
[00:03:49.320 --> 00:03:52.980]  那麼難堪的一個局面
[00:03:52.980 --> 00:03:57.560]  所以這個可能也是保羅為什麼他說
[00:03:57.560 --> 00:04:00.760]  他在基督裡面說的傳都是是的
[00:04:00.760 --> 00:04:04.980]  全部都是按照神給他的領袖所說的
[00:04:04.980 --> 00:04:06.980]  到最後沒來的原因
[00:04:06.980 --> 00:04:10.980]  也許當中裡面所產生的方方面面的一些的
[00:04:10.980 --> 00:04:14.560]  衝突和一些的不理解
[00:04:14.560 --> 00:04:19.360]  保羅要在這裡來給大家做出一個很重要的一個呼叫
[00:04:19.360 --> 00:04:22.440]  一個很重要的呼叫
[00:04:22.440 --> 00:04:26.760]  保羅來得到眾人的一個指責
[00:04:26.760 --> 00:04:30.000]  從三章七節我們可以往前看的時候
[00:04:30.000 --> 00:04:33.340]  我們可以看到保羅想帶出一個是什麼呢?
[00:04:33.340 --> 00:04:36.340]  帶出一個侍奉和榮光的關係
[00:04:36.340 --> 00:04:38.660]  侍奉和榮光的關係
[00:04:38.660 --> 00:04:40.620]  保羅說 他不厭煩的說
