
[00:00:00.000 --> 00:00:02.960]  各位線上的朋友弟兄姊妹
[00:00:02.960 --> 00:00:08.420]  在疫情很嚴峻的時候向大家去問安
[00:00:08.420 --> 00:00:12.380]  願神方方面面去保守各位
[00:00:12.380 --> 00:00:15.000]  知道在擔心的裏面
[00:00:15.000 --> 00:00:19.040]  知道我們去看媒體、新聞
[00:00:19.040 --> 00:00:23.860]  都讓我們的心有跌宕、很矛盾
[00:00:23.860 --> 00:00:27.220]  但是既然大家都很清楚
[00:00:27.220 --> 00:00:29.660]  我們回到上帝的面前
[00:00:29.660 --> 00:00:30.940]  得平安
[00:00:30.940 --> 00:00:35.860]  剛才的詩歌也給我們有盼望和鼓勵
[00:00:35.860 --> 00:00:41.360]  我很想藉著《約翰一書》的訊息
[00:00:41.360 --> 00:00:44.860]  神兒女的特質是彼此勉勵
[00:00:44.860 --> 00:00:50.360]  彼此體會上帝給我們神兒女這麼寶貴的身份
[00:00:50.360 --> 00:00:53.880]  讓我們去經歷人生的旅程
[00:00:53.880 --> 00:00:57.120]  現在非常大的考驗裏面
[00:00:57.120 --> 00:01:04.100]  神給我們的特質讓我們可以安然去面對
[00:01:04.100 --> 00:01:10.860]  現在香港的市民心裏面都有一個目標
[00:01:10.860 --> 00:01:15.240]  就是在這個抗疫的環境裏面
[00:01:15.240 --> 00:01:18.840]  能夠成功地去完成
[00:01:18.840 --> 00:01:24.060]  不同人去看成功是有它的定義的
[00:01:24.060 --> 00:01:28.240]  好像愛因斯坦這樣說
[00:01:28.240 --> 00:01:31.880]  成功就是艱苦的勞動
[00:01:31.880 --> 00:01:37.120]  要加上正確的方法和小說、空話
[00:01:37.120 --> 00:01:40.320]  我的理解就是不講一些無謂的說話
[00:01:40.320 --> 00:01:43.080]  不要只是講 要有行動
[00:01:43.080 --> 00:01:46.800]  對他來說 成功需要人的勞力
[00:01:46.800 --> 00:01:51.600]  也需要在一些步驟、工具、方式上
[00:01:51.600 --> 00:01:56.860]  去用得正確 這樣才可以達至成功
[00:01:56.860 --> 00:01:59.540]  另外一個人就說
[00:01:59.540 --> 00:02:06.500]  要成功一項事業 必須花一輩子的時間
[00:02:06.500 --> 00:02:12.440]  是否需要這麼長時間去完成一個事業呢?
[00:02:12.440 --> 00:02:17.920]  我體會就是 原來人生在做一些工作
[00:02:17.920 --> 00:02:22.000]  要達成一個目標 可能都會有跌跌碰碰
[00:02:22.000 --> 00:02:27.520]  有時做到 接著走三步 可能又跌一步
[00:02:27.520 --> 00:02:31.560]  接著又向前兩步 又退後兩步
[00:02:31.560 --> 00:02:36.140]  在這些跌跌碰碰底下 持久力是很重要的
[00:02:36.140 --> 00:02:39.760]  能夠堅持到底 用一生人
[00:02:39.760 --> 00:02:44.840]  最終就會達至所要的目標和結果
[00:02:44.840 --> 00:02:48.840]  另外「冰心」是用一個很文雅的方式
[00:02:48.840 --> 00:02:50.840]  我也覺得很有意思
[00:02:50.840 --> 00:02:56.720]  它說:修養的花兒在寂靜中開過去了
[00:02:56.720 --> 00:03:02.320]  成功的果子便要在光明裡結實
[00:03:02.320 --> 00:03:05.160]  它用字很精簡
[00:03:05.160 --> 00:03:09.780]  要種花、要培育、修剪
[00:03:09.780 --> 00:03:13.860]  在這個過程裏面經歷了
[00:03:13.860 --> 00:03:18.180]  就很自然 按照大自然的規律
[00:03:18.180 --> 00:03:21.300]  花就會結果
[00:03:21.300 --> 00:03:25.060]  無論不同的人怎樣去看成功
[00:03:25.060 --> 00:03:29.540]  我覺得有一個必然的因素
[00:03:29.540 --> 00:03:32.580]  就是必須要有清晰的目標
[00:03:32.580 --> 00:03:36.340]  今天跟大家從約翰一書
[00:03:36.340 --> 00:03:38.980]  二章二十八到三章十字
[00:03:38.980 --> 00:03:42.700]  去看信徒的生命旅程
[00:03:42.700 --> 00:03:47.900]  老約翰他寫這段經文的時候
[00:03:47.900 --> 00:03:54.460]  十一位的使徒已經離世
[00:03:54.460 --> 00:04:00.140]  他當時大概是公元八十多九十年
[00:04:00.140 --> 00:04:02.140]  對他來說
[00:04:02.140 --> 00:04:05.580]  他怎樣去看自己的人生旅程
[00:04:05.580 --> 00:04:09.260]  當然他也過渡了很多的目標
[00:04:09.260 --> 00:04:14.900]  但對他來說 他在這段經文裏面告訴我們
[00:04:14.900 --> 00:04:18.100]  信徒明確的目標是甚麼
[00:04:18.100 --> 00:04:20.300]  他只說了兩件事
[00:04:20.300 --> 00:04:21.700]  但也是很重要的
[00:04:21.700 --> 00:04:22.900]  他告訴我們
[00:04:22.900 --> 00:04:26.980]  在達致明確目標的裏面
[00:04:26.980 --> 00:04:33.700]  甚麼是我們要抓緊的能力傳源
[00:04:33.700 --> 00:04:36.740]  我們需要依靠著這些能力
[00:04:36.740 --> 00:04:39.620]  才能達到目標
[00:04:39.620 --> 00:04:42.940]  再之後他用一個比較長的篇幅
[00:04:42.940 --> 00:04:46.500]  他就說這個過程裏面有很多干擾
[00:04:46.500 --> 00:04:49.500]  我們要切斷這些干擾
[00:04:49.500 --> 00:04:55.700]  我們持續向目標的一切
[00:04:55.700 --> 00:04:57.900]  當我們去看這個段落的時候
[00:04:57.900 --> 00:05:03.100]  就發覺有些詞語是出現得比較多的
[00:05:03.100 --> 00:05:07.660]  譬如「臣的兒女」在這個段落裏面
[00:05:07.660 --> 00:05:11.260]  就已經出現了四次
[00:05:11.260 --> 00:05:15.220]  而「臣的兒女」在《約翰一書》之前
[00:05:15.220 --> 00:05:18.780]  一章、二章都是沒有提及過的
[00:05:18.780 --> 00:05:21.180]  都是用信徒去說
[00:05:21.180 --> 00:05:23.380]  另外一個詞語就是
[00:05:23.380 --> 00:05:26.900]  「由臣生的 他所生的」
[00:05:26.900 --> 00:05:29.940]  不單是今天我們看的這個段落
[00:05:29.940 --> 00:05:34.740]  而接下來四章、五章都再有七次
[00:05:34.740 --> 00:05:38.180]  是說從甚麼而生
[00:05:38.180 --> 00:05:39.460]  Born of
[00:05:39.460 --> 00:05:42.220]  這個頻繁的出現告訴我們
[00:05:42.220 --> 00:05:47.380]  之前約翰他經常說信徒和信徒之間
[00:05:47.380 --> 00:05:50.780]  或者是一個人際相處是怎樣
[00:05:50.780 --> 00:05:52.380]  來到這個段落
[00:05:52.380 --> 00:05:55.820]  他就說信徒和臣的關係
[00:05:55.820 --> 00:05:58.380]  他用了「臣的兒女」
[00:05:58.380 --> 00:06:02.660]  我想這個就是讓人能夠明白
[00:06:02.660 --> 00:06:09.580]  臣和他的信徒是一個父母和子女的關係
[00:06:09.580 --> 00:06:13.580]  是一個親密、有血緣
[00:06:13.580 --> 00:06:16.140]  緊緊的連繫
[00:06:16.140 --> 00:06:22.900]  並且那些DNA是由父親傳承給子女的
[00:06:22.900 --> 00:06:27.140]  聖經約翰福音一章十二節說
[00:06:27.140 --> 00:06:30.940]  凡是信耶穌名的人
[00:06:30.940 --> 00:06:34.540]  他就賜他們權柄作臣的兒女
[00:06:34.540 --> 00:06:39.900]  是一個頗為重要的關係
[00:06:39.900 --> 00:06:41.980]  我們首先在這個段落裏
[00:06:41.980 --> 00:06:45.260]  去看看這個明確的目標是甚麼
[00:06:45.260 --> 00:06:48.740]  就是坦然見主面
[00:06:48.740 --> 00:06:50.460]  二章二十八節
[00:06:50.460 --> 00:06:52.140]  「讓他若顯現」
[00:06:52.140 --> 00:06:54.260]  我們就可以坦然無懼
[00:06:54.260 --> 00:06:59.340]  「當他來的時候,在他面前也不至於慚愧」
[00:06:59.340 --> 00:07:04.060]  這是說到當耶穌基督再來審判的時候
[00:07:04.060 --> 00:07:08.500]  信徒、臣的兒女就見耶穌了
[00:07:08.500 --> 00:07:09.980]  就好像回家一樣
[00:07:09.980 --> 00:07:11.700]  既然回家了
[00:07:11.700 --> 00:07:14.660]  我們就可以很理所當然
