
[00:00:00.000 --> 00:00:01.780]  各位看完節目的平安
[00:00:01.780 --> 00:00:06.280]  大家今天無論是禮拜六還是禮拜日
[00:00:06.280 --> 00:00:10.120]  在家中我們一起在網上去敬拜上帝
[00:00:10.120 --> 00:00:14.220]  其實我們今天現在錄影的時候是禮拜五的下午
[00:00:14.220 --> 00:00:18.300]  剛剛昨晚我們會見到很多新聞
[00:00:18.300 --> 00:00:21.440]  關於在烏克蘭的情況
[00:00:21.440 --> 00:00:26.000]  所以很想今天和大家一起去聆聽上帝的話語之前
[00:00:26.000 --> 00:00:29.000]  我們都先爲那個地方一同去禱告
[00:00:30.000 --> 00:00:32.040]  我們一起低頭祈禱
[00:00:32.040 --> 00:00:37.620]  拆天府我們一同同心
[00:00:37.620 --> 00:00:43.660]  去爲那個烏克蘭的地方去獻上禱告
[00:00:43.660 --> 00:00:47.060]  我們今天自己在香港
[00:00:47.060 --> 00:00:49.500]  在疫情的情況下我們都很擔心
[00:00:49.500 --> 00:00:51.000]  我們都很慌亂
[00:00:51.000 --> 00:00:53.260]  我們很多事情都不知道該怎麼辦
[00:00:53.260 --> 00:00:59.140]  我們更加難去想象一個正在戰爭的地方
[00:00:59.140 --> 00:01:02.880]  那裏的人的生活會是怎樣
[00:01:02.880 --> 00:01:07.720]  他們的驚恐 他們的彷徨 他們的無助會是怎樣
[00:01:07.720 --> 00:01:13.080]  主我們在禰面前我們一同同心去祈求
[00:01:13.080 --> 00:01:18.380]  我們求上帝禰在當中裏面親自去施出禰自己的恩守
[00:01:18.380 --> 00:01:20.220]  去保護當地的居民
[00:01:20.220 --> 00:01:23.920]  生命免於戰爭的傷害
[00:01:23.920 --> 00:01:27.980]  去保守每一個在當中裏面的政府
[00:01:27.980 --> 00:01:32.520]  他們都能夠有一個好的決定
[00:01:32.520 --> 00:01:35.820]  讓這個戰事能夠儘快的去止息
[00:01:35.820 --> 00:01:39.660]  當在當中裏面有需要去援助的人
[00:01:39.660 --> 00:01:41.660]  上帝我們都很求禰
[00:01:41.660 --> 00:01:44.400]  親自差派禰的天使在當中裏面
[00:01:44.400 --> 00:01:46.980]  讓他們得到適切的幫助
[00:01:46.980 --> 00:01:50.680]  主我們就求禰儘快去止息
[00:01:50.680 --> 00:01:52.980]  在那個地方上的刀兵
[00:01:52.980 --> 00:01:56.380]  讓人的生活能夠得到平安
[00:01:56.380 --> 00:01:59.960]  能夠去上道主禰自己的恩典
[00:01:59.960 --> 00:02:02.720]  天父我們就求禰繼續去拖帶
