
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹朋友們早安
[00:00:03.000 --> 00:00:07.000]  線上的弟兄姊妹們早安
[00:00:07.000 --> 00:00:11.000]  我們今天要來跟各位分享信息
[00:00:11.000 --> 00:00:15.000]  那麼我第一個禮拜都要分享教會的意象
[00:00:15.000 --> 00:00:18.000]  靈魂體的心聖合一
[00:00:18.000 --> 00:00:23.000]  這包括教會 因為教會是基督的身體
[00:00:23.000 --> 00:00:26.000]  我們上次講過靈魂體
[00:00:26.000 --> 00:00:33.000]  靈是Spirit 魂是Soul 體是Body
[00:00:33.000 --> 00:00:38.000]  體就是我們的四肢五官 法夫 獸之父母
[00:00:38.000 --> 00:00:43.000]  魂是我們的七情六欲 欲知情感
[00:00:43.000 --> 00:00:49.000]  靈是我們裡面 神在我們裡面
[00:00:49.000 --> 00:00:54.000]  那一點點的氣 但是卻是最有能力的
[00:00:54.000 --> 00:00:58.000]  上次講過靈魂體
[00:00:58.000 --> 00:01:03.000]  今天我要跟各位分享的是當下靈魂體
[00:01:03.000 --> 00:01:07.000]  也就是說 現今這個時代
[00:01:07.000 --> 00:01:12.000]  我們的靈魂體的處境如何
[00:01:12.000 --> 00:01:16.000]  因為這是一個Post-Pandemic
[00:01:16.000 --> 00:01:21.000]  後疫情的時代 什麼都會變
[00:01:21.000 --> 00:01:29.000]  如果我們說21世紀是從911開始的
[00:01:29.000 --> 00:01:37.000]  那麼2020年是從疫情開始
[00:01:37.000 --> 00:01:42.000]  是一個完全不同的時代出現了
[00:01:42.000 --> 00:01:45.000]  我們活在一個不同的時代
[00:01:45.000 --> 00:01:49.000]  那麼我們要怎麼做呢
[00:01:49.000 --> 00:01:51.000]  我們會跟各位分享
[00:01:51.000 --> 00:01:54.000]  第一我們要謹慎免得迷惑
[00:01:54.000 --> 00:02:00.000]  第二我們要再一次的不要驚慌不要氣餒
[00:02:00.000 --> 00:02:04.000]  而且我們要做信望愛的不倒翁
[00:02:04.000 --> 00:02:09.000]  最後我們不要疑惑不要搖擺
[00:02:09.000 --> 00:02:14.000]  那麼我覺得就會跟各位分享
[00:02:14.000 --> 00:02:19.000]  雅各書上面說的 你信神只有一位
[00:02:19.000 --> 00:02:24.000]  你信得不錯嘛 但是鬼魔也信啊
[00:02:24.000 --> 00:02:27.000]  卻是贊金
[00:02:27.000 --> 00:02:31.000]  那我們低頭禱告阿爸父我們感謝你我們讚美你
[00:02:31.000 --> 00:02:34.000]  你是又真又活的神
[00:02:34.000 --> 00:02:38.000]  願你來得著那應得當得佩得的榮耀
[00:02:38.000 --> 00:02:41.000]  願你來高孩子的口
[00:02:41.000 --> 00:02:44.000]  還有我們每一位弟兄姊妹的耳朵
[00:02:44.000 --> 00:02:48.000]  願你的話語能夠扎人的心
[00:02:48.000 --> 00:02:51.000]  能夠彰顯你的榮耀
[00:02:51.000 --> 00:02:53.000]  再感謝禱告讚美
[00:02:53.000 --> 00:02:55.000]  是奉主耶穌基督的名
[00:02:55.000 --> 00:02:57.000]  Amen
[00:02:57.000 --> 00:02:59.000]  當下就是獻金
[00:02:59.000 --> 00:03:01.000]  Today
[00:03:01.000 --> 00:03:02.000]  是不是
[00:03:02.000 --> 00:03:06.000]  我們處在什麼一個環境中間呢
[00:03:06.000 --> 00:03:09.000]  這是我們的靈魂體的促進
[00:03:09.000 --> 00:03:13.000]  第一就是瘟疫橫行
[00:03:13.000 --> 00:03:18.000]  在啟示錄第六章它講說白馬弓箭
[00:03:18.000 --> 00:03:22.000]  騎著白馬的張弓射箭
[00:03:22.000 --> 00:03:25.000]  就想起詩篇九十一篇說
[00:03:25.000 --> 00:03:28.000]  白天射人的箭
[00:03:28.000 --> 00:03:32.000]  還有夜間運行的瘟疫
[00:03:32.000 --> 00:03:35.000]  在啟示錄裡面就真的出現了
[00:03:35.000 --> 00:03:39.000]  騎著白馬的張著弓射箭
[00:03:39.000 --> 00:03:41.000]  今天這個瘟疫
[00:03:41.000 --> 00:03:43.000]  COVID-19
[00:03:43.000 --> 00:03:48.000]  處在什麼狀況啊
[00:03:48.000 --> 00:03:50.000]  快結束了
[00:03:50.000 --> 00:03:54.000]  我講說美國八千萬還少算了一點
[00:03:54.000 --> 00:03:58.000]  我這兩天看美國超過一億了
[00:03:58.000 --> 00:04:02.000]  三分之一的美國人都得過
[00:04:02.000 --> 00:04:06.000]  那麼最近這個玉新在網上面
[00:04:06.000 --> 00:04:07.000]  他就講說香港
[00:04:07.000 --> 00:04:09.000]  哎呀好淒慘哦
[00:04:09.000 --> 00:04:13.000]  三十五萬一天增加五萬個人
[00:04:13.000 --> 00:04:16.000]  這個瘟疫真的是
[00:04:16.000 --> 00:04:18.000]  讓整個世界變了
[00:04:18.000 --> 00:04:20.000]  你知道嗎
[00:04:20.000 --> 00:04:22.000]  當然了
[00:04:22.000 --> 00:04:25.000]  除了這個瘟疫橫行以外
[00:04:25.000 --> 00:04:27.000]  物價也高漲
[00:04:27.000 --> 00:04:29.000]  是不是
[00:04:29.000 --> 00:04:31.000]  美國在一月份的時候
[00:04:31.000 --> 00:04:34.000]  他的物價達到百分之七點五
[00:04:34.000 --> 00:04:37.000]  三月份開始他要升息了
[00:04:37.000 --> 00:04:40.000]  那整個又要再變了
[00:04:40.000 --> 00:04:41.000]  是不是
[00:04:41.000 --> 00:04:44.000]  全世界的生產力都降下來了
[00:04:44.000 --> 00:04:46.000]  再加上貿易戰
[00:04:46.000 --> 00:04:47.000]  再加上利息要升
[00:04:47.000 --> 00:04:50.000]  再加上錢銀收緊了
[00:04:50.000 --> 00:04:55.000]  這一切的一切要讓整個的物價
[00:04:55.000 --> 00:04:57.000]  要到最後連有錢都買不到東西
[00:04:57.000 --> 00:04:59.000]  所以我常常跟師母說
[00:04:59.000 --> 00:05:01.000]  趕快去囤點東西
[00:05:01.000 --> 00:05:03.000]  多買幾包米
[00:05:03.000 --> 00:05:06.000]  多買一些罐頭不會壞的東西
[00:05:06.000 --> 00:05:08.000]  然後都留著
[00:05:08.000 --> 00:05:10.000]  是不是
[00:05:10.000 --> 00:05:12.000]  瘟疫橫行
[00:05:12.000 --> 00:05:17.000]  其實你說這是天災還是人禍
[00:05:17.000 --> 00:05:20.000]  我越來越感覺到是人禍
[00:05:20.000 --> 00:05:22.000]  前兩天我聽到義大利
[00:05:22.000 --> 00:05:25.000]  居然有一個官員說
[00:05:25.000 --> 00:05:28.000]  自從那個瘟疫橫行了以後
[00:05:28.000 --> 00:05:30.000]  我們死了一堆
[00:05:30.000 --> 00:05:33.000]  都是老先生老太太
[00:05:33.000 --> 00:05:37.000]  國家省了11億
[00:05:37.000 --> 00:05:39.000]  你說這不是人禍嗎
[00:05:39.000 --> 00:05:41.000]  有人會這麼想
[00:05:41.000 --> 00:05:43.000]  老先生老太太都走了
[00:05:43.000 --> 00:05:45.000]  我就不用付他福利金了
[00:05:45.000 --> 00:05:46.000]  不用付他什麼了
[00:05:46.000 --> 00:05:47.000]  是不是
[00:05:47.000 --> 00:05:48.000]  我今天要走了
[00:05:48.000 --> 00:05:50.000]  美國政府也用不著
[00:05:50.000 --> 00:05:52.000]  每年付我三五萬了
[00:05:52.000 --> 00:05:53.000]  是不是
[00:05:53.000 --> 00:05:57.000]  所以有的時候變成是人禍了
[00:05:57.000 --> 00:06:00.000]  物價高漲也是一樣
[00:06:00.000 --> 00:06:03.000]  也是人禍了
[00:06:03.000 --> 00:06:06.000]  同時戰爭也要發生
[00:06:06.000 --> 00:06:09.000]  已經發生了
[00:06:09.000 --> 00:06:12.000]  烏克蘭 蘇俄
[00:06:12.000 --> 00:06:14.000]  甚至於台海的危機
[00:06:14.000 --> 00:06:17.000]  甚至於北朝鮮
[00:06:17.000 --> 00:06:19.000]  甚至於中東等等
[00:06:19.000 --> 00:06:22.000]  甚至於油戰爭又要開始了
[00:06:22.000 --> 00:06:24.000]  騎士陸六將講說
[00:06:24.000 --> 00:06:26.000]  騎著紅馬的
[00:06:26.000 --> 00:06:30.000]  帶著刀在那裡砍人
[00:06:30.000 --> 00:06:33.000]  所以國攻打國
[00:06:33.000 --> 00:06:38.000]  那個時代瘟疫又把它改變了
[00:06:38.000 --> 00:06:42.000]  改變得比911還要危險
[00:06:42.000 --> 00:06:44.000]  說不定第三次世界大戰
[00:06:44.000 --> 00:06:46.000]  就要開始了
[00:06:46.000 --> 00:06:48.000]  饑荒也發生了
[00:06:48.000 --> 00:06:50.000]  是不是
[00:06:50.000 --> 00:06:52.000]  在騎士陸第六將也講說
[00:06:52.000 --> 00:06:55.000]  他說黑馬拿著天秤
[00:06:55.000 --> 00:06:57.000]  也就是說天災人禍
[00:06:57.000 --> 00:06:59.000]  他拿著天秤
[00:06:59.000 --> 00:07:02.000]  並不是表示說他是公正
[00:07:02.000 --> 00:07:05.000]  他是秤秤看你有幾斤幾兩
[00:07:05.000 --> 00:07:08.000]  一大堆人通通一起秤
[00:07:08.000 --> 00:07:10.000]  人不當人看
[00:07:10.000 --> 00:07:11.000]  是不是
[00:07:11.000 --> 00:07:12.000]  黑馬出現了
[00:07:12.000 --> 00:07:16.000]  最後暴亂還有死亡就發生
[00:07:16.000 --> 00:07:17.000]  騎士陸第六將又講到
[00:07:17.000 --> 00:07:20.000]  第四匹馬是灰馬
[00:07:20.000 --> 00:07:23.000]  他拿著鐮刀
[00:07:23.000 --> 00:07:26.000]  他不是說大豐收的收割
[00:07:26.000 --> 00:07:29.000]  他是來收割死亡的
[00:07:29.000 --> 00:07:33.000]  他是撒下死亡他來收割人命的
[00:07:33.000 --> 00:07:36.000]  他來收割整個世界的
[00:07:36.000 --> 00:07:39.000]  當下我們處在這個世界裡面
[00:07:39.000 --> 00:07:43.000]  政府、媒體、民工
[00:07:43.000 --> 00:07:45.000]  我尤其是看這個
[00:07:45.000 --> 00:07:49.000]  看這個媒體的消息
[00:07:49.000 --> 00:07:51.000]  沒有一個是真的
[00:07:51.000 --> 00:07:53.000]  通通是假的
[00:07:53.000 --> 00:07:57.000]  都是站在政府的立場
[00:07:57.000 --> 00:08:00.000]  你自己想想看
[00:08:00.000 --> 00:08:02.000]  我有的時候看
[00:08:02.000 --> 00:08:05.000]  看台灣的國民黨罵
[00:08:05.000 --> 00:08:08.000]  執政的民進黨說
[00:08:08.000 --> 00:08:10.000]  你政府撒謊應該下台
[00:08:10.000 --> 00:08:12.000]  我心裡偷笑
[00:08:12.000 --> 00:08:13.000]  政府撒謊
[00:08:13.000 --> 00:08:16.000]  全世界政府都在撒謊
[00:08:16.000 --> 00:08:19.000]  當今我們活在這個世界裡面的
[00:08:19.000 --> 00:08:22.000]  哪一個不是為了自己的政府撒謊嗎
[00:08:22.000 --> 00:08:24.000]  老百姓歧視我都無所謂
[00:08:24.000 --> 00:08:26.000]  你只要給我安居樂業
[00:08:26.000 --> 00:08:30.000]  有飯吃、日子過得好
[00:08:30.000 --> 00:08:33.000]  至於什麼我都並不在乎了
[00:08:33.000 --> 00:08:34.000]  你想想看
[00:08:34.000 --> 00:08:36.000]  在美國為什麼
[00:08:36.000 --> 00:08:42.000]  電動汽車發展不起來
[00:08:42.000 --> 00:08:45.000]  油公司要把持嘛
[00:08:45.000 --> 00:08:47.000]  對不對
[00:08:47.000 --> 00:08:48.000]  利益問題嘛
[00:08:48.000 --> 00:08:51.000]  在美國為什麼喜歡打仗賣軍火呢
[00:08:51.000 --> 00:08:56.000]  這些軍火商的勢力也很大的
[00:08:56.000 --> 00:08:59.000]  為什麼一邊倒向以色列呢
[00:08:59.000 --> 00:09:02.000]  猶太人的權力也很大的
[00:09:02.000 --> 00:09:03.000]  是不是
[00:09:03.000 --> 00:09:05.000]  所以我們真的
[00:09:05.000 --> 00:09:10.000]  當心到不要變成一個世界末日
[00:09:10.000 --> 00:09:14.000]  我有的時候看網上面講的
[00:09:14.000 --> 00:09:17.000]  保加利亞有一個盲眼的龍婆
[00:09:17.000 --> 00:09:20.000]  他就真的假的不知道
[00:09:20.000 --> 00:09:23.000]  搞不好也是假的說他什麼
[00:09:23.000 --> 00:09:26.000]  就已經預言這些世界的事情
[00:09:26.000 --> 00:09:27.000]  都要發生的事情
[00:09:27.000 --> 00:09:31.000]  還有印度的一個神童叫安南德
[00:09:31.000 --> 00:09:33.000]  他也是講這個
[00:09:33.000 --> 00:09:36.000]  最近還在講什麼台海的戰爭
[00:09:36.000 --> 00:09:37.000]  烏東的戰爭
[00:09:37.000 --> 00:09:39.000]  還有中國的推背圖
[00:09:39.000 --> 00:09:41.000]  都講到這些事情
[00:09:41.000 --> 00:09:45.000]  當然有的時候很牽強
[00:09:45.000 --> 00:09:47.000]  你一個事情
[00:09:47.000 --> 00:09:49.000]  他每次都是講出來很中性的
[00:09:49.000 --> 00:09:52.000]  你一個事情兩邊都可以跑的
[00:09:52.000 --> 00:09:54.000]  這都很難講
[00:09:54.000 --> 00:09:57.000]  但是我們卻不得不謹慎
[00:09:57.000 --> 00:10:01.000]  因為我們活在當下這個世界
[00:10:01.000 --> 00:10:04.000]  是不是
[00:10:04.000 --> 00:10:06.000]  所以耶穌說什麼
[00:10:06.000 --> 00:10:08.000]  我的國不在這世界
[00:10:08.000 --> 00:10:10.000]  是不是
[00:10:10.000 --> 00:10:14.000]  當這一切變得危險的時候
[00:10:14.000 --> 00:10:16.000]  耶穌說
[00:10:16.000 --> 00:10:20.000]  這一切都要來臨的時候
[00:10:20.000 --> 00:10:22.000]  門徒就問他說
[00:10:22.000 --> 00:10:25.000]  說耶穌你降臨的日子
[00:10:25.000 --> 00:10:27.000]  還有世界的末日
[00:10:27.000 --> 00:10:29.000]  有什麼徵兆啊
[00:10:29.000 --> 00:10:31.000]  在我們剛才念過的
[00:10:31.000 --> 00:10:33.000]  我們一起來念
[00:10:33.000 --> 00:10:35.000]  馬來福音24:4-5
[00:10:35.000 --> 00:10:37.000]  耶穌回答
[00:10:37.000 --> 00:10:39.000]  你們要謹慎
[00:10:39.000 --> 00:10:41.000]  免得有人迷惑你們
[00:10:41.000 --> 00:10:45.000]  因為將來有好些人冒我的名來
[00:10:45.000 --> 00:10:47.000]  說我是基督
[00:10:47.000 --> 00:10:50.000]  並且要迷惑許多人
[00:10:50.000 --> 00:10:54.000]  所以耶穌要我們要謹慎
[00:10:54.000 --> 00:10:56.000]  免得迷惑
[00:10:56.000 --> 00:10:59.000]  且有好些假先知起來
[00:10:59.000 --> 00:11:01.000]  迷惑眾人
[00:11:01.000 --> 00:11:03.000]  所以耶穌要我們
[00:11:03.000 --> 00:11:05.000]  要謹慎
[00:11:05.000 --> 00:11:07.000]  警醒
[00:11:07.000 --> 00:11:09.000]  不要迷惑
[00:11:09.000 --> 00:11:11.000]  很多時候啊
[00:11:11.000 --> 00:11:14.000]  我們常常受到
[00:11:14.000 --> 00:11:16.000]  異端邪教假先知
[00:11:16.000 --> 00:11:18.000]  假基督的迷惑
[00:11:18.000 --> 00:11:20.000]  我們都不知道
[00:11:20.000 --> 00:11:21.000]  是不是
[00:11:21.000 --> 00:11:23.000]  我先講這個例子
[00:11:23.000 --> 00:11:27.000]  在2010年的時候
[00:11:27.000 --> 00:11:30.000]  臺灣有一批基督徒啊
[00:11:30.000 --> 00:11:33.000]  從臺灣搬到德州
[00:11:33.000 --> 00:11:35.000]  一大堆人啊
[00:11:35.000 --> 00:11:37.000]  在臺灣賣了家產
[00:11:37.000 --> 00:11:39.000]  全部到德州
[00:11:39.000 --> 00:11:42.000]  到一個地方叫做God's Land
[00:11:42.000 --> 00:11:44.000]  神的地啊
[00:11:44.000 --> 00:11:45.000]  他們說
[00:11:45.000 --> 00:11:47.000]  神跟他們講
[00:11:47.000 --> 00:11:50.000]  啟示他們搬到德州的God's Land
[00:11:50.000 --> 00:11:53.000]  然後在那裡買地置產
[00:11:53.000 --> 00:11:56.000]  後來啥事都沒發生
[00:11:56.000 --> 00:11:58.000]  在那裡呢
[00:11:58.000 --> 00:12:00.000]  好像荒郊野外一樣
