
[00:00:00.000 --> 00:00:02.000]  各位弟兄姐妹平安
[00:00:02.000 --> 00:00:04.000]  各位弟兄姊妹平安
[00:00:04.000 --> 00:00:06.000]  都好想去問一問大家
[00:00:06.000 --> 00:00:08.000]  想問問大家
[00:00:08.000 --> 00:00:10.000]  大家覺得水重要嗎
[00:00:10.000 --> 00:00:12.000]  大家覺得水重要嗎
[00:00:12.000 --> 00:00:15.000]  水對我們生命來講是有幾重要呢
[00:00:15.000 --> 00:00:18.000]  水對我們的生命有多麼重要呢
[00:00:18.000 --> 00:00:21.000]  今天其實都幾大雨
[00:00:21.000 --> 00:00:23.000]  其實今天雨很大
[00:00:23.000 --> 00:00:25.000]  我都好感謝大家
[00:00:25.000 --> 00:00:27.000]  冒著雨都回來教會
[00:00:27.000 --> 00:00:30.000]  感謝大家冒雨來回到教會
[00:00:30.000 --> 00:00:32.000]  更加我看見有三位的新朋友
[00:00:32.000 --> 00:00:35.000]  更加我看到有三位的新朋友
[00:00:35.000 --> 00:00:37.000]  也都感謝你們冒著雨都來到
[00:00:37.000 --> 00:00:39.000]  從太空來看
[00:00:39.000 --> 00:00:41.000]  我們所居住的地球
[00:00:41.000 --> 00:00:43.000]  我們會發現是與別不同的
[00:00:43.000 --> 00:00:47.000]  我們會看見我們居住的地球是與別不同的
[00:00:47.000 --> 00:00:49.000]  唯獨地球
[00:00:49.000 --> 00:00:52.000]  是一顆好像藍寶石一樣
[00:00:52.000 --> 00:00:55.000]  唯獨是地球好像一顆藍寶石一樣
[00:00:55.000 --> 00:00:57.000]  因為我們所居住的地球
[00:00:57.000 --> 00:00:59.000]  大部分的面積都被水覆蓋
[00:00:59.000 --> 00:01:03.000]  因為地球大部分的地方都是被水覆蓋
[00:01:03.000 --> 00:01:07.000]  複學家就一直都嘗試在太空當中
[00:01:07.000 --> 00:01:10.000]  去尋找有沒有其他生物的呢
[00:01:10.000 --> 00:01:14.000]  科學家一直嘗試在外太空有沒有其他的生物
[00:01:14.000 --> 00:01:17.000]  哪怕只不過是微生物
[00:01:17.000 --> 00:01:18.000]  哪怕只不過是微生物
[00:01:18.000 --> 00:01:20.000]  尋找的方法是這樣
[00:01:20.000 --> 00:01:22.000]  尋找的方法是這樣的
[00:01:22.000 --> 00:01:25.000]  就是想在其他的星球上面去找一下
[00:01:25.000 --> 00:01:30.000]  有沒有一些現在或者從前有過的水
[00:01:30.000 --> 00:01:38.000]  因為科學家他們一直都相信
[00:01:38.000 --> 00:01:43.000]  如果水是存在的話
[00:01:43.000 --> 00:01:49.000]  生物才有可能存在
[00:01:51.000 --> 00:01:52.000]  跟大家分享這一點
[00:01:52.000 --> 00:01:57.000]  是因為原來水和我們的生命是環環緊扣的
[00:01:57.000 --> 00:02:07.000]  沒有水的地方就不會有生命
[00:02:07.000 --> 00:02:14.000]  有水的地方才會有生命
[00:02:14.000 --> 00:02:17.000]  拿德興姊妹
[00:02:18.000 --> 00:02:22.000]  如果我們想活出一個有生命氣息的生命
[00:02:22.000 --> 00:02:29.000]  其實我們需要水
[00:02:29.000 --> 00:02:33.000]  而且我會說這個水不是平常的水
[00:02:33.000 --> 00:02:38.000]  是主耶穌賜給我們的活水
[00:02:38.000 --> 00:02:43.000]  我們首先低頭求聖靈幫助
[00:02:46.000 --> 00:02:48.000]  親愛的恩主我們感謝你
[00:02:48.000 --> 00:02:51.000]  你賜下我們有水
[00:02:51.000 --> 00:02:56.000]  而主耶穌基督你更是我們裡頭的泉源
[00:02:56.000 --> 00:03:01.000]  求主你的聖靈
[00:03:01.000 --> 00:03:04.000]  在我們心目當中繼續成為我們的泉源
[00:03:04.000 --> 00:03:13.000]  讓我們得著神你給我們的囂貫
[00:03:17.000 --> 00:03:20.000]  讓我們就好像種在溪水旁的樹
[00:03:20.000 --> 00:03:25.000]  不會枯乾
[00:03:25.000 --> 00:03:27.000]  四季常綠
[00:03:27.000 --> 00:03:30.000]  今天神
[00:03:30.000 --> 00:03:33.000]  我們渴慕你的水
[00:03:33.000 --> 00:03:36.000]  求主你將活水賜給我們
[00:03:36.000 --> 00:03:41.000]  我們禱告祈求奉耶穌基督你的名
[00:03:44.000 --> 00:03:48.000]  活正正是教會最近講到的主題
[00:03:48.000 --> 00:03:55.000]  如果我們回顧一下過去幾篇信息的主題
[00:03:55.000 --> 00:04:00.000]  我們就講到活的神
[00:04:00.000 --> 00:04:04.000]  講到神是我們的生命之源
[00:04:04.000 --> 00:04:08.000]  如果我們要有生命的話
[00:04:08.000 --> 00:04:09.000]  我們就要親近神
[00:04:12.000 --> 00:04:14.000]  聖經又講到耶穌基督是活石
[00:04:14.000 --> 00:04:22.000]  其實我跟你就好像一個小的石塊
[00:04:22.000 --> 00:04:25.000]  需要依靠主耶穌基督這個根基的活石
[00:04:25.000 --> 00:04:35.000]  聖經還講到活的道
[00:04:35.000 --> 00:04:40.000]  其實神是願意每天都跟我們說話
[00:04:43.000 --> 00:04:46.000]  活的道是我們親近神一個很重要的媒介
[00:04:46.000 --> 00:04:53.000]  我們一直以活的神作起點
[00:04:53.000 --> 00:05:00.000]  其實就是想一步一步去帶著弟兄姊妹
[00:05:00.000 --> 00:05:03.000]  知道我們怎樣去成為一個有活力的信徒
[00:05:03.000 --> 00:05:10.000]  今天我們就講到活水
[00:05:13.000 --> 00:05:15.000]  或者大家很熟悉的經文
[00:05:15.000 --> 00:05:17.000]  就是約翰福音第四章
[00:05:17.000 --> 00:05:20.000]  撒瑪利亞婦人打水的故事
[00:05:20.000 --> 00:05:29.000]  就是這一次的打水她就遇上耶穌
[00:05:29.000 --> 00:05:36.000]  今天的信息其實只有一件事情
[00:05:36.000 --> 00:05:38.000]  想弟兄姊妹能夠拿走
[00:05:43.000 --> 00:05:46.000]  耶穌基督是神所應許給我們的活水
[00:05:46.000 --> 00:05:54.000]  其實也是你和我很需要的活水
[00:05:54.000 --> 00:05:58.000]  不如我們首先看經文好嗎
[00:05:58.000 --> 00:06:02.000]  在撒瑪利亞婦人的故事
[00:06:02.000 --> 00:06:06.000]  我們不會逐一去看
