
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,穆姐,平安!
[00:00:03.000 --> 00:00:07.000]  好好感謝神今天能夠跟大家分享神的說話
[00:00:07.000 --> 00:00:10.000]  由我們先將以下的時間交託給神
[00:00:10.000 --> 00:00:12.000]  我們一起去禱告
[00:00:12.000 --> 00:00:16.000]  親愛的天父,我們感謝你的恩典
[00:00:16.000 --> 00:00:20.000]  感謝你對我們無窮無盡的愛
[00:00:20.000 --> 00:00:22.000]  當我們仍是罪人的時候
[00:00:22.000 --> 00:00:26.000]  主耶穌已經為我們在十字架上舍己犧牲
[00:00:26.000 --> 00:00:28.000]  三天後復活
[00:00:28.000 --> 00:00:31.000]  我們能夠成為你的兒女
[00:00:31.000 --> 00:00:33.000]  也能夠有自由
[00:00:33.000 --> 00:00:36.000]  在和平的土地上去敬拜你
[00:00:36.000 --> 00:00:39.000]  是天父你給我們的福氣
[00:00:39.000 --> 00:00:43.000]  此刻我們都想到在烏克蘭的弟兄姊妹
[00:00:43.000 --> 00:00:45.000]  他們戰火連天
[00:00:45.000 --> 00:00:47.000]  今天不知道明天的事
[00:00:47.000 --> 00:00:51.000]  但是在主日仍然會聚首一齊
[00:00:51.000 --> 00:00:53.000]  去敬拜你
[00:00:53.000 --> 00:00:56.000]  珍惜敬拜你的機會
[00:00:56.000 --> 00:00:58.000]  在敵人看不到他們有出路
[00:00:58.000 --> 00:01:01.000]  看不到他們有拯救的時候
[00:01:01.000 --> 00:01:05.000]  他們仍然仰望依靠呼求你
[00:01:05.000 --> 00:01:08.000]  天父他們對你的信靠
[00:01:08.000 --> 00:01:11.000]  也成為我們的激勵
[00:01:11.000 --> 00:01:13.000]  我們求天父你的憐憫和拯救
[00:01:13.000 --> 00:01:15.000]  早日來到烏克蘭
[00:01:15.000 --> 00:01:19.000]  我們很盼望和平能夠代替戰爭
[00:01:19.000 --> 00:01:22.000]  公義代替人的貪婪自私
[00:01:22.000 --> 00:01:25.000]  真愛代替仇恨
[00:01:25.000 --> 00:01:28.000]  讓世界人能夠得到從你來
[00:01:28.000 --> 00:01:32.000]  真正的拯救 醫治和平安
[00:01:32.000 --> 00:01:36.000]  恭敬將我們每一個人交在你的手裡
[00:01:36.000 --> 00:01:38.000]  求天父與我們同在
[00:01:38.000 --> 00:01:40.000]  求你幫助我們
[00:01:40.000 --> 00:01:43.000]  拿去我們心裡一切的雜念
[00:01:43.000 --> 00:01:48.000]  讓我們能夠清心在你面前領受你的教導
[00:01:48.000 --> 00:01:53.000]  祈禱奉教主耶穌基督的名 阿們
[00:01:53.000 --> 00:01:57.000]  今天我和大家分享的題目
[00:01:57.000 --> 00:02:01.000]  是真愛無限制
[00:02:01.000 --> 00:02:04.000]  我不知道大家會不會想到
[00:02:04.000 --> 00:02:07.000]  哪方面的東西無限制
[00:02:07.000 --> 00:02:10.000]  你可能會想到時間 地域
[00:02:10.000 --> 00:02:12.000]  又或者在一些條件上無限制
[00:02:12.000 --> 00:02:14.000]  或者你會想到
[00:02:14.000 --> 00:02:17.000]  愛的力量大到無限制
[00:02:17.000 --> 00:02:19.000]  其實答案就是
[00:02:19.000 --> 00:02:21.000]  是真的無限制的
[00:02:21.000 --> 00:02:23.000]  你想到什麼都無限制
[00:02:23.000 --> 00:02:25.000]  都是答案來的
[00:02:25.000 --> 00:02:28.000]  因為我們知道真愛是真的有能力超越
[00:02:28.000 --> 00:02:32.000]  一切的難阻 一切的障礙
[00:02:32.000 --> 00:02:36.000]  今天我很想和大家用這個題目去分享
[00:02:36.000 --> 00:02:40.000]  主要是希望我們能夠從中去明白到
[00:02:40.000 --> 00:02:43.000]  真愛如果真的可以超越一切的話
[00:02:43.000 --> 00:02:46.000]  我們就不應該將我們的愛
[00:02:46.000 --> 00:02:51.000]  切下了一些範圍 或者是切下了一些界限
[00:02:51.000 --> 00:02:53.000]  我們不應該這樣去做
[00:02:53.000 --> 00:02:56.000]  舉個例子 比如我們跟自己說
[00:02:56.000 --> 00:02:58.000]  我只能夠愛一些人
[00:02:58.000 --> 00:03:01.000]  有些人我這輩子怎麼都沒辦法去愛他
[00:03:01.000 --> 00:03:04.000]  也好像上個星期的信息裡面說過
[00:03:04.000 --> 00:03:07.000]  真的有一些人是不可愛的
[00:03:07.000 --> 00:03:09.000]  如果我們這樣跟自己說的話
[00:03:09.000 --> 00:03:13.000]  其實我們已經是將我們心裡的那份愛
[00:03:13.000 --> 00:03:17.000]  切下了一些界限 一些範圍
[00:03:17.000 --> 00:03:19.000]  有了限制
[00:03:19.000 --> 00:03:24.000]  限制了愛的範圍其實有什麼問題呢?
[00:03:24.000 --> 00:03:29.000]  不是很多人都是遇到一些很難去
[00:03:29.000 --> 00:03:32.000]  我們叫做愛不下的人嗎?
[00:03:32.000 --> 00:03:35.000]  是的 我相信我們每個人 包括我自己
[00:03:35.000 --> 00:03:38.000]  我們都會遇到一些人是真的令我們
[00:03:38.000 --> 00:03:41.000]  很難受 很難去接受他們
[00:03:41.000 --> 00:03:45.000]  甚至直接說是很難受得了的人 是嗎?
[00:03:45.000 --> 00:03:49.000]  是的 就算是基督徒 我們都會有一個想法
[00:03:49.000 --> 00:03:52.000]  就是有一些人我們是愛不下的
[00:03:52.000 --> 00:03:55.000]  他們是放在愛不下的人的名單裡面
[00:03:55.000 --> 00:03:58.000]  那有什麼問題呢?
[00:03:58.000 --> 00:04:03.000]  我們是不是有可能一直都覺得沒問題?
[00:04:03.000 --> 00:04:06.000]  那這個就是問題了 是的
[00:04:06.000 --> 00:04:09.000]  我們作為信徒 我們是很知道
[00:04:09.000 --> 00:04:13.000]  對神的愛多多少少都有認識的
[00:04:13.000 --> 00:04:16.000]  我們認識到神給我們的愛
[00:04:16.000 --> 00:04:18.000]  是當我們還是罪人的時候
[00:04:18.000 --> 00:04:21.000]  主耶穌已經為我們犧牲 來拯救我們
[00:04:21.000 --> 00:04:24.000]  祂不是等我們做到義人 做到好人
[00:04:24.000 --> 00:04:27.000]  做到行為良好才來救我們的
[00:04:27.000 --> 00:04:29.000]  我們很知道這件事
[00:04:29.000 --> 00:04:31.000]  我們都知道神要我們去學習主耶穌
[00:04:31.000 --> 00:04:34.000]  那份犧牲社稷的愛 是不是?
[00:04:34.000 --> 00:04:36.000]  我們都知道
[00:04:36.000 --> 00:04:40.000]  主耶穌 祂都接受彼得對祂
[00:04:40.000 --> 00:04:45.000]  只能夠用人可以做到的愛去愛祂
[00:04:45.000 --> 00:04:47.000]  主耶穌接受了
[00:04:47.000 --> 00:04:50.000]  那就是因為祂體諒體恤
[00:04:50.000 --> 00:04:53.000]  祂體恤人的軟弱 祂體恤彼得的軟弱
[00:04:53.000 --> 00:04:55.000]  主耶穌知道彼得如果不是靠著神
[00:04:55.000 --> 00:05:00.000]  是沒辦法好像他自己那樣去愛人 愛神
[00:05:00.000 --> 00:05:02.000]  我們知道這些東西了
[00:05:02.000 --> 00:05:06.000]  所以我們心裡就會有一種想法
[00:05:06.000 --> 00:05:08.000]  我們明白神的愛
[00:05:08.000 --> 00:05:11.000]  雖然不是完全明白 但我們認識一部份的東西
[00:05:11.000 --> 00:05:12.000]  我們知道這些東西
[00:05:12.000 --> 00:05:15.000]  我們亦都認識自己人的軟弱
[00:05:15.000 --> 00:05:19.000]  所以我們有時就可能會這樣想
[00:05:19.000 --> 00:05:22.000]  有些人 我們會去愛
[00:05:22.000 --> 00:05:24.000]  我們愛得到 愛得落的
[00:05:24.000 --> 00:05:26.000]  不過有些愛不落的人
[00:05:26.000 --> 00:05:28.000]  我們留給其他人去愛他們
[00:05:28.000 --> 00:05:30.000]  神愛世人
[00:05:30.000 --> 00:05:34.000]  神一定會差一些人去愛他們的
[00:05:34.000 --> 00:05:36.000]  我不知道我們當中
[00:05:36.000 --> 00:05:38.000]  是不是有些人都是這樣想
[00:05:38.000 --> 00:05:40.000]  甚至是這樣在做
[00:05:40.000 --> 00:05:43.000]  如果有的話 我們不可以否認
[00:05:43.000 --> 00:05:47.000]  我們其實是把愛已經放了一些限制在那裡
[00:05:47.000 --> 00:05:49.000]  我們只能夠愛一些人
[00:05:49.000 --> 00:05:52.000]  或者在某些情況之下去愛
[00:05:52.000 --> 00:05:57.000]  從Victor Warren他的四十天學真愛裡面
[00:05:57.000 --> 00:05:59.000]  他提醒我們
[00:05:59.000 --> 00:06:03.000]  他說 如果我們把愛放了限制的話
[00:06:03.000 --> 00:06:05.000]  後果是很嚴重的
[00:06:05.000 --> 00:06:07.000]  他所說的後果就是說
[00:06:07.000 --> 00:06:12.000]  我們會不知不覺去離開了神那種愛
[00:06:12.000 --> 00:06:14.000]  然後我們就墮落了去
[00:06:14.000 --> 00:06:17.000]  只是有人那種愛
[00:06:17.000 --> 00:06:20.000]  神的愛和人的愛有什麼分別呢
[00:06:20.000 --> 00:06:24.000]  神的愛就是隨時隨地給每個人
[00:06:24.000 --> 00:06:29.000]  但是人的愛只能夠某時某地給某些人
[00:06:29.000 --> 00:06:33.000]  給一些我們認為愛得落的人
[00:06:33.000 --> 00:06:35.000]  這個是很大的分別
[00:06:35.000 --> 00:06:37.000]  那麼有什麼問題呢
[00:06:37.000 --> 00:06:38.000]  我們想想
[00:06:38.000 --> 00:06:42.000]  我們心目中認為愛得落的人是什麼人呢
[00:06:42.000 --> 00:06:45.000]  我相信都是跟我們有直接關係的人
[00:06:45.000 --> 00:06:46.000]  比如我們的父母
[00:06:46.000 --> 00:06:47.000]  我們的配偶
[00:06:47.000 --> 00:06:48.000]  子女
[00:06:48.000 --> 00:06:49.000]  家人
[00:06:49.000 --> 00:06:51.000]  甚至教會裡面的弟兄姊妹
[00:06:51.000 --> 00:06:53.000]  或者是朋友
[00:06:53.000 --> 00:06:58.000]  都是我們心目中在名單裡面認為愛得落的人
[00:06:58.000 --> 00:07:01.000]  但是我們又用了人的愛去愛
[00:07:01.000 --> 00:07:02.000]  有沒有問題呢
[00:07:02.000 --> 00:07:06.000]  人的愛我們知道是很有限的
[00:07:06.000 --> 00:07:08.000]  會變心
[00:07:08.000 --> 00:07:10.000]  又會自私一下
[00:07:10.000 --> 00:07:13.000]  人的愛最得人驚最危險的地方是什麼呢
[00:07:13.000 --> 00:07:18.000]  就是當我們沒有健康去管理人的愛的時候
[00:07:18.000 --> 00:07:23.000]  其實是可以變成愛你變成害你
[00:07:23.000 --> 00:07:24.000]  是嗎
[00:07:24.000 --> 00:07:26.000]  我很愛我的父母
[00:07:26.000 --> 00:07:29.000]  我一直變成是長不大的
[00:07:29.000 --> 00:07:31.000]  我現在來到三十歲、四十歲
[00:07:31.000 --> 00:07:32.000]  甚至五十歲、六十歲
[00:07:32.000 --> 00:07:36.000]  我的情緒、我的心靈仍然很依附我父母的
[00:07:36.000 --> 00:07:39.000]  於是乎成為我父母一世人的擔子了
[00:07:39.000 --> 00:07:41.000]  我很愛我太太
[00:07:41.000 --> 00:07:43.000]  我很擔心她出事的
[00:07:43.000 --> 00:07:46.000]  所以你去到哪裡都要對我報告行蹤
[00:07:46.000 --> 00:07:48.000]  我很愛我的子女
[00:07:48.000 --> 00:07:50.000]  我對他們非常關愛
[00:07:50.000 --> 00:07:53.000]  所以我步步看著事事安排
[00:07:53.000 --> 00:07:56.000]  他們都沒有什麼機會自己成長學習獨立的了
[00:07:56.000 --> 00:07:58.000]  人的愛那種有限
[00:07:58.000 --> 00:08:02.000]  人的愛沒有健康的去管理的時候
[00:08:02.000 --> 00:08:06.000]  往往真是愛你變成害你
[00:08:06.000 --> 00:08:08.000]  我剛才說的那些例子裡面
[00:08:08.000 --> 00:08:11.000]  我還沒說到一種是非常之瘋狂的愛
[00:08:11.000 --> 00:08:14.000]  是可以最終摧殘生命的
[00:08:14.000 --> 00:08:18.000]  因為人的愛實在是可以愛你變成害你
[00:08:18.000 --> 00:08:22.000]  為什麼基督徒明明知道有神那種的愛
[00:08:22.000 --> 00:08:26.000]  但是我們仍然都是不自覺的選擇了
[00:08:26.000 --> 00:08:30.000]  去用人的愛來愛神愛人呢
[00:08:30.000 --> 00:08:31.000]  當然啦
[00:08:31.000 --> 00:08:32.000]  剛才我也有提過
[00:08:32.000 --> 00:08:35.000]  主耶穌體恤我們人的軟弱
[00:08:35.000 --> 00:08:36.000]  體恤彼得的軟弱
[00:08:36.000 --> 00:08:39.000]  我們知道我們是軟弱的
[00:08:39.000 --> 00:08:40.000]  是事實
[00:08:40.000 --> 00:08:41.000]  我們是軟弱的
[00:08:41.000 --> 00:08:45.000]  我們沒辦法靠著自己用一己之力
[00:08:45.000 --> 00:08:46.000]  雄方之力
[00:08:46.000 --> 00:08:48.000]  那就去愛人
[00:08:48.000 --> 00:08:50.000]  能夠是無限制的去愛
[00:08:50.000 --> 00:08:51.000]  好像神那樣
[00:08:51.000 --> 00:08:55.000]  所以今天我就跟大家一起探討一下
[00:08:55.000 --> 00:08:57.000]  一些人性裡面
[00:08:57.000 --> 00:09:00.000]  很多時候都會遇到的軟弱
[00:09:00.000 --> 00:09:05.000]  由我們一起在當中去多些的了解明白
