
[00:00:00.000 --> 00:00:07.500]  好,我們會看到,在《貝勒前書》裡面提到末世的日子,即是很快的會降臨
[00:00:07.500 --> 00:00:10.760]  那我們要怎樣面對呢?
[00:00:10.760 --> 00:00:14.580]  很多時候都有一些電影都在描繪末世的
[00:00:14.580 --> 00:00:19.120]  有一套電影叫《2012》,不知道大家有沒有看過
[00:00:19.120 --> 00:00:22.140]  很便宜的DVD有的,一磅三隻
[00:00:22.140 --> 00:00:29.380]  後來他們還入了方舟,但這個方舟很厲害的,是中國人做的,就是來帶去
[00:00:29.380 --> 00:00:32.580]  有一套電影叫做《The Day After Tomorrow》
[00:00:32.580 --> 00:00:37.340]  在中國翻譯為《後日》
[00:00:37.340 --> 00:00:43.820]  但原來在英文裡面是《The Day After Tomorrow》,是解釋到未來的日子有什麼事情發生
[00:00:43.820 --> 00:00:47.400]  《聖經》裡面提醒我們應該怎樣去面對
[00:00:47.400 --> 00:00:50.100]  很簡單,今天我們只看一節《經》文章這一課
[00:00:50.100 --> 00:00:54.360]  《貝勒前書》第四章第七節,我們一起讀出,好嗎?
[00:00:54.360 --> 00:01:00.320]  "萬物的結局近了,所以你們要謹慎,謹慎禱告"
[00:01:00.320 --> 00:01:06.580]  "萬物的結局近了,所以你們要謹慎自守,謹慎禱告"
[00:01:06.580 --> 00:01:13.460]  這個就是我們自己個人,我們個人怎樣去面對主回來
[00:01:13.460 --> 00:01:15.700]  怎樣來帶去裝備的
[00:01:15.700 --> 00:01:19.460]  不知道大家知不知道,在這個世界裡面有一個叫做《末日時鐘》
[00:01:19.460 --> 00:01:24.940]  就是來帶去看著整個大自然的變化
[00:01:24.940 --> 00:01:26.940]  或者社會的情況
[00:01:26.940 --> 00:01:29.900]  我們就會有這個時鐘,還有倒數
[00:01:29.900 --> 00:01:35.780]  近期都已經撥快了,撥快了不止兩分鐘
[00:01:35.780 --> 00:01:39.020]  後來又再來帶去,撥快了一些
[00:01:39.020 --> 00:01:42.200]  很簡單舉一個例子
[00:01:42.200 --> 00:01:44.860]  因為過去這二十年有多
[00:01:44.860 --> 00:01:47.420]  其實我差不多每年都有來英國講道
[00:01:47.420 --> 00:01:50.760]  我多謝天父,其實這是一個分享
[00:01:50.760 --> 00:01:55.980]  神預備,當我的兒子過來英國讀書的時候
[00:01:55.980 --> 00:02:02.180]  很奇妙地就已經有不同的教會請我過來英國講道
[00:02:02.180 --> 00:02:05.540]  但他們絕對不是因為知道我的兒子來英國讀書
[00:02:05.540 --> 00:02:07.760]  所以請我講道,你明白我的意思嗎?
[00:02:07.760 --> 00:02:12.460]  但是我的兒子畢業之後就輪到我的女兒接棒了
[00:02:12.460 --> 00:02:14.460]  因為她是大她五年的
[00:02:14.460 --> 00:02:19.020]  接著就輪到我的女兒過來這邊,由中六可以讀起
[00:02:19.020 --> 00:02:21.180]  他們在這裡這麼多年
[00:02:21.180 --> 00:02:25.940]  我從來沒有特意買一張機票過來探望子女
[00:02:25.940 --> 00:02:28.700]  就是神來有憐憫
[00:02:28.700 --> 00:02:32.900]  其實當你為神來擺上,神就會有很豐富的供應
[00:02:32.900 --> 00:02:37.020]  我講完道之後就會去探望他們
[00:02:37.020 --> 00:02:40.940]  二十年前或者二十幾年前
[00:02:40.940 --> 00:02:43.700]  我想這些可能在英國都超過二十年
[00:02:43.700 --> 00:02:46.780]  你覺不覺得英國的天氣變化了很多
[00:02:46.780 --> 00:02:48.540]  現在好多了
[00:02:48.540 --> 00:02:52.300]  二十幾年前來的時候,倫敦叫什麼,霧都,是嗎?
[00:02:52.300 --> 00:02:54.300]  就是經常可以搏到的
[00:02:54.300 --> 00:02:56.300]  搏到什麼?
[00:02:56.300 --> 00:02:59.860]  搏大霧,是嗎?
[00:02:59.860 --> 00:03:03.580]  就是很大霧的,而且很濕濕的
[00:03:03.580 --> 00:03:06.620]  但是你有沒有留意到,至少這幾年
[00:03:06.620 --> 00:03:10.140]  天氣變化其實已經乾爽很多
[00:03:10.140 --> 00:03:14.260]  太陽的時間都出來多了很多
[00:03:14.260 --> 00:03:19.180]  我記得我第一次,86年,第一次來英國
[00:03:19.180 --> 00:03:23.260]  剛剛一踏足英國的時候,經過海德公園
[00:03:23.260 --> 00:03:27.060]  我發覺,哇,這麼多人,脫光了衣服
[00:03:27.060 --> 00:03:30.860]  不過是男人,在這裡曬太陽
[00:03:30.860 --> 00:03:33.540]  對我來說,違違奇觀
[00:03:33.540 --> 00:03:35.140]  但是那個導遊跟我們說
[00:03:35.140 --> 00:03:37.940]  其實我們英國不是這麼多時候有太陽的
[00:03:37.940 --> 00:03:39.940]  所以一有太陽的時候
[00:03:39.940 --> 00:03:42.540]  每個人就跑出來曬太陽
[00:03:42.540 --> 00:03:44.540]  但是其實這幾年裡面的變化
[00:03:44.540 --> 00:03:46.540]  天氣變化得很厲害
[00:03:46.540 --> 00:03:48.940]  大家都知道,已經不斷警告
[00:03:48.940 --> 00:03:50.940]  聖馬可港牆快點去
[00:03:50.940 --> 00:03:53.340]  因為那個水位一路高漲
[00:03:53.340 --> 00:03:57.740]  北極,那個雪融化得很快
[00:03:57.740 --> 00:03:59.340]  這樣的時候已經去
[00:03:59.340 --> 00:04:01.340]  就算去聖地,你也要快點去
[00:04:01.340 --> 00:04:05.340]  因為現在死海的水,真是死海了
[00:04:05.340 --> 00:04:07.340]  越來越少
[00:04:07.340 --> 00:04:10.140]  我第一次去1990年去
[00:04:10.140 --> 00:04:13.940]  死海的水和現在已經沒了三分之一以上
[00:04:13.940 --> 00:04:15.940]  是越來越少
[00:04:15.940 --> 00:04:17.940]  因為蒸發得很厲害
