
[00:00:00.000 --> 00:00:01.240]  OK 大家早晨
[00:00:01.240 --> 00:00:05.000]  我們今天會繼續
[00:00:05.000 --> 00:00:07.720]  《菲勒比書》的講道系列
[00:00:07.720 --> 00:00:10.040]  今天我們會看一段經文
[00:00:10.040 --> 00:00:15.800]  這段經文當中有一個經常會令人誤會的地方
[00:00:15.800 --> 00:00:18.680]  所以我想先將這段經文
[00:00:18.680 --> 00:00:21.560]  常常令人誤會的地方解釋一下
[00:00:21.560 --> 00:00:23.120]  然後
[00:00:23.120 --> 00:00:26.200]  因爲這段經文令人誤會的地方
[00:00:26.200 --> 00:00:27.880]  與一個議題有關
[00:00:28.200 --> 00:00:30.360]  就是我們生命的成長
[00:00:30.360 --> 00:00:32.360]  基督徒面對兩個很大的議題
[00:00:32.360 --> 00:00:33.880]  一個是你如何得救
[00:00:33.880 --> 00:00:36.280]  我們稱之爲Justification
[00:00:36.280 --> 00:00:38.280]  就是你如何輕易得救
[00:00:38.280 --> 00:00:41.960]  得救之後通常我們就進入第二個議題
[00:00:41.960 --> 00:00:43.880]  稱之爲Sanctification
[00:00:43.880 --> 00:00:46.040]  就是我們的生命如何成性
[00:00:46.040 --> 00:00:48.800]  如何能夠生長
[00:00:48.800 --> 00:00:51.080]  今天這段經文
[00:00:51.080 --> 00:00:52.960]  它令人誤會的地方
[00:00:52.960 --> 00:00:55.200]  與我們的Sanctification有關
[00:00:55.480 --> 00:00:58.680]  我想借這個機會和大家分享一點
[00:00:58.680 --> 00:01:03.440]  我們對於基督徒生命成長的一些觀念
[00:01:03.440 --> 00:01:05.920]  當然這個議題是一個很大的議題
[00:01:05.920 --> 00:01:08.360]  如果要展開來說
[00:01:08.360 --> 00:01:09.760]  就要講很久
[00:01:09.760 --> 00:01:11.120]  因爲今天時間的緣故
[00:01:11.120 --> 00:01:13.720]  我只是想將這個議題背後
[00:01:13.720 --> 00:01:15.520]  和大家分享一兩個
[00:01:15.520 --> 00:01:17.400]  我覺得很重要的觀念
[00:01:17.400 --> 00:01:19.880]  讓大家有一個很清楚的基本
[00:01:19.880 --> 00:01:23.720]  知道基督徒如何預期我們生命的成長
[00:01:23.720 --> 00:01:25.280]  是怎麼一回事
[00:01:25.840 --> 00:01:28.800]  結束之後我再講這段經文
[00:01:28.800 --> 00:01:32.200]  生命成長和我們所謂的滿足
[00:01:32.200 --> 00:01:34.600]  或者我們少一些焦慮
[00:01:34.600 --> 00:01:35.880]  有什麼關係
[00:01:35.880 --> 00:01:37.920]  我先看這段經文
[00:01:37.920 --> 00:01:39.680]  這段經文記載在
[00:01:39.680 --> 00:01:41.880]  《肥肋筆書》二章十二節
[00:01:41.880 --> 00:01:42.920]  我們先看
[00:01:42.920 --> 00:01:44.120]  這裏是這麼說的
[00:01:44.120 --> 00:01:46.680]  那麼親愛的朋友們
[00:01:46.680 --> 00:01:48.640]  我跟你們一起的時候
[00:01:48.640 --> 00:01:50.720]  你們常常聽從我
