
[00:00:00.000 --> 00:00:04.080]  每個禮拜早上回來,我都有一個覺得很遺憾的事
[00:00:04.080 --> 00:00:08.840]  就是我不能夠跟每一位弟兄姊妹個別打個招呼
[00:00:08.840 --> 00:00:10.240]  因為時間衝衝
[00:00:10.240 --> 00:00:12.440]  同時網上亦都是
[00:00:12.440 --> 00:00:16.040]  沒辦法可以有時間跟大家打個招呼個別
[00:00:16.040 --> 00:00:19.040]  但是在這裡,所以就趁這個機會
[00:00:19.040 --> 00:00:22.720]  跟每一位弟兄姊妹,無論是現場的還是網上的
[00:00:22.720 --> 00:00:25.040]  願你平安沙露
[00:00:25.040 --> 00:00:30.080]  我不知道過去幾個禮拜你聽到的時候
[00:00:30.080 --> 00:00:33.040]  有沒有一個這樣的感覺呢?
[00:00:33.040 --> 00:00:35.040]  就是望著台上的Mark Sir
[00:00:35.040 --> 00:00:38.040]  他好像黑了,又面沾了
[00:00:38.040 --> 00:00:39.040]  覺不覺得?
[00:00:39.040 --> 00:00:42.040]  看他出來站著
[00:00:42.040 --> 00:00:47.040]  老實說,其實我磅一磅自己都輕了三磅
[00:00:47.040 --> 00:00:51.040]  磅可以騙人的,Mark Sir沒有說
[00:00:51.040 --> 00:00:52.040]  磅可以騙人的
[00:00:52.040 --> 00:00:54.040]  但是褲是騙不了人的,褲鬆了
[00:00:54.040 --> 00:00:57.040]  那我身邊有幾位弟兄姊妹都告訴我
[00:00:57.040 --> 00:00:59.040]  他又輕了三四磅
[00:00:59.040 --> 00:01:03.040]  這些全部都是去聖地的團友來的
[00:01:03.040 --> 00:01:05.040]  那大家不要誤會
[00:01:05.040 --> 00:01:08.040]  我們好像是沒得吃的樣子
[00:01:08.040 --> 00:01:11.040]  有圖為證,我們是吃得都不錯的有時
[00:01:11.040 --> 00:01:15.040]  但是說真,去聖地真的有點捱的
[00:01:15.040 --> 00:01:16.040]  體力上的捱
[00:01:16.040 --> 00:01:18.040]  但是又捱得挺開心的
[00:01:18.040 --> 00:01:21.040]  所以輕幾磅其實我們當拿獎而已
[00:01:21.040 --> 00:01:26.040]  當初想到去聖地這個旅程的時候
[00:01:26.040 --> 00:01:29.040]  的確不單只是我身邊很多團友都是
[00:01:29.040 --> 00:01:32.040]  最擔心的就是我捱不捱得到呢?
[00:01:32.040 --> 00:01:34.040]  我們捱不捱得到呢?
[00:01:34.040 --> 00:01:37.040]  特別想起一個地方我自己最怕的
[00:01:37.040 --> 00:01:39.040]  就是曠野
[00:01:39.040 --> 00:01:40.040]  就是曠野
[00:01:40.040 --> 00:01:42.040]  因為那裡是很暴曬
[00:01:42.040 --> 00:01:46.040]  好像很無水,而且很乾旱的地方
[00:01:46.040 --> 00:01:50.040]  究竟行不行得到呢?
[00:01:50.040 --> 00:01:52.040]  我可以告訴各位
[00:01:52.040 --> 00:01:55.040]  在這次去完聖地
[00:01:55.040 --> 00:01:59.040]  我一個最新的體會就是曠野
[00:01:59.040 --> 00:02:05.040]  我記得車一開到郵帶曠野的時候
[00:02:05.040 --> 00:02:08.040]  我才知道原來曠野是這麼宏偉的
[00:02:08.040 --> 00:02:09.040]  你有沒有想過?
[00:02:09.040 --> 00:02:12.040]  很宏偉的曠野,很壯觀的
[00:02:12.040 --> 00:02:13.040]  給幾幅大家看一下
[00:02:13.040 --> 00:02:15.040]  這個是昆蘭山洞
[00:02:15.040 --> 00:02:17.040]  曠野是一個這樣的地方
[00:02:17.040 --> 00:02:18.040]  不過這樣
[00:02:18.040 --> 00:02:20.040]  坐在冷氣裡面望出去是挺好看的
[00:02:20.040 --> 00:02:22.040]  好像我們現在這樣望是挺好看的
[00:02:22.040 --> 00:02:23.040]  挺宏偉的
[00:02:23.040 --> 00:02:25.040]  但是如果大熱天時走在上面
[00:02:25.040 --> 00:02:26.040]  是很要命的
[00:02:26.040 --> 00:02:27.040]  是很熱的
[00:02:27.040 --> 00:02:29.040]  是挺大挑戰的
[00:02:29.040 --> 00:02:31.040]  但是正如我剛剛說
[00:02:31.040 --> 00:02:32.040]  這次去聖地
[00:02:32.040 --> 00:02:36.040]  讓我對曠野都有一個很新的改觀
[00:02:36.040 --> 00:02:37.040]  我回來
[00:02:37.040 --> 00:02:40.040]  如果你問我這次聖地你最深印象是哪裡呢?
[00:02:40.040 --> 00:02:41.040]  我可以告訴你
[00:02:41.040 --> 00:02:43.040]  就是曠野
[00:02:43.040 --> 00:02:48.040]  很多時候回來我還做了很多長夢都在曠野
[00:02:48.040 --> 00:02:51.040]  做了兩個禮拜
[00:02:51.040 --> 00:02:53.040]  為什麼這麼深感受呢?
[00:02:53.040 --> 00:02:55.040]  不只是因為宏偉壯觀
[00:02:55.040 --> 00:02:57.040]  更加是我想起聖經
[00:02:57.040 --> 00:02:59.040]  想起我們人生
[00:02:59.040 --> 00:03:01.040]  我們今天的人生
[00:03:01.040 --> 00:03:04.040]  我突然看到神原來藉著曠野
[00:03:04.040 --> 00:03:09.040]  對我們給了很多重要的人生啟示
[00:03:09.040 --> 00:03:12.040]  所以忍不住我定了今天的講題是
[00:03:12.040 --> 00:03:15.040]  曠野的吶喊
[00:03:15.040 --> 00:03:17.040]  曠野大聲跟我們講話
[00:03:17.040 --> 00:03:19.040]  就是這個寸草不生
[00:03:19.040 --> 00:03:21.040]  寂靜無聲的曠野
[00:03:21.040 --> 00:03:25.040]  祂真的向我們大聲地講了
[00:03:25.040 --> 00:03:30.040]  最低限度我看到兩個人生的功課
[00:03:30.040 --> 00:03:33.040]  第一
[00:03:33.040 --> 00:03:36.040]  我們原來是一無所有
[00:03:36.040 --> 00:03:38.040]  好像曠野那樣
[00:03:38.040 --> 00:03:41.040]  我們是靠神的恩典而活的
[00:03:41.040 --> 00:03:43.040]  你有沒有留意到
[00:03:43.040 --> 00:03:45.040]  在舊約和新約聖經
[00:03:45.040 --> 00:03:48.040]  其實曠野是扮演很重要的角色
[00:03:48.040 --> 00:03:50.040]  經常都出現曠野
[00:03:50.040 --> 00:03:52.040]  你想想也是
[00:03:52.040 --> 00:03:56.040]  曠野是神祝福和磨練祂子民的
[00:03:56.040 --> 00:03:58.040]  一個很重要的地方
[00:03:58.040 --> 00:04:00.040]  我們都很熟悉
[00:04:00.040 --> 00:04:02.040]  當日神拯救祂的子民
[00:04:02.040 --> 00:04:04.040]  逃離埃及奴隸的生活
[00:04:04.040 --> 00:04:06.040]  前往應許之地
[00:04:06.040 --> 00:04:09.040]  中間走的就是曠野
[00:04:09.040 --> 00:04:11.040]  曠野什麼都沒有
[00:04:11.040 --> 00:04:13.040]  在這裡你找什麼吃呢
[00:04:13.040 --> 00:04:15.040]  曠野沒有光的
[00:04:15.040 --> 00:04:17.040]  沒有民居的
[00:04:17.040 --> 00:04:19.040]  你在哪裡有光照著你呢
[00:04:19.040 --> 00:04:21.040]  特別是晚上的時候
[00:04:21.040 --> 00:04:24.040]  照著你可以行動呢
[00:04:24.040 --> 00:04:27.040]  但是就是神的恩典托著他們
[00:04:27.040 --> 00:04:30.040]  神賜瑪那賜鵪春
[00:04:30.040 --> 00:04:32.040]  給祂的子民做食物
[00:04:32.040 --> 00:04:35.040]  神賜雲柱火柱
[00:04:35.040 --> 00:04:39.040]  好像大光燈一樣帶著他們前行
[00:04:39.040 --> 00:04:41.040]  要他們明白的一件事就是
[00:04:41.040 --> 00:04:43.040]  你們知道嗎
[00:04:43.040 --> 00:04:46.040]  其實你們本來就好像曠野一樣
[00:04:46.040 --> 00:04:48.040]  一無所有
[00:04:48.040 --> 00:04:50.040]  是靠我的恩典
[00:04:50.040 --> 00:04:52.040]  你才可以存活的
[00:04:52.040 --> 00:04:54.040]  這個功課其實不是容易學的
[00:04:54.040 --> 00:04:56.040]  講就容易
[00:04:56.040 --> 00:04:58.040]  所以我們都見到聖經記載
[00:04:58.040 --> 00:05:00.040]  以色列民他們學很久都學不到
[00:05:00.040 --> 00:05:03.040]  他們事事一不順利
[00:05:03.040 --> 00:05:06.040]  有很難捱的日子
