
[00:00:00.000 --> 00:00:03.400]  再次歡迎大家來到我們的周六崇拜
[00:00:03.400 --> 00:00:07.200]  十一月是感恩的季節
[00:00:07.200 --> 00:00:09.600]  今天我們很興奮、很開心
[00:00:09.600 --> 00:00:11.800]  我們可以來到二樓的聖殿
[00:00:11.800 --> 00:00:18.000]  舉行我們周六崇拜一週年的感恩崇拜和分享會
[00:00:18.000 --> 00:00:21.200]  一會兒我們會有十三位弟兄姊妹
[00:00:21.200 --> 00:00:24.200]  會分享他們在過去一年裡
[00:00:24.200 --> 00:00:28.200]  在周六崇拜裡的一些得著和感恩
[00:00:28.200 --> 00:00:31.200]  不過我就決定要打個尖
[00:00:31.200 --> 00:00:33.400]  我想在他們未分享之前
[00:00:33.400 --> 00:00:38.400]  代表周六崇拜向上帝獻上一個感恩
[00:00:38.400 --> 00:00:40.600]  我今天選讀的經文是
[00:00:40.600 --> 00:00:44.400]  《讓福音》第十五章第一節至第六節
[00:00:44.400 --> 00:00:46.600]  我講到的題目是
[00:00:46.600 --> 00:00:50.200]  「為葡萄樹感恩」
[00:00:50.200 --> 00:00:53.000]  Thankful for the vine
[00:00:53.000 --> 00:00:55.800]  這張圖片也挺漂亮的
[00:00:55.800 --> 00:01:01.000]  你有沒有覺得這張圖片少了些什麼?
[00:01:01.000 --> 00:01:04.200]  少了平時每一張圖片我都會有的
[00:01:04.200 --> 00:01:06.600]  少了十字架
[00:01:06.600 --> 00:01:12.600]  原來十字架是每一個崇拜裡不可少的一件事
[00:01:12.600 --> 00:01:15.000]  今天當你聽這篇到最後的時候
[00:01:15.000 --> 00:01:18.600]  你會發現原來我們一切的感恩
[00:01:18.600 --> 00:01:23.200]  最終都是因為主耶穌基督的十字架
[00:01:23.200 --> 00:01:28.400]  今天這段聖經正如所有的聖經都會帶我們
[00:01:28.400 --> 00:01:32.000]  去俯伏在主耶穌基督的十字架面前
[00:01:32.000 --> 00:01:36.000]  《讓福音》第十五章第五節
[00:01:36.000 --> 00:01:38.800]  「我就是葡萄樹,你們是枝子
[00:01:38.800 --> 00:01:42.600]  常在我裡面,我也常在他裡面
[00:01:42.600 --> 00:01:44.400]  這人就多結果子
[00:01:44.400 --> 00:01:48.600]  因為來了我,你們就不能做什麼」
[00:01:48.600 --> 00:01:53.000]  我相信這段是一個大家都很熟悉的聖經
[00:01:53.000 --> 00:01:59.800]  甚至有很多人特別喜歡這節聖經作為他人生的一種金句
[00:01:59.800 --> 00:02:04.400]  有很多人說主耶穌基督是用了葡萄樹和枝子
[00:02:04.400 --> 00:02:07.400]  做了一個愛的比喻
[00:02:07.400 --> 00:02:12.600]  這個愛的比喻反映了信徒和我們主之間那種
[00:02:12.600 --> 00:02:14.800]  極度親密的關係
[00:02:14.800 --> 00:02:18.000]  他是葡萄樹,我們是枝子
[00:02:18.000 --> 00:02:21.200]  我們在他裡面
[00:02:21.200 --> 00:02:25.000]  在主耶穌基督裡面是何等的溫馨
[00:02:25.000 --> 00:02:26.400]  何等的滿足
[00:02:26.400 --> 00:02:29.600]  何等的歡喜快樂
[00:02:29.600 --> 00:02:34.400]  聽起來其實都很棒
[00:02:34.400 --> 00:02:39.000]  不過這段聖經到底是不是這樣解釋的呢?
[00:02:39.000 --> 00:02:43.000]  還是這段聖經其實是包含著一些
[00:02:43.000 --> 00:02:46.800]  我們平時不多知道的真理?
[00:02:46.800 --> 00:02:51.000]  如果你好像剛才我這樣去明白這段聖經的話
[00:02:51.000 --> 00:02:55.400]  那你就真的看少了很多東西
[00:02:55.400 --> 00:02:59.000]  原來葡萄樹和葡萄園
[00:02:59.000 --> 00:03:00.500]  在舊約聖經裡面
[00:03:00.500 --> 00:03:05.400]  眾多先知書裡面都是不斷重複的
[00:03:05.400 --> 00:03:09.700]  葡萄樹、葡萄園是在講以色列
[00:03:09.700 --> 00:03:12.500]  是在比喻舊約裡面的以色列
[00:03:12.500 --> 00:03:15.600]  甚至我可以說是一種預言
[00:03:15.600 --> 00:03:19.500]  葡萄樹、葡萄園在耶利米書第二章出現過
[00:03:19.500 --> 00:03:24.000]  在以西結書十五、十七、十九章出現過
[00:03:24.000 --> 00:03:27.700]  在以塞亞書第五章出現過
[00:03:27.700 --> 00:03:30.100]  在河西亞書第十章出現過
[00:03:30.100 --> 00:03:32.600]  在詩篇第八十篇裡面
[00:03:32.600 --> 00:03:36.900]  也都是講到葡萄樹、葡萄園
[00:03:36.900 --> 00:03:38.100]  我不知道你有沒有聽過
[00:03:38.100 --> 00:03:39.300]  其實就算是詩篇
[00:03:39.300 --> 00:03:41.000]  都不是在講敬拜的
[00:03:41.000 --> 00:03:44.100]  詩篇是一個預言
[00:03:44.100 --> 00:03:45.600]  一個天國的預言
