
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹們平安
[00:00:03.000 --> 00:00:07.000]  今天我要講的這一篇道
[00:00:07.000 --> 00:00:13.000]  是在《真言》的第一章裡
[00:00:13.000 --> 00:00:20.000]  《真言》大概我們都認識
[00:00:20.000 --> 00:00:26.000]  但我們讀起來有時候也有一些困難
[00:00:28.000 --> 00:00:33.000]  因為裡面的話語需要我們深入去理解
[00:00:33.000 --> 00:00:43.000]  今天我就試著從第一章第一到九節來幫助大家
[00:00:43.000 --> 00:00:50.000]  我們開始之前先有一點禱告
[00:00:55.000 --> 00:00:58.000]  神我們早上來到祢的面前
[00:00:58.000 --> 00:01:03.000]  我們一同來敬拜祢
[00:01:03.000 --> 00:01:07.000]  但我們都知道我們最好的敬拜生活
[00:01:07.000 --> 00:01:13.000]  就是我們能夠實行祢的話語
[00:01:13.000 --> 00:01:19.000]  因為祢要我們這幫屬於祢的人
[00:01:22.000 --> 00:01:25.000]  能夠敬畏祢
[00:01:25.000 --> 00:01:29.000]  能夠照著祢所賜我們的話語來生活
[00:01:29.000 --> 00:01:36.000]  所以早上我們在這裡祈求祢
[00:01:36.000 --> 00:01:41.000]  祢既然把《真言》的書擺在聖經之中
[00:01:41.000 --> 00:01:47.000]  藉著《真言》所賜的智慧的話
[00:01:51.000 --> 00:01:54.000]  可以教我們能夠懂得如何來生活
[00:01:54.000 --> 00:02:00.000]  來討祢的喜悅
[00:02:00.000 --> 00:02:03.000]  來活著祢這位活神的見證
[00:02:03.000 --> 00:02:09.000]  我們早上把我們的時間都交在祢的手中
[00:02:09.000 --> 00:02:15.000]  願祢恩戴我們
[00:02:15.000 --> 00:02:18.000]  奉主耶穌基督的名禱告
[00:02:22.000 --> 00:02:25.000]  大家早上我在這裡
[00:02:25.000 --> 00:02:35.000]  是我的還是祢的
[00:02:35.000 --> 00:02:44.000]  在我們今天這個世界裡面
[00:02:44.000 --> 00:02:49.000]  我們有許多資訊的東西
[00:02:52.000 --> 00:02:55.000]  雖然有這麼多的資訊給我們
[00:02:55.000 --> 00:03:01.000]  但並不等於教我們更明白
[00:03:01.000 --> 00:03:07.000]  因為在我們所接觸到的資訊裡面
[00:03:07.000 --> 00:03:12.000]  都是有不同的看法
[00:03:12.000 --> 00:03:16.000]  都有不同的見解
[00:03:16.000 --> 00:03:20.000]  而每一個人都覺得自己的是對的
[00:03:22.000 --> 00:03:25.000]  是好的
[00:03:25.000 --> 00:03:28.000]  可以幫助到人的
[00:03:28.000 --> 00:03:31.000]  當然也免不了有一些是為了吸引人去看祂的
[00:03:31.000 --> 00:03:39.000]  叫祂可以得到利益
[00:03:39.000 --> 00:03:44.000]  所以在這樣的不斷的
[00:03:44.000 --> 00:03:47.000]  有這麼多不同的資訊的一個世界裡面
[00:03:50.000 --> 00:03:53.000]  有知識的人
[00:03:53.000 --> 00:03:56.000]  有知識的人
[00:03:56.000 --> 00:03:59.000]  他就懂得選擇
[00:03:59.000 --> 00:04:02.000]  但缺乏知識的人
[00:04:02.000 --> 00:04:05.000]  他就很容易被模糊掉
[00:04:05.000 --> 00:04:11.000]  就算是在今天
[00:04:11.000 --> 00:04:14.000]  我們對基督教的很多看法
[00:04:17.000 --> 00:04:20.000]  其中也有很多不同的地方
[00:04:20.000 --> 00:04:24.000]  以至於信徒有時候也不知道應該跟隨什麼
[00:04:24.000 --> 00:04:32.000]  就算是在一個教會裡面
[00:04:32.000 --> 00:04:36.000]  有時候也會有弟兄姊妹們有不同的看法
[00:04:36.000 --> 00:04:42.000]  那我們到底應該怎麼樣去做出一些的選擇呢
[00:04:47.000 --> 00:04:50.000]  所以我們就需要來尋求這位神
[00:04:50.000 --> 00:04:55.000]  我們來聽祂的聲音
[00:04:55.000 --> 00:04:59.000]  神的話語才是一個權威的話語
[00:04:59.000 --> 00:05:04.000]  祂的智慧就能夠引導我們做出正確的選擇
[00:05:04.000 --> 00:05:12.000]  主要的就是因為在這個罪惡充斥的一個世界裡面
[00:05:15.000 --> 00:05:18.000]  主要是在這個罪惡充斥的世界裡面
[00:05:18.000 --> 00:05:25.000]  讓我們不落在撒旦錯誤的引導當中
[00:05:25.000 --> 00:05:30.000]  所以《真言》這本書
[00:05:30.000 --> 00:05:33.000]  它裡面給我們的教導
[00:05:33.000 --> 00:05:39.000]  正是為了我們這一幫世人
[00:05:39.000 --> 00:05:42.000]  來提供了一個智慧的指引
[00:05:46.000 --> 00:05:49.000]  就是神給我們人的指引
[00:05:49.000 --> 00:05:56.000]  而且有正確的教訓
