
[00:00:00.000 --> 00:00:04.000]  傳福音外送又得
[00:00:04.000 --> 00:00:09.000]  第一點是耶穌差遣我們就出去
[00:00:09.000 --> 00:00:14.000]  耶穌做主導 耶穌叫我們 我們就出去
[00:00:14.000 --> 00:00:19.000]  經文說主另外指派了七十二個人
[00:00:19.000 --> 00:00:24.000]  在這句說話 和合本翻譯就是七十
[00:00:24.000 --> 00:00:27.000]  七十二 七十 差兩個人
[00:00:27.000 --> 00:00:33.000]  有聖經學者說最好就是成為這無名的七十人當中的一員
[00:00:33.000 --> 00:00:36.000]  他們做主的工作 享受其中的快樂
[00:00:36.000 --> 00:00:40.000]  他們的名字只有神知道
[00:00:40.000 --> 00:00:44.000]  我們經常說不見一人只見耶穌
[00:00:44.000 --> 00:00:48.000]  所以他們的名字只有神知道
[00:00:48.000 --> 00:00:53.000]  所以七十二 七十都不要緊 只差兩個 神知道就可以
[00:00:53.000 --> 00:00:57.000]  另外一本書叫做獻給無名的傳道者
[00:00:57.000 --> 00:00:59.000]  是邊雲波弟兄所作的
[00:00:59.000 --> 00:01:05.000]  其中的罪裏面有一段罪是很吸引到我的心
[00:01:05.000 --> 00:01:07.000]  去和大家分享
[00:01:07.000 --> 00:01:10.000]  真正的傳道人他們不求名利
[00:01:10.000 --> 00:01:13.000]  只專注神的託付
[00:01:13.000 --> 00:01:18.000]  一心一意始終如一的傳揚神恩惠的福音
[00:01:18.000 --> 00:01:20.000]  拯救失散的靈魂
[00:01:20.000 --> 00:01:23.000]  他們的積分是從神所領受的
[00:01:23.000 --> 00:01:32.000]  所以只知道對神忠心 對人的褒貶 讚揚或嘲笑是毫不在意
[00:01:32.000 --> 00:01:35.000]  我們每一個都是向神交象
[00:01:35.000 --> 00:01:41.000]  我們所做的 我們只要知道神喜悅我們就去做
[00:01:41.000 --> 00:01:47.000]  耶穌吩咐他們當時就是兩個兩個的去為耶穌去預備地方
[00:01:47.000 --> 00:01:50.000]  讓我想起就好像施洗約翰一樣
[00:01:50.000 --> 00:01:54.000]  他去預備主的道 修植主的路
[00:01:54.000 --> 00:02:00.000]  其實耶穌吩咐我們所做的事就是這麼簡單
[00:02:00.000 --> 00:02:05.000]  傳福音就是將人帶到神的耶穌基督的面前
[00:02:05.000 --> 00:02:08.000]  我們不需要想很多很多的事
[00:02:08.000 --> 00:02:10.000]  我們最重要的就是帶到祂來
[00:02:10.000 --> 00:02:16.000]  帶到祂耶穌面前 耶穌讓神親自去動工
[00:02:16.000 --> 00:02:19.000]  然後耶穌告訴我們 父怎樣差遣我們
[00:02:19.000 --> 00:02:24.000]  我們就怎樣照樣的 耶穌就照樣的差遣我們
[00:02:24.000 --> 00:02:28.000]  我們就是奉耶穌的差遣去傳福音
[00:02:28.000 --> 00:02:32.000]  當耶穌說他來到這個世上是傳福音給貧窮人的時候
[00:02:32.000 --> 00:02:40.000]  我們貧窮人就在我們紀念 我們去的傳福音那個對象當中
[00:02:40.000 --> 00:02:46.000]  明明說神愛世人 沒錯 神其實沒有偏袋人
[00:02:46.000 --> 00:02:53.000]  只不過是一些願意承認自己在心靈或者肉體上貧窮的人
[00:02:53.000 --> 00:02:57.000]  他們能夠更加願意去親近耶穌
[00:02:57.000 --> 00:02:59.000]  他們更加願意去接受耶穌
[00:02:59.000 --> 00:03:04.000]  那些覺得我沒事 我可以接受 一樣東西我都可以接受的人
[00:03:04.000 --> 00:03:12.000]  自然而然 耶穌在他生命裡面覺得沒有這樣的需要 不需要耶穌我自己搞得定
[00:03:12.000 --> 00:03:18.000]  所以貧窮人不單止是肉身的貧窮 而且包括心靈貧窮
[00:03:18.000 --> 00:03:23.000]  耶穌本身自己都生於貧窮 他明白和關懷貧乏的人
[00:03:23.000 --> 00:03:30.000]  他也都教導我們 幫我們去服侍這些有需要的人就等同於服侍他
[00:03:30.000 --> 00:03:37.000]  在希伯來書十三章十六節裡面這麼說 祂說只是不要忘記行善和捐書的事
[00:03:37.000 --> 00:03:40.000]  因為這樣的祭是神所喜悅的
[00:03:40.000 --> 00:03:50.000]  行善和捐書代表著出力又出錢 是兩樣都這麼重要
[00:03:50.000 --> 00:03:56.000]  我見到教會很多的弟兄姊妹很有心 他們出力又出錢
[00:03:56.000 --> 00:04:02.000]  我們實在不可以一邊說神愛世人 祂賜你豐盛的盼望
[00:04:02.000 --> 00:04:09.000]  但一邊卻是對一些看得到的 又接觸得到的人的需要
[00:04:09.000 --> 00:04:14.000]  我們卻是無動於衷 過當看不到
[00:04:14.000 --> 00:04:19.000]  所以我們教會關懷侍公 我們關懷侍公的興起
[00:04:19.000 --> 00:04:23.000]  我們去關懷 我們會派發一些福袋 派發一些物資
[00:04:23.000 --> 00:04:26.000]  去給一些有需要的群體
[00:04:26.000 --> 00:04:31.000]  但我們不想將我們的角色留於一個社福機構一樣
