
[00:00:00.000 --> 00:00:01.520]  各位大英姐妹早晨
[00:00:01.520 --> 00:00:02.480]  早晨
[00:00:02.480 --> 00:00:03.720]  新年快樂
[00:00:03.720 --> 00:00:04.720]  新年快樂
[00:00:04.720 --> 00:00:05.400]  真的很特別
[00:00:05.400 --> 00:00:08.080]  1月1日我們一大早就在這裡
[00:00:08.080 --> 00:00:10.080]  一起來去敬拜我們的神
[00:00:10.080 --> 00:00:11.920]  也很感恩的
[00:00:11.920 --> 00:00:14.760]  今天跟大家分享的題目是「一」
[00:00:14.760 --> 00:00:22.480]  不知道大家2022年過程怎樣呢?
[00:00:22.480 --> 00:00:27.680]  2022年對你來說是一個怎樣的一年呢?
[00:00:27.680 --> 00:00:31.360]  可能有些人會很開心
[00:00:31.360 --> 00:00:33.640]  有些人可能會有些低沉
[00:00:33.640 --> 00:00:37.280]  或者經歷一些低谷的時間
[00:00:37.280 --> 00:00:39.200]  但是無論如何聖經裡面都告訴我們
[00:00:39.200 --> 00:00:41.920]  若有人在基督裡面
[00:00:41.920 --> 00:00:43.400]  我們都是新做的人
[00:00:43.400 --> 00:00:45.920]  舊事已過一切都變成新的
[00:00:45.920 --> 00:00:47.880]  所以今天我特別選了一些經文
[00:00:47.880 --> 00:00:52.040]  希望在1月1日跟弟兄姐妹
[00:00:52.040 --> 00:00:55.480]  一起重新一次在耶穌基督裡面
[00:00:55.480 --> 00:00:58.160]  在「0」裡面重新出發
[00:00:58.160 --> 00:01:00.320]  面對我們新的一年
[00:01:00.320 --> 00:01:01.680]  新的一年
[00:01:01.680 --> 00:01:03.000]  我們求上帝幫助我們
[00:01:03.000 --> 00:01:06.680]  我們一起祈禱
[00:01:06.680 --> 00:01:08.080]  天父今天求你
[00:01:08.080 --> 00:01:11.240]  親自藉著你自己的說話
[00:01:11.240 --> 00:01:13.520]  打動我們的心
[00:01:13.520 --> 00:01:17.880]  叫我們在新一年的開始裡面
[00:01:17.880 --> 00:01:19.000]  在我們人生當中
[00:01:19.000 --> 00:01:21.000]  無論我們人生在哪一個階段
