
[00:00:00.000 --> 00:00:01.940]  弟兄姊妹早平安
[00:00:01.940 --> 00:00:02.960]  平安
[00:00:02.960 --> 00:00:06.440]  上個主日我們就說在這段時間裡面
[00:00:06.440 --> 00:00:11.600]  所有的節日都是發生在主日星期天
[00:00:11.600 --> 00:00:17.600]  聖誕節、新年還有接下來農曆新年
[00:00:17.600 --> 00:00:24.700]  1月22號第四個主日就是我們的農曆新年
[00:00:24.700 --> 00:00:27.900]  所以真是名副其實的慶典
[00:00:27.900 --> 00:00:30.600]  主日是主的日子
[00:00:30.600 --> 00:00:35.040]  像這樣子的機會其實是不太尋常的
[00:00:35.040 --> 00:00:39.960]  但是我們確實也很感恩
[00:00:39.960 --> 00:00:41.100]  非常的感恩
[00:00:41.100 --> 00:00:46.040]  上個主日2023年的1月1號
[00:00:46.040 --> 00:00:47.760]  我們一起過新年
[00:00:47.760 --> 00:00:50.360]  雖然我們沒有什麼慶典的活動
[00:00:50.360 --> 00:00:53.800]  但是在主日就很開心
[00:00:53.800 --> 00:00:59.140]  而且今天其實已經是第二個禮拜了
[00:00:59.140 --> 00:01:02.200]  可是感覺上我們好像還在過新年一樣的
[00:01:02.200 --> 00:01:05.260]  而且上個禮拜天下午
[00:01:05.260 --> 00:01:08.400]  陳同他們一家就照著他們的家庭傳統
[00:01:08.400 --> 00:01:11.140]  就到Green Lake帶著孩子們去運動
[00:01:11.140 --> 00:01:14.200]  而且下午的時候
[00:01:14.200 --> 00:01:19.460]  愚眉還照了兩張孩子們的照片
[00:01:19.460 --> 00:01:24.100]  真的是非常的喜樂 真的是很歡喜快樂
[00:01:24.100 --> 00:01:28.140]  而且下禮拜二
[00:01:28.140 --> 00:01:30.060]  就是剛才燕子已經講了
[00:01:30.060 --> 00:01:32.860]  陳瑜要從中國回來回家了
[00:01:32.860 --> 00:01:38.300]  還有等一會兒聚完會之後
[00:01:38.300 --> 00:01:42.540]  朱棣兄跟康姐妹兩個人就要在這裡辦婚禮
[00:01:42.540 --> 00:01:45.140]  所以你看這個2023年
[00:01:45.140 --> 00:01:50.060]  所以實在是非常充滿了新的氣象
[00:01:50.060 --> 00:01:53.060]  在我們《新忘愛》裡面充滿了新氣象
[00:01:53.060 --> 00:01:54.900]  而且有新的恩高
[00:01:54.900 --> 00:01:56.640]  感謝讚美組
[00:01:56.640 --> 00:01:59.900]  最近我很喜歡在Procast上面
[00:01:59.900 --> 00:02:04.040]  聽一些Procast的節目
[00:02:04.040 --> 00:02:07.200]  聽到的主題幾乎都是圍繞著
[00:02:07.200 --> 00:02:09.300]  過去三年的疫情
[00:02:09.300 --> 00:02:13.540]  給人跟這個時代所帶來的變化
[00:02:13.540 --> 00:02:16.360]  好像這個疫情一開始的時候
[00:02:16.360 --> 00:02:19.240]  大家都慌了 大家都慌成一團
[00:02:19.240 --> 00:02:20.700]  一直到去年
[00:02:20.700 --> 00:02:24.600]  到去年大家才好像稍微回神過來
[00:02:24.600 --> 00:02:27.440]  才開始檢討 開始思想
[00:02:27.440 --> 00:02:30.540]  我們應該要怎麼樣的重新出發
[00:02:30.540 --> 00:02:34.800]  我們教會也是一樣
[00:02:34.800 --> 00:02:37.800]  真的是大家知道這疫情的三年裡面
[00:02:37.800 --> 00:02:40.440]  我們失去了三個小組長
[00:02:40.440 --> 00:02:43.660]  憑心而論他們都是因為另有高就
[00:02:43.660 --> 00:02:47.000]  他們去追求更好的機會
[00:02:47.000 --> 00:02:48.740]  雖然我們也很遺憾
[00:02:48.740 --> 00:02:50.540]  但是除了祝福他們之外
[00:02:50.540 --> 00:02:52.700]  我們也沒什麼說的
[00:02:52.700 --> 00:02:54.240]  更慘的是什麼
[00:02:54.240 --> 00:02:55.860]  到了去年的下半年
[00:02:55.860 --> 00:02:59.300]  我們慧中中根是一個一個就走了
[00:02:59.300 --> 00:03:03.000]  整個發展都叫我們有一種束手無策的感覺
[00:03:03.000 --> 00:03:06.140]  甚至連續好長一段時間
[00:03:06.140 --> 00:03:07.900]  在教會的禱告會裡面
[00:03:07.900 --> 00:03:10.660]  只有牧師 燕子跟我三個人
[00:03:10.660 --> 00:03:13.000]  雖然我們都挺起精神來
[00:03:13.000 --> 00:03:15.100]  在神面前禱告呼求
[00:03:15.100 --> 00:03:18.640]  可是神好像也無動於衷的樣子
[00:03:18.640 --> 00:03:22.560]  更糟糕的是還有人在走
[00:03:22.560 --> 00:03:24.900]  所以我們真的要感謝
[00:03:24.900 --> 00:03:27.460]  所有留下來的弟兄姊妹
[00:03:27.460 --> 00:03:28.760]  是愛神
[00:03:28.760 --> 00:03:31.600]  是堅持愛神 愛教會
[00:03:31.600 --> 00:03:33.440]  愛牧師 愛師母的
[00:03:33.440 --> 00:03:35.000]  所以願上帝祝福你們
[00:03:35.000 --> 00:03:37.200]  哈雷嚕耶
[00:03:37.200 --> 00:03:40.100]  剛才我說我在聽 podcast 的節目中
