
[00:00:00.000 --> 00:00:06.000]  今天是一個很特別的日子,今天是舊年和新年的交接。
[00:00:06.000 --> 00:00:14.000]  今天我又剛好可以講一個很特別的訊息,就是舊約與新約交接的訊息。
[00:00:14.000 --> 00:00:19.000]  其實平時很少有機會這樣講一邊道的。
[00:00:19.000 --> 00:00:23.000]  原因是因為我們通常講舊約就是舊約,新約就是新約。
[00:00:23.000 --> 00:00:29.000]  但是因為上個禮拜我講了上集,這個禮拜繼續講下集。
[00:00:29.000 --> 00:00:35.000]  上個禮拜講舊約,這個禮拜講新約,基本上是一個倒影的故事。
[00:00:35.000 --> 00:00:41.000]  所以我們有一個很特別的機會可以這樣去明白《本聖經》。
[00:00:41.000 --> 00:00:49.000]  今天這一邊道我相信可能是今年,因為今天是最後一天,其中一個最重要的一邊道。
[00:00:49.000 --> 00:00:54.000]  但是也可能是今年裡面最難聽得明白的一邊道。
[00:00:54.000 --> 00:00:59.000]  真的鼓勵大家可以打醒十二分精神,希望你可以聽得明白。
[00:00:59.000 --> 00:01:05.000]  如果你聽得明白的話,對於你讀《經》,是我們叫做事半功倍。
[00:01:05.000 --> 00:01:12.000]  但是如果你聽不明白或者你聽錯了,其實就不是事倍功半那麼簡單。
[00:01:12.000 --> 00:01:19.000]  如果你是聽不明白、聽錯了,你很有可能是越讀《聖經》,越跟《福音》走得遠。
[00:01:19.000 --> 00:01:27.000]  這是一個很可怕的事情,所以今天我盡我最大的努力去講得清楚。
[00:01:27.000 --> 00:01:38.000]  我也希望大家可以聽得明白,大家一起用心,用講到和聽到去敬拜我們的上帝。
[00:01:38.000 --> 00:01:42.000]  歡迎大家來到我們的周六神拜。
[00:01:42.000 --> 00:01:47.000]  如果上個禮拜你有在這裡,你會知道在聖誕前夕,
[00:01:47.000 --> 00:01:51.000]  我跟大家講了一個皇者榮耀的上集。
[00:01:51.000 --> 00:01:57.000]  是聖經裡面其中一個最wonderful的故事。
[00:01:57.000 --> 00:02:05.000]  是耶穌基督降生前一千年,祂的老祖宗大衛廷波利亞的故事。
[00:02:05.000 --> 00:02:14.000]  那個故事的信息不是好像很多人以為那樣,說重重難關、信靠德性。
[00:02:14.000 --> 00:02:18.000]  這個是很多人以為的一個題目。
[00:02:18.000 --> 00:02:28.000]  一個真正的題目不是重重難關、信靠德性,而是榮耀君王信靠德性。
