
[00:00:00.000 --> 00:00:01.720]  大姊姊妹早上好
[00:00:01.720 --> 00:00:02.680]  早上好
[00:00:02.680 --> 00:00:04.600]  每個人都很開心
[00:00:04.600 --> 00:00:07.800]  今天我們一起去玲瓏聖祭書館
[00:00:07.800 --> 00:00:09.560]  我們先一起看一堂普告
[00:00:09.560 --> 00:00:14.400]  親愛的天父
[00:00:14.400 --> 00:00:17.720]  感謝你用愛吸引我們來跟從你
[00:00:17.720 --> 00:00:19.560]  求你藉著今天的經文
[00:00:19.560 --> 00:00:21.360]  感動我們的心
[00:00:21.360 --> 00:00:25.080]  讓我們走出你的話語所教導我們的事
[00:00:25.080 --> 00:00:28.760]  我們這樣禱告是奉GSO基督的名字祈求
[00:00:28.760 --> 00:00:31.160]  阿們
[00:00:31.160 --> 00:00:31.960]  今天母親節
[00:00:31.960 --> 00:00:35.960]  不知道大家家裡有沒有慶祝母親節的習慣呢
[00:00:35.960 --> 00:00:40.240]  可能有些家裡就會習慣母親節那天出去吃個大餐
[00:00:40.240 --> 00:00:43.800]  有些家裡可能就會選擇送花
[00:00:43.800 --> 00:00:49.720]  有些家裡可能就是會幫媽媽做她那天要做的所有家務
[00:00:49.720 --> 00:00:51.440]  有些家裡可能就怎樣呢
[00:00:51.440 --> 00:00:55.160]  就說其實尊敬媽媽的
[00:00:55.160 --> 00:00:56.360]  天天都是母親節的
[00:00:56.360 --> 00:00:57.880]  不用特別慶祝
[00:00:57.880 --> 00:01:00.120]  可能那些特別懶惰的
[00:01:00.120 --> 00:01:05.360]  不知道你家裡有沒有慶祝母親節的習慣呢
[00:01:05.360 --> 00:01:07.760]  講到母親節可能大家都知道
[00:01:07.760 --> 00:01:11.040]  其實這個節日是由一個美國的女士
[00:01:11.040 --> 00:01:13.920]  安娜·賈維斯去創立
[00:01:13.920 --> 00:01:15.800]  在賈維斯的想法裡面
[00:01:15.800 --> 00:01:20.400]  這個日子就是想推動每一個子女去讚揚
[00:01:20.400 --> 00:01:22.880]  去欣賞自己的媽媽的付出
[00:01:22.880 --> 00:01:24.840]  媽媽的犧牲
[00:01:24.840 --> 00:01:27.080]  在這個女士大力推動之下
[00:01:27.080 --> 00:01:31.200]  美國越來越多的州份城市去慶祝母親節
[00:01:31.200 --> 00:01:35.680]  直到後來美國的總統在1914年的時候
[00:01:35.680 --> 00:01:39.280]  將5月的第二個星期日定為母親節
[00:01:39.280 --> 00:01:42.680]  美國慶祝也有更多的地方
[00:01:42.680 --> 00:01:46.040]  其他的國家開始慶祝這個節日
[00:01:46.040 --> 00:01:49.400]  當然一個這麼充滿溫情的節日
[00:01:49.400 --> 00:01:52.360]  不知道你猜不猜到會發生什麼事呢
[00:01:52.360 --> 00:01:54.200]  一個這麼充滿溫情的節日
[00:01:54.200 --> 00:01:57.040]  很快就被商家看中
[00:01:57.040 --> 00:02:00.200]  變成一個商機處處的節日
[00:02:00.200 --> 00:02:04.520]  譬如花店、糖果商日、卡片日、刷箱
[00:02:04.520 --> 00:02:06.280]  很快就藉著這個節日
[00:02:06.280 --> 00:02:09.160]  賺到倍滿倍滿
[00:02:09.160 --> 00:02:11.200]  去創立這個母親節的賈維斯
[00:02:11.200 --> 00:02:14.280]  為了這個節日變得這麼商業化
[00:02:14.280 --> 00:02:15.960]  覺得很不滿
[00:02:15.960 --> 00:02:18.200]  他很想改革這個節日
[00:02:18.200 --> 00:02:20.840]  他花了很多的時間、很多的金錢
[00:02:20.840 --> 00:02:24.880]  去努力將這個節日帶回去創立的園園
[00:02:24.880 --> 00:02:28.320]  但我想他的努力未必很成功
[00:02:28.320 --> 00:02:29.320]  因為去到今天
[00:02:29.320 --> 00:02:31.320]  我們每一個人仍然是覺得
[00:02:31.320 --> 00:02:35.440]  母親節是願意大手消費的節日
[00:02:35.440 --> 00:02:36.600]  其實為什麼這個賈維斯
[00:02:36.600 --> 00:02:41.280]  要為了母親節變得商業化這麼不開心呢
[00:02:41.280 --> 00:02:43.840]  其實都是買下禮物、吃下飯
[00:02:43.840 --> 00:02:45.320]  買的人有樂意
[00:02:45.320 --> 00:02:46.680]  買的人有樂意
[00:02:46.680 --> 00:02:49.280]  何樂而不為呢
[00:02:49.280 --> 00:02:53.000]  當然我想賈維斯的想法裏面有很多原因
[00:02:53.000 --> 00:02:55.280]  不過其中一個原因我相信
[00:02:55.280 --> 00:02:57.600]  是因為本身這個節日
[00:02:57.600 --> 00:03:00.680]  這個節日母親節創立的原意
[00:03:00.680 --> 00:03:03.360]  就是想每年有一天去提醒子女
[00:03:03.360 --> 00:03:06.200]  去珍惜的、去紀念
[00:03:06.200 --> 00:03:09.800]  去欣賞自己媽媽的付出
[00:03:09.800 --> 00:03:11.280]  所以這個原意之下
[00:03:11.280 --> 00:03:14.000]  母親節是想子女和母親
[00:03:14.000 --> 00:03:17.120]  可以用心感受到他們兩者之間
[00:03:17.120 --> 00:03:19.680]  是有今天講題所講的那種
[00:03:19.680 --> 00:03:22.480]  有溫度的連結
[00:03:22.480 --> 00:03:24.320]  當節日變得商業化之後
[00:03:24.320 --> 00:03:27.880]  這份連結容易失去溫度
[00:03:27.880 --> 00:03:30.720]  因為人與人之間的感情、溫度
[00:03:30.720 --> 00:03:35.040]  永遠不是一份在商場買的禮物能夠取代
[00:03:35.040 --> 00:03:37.840]  尤其母親和子女之間的連結
[00:03:37.840 --> 00:03:39.560]  是人世間之中
[00:03:39.560 --> 00:03:41.800]  都是一份獨特的關係
[00:03:41.800 --> 00:03:45.760]  是特別的深刻、特別的溫暖
[00:03:45.760 --> 00:03:47.560]  正正是因為這份關係
[00:03:47.560 --> 00:03:49.480]  這麼深刻、這麼溫暖
[00:03:49.480 --> 00:03:50.560]  所以今天的經文
[00:03:50.560 --> 00:03:53.440]  保羅就是使用這個母親的比喻
[00:03:53.440 --> 00:03:55.080]  去表達他自己
[00:03:55.080 --> 00:03:59.000]  對帖薩羅里加教會那種深刻的愛
[00:03:59.000 --> 00:04:02.560]  保羅說他自己心存溫柔
[00:04:02.560 --> 00:04:07.160]  如同母親抱怨自己的孩子
[00:04:07.160 --> 00:04:08.040]  在母親節的今天
[00:04:08.040 --> 00:04:11.000]  讓我們一起去墨想這一段經文
[00:04:11.000 --> 00:04:12.240]  讓我們一起留意經文
[00:04:12.240 --> 00:04:15.240]  在描述母親什麼樣的特性
[00:04:15.240 --> 00:04:16.680]  更加重要的
[00:04:16.680 --> 00:04:18.840]  是讓我們思考這些特性
[00:04:18.840 --> 00:04:20.160]  為我們的靈命
[00:04:20.160 --> 00:04:24.160]  帶來什麼的提醒和學習
[00:04:24.160 --> 00:04:26.840]  在經文保羅說
[00:04:26.840 --> 00:04:31.160]  自己如同母親抱怨自己的孩子
[00:04:31.160 --> 00:04:31.720]  這個比喻
[00:04:31.720 --> 00:04:34.320]  一個特別值得我們留意的地方
[00:04:34.320 --> 00:04:37.360]  是這句說話裡面的動詞
[00:04:37.360 --> 00:04:40.160]  如果這句說話你按原文去直譯的話
[00:04:40.160 --> 00:04:41.600]  你會翻譯成
[00:04:41.600 --> 00:04:48.160]  如同一個羽毛或者一個奶媽去照顧她自己的孩子
[00:04:48.160 --> 00:04:48.880]  所以你會發現
[00:04:48.880 --> 00:04:53.400]  中文聖經其實沒有直接譯出「照顧」這個字
[00:04:53.400 --> 00:04:54.600]  在六七字這裡
[00:04:54.600 --> 00:04:56.880]  這個沒有譯出「照顧」這個字
[00:04:56.880 --> 00:04:59.560]  其實值得我們特別留意
[00:04:59.560 --> 00:05:03.480]  因為在希臘文之中它很有意思
[00:05:03.480 --> 00:05:05.360]  在希臘文之中這個「照顧」
[00:05:05.360 --> 00:05:07.800]  它基本的意思就是說
[00:05:07.800 --> 00:05:11.040]  去提供溫暖
[00:05:11.040 --> 00:05:14.120]  溫暖我相信正正就是最能夠代表
[00:05:14.120 --> 00:05:19.920]  一位母親和子女之間的那份感情
[00:05:19.920 --> 00:05:22.760]  今天我們說的有溫度的連結
[00:05:22.760 --> 00:05:25.720]  就是在說這種溫暖
[00:05:25.720 --> 00:05:29.160]  一位母親提供給子女的溫暖是怎樣的呢
[00:05:29.160 --> 00:05:31.400]  不知道你的經驗是怎樣的呢
[00:05:31.400 --> 00:05:33.960]  當然我想每一位母親都有她的性情
[00:05:33.960 --> 00:05:35.600]  有她的風格
[00:05:35.600 --> 00:05:37.960]  不過我想不少母親
[00:05:37.960 --> 00:05:39.560]  特別是香港的母親
[00:05:39.560 --> 00:05:42.960]  都可能有一些共通表達的方式
