
[00:00:00.000 --> 00:00:04.000]  第5集
[00:00:04.000 --> 00:00:06.000]  各位弟兄姊妹平安
[00:00:06.000 --> 00:00:08.000]  今天神要向你講說話
[00:00:08.000 --> 00:00:10.000]  有一次我去到超市
[00:00:10.000 --> 00:00:12.000]  碰到一位會友
[00:00:12.000 --> 00:00:14.000]  很特別的會友就說
[00:00:14.000 --> 00:00:16.000]  我老婆叫我來買牛肉
[00:00:16.000 --> 00:00:20.000]  我又說我老婆叫我來買豬肉
[00:00:20.000 --> 00:00:23.000]  原來很多時候都是老婆吩咐我們
[00:00:23.000 --> 00:00:26.000]  我們做老公的就馬上去做
[00:00:26.000 --> 00:00:29.000]  有很多時候我聽見學生說
[00:00:29.000 --> 00:00:32.000]  老師吩咐我要帶什麼回學校
[00:00:32.000 --> 00:00:35.000]  老師又吩咐要買哪一本作業簿
[00:00:35.000 --> 00:00:38.000]  他就很緊張因為是老師吩咐
[00:00:38.000 --> 00:00:41.000]  還有老闆有時候又吩咐我們
[00:00:41.000 --> 00:00:44.000]  老闆叫我們去做好項目
[00:00:44.000 --> 00:00:48.000]  老闆叫我們什麼時候就要交卷給他
[00:00:48.000 --> 00:00:51.000]  所以很多時候我們是聽老婆的話
[00:00:51.000 --> 00:00:53.000]  聽老師的話
[00:00:53.000 --> 00:00:54.000]  聽老闆的話
[00:00:54.000 --> 00:00:56.000]  但是今天我要告訴你
[00:00:56.000 --> 00:00:58.000]  我們更加需要聽的是
[00:00:58.000 --> 00:01:01.000]  耶穌的話
[00:01:01.000 --> 00:01:04.000]  耶穌在約翰福音那裡跟我們說
[00:01:04.000 --> 00:01:07.000]  他說如果你奉我的名
[00:01:07.000 --> 00:01:10.000]  向父求什麼
[00:01:10.000 --> 00:01:13.000]  我就必定會成就
[00:01:13.000 --> 00:01:15.000]  所以各位你會覺得
[00:01:15.000 --> 00:01:17.000]  為什麼我們每次祈禱到最後的時候
[00:01:17.000 --> 00:01:21.000]  我們都要講奉耶穌基督的名求呢
[00:01:21.000 --> 00:01:24.000]  如果我不講這句行不行呢
[00:01:24.000 --> 00:01:27.000]  講這句有什麼意思呢
[00:01:27.000 --> 00:01:30.000]  原來聖經裡面告訴我們
[00:01:30.000 --> 00:01:33.000]  我們如果奉耶穌的名祈禱
[00:01:33.000 --> 00:01:36.000]  是帶著能力
[00:01:36.000 --> 00:01:38.000]  有聖靈的保證
[00:01:38.000 --> 00:01:40.000]  有神語我們同在
[00:01:40.000 --> 00:01:43.000]  有聖經的應許
[00:01:43.000 --> 00:01:45.000]  我們可以抓住
[00:01:45.000 --> 00:01:47.000]  所以奉耶穌的名祈禱
[00:01:47.000 --> 00:01:50.000]  是很重要的一件事
[00:01:50.000 --> 00:01:53.000]  我覺得起碼有六個原因
[00:01:53.000 --> 00:01:56.000]  為什麼我們要奉耶穌的名祈禱
[00:01:56.000 --> 00:02:00.000]  第一 耶穌是我們的大祭司
