
[00:00:00.000 --> 00:00:02.000]  第一次問你怕不怕痛?
[00:00:02.000 --> 00:00:06.000]  每個人都有頭痛,每個人都怕痛
[00:00:06.000 --> 00:00:08.000]  我試過很痛
[00:00:08.000 --> 00:00:11.000]  十幾歲的時候,曾經在街上吃錯東西
[00:00:11.000 --> 00:00:13.000]  患上急性腸胃炎
[00:00:13.000 --> 00:00:16.000]  痛得不得了
[00:00:16.000 --> 00:00:20.000]  但是那一次是年初一
[00:00:20.000 --> 00:00:22.000]  農曆的年初一
[00:00:22.000 --> 00:00:28.000]  我們那個時候就沒有那麼多私家醫院outpatient
[00:00:28.000 --> 00:00:30.000]  所有私家醫生都關門了
[00:00:30.000 --> 00:00:32.000]  因為年初一嘛
[00:00:32.000 --> 00:00:36.000]  大家都可以想像唯一的那個地方
[00:00:36.000 --> 00:00:38.000]  就是公立醫院的急症室
[00:00:38.000 --> 00:00:41.000]  但是問題是農曆年的年初一
[00:00:41.000 --> 00:00:45.000]  當全世界都湧到公立醫院的急症室的時候
[00:00:45.000 --> 00:00:47.000]  就要等很久了
[00:00:47.000 --> 00:00:49.000]  我那時候只等了三個小時
[00:00:49.000 --> 00:00:52.000]  就拿著肚子痛了三個小時
[00:00:52.000 --> 00:00:56.000]  陪我的媽媽事後就跟我說
[00:00:56.000 --> 00:00:58.000]  你知不知道,你那三個小時
[00:00:58.000 --> 00:01:02.000]  你痛得臉都青了,口唇都白了
[00:01:02.000 --> 00:01:06.000]  一直痛就拿著,那些冷汗就在流
[00:01:06.000 --> 00:01:09.000]  這種是肉身的痛楚
[00:01:09.000 --> 00:01:11.000]  不只是肉身的痛楚
[00:01:11.000 --> 00:01:13.000]  我們有心靈的痛楚
[00:01:13.000 --> 00:01:15.000]  有一個妹妹六歲大的時候
[00:01:15.000 --> 00:01:17.000]  她媽媽有婚外情
[00:01:17.000 --> 00:01:20.000]  拋棄了她和她爸爸
[00:01:20.000 --> 00:01:23.000]  後來她爸爸逐取
[00:01:23.000 --> 00:01:26.000]  她的繼母對她非常之不好
[00:01:26.000 --> 00:01:27.000]  經常打罵
[00:01:27.000 --> 00:01:30.000]  所以唯一關心她的就是她爸爸
[00:01:30.000 --> 00:01:34.000]  但是這個妹妹十歲大那一年
[00:01:34.000 --> 00:01:37.000]  她竟然發現她爸爸是一個人棍子
[00:01:37.000 --> 00:01:39.000]  長期吸食可嘉因
[00:01:39.000 --> 00:01:41.000]  所以她非常之震撼
[00:01:41.000 --> 00:01:43.000]  就在那個時候她離家出走
[00:01:43.000 --> 00:01:45.000]  不斷地跟自己說
