
[00:00:00.000 --> 00:00:03.240]  既然是馬可福音寫馬可福音的
[00:00:03.240 --> 00:00:04.960]  當然是馬可福音
[00:00:04.960 --> 00:00:07.960]  是早期教會領袖一致供應的
[00:00:07.960 --> 00:00:11.400]  就是馬可寫的這篇福音書卷
[00:00:11.400 --> 00:00:15.760]  馬可這個信徒
[00:00:15.760 --> 00:00:17.720]  是非常特別的地方
[00:00:17.720 --> 00:00:19.800]  剛才大家所讀的經文當中
[00:00:19.800 --> 00:00:23.040]  都知道馬可原來都在參與了
[00:00:23.040 --> 00:00:27.480]  跟保羅去第一次宣教行程的旅程當中
[00:00:27.480 --> 00:00:28.920]  他都有份參與
[00:00:28.920 --> 00:00:32.040]  他就跟保羅巴拿巴
[00:00:32.040 --> 00:00:33.160]  那時候是掃羅
[00:00:33.160 --> 00:00:35.240]  是巴拿巴大隊
[00:00:35.240 --> 00:00:40.920]  巴拿巴大隊就去到塞浦路斯宣教的旅程
[00:00:40.920 --> 00:00:46.000]  但是之前在十二章剛剛發生了一件事
[00:00:46.000 --> 00:00:48.160]  在他出發之前
[00:00:48.160 --> 00:00:54.920]  彼得就給大希律的孫子
[00:00:54.920 --> 00:01:00.320]  大希律王的孫子就被捉了
[00:01:00.320 --> 00:01:01.240]  又是叫希律倫
[00:01:01.240 --> 00:01:08.080]  阿基帕一世
[00:01:08.080 --> 00:01:09.560]  捉了之後
[00:01:09.560 --> 00:01:14.040]  希律王就在那裡自誇自己
[00:01:14.040 --> 00:01:16.440]  穿著一件紙袍坐在那個位置上
[00:01:16.440 --> 00:01:18.600]  自誇說多麼成功
[00:01:18.600 --> 00:01:21.640]  結果神就扎伏他
[00:01:21.640 --> 00:01:25.200]  就被蟲咬死
[00:01:25.200 --> 00:01:28.400]  彼得就趁機會離開
[00:01:28.400 --> 00:01:30.200]  離開這個走甩甩
[00:01:30.200 --> 00:01:34.760]  知道原來主復活的主
[00:01:34.760 --> 00:01:38.240]  真是帶領他 差遣他的使者
[00:01:38.240 --> 00:01:42.440]  在他從希律和這些猶太人
[00:01:42.440 --> 00:01:44.920]  敵對主耶穌基督的猶太人
[00:01:44.920 --> 00:01:47.360]  他們的手中救了出來
[00:01:47.360 --> 00:01:49.400]  原來主的參與 神的參與
[00:01:49.400 --> 00:01:52.440]  在其中拯救了彼得
[00:01:52.440 --> 00:01:55.040]  所以帶給他有個盼望的心
[00:01:55.040 --> 00:01:57.040]  他想得清楚一下
[00:01:57.040 --> 00:01:59.000]  那我現在去哪呢
[00:01:59.000 --> 00:02:00.600]  下一步去哪呢
[00:02:00.600 --> 00:02:01.640]  就讓他想起
[00:02:01.640 --> 00:02:06.000]  原來他要去馬可的母親的家
[00:02:06.000 --> 00:02:08.040]  當時馬可是十幾歲
[00:02:08.040 --> 00:02:12.200]  我相信那個都是去馬可的自己的家
[00:02:12.200 --> 00:02:14.640]  如果大家留意馬可福音
[00:02:14.640 --> 00:02:16.280]  或者福音書卷的時候
[00:02:16.280 --> 00:02:17.680]  在最後晚餐的時候
[00:02:17.680 --> 00:02:19.040]  他們去的那個地方
[00:02:19.040 --> 00:02:22.520]  很多解經家都很可能
[00:02:22.520 --> 00:02:24.880]  那個地方就是馬尼亞
[00:02:24.880 --> 00:02:26.960]  馬可媽媽的家裏面
[00:02:26.960 --> 00:02:28.800]  進行聚合晚餐
[00:02:28.800 --> 00:02:30.640]  同一個馬可樓房
[00:02:30.640 --> 00:02:31.680]  這個Upper Room
[00:02:31.680 --> 00:02:35.160]  都很可能是在五巡節
[00:02:35.160 --> 00:02:36.320]  他們聚在一起
[00:02:36.320 --> 00:02:39.360]  在那個地方等待聖靈降臨的地方
[00:02:39.360 --> 00:02:43.880]  所以我相信彼得想起的地方
[00:02:43.880 --> 00:02:45.760]  不是一個很偶然的事情
[00:02:45.760 --> 00:02:48.080]  是主耶穌 是聖靈告訴他
[00:02:48.080 --> 00:02:49.640]  你去那裏吧
[00:02:49.640 --> 00:02:51.640]  因為那裏原來有一班姐妹
[00:02:51.640 --> 00:02:54.120]  有一班家庭的媒眾在當中
[00:02:54.120 --> 00:02:56.960]  他為神的侍宮在那裏祈禱
[00:02:56.960 --> 00:02:58.040]  我們看到原來
[00:02:58.040 --> 00:03:01.080]  就算他在獄中被捕的時候
[00:03:01.080 --> 00:03:03.160]  他在全神的話語的時候
[00:03:03.160 --> 00:03:06.560]  因為全神的話語被希律皇捉了
[00:03:06.560 --> 00:03:09.600]  被這班猶太的領袖逼迫的時候
[00:03:09.600 --> 00:03:13.040]  原來背後都有一班主內的弟兄姐妹
[00:03:13.040 --> 00:03:14.360]  為他圖谷
[00:03:14.360 --> 00:03:18.480]  去到這個馬可的母親家之後
[00:03:18.480 --> 00:03:21.560]  他就 神就 保羅就開始帶隊
[00:03:21.560 --> 00:03:24.480]  就說帶隊剛才大家所讀的經文當中
[00:03:24.480 --> 00:03:26.440]  神的道就越見興亡
[00:03:26.440 --> 00:03:29.120]  就他們繼續穿著聖靈的帶領
[00:03:29.120 --> 00:03:31.160]  就說你們去差遣他們
[00:03:31.160 --> 00:03:33.520]  去做宣教的旅程
[00:03:33.520 --> 00:03:36.640]  去到開始宣教的時候
[00:03:36.640 --> 00:03:39.760]  他就去到安提柯教會那時候是
[00:03:39.760 --> 00:03:42.920]  一個主要的地方就是耶路撒冷
[00:03:42.920 --> 00:03:45.400]  上到北面敘利亞的地方
[00:03:45.400 --> 00:03:47.400]  就有這個安提柯教會
[00:03:47.400 --> 00:03:50.200]  是一個有很多的外邦人的教會
[00:03:50.200 --> 00:03:51.640]  就在那裡差遣他們
[00:03:51.640 --> 00:03:52.880]  去出發去到海邊
[00:03:52.880 --> 00:03:54.440]  接著搭船去到塞浦路斯
[00:03:54.440 --> 00:03:55.880]  如果大家留意地圖的話
[00:03:55.880 --> 00:04:01.480]  塞浦路斯就是在現在的土耳其的海灣那裡
[00:04:01.480 --> 00:04:02.200]  基本上
[00:04:02.200 --> 00:04:04.120]  那個位置就去宣教
[00:04:04.120 --> 00:04:05.040]  去到宣教的時候
[00:04:05.040 --> 00:04:12.880]  他起初就是巴勒巴去帶領的
[00:04:12.880 --> 00:04:15.800]  接著就期間就保羅
[00:04:15.800 --> 00:04:17.080]  素來就站出來
[00:04:17.080 --> 00:04:18.840]  他做了當中的領袖
[00:04:18.840 --> 00:04:21.280]  他們離開去到第二站的時候
[00:04:21.280 --> 00:04:22.840]  去到島的另一邊
[00:04:22.840 --> 00:04:26.320]  他就搭船上土耳其內陸的地方去繼續宣教
[00:04:26.320 --> 00:04:27.680]  誰知道
[00:04:27.680 --> 00:04:29.520]  大家可能很熟悉這個經文
[00:04:29.520 --> 00:04:31.200]  十三章的經文
[00:04:31.200 --> 00:04:32.040]  馬可
[00:04:32.040 --> 00:04:34.280]  這個約翰就指約翰·馬可
[00:04:34.280 --> 00:04:36.760]  他就離開了
[00:04:36.760 --> 00:04:42.640]  這件事是他生命的一個污點
[00:04:42.640 --> 00:04:44.440]  其實我們主內的弟兄姊妹
[00:04:44.440 --> 00:04:47.120]  在侍奉成長的旅程當中
[00:04:47.120 --> 00:04:51.360]  我們都有失敗跌倒的時候
[00:04:51.360 --> 00:04:53.280]  但是這個馬可這個門徒
[00:04:53.280 --> 00:04:56.720]  怎樣能夠有一個翻身呢
[00:04:56.720 --> 00:05:03.960]  就是為什麼可以由一個被人見到是一個失敗者
[00:05:03.960 --> 00:05:06.640]  為什麼在這裡半途走出來
[00:05:06.640 --> 00:05:08.640]  這個事情
[00:05:08.640 --> 00:05:11.640]  他生命怎樣能夠被轉變起來
[00:05:11.640 --> 00:05:14.520]  成為一個成熟的基督徒
[00:05:14.520 --> 00:05:17.880]  是不是我們人生中的一個污點
[00:05:17.880 --> 00:05:22.360]  就離定了我們的生命
[00:05:22.360 --> 00:05:25.640]  我們怎樣去翻身去跟隨主
[00:05:25.640 --> 00:05:27.840]  所以我們今天會看一個主題
[00:05:27.840 --> 00:05:30.360]  我們做基督徒走熟齡的旅程上面
[00:05:30.360 --> 00:05:32.440]  怎樣去面對過失
[00:05:32.440 --> 00:05:36.720]  之後怎樣去做一個忠心愛主的
[00:05:36.720 --> 00:05:38.840]  願意為身服侍的基督徒
[00:05:38.840 --> 00:05:41.680]  我們一起從聖經的話語當中去學習
[00:05:41.680 --> 00:05:43.680]  怎樣去面對這個問題
[00:05:43.680 --> 00:05:45.680]  我們低頭祈禱
[00:05:45.680 --> 00:05:48.680]  我們的天父上帝我們多謝你
[00:05:48.680 --> 00:05:52.880]  多謝你派派你的主耶穌基督來到我們當中
[00:05:52.880 --> 00:05:54.680]  成為我們的榜樣
[00:05:54.680 --> 00:05:57.240]  我們藉著歷代的使徒
[00:05:57.240 --> 00:06:01.080]  我們從祂生命上一代一代地學習祂們
[00:06:01.080 --> 00:06:02.840]  求你藉著聖經的話語
[00:06:02.840 --> 00:06:05.640]  使我們能夠明白你的心意
[00:06:05.640 --> 00:06:08.080]  明白我們怎樣去跟隨主你
[00:06:08.080 --> 00:06:09.880]  求你捆綁撒旦的作為
[00:06:09.880 --> 00:06:14.280]  好使我們能夠聽得清楚你給我們的訊息
[00:06:14.280 --> 00:06:15.840]  求聖靈繼續幫助我們
[00:06:15.840 --> 00:06:17.680]  帶領我們以下的時間
[00:06:17.680 --> 00:06:21.080]  以上的禱告是奉主耶穌得勝的名字
[00:06:38.080 --> 00:06:41.080]  以前的前總統奧巴馬都講過
[00:06:41.080 --> 00:06:45.080]  這些失敗的機會成為你的教導
[00:06:45.080 --> 00:06:49.080]  但是聖經有很直接的教導告訴我們怎樣去面對
[00:06:49.080 --> 00:06:52.080]  我們首先看第一點就是
[00:06:52.080 --> 00:06:56.080]  當保羅出去第二次宣教的時候
[00:06:56.080 --> 00:06:58.080]  保羅就出隊了
[00:06:58.080 --> 00:07:01.080]  巴拿巴就一起去
[00:07:01.080 --> 00:07:03.080]  跟馬可一起去
[00:07:03.080 --> 00:07:07.080]  保羅就不決定不帶他去
[00:07:07.080 --> 00:07:10.080]  聖經在十三章的時候
[00:07:10.080 --> 00:07:15.080]  一開始說馬可離開團隊的時候
[00:07:15.080 --> 00:07:17.080]  路加寫司徒行轉
[00:07:17.080 --> 00:07:19.080]  路加是很小心的人
[00:07:19.080 --> 00:07:24.080]  路加是清楚知道當時發生過什麼事
[00:07:24.080 --> 00:07:27.080]  但是在十三章那裡
[00:07:27.080 --> 00:07:32.080]  路德是沒有寫為什麼去離開
[00:07:32.080 --> 00:07:34.080]  那些解經家就開始想
[00:07:34.080 --> 00:07:37.080]  為什麼你不寫啊
[00:07:37.080 --> 00:07:38.080]  你明明一個希臘字
[00:07:38.080 --> 00:07:40.080]  一個字就可以表達到
[00:07:40.080 --> 00:07:43.080]  他怕 他想回家
[00:07:43.080 --> 00:07:47.080]  他擔心前面的路程很危險
[00:07:47.080 --> 00:07:50.080]  他只要一個字兩個字就可以寫出來
[00:07:50.080 --> 00:07:56.080]  但是路德是選擇不寫
[00:07:56.080 --> 00:07:58.080]  他到底是選擇不寫
[00:07:58.080 --> 00:08:00.080]  我在想為什麼路德會選擇不寫呢
[00:08:00.080 --> 00:08:03.080]  其實我可以跟大家分享一下
[00:08:03.080 --> 00:08:05.080]  去到第二次宣教的旅程的時候
[00:08:05.080 --> 00:08:08.080]  過了兩年了
[00:08:08.080 --> 00:08:09.080]  保羅再出發了
[00:08:09.080 --> 00:08:13.080]  那時候他建立了他的宣教隊領袖的地位
[00:08:13.080 --> 00:08:16.080]  他從掃羅的名字開始常用保羅的名字
[00:08:16.080 --> 00:08:18.080]  開始帶領團隊
[00:08:18.080 --> 00:08:20.080]  他就帶隊出發了
[00:08:20.080 --> 00:08:22.080]  他就說他以前離開
[00:08:22.080 --> 00:08:24.080]  都是沒有解釋的原因
[00:08:24.080 --> 00:08:28.080]  但是巴拿巴就說帶他去
[00:08:28.080 --> 00:08:34.080]  是不是保羅定了他的罪 說他不對
[00:08:34.080 --> 00:08:37.080]  是不是這個決定是錯的呢
[00:08:37.080 --> 00:08:39.080]  是不是判錯了呢
[00:08:39.080 --> 00:08:43.080]  是不是不選擇去做這個崗位的時候
[00:08:43.080 --> 00:08:47.080]  是不是保羅做錯了呢
[00:08:47.080 --> 00:08:49.080]  聖經沒有提到的話
[00:08:49.080 --> 00:08:52.080]  但是馬可去身邊
[00:08:52.080 --> 00:08:56.080]  聖經學者說是他表哥
[00:08:56.080 --> 00:09:00.080]  但是他一直這樣留意他
[00:09:00.080 --> 00:09:02.080]  去安慰鼓勵他
[00:09:02.080 --> 00:09:03.080]  其實主流的弟兄姊妹
[00:09:03.080 --> 00:09:04.080]  我們身邊的時候
[00:09:04.080 --> 00:09:07.080]  很多時候遇到很多的爭拗
[00:09:07.080 --> 00:09:08.080]  不明白為什麼
[00:09:08.080 --> 00:09:09.080]  有時候也是的
[00:09:09.080 --> 00:09:11.080]  做教會領袖
[00:09:11.080 --> 00:09:13.080]  哪個很多時候
[00:09:13.080 --> 00:09:14.080]  不是很多時候
[00:09:14.080 --> 00:09:15.080]  有時候會這樣
[00:09:15.080 --> 00:09:17.080]  哪個就算選長老
[00:09:17.080 --> 00:09:19.080]  為什麼我不是長老
[00:09:19.080 --> 00:09:21.080]  選這個崗位做這件事
[00:09:21.080 --> 00:09:23.080]  代表全個三部
[00:09:23.080 --> 00:09:25.080]  三個部 語言部
[00:09:25.080 --> 00:09:27.080]  去做一個崗位的時候
[00:09:27.080 --> 00:09:29.080]  為什麼選不到我
[00:09:29.080 --> 00:09:31.080]  或者某件事的事工上
[00:09:31.080 --> 00:09:33.080]  為什麼你這次不選我
