
[00:00:00.000 --> 00:00:04.000]  大家幾度理平安
[00:00:04.000 --> 00:00:09.000]  我們先低頭禱告
[00:00:09.000 --> 00:00:14.000]  天父上帝 我們向你獻上感恩
[00:00:14.000 --> 00:00:20.000]  因為你對我們的慈愛何等誠厚高深
[00:00:20.000 --> 00:00:24.000]  我們每一個認識你的人
[00:00:24.000 --> 00:00:29.000]  都是因為你先憐憫我們 先愛我們
[00:00:29.000 --> 00:00:34.000]  你簡選我們 呼召我們
[00:00:34.000 --> 00:00:39.000]  因為你給我們機會聽到你的福音
[00:00:39.000 --> 00:00:46.000]  因為你的靈光照我們 讓我們聽懂福音
[00:00:46.000 --> 00:00:54.000]  你使我們的心降服在你面前來接受你的福音
[00:00:54.000 --> 00:01:01.000]  所以我們今天早晨在這裡向你獻上我們的感恩
[00:01:01.000 --> 00:01:06.000]  因為你對我們的愛是永不改變的
[00:01:06.000 --> 00:01:09.000]  我們認識你之後
[00:01:09.000 --> 00:01:12.000]  我們的生命有了盼望
[00:01:12.000 --> 00:01:20.000]  但是在我們現實的人生當中仍然有諸多的苦難
[00:01:20.000 --> 00:01:24.000]  苦難就是人生的奧秘
[00:01:24.000 --> 00:01:31.000]  許多的人都不知道人生為什麼有這麼多的苦難
[00:01:31.000 --> 00:01:38.000]  所以求助今天提醒我們的耳朵
[00:01:38.000 --> 00:01:43.000]  讓我們來思想受苦的意義
[00:01:43.000 --> 00:01:46.000]  我們不但要思想我們所受的苦
[00:01:46.000 --> 00:01:49.000]  我們更要思想耶穌基督所受的苦
[00:01:49.000 --> 00:01:54.000]  讓我們能夠找到基督的受苦跟我們受苦之間的連接點
[00:01:54.000 --> 00:01:58.000]  讓我們能夠找到基督的受苦跟我們受苦之間的連接點
[00:01:58.000 --> 00:02:03.000]  讓我們也看到基督的受苦跟我們受苦之間的不同點
[00:02:03.000 --> 00:02:07.000]  也都看到基督的受苦跟我們受苦之間的不同的地方
[00:02:07.000 --> 00:02:10.000]  讓我們思想基督的受苦之後
[00:02:10.000 --> 00:02:12.000]  使我們的信心更加堅固
[00:02:12.000 --> 00:02:14.000]  讓我們思想基督的受苦之後
[00:02:14.000 --> 00:02:21.000]  使我們的信心更加堅固
[00:02:21.000 --> 00:02:29.000]  好讓我們在苦難中能夠堅定的跟隨信靠基督
[00:02:29.000 --> 00:02:32.000]  以下的時間求主帶領
[00:02:32.000 --> 00:02:40.000]  讓我們講的聽的翻譯的都被聖靈引導
[00:02:40.000 --> 00:02:44.000]  願主隨聽我們的禱告奉告耶穌基督聖名求
[00:02:44.000 --> 00:02:47.000]  願主隨聽我們的禱告奉主耶穌基督得聖名求
[00:02:47.000 --> 00:02:49.000]  阿們
[00:02:49.000 --> 00:02:53.000]  我們一直在學習彼得前書
[00:02:53.000 --> 00:02:55.000]  我們一直在學習彼得前書
[00:02:55.000 --> 00:02:59.000]  我們知道彼得前書被稱為盼望之書
[00:02:59.000 --> 00:03:02.000]  我們知道彼得前書被稱為盼望之書
[00:03:02.000 --> 00:03:06.000]  那在什麼樣的情況下我們需要盼望呢
[00:03:06.000 --> 00:03:09.000]  在什麼樣的情況下我們需要盼望呢
[00:03:09.000 --> 00:03:11.000]  就是在苦難中
[00:03:11.000 --> 00:03:12.000]  在苦難當中
[00:03:12.000 --> 00:03:13.000]  在逼迫當中
[00:03:13.000 --> 00:03:14.000]  在逼迫當中
[00:03:14.000 --> 00:03:15.000]  在患難的裏面
[00:03:15.000 --> 00:03:16.000]  在患難的裏面
[00:03:16.000 --> 00:03:17.000]  在逆境當中
[00:03:17.000 --> 00:03:18.000]  在逆境當中
[00:03:18.000 --> 00:03:21.000]  這個時候是我們最需要盼望的
[00:03:21.000 --> 00:03:23.000]  這個時候我們最需要盼望
[00:03:23.000 --> 00:03:27.000]  因為當時的教會他們經受各種的試煉
[00:03:27.000 --> 00:03:28.000]  各種的苦難
[00:03:28.000 --> 00:03:32.000]  因為當時的教會是經歷著諸多的試煉和苦難
[00:03:32.000 --> 00:03:37.000]  所以彼得寫這封書信給他們帶來盼望
[00:03:37.000 --> 00:03:40.000]  所以彼得寫這封書信給他們帶來盼望
[00:03:40.000 --> 00:03:41.000]  既然如此
[00:03:41.000 --> 00:03:45.000]  受苦的話題就貫穿在彼得前書裏面
