
[00:00:00.000 --> 00:00:19.000]  祭園園園園園園園園園
[00:00:19.000 --> 00:00:21.000]  提宋準備平安
[00:00:21.000 --> 00:00:25.000]  希望大家新的一年度夢恩
[00:00:25.000 --> 00:00:27.000]  有上帝的同在
[00:00:27.000 --> 00:00:29.000]  剛才我們唸了一段聖經
[00:00:29.000 --> 00:00:34.000]  大家肯定猜到今天我們所研究的人物是什麼
[00:00:34.000 --> 00:00:37.000]  不過可能很多的朋友提宋準備
[00:00:37.000 --> 00:00:40.000]  也看著剛才我唸下去的什麼東西
[00:00:40.000 --> 00:00:41.000]  不知道在講什麼
[00:00:41.000 --> 00:00:44.000]  一大堆奇奇怪怪的
[00:00:44.000 --> 00:00:47.000]  其中肯定有一個名字你記得
[00:00:47.000 --> 00:00:48.000]  丹尼裡
[00:00:48.000 --> 00:00:51.000]  今天我們的丹尼裡就是我們的主角
[00:00:51.000 --> 00:00:55.000]  那麼丹尼裡的生平是如何的
[00:00:55.000 --> 00:00:58.000]  那麼很多人如果你是基督教徒的話
[00:00:58.000 --> 00:01:00.000]  當然你就記得丹尼裡這個人
[00:01:00.000 --> 00:01:03.000]  因為在聖經當中有很長的一章
[00:01:03.000 --> 00:01:04.000]  一段的聖經
[00:01:04.000 --> 00:01:07.000]  有一轉的聖經是講到丹尼裡的
[00:01:07.000 --> 00:01:08.000]  那麼這個丹尼裡
[00:01:08.000 --> 00:01:10.000]  很多人的印象當中
[00:01:10.000 --> 00:01:12.000]  今天我希望可能
[00:01:12.000 --> 00:01:14.000]  如果你一直對丹尼裡有一種的概念
[00:01:14.000 --> 00:01:15.000]  一種的認識
[00:01:15.000 --> 00:01:17.000]  一種既得的話
[00:01:17.000 --> 00:01:20.000]  我希望今天給你一點不同的角度去看看
[00:01:20.000 --> 00:01:21.000]  好嗎
[00:01:21.000 --> 00:01:22.000]  那第一個
[00:01:22.000 --> 00:01:23.000]  可能很多人的心目中
[00:01:23.000 --> 00:01:25.000]  丹尼裡書好難看
[00:01:25.000 --> 00:01:28.000]  因為當中很多預言
[00:01:28.000 --> 00:01:29.000]  意象
[00:01:29.000 --> 00:01:30.000]  夢這些
[00:01:30.000 --> 00:01:32.000]  真是一夕看下去
[00:01:32.000 --> 00:01:33.000]  真沒得不懂的
[00:01:33.000 --> 00:01:34.000]  所以呢
[00:01:34.000 --> 00:01:37.000]  翻聖經翻到丹尼裡書都跳過去了
[00:01:37.000 --> 00:01:38.000]  事實上大家
[00:01:38.000 --> 00:01:41.000]  如果你慢慢的看丹尼裡書十二章
[00:01:41.000 --> 00:01:42.000]  不短的聖經裡面
[00:01:42.000 --> 00:01:44.000]  剛剛一半
[00:01:44.000 --> 00:01:46.000]  剛才大家所印象當中
[00:01:46.000 --> 00:01:49.000]  是後半都是第七章到十二章
[00:01:49.000 --> 00:01:51.000]  後半都講了很多的預言
[00:01:51.000 --> 00:01:53.000]  那個真的不容易解釋
[00:01:53.000 --> 00:01:54.000]  今天不是我們的重點
[00:01:54.000 --> 00:01:57.000]  但是大家千萬不要忘記
[00:01:57.000 --> 00:01:59.000]  前面的一半
[00:01:59.000 --> 00:02:02.000]  第一章到第六章是記載
[00:02:02.000 --> 00:02:04.000]  丹尼裡的人生的
[00:02:04.000 --> 00:02:06.000]  所以這個人生不難理解
[00:02:06.000 --> 00:02:07.000]  我們一起
[00:02:07.000 --> 00:02:09.000]  因為我們的人生都很有經驗
[00:02:09.000 --> 00:02:11.000]  我們今天就用我們的人生對照
[00:02:11.000 --> 00:02:12.000]  丹尼裡的人生
[00:02:12.000 --> 00:02:15.000]  來看看那個丹尼裡的人生
[00:02:15.000 --> 00:02:16.000]  他的信仰
[00:02:16.000 --> 00:02:19.000]  跟我們有什麼企疊的地方
[00:02:19.000 --> 00:02:20.000]  好嗎
[00:02:20.000 --> 00:02:21.000]  好
[00:02:21.000 --> 00:02:24.000]  我們今天要討論的還是比較多
[00:02:24.000 --> 00:02:27.000]  所以我們把握我們的時間
[00:02:27.000 --> 00:02:28.000]  今天早上我們把
[00:02:28.000 --> 00:02:31.000]  丹尼裡的人生裡面幾個很重要的
[00:02:31.000 --> 00:02:32.000]  記得我們樓宇的地方
[00:02:32.000 --> 00:02:33.000]  一起來想一下
[00:02:33.000 --> 00:02:35.000]  如果你手頭有聖經的話
[00:02:35.000 --> 00:02:37.000]  我也鼓勵你打開
[00:02:37.000 --> 00:02:41.000]  舊月聖經裡面的丹尼裡書
[00:02:41.000 --> 00:02:44.000]  就是在先知書那個部分
[00:02:44.000 --> 00:02:45.000]  如果你找到以下亞書
[00:02:45.000 --> 00:02:47.000]  耶利米書以後
[00:02:47.000 --> 00:02:51.000]  就差不多找到丹尼裡書的了
[00:02:51.000 --> 00:02:52.000]  知道嗎
[00:02:52.000 --> 00:02:55.000]  以及那幾個比較長的聖經
[00:02:55.000 --> 00:02:57.000]  跟著有以思解書
[00:02:57.000 --> 00:02:59.000]  然後就丹尼裡書了
[00:02:59.000 --> 00:03:00.000]  沒關係
[00:03:00.000 --> 00:03:01.000]  如果找不到的話
[00:03:01.000 --> 00:03:04.000]  等一下有關的比較重要的聖經經文
[00:03:04.000 --> 00:03:08.000]  我們就把它打在我們的螢幕上
[00:03:08.000 --> 00:03:09.000]  好
[00:03:09.000 --> 00:03:11.000]  我們一起來思想丹尼裡
[00:03:11.000 --> 00:03:14.000]  我想跟大家談幾個
[00:03:14.000 --> 00:03:18.000]  我覺得值得大家理解的地方
[00:03:18.000 --> 00:03:22.000]  丹尼裡是個很成功的人
[00:03:22.000 --> 00:03:23.000]  我們今天說
[00:03:23.000 --> 00:03:27.000]  他是臨命跟事業都相應的人
[00:03:27.000 --> 00:03:29.000]  那麼首先我們說
[00:03:29.000 --> 00:03:30.000]  真的嗎
[00:03:30.000 --> 00:03:32.000]  他真的很成功嗎
[00:03:32.000 --> 00:03:33.000]  對的
[00:03:33.000 --> 00:03:35.000]  我們基本上很簡單來說
[00:03:35.000 --> 00:03:37.000]  我們一看他的人生
[00:03:37.000 --> 00:03:38.000]  我們可以說
[00:03:38.000 --> 00:03:41.000]  他令我們最羨慕的
[00:03:41.000 --> 00:03:44.000]  是最佩服的地方
[00:03:44.000 --> 00:03:45.000]  他當官
[00:03:45.000 --> 00:03:46.000]  不但是當官
[00:03:46.000 --> 00:03:49.000]  他當了三朝元老
[00:03:49.000 --> 00:03:52.000]  我們說在巴比倫的兩個王
[00:03:52.000 --> 00:03:53.000]  尼布賈尼撒
[00:03:53.000 --> 00:03:54.000]  跟著
[00:03:54.000 --> 00:03:56.000]  跟著剛才我們所念到那個
[00:03:56.000 --> 00:03:58.000]  巴薩薩
[00:03:58.000 --> 00:04:00.000]  薄薩薩兩個王
[00:04:00.000 --> 00:04:04.000]  都是在他的王朝底下
[00:04:04.000 --> 00:04:05.000]  當最高的官
[00:04:05.000 --> 00:04:07.000]  一人底下
[00:04:07.000 --> 00:04:08.000]  萬人以上
[00:04:08.000 --> 00:04:11.000]  這個就是我們所知道的情況
[00:04:11.000 --> 00:04:12.000]  還不止
[00:04:12.000 --> 00:04:14.000]  當巴比倫那個帝國
[00:04:14.000 --> 00:04:17.000]  給波斯帝國取代了以後
[00:04:17.000 --> 00:04:19.000]  波斯帝國第一個王帝
[00:04:19.000 --> 00:04:21.000]  還啟用丹尼裡
[00:04:21.000 --> 00:04:22.000]  那就不簡單
[00:04:22.000 --> 00:04:25.000]  前朝的那些官員
[00:04:25.000 --> 00:04:28.000]  通常因為根據那個朝代的改換的話
[00:04:28.000 --> 00:04:29.000]  就沒了
[00:04:29.000 --> 00:04:32.000]  不薩尼算是給你開恩了
[00:04:32.000 --> 00:04:34.000]  但是那個丹尼裡好厲害
[00:04:34.000 --> 00:04:36.000]  前朝的最高的官
[00:04:36.000 --> 00:04:39.000]  竟然在新的朝代裡面
[00:04:39.000 --> 00:04:41.000]  波斯帝國的大力物皇
[00:04:41.000 --> 00:04:42.000]  就是第一個王帝裡面
[00:04:42.000 --> 00:04:46.000]  還立意要他當治理全國的
[00:04:46.000 --> 00:04:48.000]  剛才我們念那個第六將裡面
[00:04:48.000 --> 00:04:49.000]  就看到了
[00:04:49.000 --> 00:04:50.000]  所以真的不簡單
[00:04:50.000 --> 00:04:52.000]  我們說三朝元老
[00:04:52.000 --> 00:04:54.000]  一人底下
[00:04:54.000 --> 00:04:57.000]  萬人之上高官
[00:04:57.000 --> 00:04:58.000]  那麼你說
[00:04:58.000 --> 00:05:04.000]  為什麼他有這樣的厲害的一種的成就呢
[00:05:04.000 --> 00:05:08.000]  那麼很多人的印象當中就是丹尼裡
[00:05:08.000 --> 00:05:09.000]  當然了
[00:05:09.000 --> 00:05:11.000]  丹尼裡能夠有超然的能力
[00:05:11.000 --> 00:05:12.000]  對不對
[00:05:12.000 --> 00:05:14.000]  他可以解夢
[00:05:14.000 --> 00:05:16.000]  可以想預言
[00:05:16.000 --> 00:05:19.000]  如果我有他的這種超能力的話
[00:05:19.000 --> 00:05:21.000]  大概我也可以跑得很高對不對
[00:05:21.000 --> 00:05:24.000]  我沒有
[00:05:24.000 --> 00:05:26.000]  這可是我沒有就沒辦法了
[00:05:26.000 --> 00:05:27.000]  不是的
[00:05:27.000 --> 00:05:28.000]  等一下我告訴你
[00:05:28.000 --> 00:05:30.000]  基本上我們發覺
[00:05:30.000 --> 00:05:32.000]  丹尼裡的成功之道
[00:05:32.000 --> 00:05:35.000]  不是單單是因為
[00:05:35.000 --> 00:05:38.000]  他有這樣的一種超能力的
[00:05:38.000 --> 00:05:39.000]  等一下我們再談
[00:05:39.000 --> 00:05:41.000]  不過首先我跟大家講一個
[00:05:41.000 --> 00:05:44.000]  很重要的事實
[00:05:44.000 --> 00:05:47.000]  丹尼裡的起點
[00:05:47.000 --> 00:05:50.000]  開始點給你跟我鬥敵
[00:05:50.000 --> 00:05:53.000]  我們當然也是慢慢爬上來
[00:05:53.000 --> 00:05:55.000]  我們的人生不容易
[00:05:55.000 --> 00:05:56.000]  對不對
[00:05:56.000 --> 00:05:58.000]  我想我們的年輕的時候
[00:05:58.000 --> 00:05:59.000]  孩子的時候
[00:05:59.000 --> 00:06:01.000]  那種的環境
[00:06:01.000 --> 00:06:03.000]  現在我們坐在這個地方
[00:06:03.000 --> 00:06:05.000]  現在我們有這個人生的成就
[00:06:05.000 --> 00:06:06.000]  很好
[00:06:06.000 --> 00:06:07.000]  但是我告訴你
[00:06:07.000 --> 00:06:09.000]  丹尼裡比我們所有人
[00:06:09.000 --> 00:06:12.000]  這裡所有人的起點都低
[00:06:12.000 --> 00:06:14.000]  因為丹尼裡本來是猶太人
[00:06:14.000 --> 00:06:15.000]  對吧
[00:06:15.000 --> 00:06:18.000]  丹尼裡是什麼原因去到巴比倫帝國的
[00:06:18.000 --> 00:06:20.000]  是因為他的亡國
[00:06:20.000 --> 00:06:21.000]  他的國家亡了
[00:06:21.000 --> 00:06:23.000]  他跟其他人一樣就是奴隸
[00:06:23.000 --> 00:06:25.000]  亡國之奴
[00:06:25.000 --> 00:06:27.000]  根本在人家那個國家當中
