
[00:00:00.000 --> 00:00:06.000]  等姐妹早晨,高興有機會再回來跟大家分享主的華語
[00:00:06.000 --> 00:00:10.000]  今天的題目是《撥亂反正的神》
[00:00:10.000 --> 00:00:15.000]  今天的題目呢,是講羅馬書這一章的
[00:00:15.000 --> 00:00:18.000]  會對你有一點點衝擊
[00:00:18.000 --> 00:00:23.000]  我今天講的道,如果你是有一段時間回教會了
[00:00:23.000 --> 00:00:27.000]  可能對我們,對內西
[00:00:27.000 --> 00:00:31.000]  對主耶穌再來之後,究竟會發生什麼事呢?
[00:00:31.000 --> 00:00:37.000]  可能會有一些大大的衝擊,我不知道
[00:00:37.000 --> 00:00:40.000]  希望大家一起去分享和思考神的華語
[00:00:40.000 --> 00:00:44.000]  因為有時候我們都習慣了一些說法
[00:00:44.000 --> 00:00:48.000]  但我們還是要做一些神樂的反思
[00:00:48.000 --> 00:00:54.000]  我們對聖經,我們要再去看清楚裡面所說的話是什麼
[00:00:54.000 --> 00:00:58.000]  2024年,相信大家剛剛開始之後
[00:00:58.000 --> 00:01:01.000]  就有很多事情準備了,或者計劃了
[00:01:01.000 --> 00:01:05.000]  我不知道你對2024年有什麼憧憬
[00:01:05.000 --> 00:01:11.000]  是充滿盼望,還是覺得2024年一開局
[00:01:11.000 --> 00:01:16.000]  又日本大地震,然後又多一些戰事,是不是?
[00:01:16.000 --> 00:01:21.000]  似乎沒有太多暫時,沒有太多好消息
[00:01:21.000 --> 00:01:25.000]  基督徒有一個很重要的生存技巧
[00:01:25.000 --> 00:01:27.000]  什麼生存技巧呢?
[00:01:27.000 --> 00:01:31.000]  就是堅忍盼望,是不是?
[00:01:31.000 --> 00:01:36.000]  我們經常說,基督徒遇到任何事情都不要緊
[00:01:36.000 --> 00:01:38.000]  最重要我們堅忍盼望
[00:01:38.000 --> 00:01:41.000]  盼望上帝,主耶穌在內
[00:01:41.000 --> 00:01:44.000]  上帝將所有事情幫我們去解決
[00:01:44.000 --> 00:01:49.000]  這個是我們很多時候在教會裡面強調
[00:01:49.000 --> 00:01:53.000]  我們需要有一份堅忍的心,有一份盼望
[00:01:53.000 --> 00:01:55.000]  很多時候我們問頂梓梅
[00:01:55.000 --> 00:01:58.000]  其實我們盼望什麼呢?
[00:01:58.000 --> 00:02:01.000]  我們盼望什麼呢?
[00:02:01.000 --> 00:02:04.000]  盼望我們的事情解決了,很快就解決了
[00:02:04.000 --> 00:02:07.000]  還是我們盼望希望耶穌快點來
[00:02:07.000 --> 00:02:12.000]  我們所有事情,一次過就可以全部解決了
[00:02:12.000 --> 00:02:15.000]  然後就好像剛才那首歌
[00:02:15.000 --> 00:02:17.000]  我們在空中與主相遇
[00:02:17.000 --> 00:02:20.000]  然後我們一起上天國,是不是?
[00:02:20.000 --> 00:02:26.000]  很多時候我們會有這種概念
[00:02:26.000 --> 00:02:28.000]  將來耶穌再來的時候
[00:02:28.000 --> 00:02:30.000]  這裡會有新天新地
[00:02:30.000 --> 00:02:35.000]  我們就會同一齊去上天家
[00:02:35.000 --> 00:02:41.000]  其實究竟我們這種概念和想法是否正確呢?
[00:02:41.000 --> 00:02:45.000]  今天就用羅馬書第八章跟大家分享
[00:02:45.000 --> 00:02:48.000]  我不知道大家是否熟悉羅馬書第八章
[00:02:48.000 --> 00:02:54.000]  有人說,如果整本聖經不能讓你帶走
[00:02:54.000 --> 00:02:57.000]  例如你要去一個荒島
[00:02:57.000 --> 00:03:01.000]  聖經裡面有三章書
[00:03:01.000 --> 00:03:04.000]  你一定會選擇的,你會選擇哪些三章書呢?
[00:03:04.000 --> 00:03:06.000]  有人說一定會選擇什麼?
[00:03:06.000 --> 00:03:11.000]  詩篇二十三篇,說得好,一定要有,對不對?
[00:03:11.000 --> 00:03:13.000]  接著可能就是耶穌的禱告
[00:03:13.000 --> 00:03:16.000]  約翰福音二十章
[00:03:16.000 --> 00:03:20.000]  第三篇一定要有的就是羅馬書第八章
[00:03:20.000 --> 00:03:25.000]  因為給我們一個很漂亮的期待和盼望
[00:03:25.000 --> 00:03:28.000]  將來的世界究竟是怎樣的?
[00:03:28.000 --> 00:03:31.000]  神預備的世界究竟是怎樣的?
[00:03:31.000 --> 00:03:33.000]  沒有了這個認知
[00:03:33.000 --> 00:03:35.000]  其實我們看新約聖經的時候
[00:03:35.000 --> 00:03:39.000]  甚至我們看保羅自己所寫的書信
[00:03:39.000 --> 00:03:42.000]  我們有很多東西其實都不能夠完全明白
[00:03:42.000 --> 00:03:46.000]  有人說保羅所寫的眾多書信當中
[00:03:46.000 --> 00:03:50.000]  羅馬書是他最出類拔萃的寫作
[00:03:50.000 --> 00:03:55.000]  而在羅馬書裡面最重要的一章書就是第八章
[00:03:55.000 --> 00:03:58.000]  如果我們不明白第八章的精要
[00:03:58.000 --> 00:04:02.000]  羅馬書前面一至七章和羅馬書九到十六章
[00:04:02.000 --> 00:04:05.000]  你是穿不上的
[00:04:05.000 --> 00:04:07.000]  所以第八章甚至沒有人說到
[00:04:07.000 --> 00:04:10.000]  是整部新約除了四福音之外
[00:04:10.000 --> 00:04:13.000]  最重要的一章書
[00:04:13.000 --> 00:04:16.000]  就是保羅在寫完加拿大書
[00:04:16.000 --> 00:04:18.000]  帖薩羅尼加前後書
[00:04:18.000 --> 00:04:20.000]  哥倫多前後書
[00:04:20.000 --> 00:04:22.000]  然後寫的一本書
[00:04:22.000 --> 00:04:27.000]  將他前面所想的一些神學思想一句精華
[00:04:27.000 --> 00:04:30.000]  我們基督徒很多時候關心什麼呢?
[00:04:30.000 --> 00:04:36.000]  就是關心我們自己的得救
[00:04:36.000 --> 00:04:38.000]  我們很關心我們個人的得救
[00:04:38.000 --> 00:04:42.000]  我們經常說一些比較技術性的語言
[00:04:42.000 --> 00:04:44.000]  就是得救什麼的清義
[00:04:44.000 --> 00:04:45.000]  有些什麼名字
[00:04:45.000 --> 00:04:47.000]  justify 英文說
[00:04:47.000 --> 00:04:49.000]  清義的意思就是
[00:04:49.000 --> 00:04:51.000]  當我們接受耶穌基督的一剎那之後
[00:04:51.000 --> 00:04:55.000]  主就說我們是被稱為異人
[00:04:55.000 --> 00:04:56.000]  justify 我們
[00:04:56.000 --> 00:05:01.000]  雖然你可能做很多得罪神的事
[00:05:01.000 --> 00:05:02.000]  普神希的事
[00:05:02.000 --> 00:05:03.000]  但是神說
[00:05:03.000 --> 00:05:06.000]  因為你相信了主耶穌是我的兒子
[00:05:06.000 --> 00:05:10.000]  為你的罪在十字架上受死
[00:05:10.000 --> 00:05:11.000]  那現在呢
[00:05:11.000 --> 00:05:12.000]  你就清義了
[00:05:12.000 --> 00:05:18.000]  我就當你是可以得到這個救恩
[00:05:18.000 --> 00:05:19.000]  所以我們就說
[00:05:19.000 --> 00:05:22.000]  用英文justify是很好的
[00:05:22.000 --> 00:05:25.000]  其實你還未真的是一個異人
[00:05:25.000 --> 00:05:28.000]  你還未立刻是一個無罪的人
[00:05:28.000 --> 00:05:31.000]  但是我現在當你是可以接受了
