
[00:00:00.000 --> 00:00:02.000]  頂智每早晨
[00:00:02.000 --> 00:00:08.000]  今個星期真是有好多經歷
[00:00:08.000 --> 00:00:13.000]  事緣上個禮拜 師母身體有些抱恙
[00:00:13.000 --> 00:00:20.000]  我還在笑她 最近她是比較容易感冒
[00:00:20.000 --> 00:00:23.000]  有些人說我是不是百毒不侵
[00:00:23.000 --> 00:00:27.000]  師母經常都病 你又沒事
[00:00:27.000 --> 00:00:31.000]  但是不可以任何東西誇口
[00:00:31.000 --> 00:00:34.000]  我發覺師母的病徵
[00:00:34.000 --> 00:00:38.000]  和我這個星期所發出來的病徵是一模一樣
[00:00:38.000 --> 00:00:39.000]  大家不用怕
[00:00:39.000 --> 00:00:42.000]  我已經吃完兩輪的藥物
[00:00:42.000 --> 00:00:46.000]  就已經是好的了
[00:00:46.000 --> 00:00:50.000]  我星期二要去子齡團的講道
[00:00:50.000 --> 00:00:54.000]  講完道 晚上竟然是沒有聲音
[00:00:54.000 --> 00:00:55.000]  所以我才很擔心
[00:00:55.000 --> 00:00:57.000]  叫師母和我一起要好好祈禱
[00:00:57.000 --> 00:01:00.000]  因為這個星期就輪到我講道
[00:01:00.000 --> 00:01:01.000]  我很感恩的
[00:01:01.000 --> 00:01:05.000]  星期三再去看第二輪醫生給的藥
[00:01:05.000 --> 00:01:08.000]  醫生特別開了一種叫做開聲藥
[00:01:08.000 --> 00:01:13.000]  所以就勉勉強強
[00:01:13.000 --> 00:01:16.000]  一路就已經漸弱佳境了
[00:01:16.000 --> 00:01:17.000]  感謝神下
[00:01:17.000 --> 00:01:20.000]  其實我們人生真的有好多東西
[00:01:20.000 --> 00:01:21.000]  不是我們預計
[00:01:21.000 --> 00:01:24.000]  也不是你籌算就可以有把握的
[00:01:24.000 --> 00:01:28.000]  我們一切都需要信靠信服交託給神
[00:01:28.000 --> 00:01:34.000]  原來我們總有生命裡各樣的忽然其來的挑戰
[00:01:34.000 --> 00:01:37.000]  甚至是一些我們沒有估計到的
[00:01:37.000 --> 00:01:40.000]  一些我們需要面對的困難
[00:01:40.000 --> 00:01:44.000]  但是總在這些情況底下
[00:01:44.000 --> 00:01:46.000]  你更加要經歷你的信仰的真實
[00:01:46.000 --> 00:01:48.000]  你就更加要相信
