
[00:00:00.000 --> 00:00:03.440]  剛才的師哥實在幫助我們思想
[00:00:03.440 --> 00:00:07.080]  在「愈撫其」裡我們究竟如何跟隨神
[00:00:07.080 --> 00:00:09.880]  如何先安定我們自己
[00:00:09.880 --> 00:00:10.880]  去尋求神
[00:00:10.880 --> 00:00:14.240]  亦都明白究竟是他當中對我們的心意
[00:00:14.240 --> 00:00:15.840]  我很喜歡剛才的歌詞
[00:00:15.840 --> 00:00:16.760]  特別是最後一首歌
[00:00:16.760 --> 00:00:19.400]  最後那裡說「用心的傾聽」
[00:00:19.400 --> 00:00:22.640]  是經過了我們在神面前去潔淨自己之後
[00:00:22.640 --> 00:00:23.720]  認罪悔改
[00:00:23.720 --> 00:00:25.040]  回到神的面前
[00:00:25.040 --> 00:00:28.000]  在「愈撫其」裡專注
[00:00:28.000 --> 00:00:29.760]  在自己的反省裡
[00:00:29.760 --> 00:00:32.040]  然後我們就會重拾我們的使命
[00:00:32.040 --> 00:00:34.680]  願與基督的心和應
[00:00:34.680 --> 00:00:37.760]  今天我們繼續在我們的廣告系列
[00:00:37.760 --> 00:00:39.480]  《蒙照與祝福》裡
[00:00:39.480 --> 00:00:44.800]  學習如何回應神在我們生命當中的使命
[00:00:44.800 --> 00:00:48.600]  我不知道大家當年初一月份
[00:00:48.600 --> 00:00:52.560]  看我們《蒙照與祝福》有五方面
[00:00:52.560 --> 00:00:55.280]  五個我聽到有些大兄姐妹說
[00:00:55.280 --> 00:00:59.360]  最喜歡和最容易不用學的就是聚餐
[00:00:59.360 --> 00:01:01.120]  因為「食」嘛
[00:01:01.120 --> 00:01:05.040]  我們中國人就有一個「食」的文化
[00:01:05.040 --> 00:01:07.600]  就是「民以食為天」
[00:01:07.600 --> 00:01:09.520]  所以我時時都見到
[00:01:09.520 --> 00:01:13.600]  大兄姐妹會互相邀請大家去她家吃飯
[00:01:13.600 --> 00:01:15.520]  又或者一起有什麼好介紹
[00:01:15.520 --> 00:01:17.520]  哪裡便宜又好吃
[00:01:17.520 --> 00:01:19.800]  各種美食都有
[00:01:19.800 --> 00:01:21.880]  所以我們很喜歡「食」
[00:01:21.880 --> 00:01:24.080]  亦都很喜歡一起「食」
[00:01:24.080 --> 00:01:27.040]  更加就是不同種類的「食」
[00:01:27.040 --> 00:01:28.760]  以前「食」在廣州
[00:01:28.760 --> 00:01:30.760]  現在我們「食」在多倫多
[00:01:30.760 --> 00:01:33.000]  那些廚師可能都來了多倫多
[00:01:33.000 --> 00:01:36.040]  多倫多實在有很多美食
[00:01:36.040 --> 00:01:40.160]  好,我想大家想一想
[00:01:40.160 --> 00:01:43.000]  聚餐和美食
[00:01:43.000 --> 00:01:45.240]  當我們想使命聚餐的時候
[00:01:45.240 --> 00:01:47.880]  我們先把焦點放在「聚餐」
[00:01:47.880 --> 00:01:50.000]  因為這個我們很熟悉
[00:01:50.000 --> 00:01:52.360]  「聚餐」就是我們平時
[00:01:52.360 --> 00:01:54.200]  有時叫人一起吃飯
[00:01:54.200 --> 00:01:56.480]  吃午餐、早餐,什麼都好
[00:01:56.480 --> 00:01:58.560]  我們廣東話很難翻譯國語
[00:01:58.560 --> 00:02:00.800]  這次我在「國語堂」說到
[00:02:00.800 --> 00:02:02.520]  「吹水」,吹一水
[00:02:02.520 --> 00:02:04.240]  「吹水」會蒸發的
[00:02:04.240 --> 00:02:06.800]  吃完、說完等於沒說
[00:02:06.800 --> 00:02:08.560]  大家開心心
[00:02:08.560 --> 00:02:09.720]  其實是很好的
[00:02:09.720 --> 00:02:11.600]  因為都建立了關係
[00:02:11.600 --> 00:02:14.040]  認識了對方吹什麼水
[00:02:14.040 --> 00:02:17.080]  但是否只停留在「吹水」呢?
[00:02:17.080 --> 00:02:19.160]  其實我們自己要分清楚
[00:02:19.160 --> 00:02:21.800]  因為主耶穌都被人誤會
[00:02:21.800 --> 00:02:23.200]  你記不記得主耶穌在
[00:02:23.200 --> 00:02:25.040]  《六九法》第七章三十四節
