
[00:00:00.000 --> 00:00:04.500]  今天感謝主讓我們一同來到敬拜
[00:00:04.500 --> 00:00:07.000]  繼續看希伯來書的信息
[00:00:07.000 --> 00:00:09.500]  這是我自己很想分享的一個題目
[00:00:09.500 --> 00:00:12.900]  就是《作個站於天地之間的大祭司》
[00:00:12.900 --> 00:00:15.800]  希伯來書5章1至4節和修本的經文
[00:00:15.800 --> 00:00:18.700]  請聽我讀出當中的信息
[00:00:18.700 --> 00:00:20.200]  5章第一節這麼說
[00:00:20.200 --> 00:00:22.500]  「凡從人間挑選的大祭司」
[00:00:22.500 --> 00:00:26.100]  「都是奉派替人辦理屬神的事」
[00:00:26.100 --> 00:00:29.100]  「要為罪獻上禮物和祭物」
[00:00:29.100 --> 00:00:32.000]  「祂能體諒無知和迷失的人」
[00:00:32.000 --> 00:00:35.600]  「因為祂自己也是被軟弱所困」
[00:00:35.600 --> 00:00:39.000]  「因此祂理當為百姓和自己的罪獻祭」
[00:00:39.000 --> 00:00:42.300]  「沒有人可擅自取得大祭司的尊榮」
[00:00:42.300 --> 00:00:48.700]  「唯有蒙神所選召的才可以像亞倫一樣」
[00:00:48.700 --> 00:00:53.500]  我們今天看看大祭司的職份
[00:00:53.500 --> 00:00:56.400]  上個月我們有按木禮
[00:00:56.400 --> 00:00:59.400]  就是Pastor Anders做牧師
[00:00:59.400 --> 00:01:01.400]  通常做牧師傳道的人
[00:01:01.400 --> 00:01:08.400]  都給人一個很神秘的形象
[00:01:08.400 --> 00:01:09.400]  為什麼呢?
[00:01:09.400 --> 00:01:15.400]  就是很多人不知道牧師究竟做什麼工作
[00:01:15.400 --> 00:01:18.400]  如果你見到星期日講道的那個
[00:01:18.400 --> 00:01:19.400]  例如我
[00:01:19.400 --> 00:01:21.400]  整個星期都在預備講章
[00:01:21.400 --> 00:01:24.400]  沐浴、更衣、禁食、祈禱
[00:01:24.400 --> 00:01:26.400]  預備講章、查經
[00:01:26.400 --> 00:01:28.400]  神學院告訴我們
[00:01:28.400 --> 00:01:31.400]  要用二十個小時來預備一篇講章
[00:01:31.400 --> 00:01:34.400]  就是說你整個星期什麼都不用做
[00:01:34.400 --> 00:01:36.400]  只是在這裡祈禱、禁食
[00:01:36.400 --> 00:01:38.400]  然後預備講章
[00:01:38.400 --> 00:01:41.400]  平日沒有什麼工作
[00:01:41.400 --> 00:01:43.400]  你見到剛才那些人坐著
[00:01:43.400 --> 00:01:45.400]  星期日就這樣坐著
[00:01:45.400 --> 00:01:47.400]  沒有什麼工作做
[00:01:47.400 --> 00:01:51.400]  是否只是祈禱傳道就算了呢?
[00:01:51.400 --> 00:01:54.400]  有些人甚至會說
[00:01:54.400 --> 00:01:55.400]  你傳道人真好
[00:01:55.400 --> 00:01:57.400]  你讀經、祈禱、傳福音
[00:01:57.400 --> 00:01:58.400]  我又讀經、祈禱、傳福音
[00:01:58.400 --> 00:02:00.400]  但是我星期日
[00:02:00.400 --> 00:02:02.400]  本來我放假的
[00:02:02.400 --> 00:02:03.400]  我還要回來教會
[00:02:03.400 --> 00:02:06.400]  你星期一有假放
[00:02:06.400 --> 00:02:08.400]  還有人工鬥
[00:02:08.400 --> 00:02:10.400]  多好啊做傳道人
[00:02:10.400 --> 00:02:14.400]  甚至有些人就覺得
[00:02:14.400 --> 00:02:16.400]  以前我岳父這麼說
[00:02:16.400 --> 00:02:17.400]  岳父是微信主
[00:02:17.400 --> 00:02:21.400]  他做傳道人有一些負面的看法
[00:02:21.400 --> 00:02:23.400]  他說你要做傳道人
[00:02:23.400 --> 00:02:25.400]  他起先不肯將女兒嫁給我
[00:02:25.400 --> 00:02:27.400]  其中一個原因就是
[00:02:27.400 --> 00:02:29.400]  我做傳道人
[00:02:29.400 --> 00:02:31.400]  他說你做傳道人
[00:02:31.400 --> 00:02:35.400]  根本就是社會的寄生蟲
[00:02:35.400 --> 00:02:37.400]  就是鬥人工
[00:02:37.400 --> 00:02:47.400]  他上來台就只說
[00:02:47.400 --> 00:02:51.400]  他說你們多容易才行
[00:02:51.400 --> 00:02:53.400]  亂說一通又鬥一筆
[00:02:53.400 --> 00:02:57.400]  這就是很多人對傳道人誤解的地方
[00:02:57.400 --> 00:02:59.400]  其實今天說之前
[00:02:59.400 --> 00:03:02.400]  就要為我們一班教務同工
[00:03:02.400 --> 00:03:03.400]  平反一下
[00:03:03.400 --> 00:03:04.400]  就告訴大家
[00:03:04.400 --> 00:03:06.400]  究竟我們做些什麼呢?
[00:03:06.400 --> 00:03:08.400]  其實我們最重要的工作
[00:03:08.400 --> 00:03:10.400]  當然是前線的模樣
[00:03:10.400 --> 00:03:13.400]  頂只要他們有任何的
[00:03:13.400 --> 00:03:16.400]  面對的困難
[00:03:16.400 --> 00:03:17.400]  需要禱告
[00:03:17.400 --> 00:03:19.400]  屬靈裡面的問題
[00:03:19.400 --> 00:03:20.400]  拆偶像
[00:03:20.400 --> 00:03:21.400]  趕鬼
[00:03:21.400 --> 00:03:23.400]  這些全部都找我們的牧者
[00:03:23.400 --> 00:03:24.400]  去協助
[00:03:24.400 --> 00:03:25.400]  去支持
[00:03:25.400 --> 00:03:27.400]  去祈禱
[00:03:27.400 --> 00:03:28.400]  但是牧者的工作
[00:03:28.400 --> 00:03:29.400]  除了這些之外
[00:03:29.400 --> 00:03:30.400]  我們還要去面對
[00:03:30.400 --> 00:03:32.400]  一些更多的問題
[00:03:32.400 --> 00:03:36.400]  我們還要面對滿分系統
[00:03:36.400 --> 00:03:38.400]  如果你在滿分系統裡面知道
[00:03:38.400 --> 00:03:40.400]  有101要教
[00:03:40.400 --> 00:03:42.400]  NBC要教
[00:03:42.400 --> 00:03:44.400]  DNA要教
[00:03:44.400 --> 00:03:45.400]  LC要教
[00:03:45.400 --> 00:03:46.400]  如果你不明白這些 terms
[00:03:46.400 --> 00:03:47.400]  不要緊
[00:03:47.400 --> 00:03:48.400]  如果你在小組系統裡面
[00:03:48.400 --> 00:03:50.400]  你就會知道了
[00:03:50.400 --> 00:03:52.400]  這個我們叫做成長的途徑
[00:03:52.400 --> 00:03:54.400]  我們每一個教務都要面對
[00:03:54.400 --> 00:03:58.400]  都要負責去做這些培訓
[00:03:58.400 --> 00:04:00.400]  另外就是一些
[00:04:00.400 --> 00:04:02.400]  對外的會議
[00:04:02.400 --> 00:04:04.400]  所謂我們的 networking
[00:04:04.400 --> 00:04:06.400]  因為你看到我們很多不同的活動
[00:04:06.400 --> 00:04:09.400]  其實都是跟外邊的很多機構
[00:04:09.400 --> 00:04:11.400]  去聯繫得回來的
[00:04:11.400 --> 00:04:13.400]  那你想想
[00:04:13.400 --> 00:04:14.400]  你說謝霆博士
[00:04:14.400 --> 00:04:16.400]  他為什麼要來呢
[00:04:16.400 --> 00:04:18.400]  因為他是我校友
[00:04:18.400 --> 00:04:20.400]  那我邀請他
[00:04:20.400 --> 00:04:22.400]  那我也要有時間跟他談
[00:04:22.400 --> 00:04:23.400]  去建立關係
[00:04:23.400 --> 00:04:24.400]  如果三唔七七
[00:04:24.400 --> 00:04:25.400]  誰會來呢
[00:04:25.400 --> 00:04:26.400]  那你
[00:04:26.400 --> 00:04:27.400]  好像環球聖經協會也是
[00:04:27.400 --> 00:04:28.400]  我們開通了
[00:04:28.400 --> 00:04:30.400]  一條專線
[00:04:30.400 --> 00:04:31.400]  去做這些事
[00:04:31.400 --> 00:04:32.400]  都是要
[00:04:32.400 --> 00:04:34.400]  有時間跟他建立關係
[00:04:34.400 --> 00:04:35.400]  上個禮拜
[00:04:35.400 --> 00:04:36.400]  Anders和Zen
[00:04:36.400 --> 00:04:37.400]  出去了
[00:04:37.400 --> 00:04:38.400]  Tracy
[00:04:38.400 --> 00:04:40.400]  我們借堂那一間教會
[00:04:40.400 --> 00:04:42.400]  在他們崇拜裡面講見證
[00:04:42.400 --> 00:04:43.400]  為什麼要去呢
[00:04:43.400 --> 00:04:44.400]  因為你租的地方
[00:04:44.400 --> 00:04:46.400]  你要跟他搞個關係
[00:04:46.400 --> 00:04:47.400]  於是在當中
[00:04:47.400 --> 00:04:48.400]  去做見證
[00:04:48.400 --> 00:04:50.400]  去主辦一些活動
[00:04:50.400 --> 00:04:52.400]  還有一班教務同工
[00:04:52.400 --> 00:04:53.400]  最辛苦的地方
[00:04:53.400 --> 00:04:55.400]  就是要維持
[00:04:55.400 --> 00:04:56.400]  不斷維持
[00:04:56.400 --> 00:04:59.400]  每一星期經常有的活動
[00:04:59.400 --> 00:05:01.400]  包括崇拜
[00:05:01.400 --> 00:05:02.400]  這個崇拜
[00:05:02.400 --> 00:05:03.400]  剛才的敬拜隊
[00:05:03.400 --> 00:05:04.400]  不是就這樣
[00:05:04.400 --> 00:05:05.400]  集排軍
[00:05:05.400 --> 00:05:06.400]  推他們上來就可以
[00:05:06.400 --> 00:05:07.400]  是吧
[00:05:07.400 --> 00:05:08.400]  正華花了好多時間
[00:05:08.400 --> 00:05:09.400]  去培訓
[00:05:09.400 --> 00:05:11.400]  去整理一些
[00:05:11.400 --> 00:05:13.400]  做得不好的地方
[00:05:13.400 --> 00:05:14.400]  希望在崇拜裡面
[00:05:14.400 --> 00:05:15.400]  能夠幫到大英智慧
[00:05:15.400 --> 00:05:16.400]  來個敬拜
[00:05:16.400 --> 00:05:17.400]  那我們
[00:05:17.400 --> 00:05:18.400]  還有日常
[00:05:18.400 --> 00:05:20.400]  我們有的事工
[00:05:20.400 --> 00:05:21.400]  好像JKC
[00:05:21.400 --> 00:05:26.400]  好像一些美眾祭
[00:05:26.400 --> 00:05:27.400]  一些祈禱會
[00:05:27.400 --> 00:05:28.400]  我們全部都要負責
[00:05:28.400 --> 00:05:29.400]  我們不單只要負責
[00:05:29.400 --> 00:05:30.400]  Pleasanton
[00:05:30.400 --> 00:05:31.400]  我們還要負責
[00:05:31.400 --> 00:05:33.400]  另外幾家的分堂
[00:05:33.400 --> 00:05:34.400]  我們共同
[00:05:34.400 --> 00:05:36.400]  命運共同體
[00:05:36.400 --> 00:05:37.400]  我們是一起的
[00:05:37.400 --> 00:05:39.400]  要去面對的
[00:05:39.400 --> 00:05:41.400]  正華花了四家不同的堂
[00:05:41.400 --> 00:05:44.400]  去協助當中的敬拜
[00:05:44.400 --> 00:05:46.400]  這裡Pleasanton的堂
[00:05:46.400 --> 00:05:47.400]  也是
[00:05:47.400 --> 00:05:48.400]  你知道星期六
[00:05:48.400 --> 00:05:49.400]  他們就要負責
[00:05:49.400 --> 00:05:51.400]  Tracy那邊
[00:05:51.400 --> 00:05:52.400]  就是三堂
[00:05:52.400 --> 00:05:53.400]  不同的崇拜
[00:05:53.400 --> 00:05:55.400]  不同語言的崇拜
[00:05:55.400 --> 00:05:56.400]  來到這裡
[00:05:56.400 --> 00:05:58.400]  又要繼續去負責
[00:05:58.400 --> 00:05:59.400]  很多活動
[00:05:59.400 --> 00:06:01.400]  你說
[00:06:01.400 --> 00:06:02.400]  復活節
[00:06:02.400 --> 00:06:03.400]  聖誕節
[00:06:03.400 --> 00:06:04.400]  壽蘭節
[00:06:04.400 --> 00:06:05.400]  這些都要準備的
[00:06:05.400 --> 00:06:08.400]  還有聖誕節
[00:06:08.400 --> 00:06:09.400]  Christmas Sing
[00:06:09.400 --> 00:06:11.400]  Trunk or Treat
[00:06:11.400 --> 00:06:12.400]  做到日常
[00:06:12.400 --> 00:06:14.400]  張牧師要求
[00:06:14.400 --> 00:06:16.400]  一些額外的工作
[00:06:16.400 --> 00:06:19.400]  例如靈性亮光
[00:06:19.400 --> 00:06:20.400]  如果你有聽
[00:06:20.400 --> 00:06:22.400]  錄到Irene死了
[00:06:22.400 --> 00:06:24.400]  一天錄
[00:06:24.400 --> 00:06:27.400]  要幫助弟兄姊妹
[00:06:27.400 --> 00:06:30.400]  培養一個
[00:06:30.400 --> 00:06:32.400]  靈修的習慣
[00:06:32.400 --> 00:06:34.400]  這些都是我們要做的工作
[00:06:34.400 --> 00:06:36.400]  還有很多不同的會議
[00:06:36.400 --> 00:06:37.400]  要開
[00:06:37.400 --> 00:06:40.400]  會內會外的
[00:06:40.400 --> 00:06:41.400]  有些事
[00:06:41.400 --> 00:06:42.400]  我們甚至要關心
[00:06:42.400 --> 00:06:43.400]  會外的宣教士
[00:06:43.400 --> 00:06:44.400]  我們每一個教目
[00:06:44.400 --> 00:06:46.400]  都要關懷一個
[00:06:46.400 --> 00:06:48.400]  我們支持的宣教士
[00:06:48.400 --> 00:06:49.400]  為他們祈禱
[00:06:49.400 --> 00:06:50.400]  找他們
[00:06:50.400 --> 00:06:51.400]  關心他們
[00:06:51.400 --> 00:06:52.400]  他們回來的時候
[00:06:52.400 --> 00:06:54.400]  要接待他們
[00:06:54.400 --> 00:06:56.400]  這些很多不同的工作
[00:06:56.400 --> 00:06:58.400]  當然最重要的就是
[00:06:58.400 --> 00:07:00.400]  我們是
[00:07:00.400 --> 00:07:01.400]  做一件事
[00:07:01.400 --> 00:07:03.400]  是因為我們沒有行政助理
[00:07:03.400 --> 00:07:04.400]  幫我們
[00:07:04.400 --> 00:07:06.400]  很多行政上的工作
[00:07:06.400 --> 00:07:07.400]  好像
[00:07:07.400 --> 00:07:08.400]  訂地方
[00:07:08.400 --> 00:07:11.400]  處理很多的
[00:07:11.400 --> 00:07:14.400]  細節上的事情
[00:07:14.400 --> 00:07:16.400]  例如
[00:07:16.400 --> 00:07:17.400]  昨天我知道
[00:07:17.400 --> 00:07:19.400]  有童工回來
[00:07:19.400 --> 00:07:21.400]  自己在那裡泵氣球
[00:07:21.400 --> 00:07:23.400]  因為有一個Baby shower
[00:07:23.400 --> 00:07:26.400]  又要保持秘密
[00:07:26.400 --> 00:07:27.400]  不能夠公開
[00:07:27.400 --> 00:07:30.400]  不如自己回來泵氣球
[00:07:30.400 --> 00:07:32.400]  去裝飾
[00:07:32.400 --> 00:07:34.400]  很多這些事情
[00:07:34.400 --> 00:07:36.400]  都是教目童工
[00:07:36.400 --> 00:07:38.400]  要去做
[00:07:38.400 --> 00:07:40.400]  我想我們教目童工
[00:07:40.400 --> 00:07:42.400]  有的人以為
[00:07:42.400 --> 00:07:44.400]  沒什麼工作
[00:07:44.400 --> 00:07:45.400]  很空閒
[00:07:45.400 --> 00:07:47.400]  其實我們每一個都是
[00:07:47.400 --> 00:07:49.400]  如果真的想去做的話
[00:07:49.400 --> 00:07:51.400]  都是做到癱瘓
[00:07:51.400 --> 00:07:52.400]  但是
[00:07:52.400 --> 00:07:53.400]  我也知道就是
[00:07:53.400 --> 00:07:56.400]  他們拿的薪水
[00:07:56.400 --> 00:07:58.400]  每月一個人的薪水
[00:07:58.400 --> 00:07:59.400]  是不能夠維持
[00:07:59.400 --> 00:08:01.400]  在B Area裡面居住
[00:08:01.400 --> 00:08:02.400]  所以我們
[00:08:02.400 --> 00:08:04.400]  全部的童工
[00:08:04.400 --> 00:08:06.400]  都是教目童工
[00:08:06.400 --> 00:08:08.400]  都是配偶
[00:08:08.400 --> 00:08:09.400]  需要工作
[00:08:09.400 --> 00:08:11.400]  跟大家一樣
[00:08:11.400 --> 00:08:13.400]  但是有些配偶工作
[00:08:13.400 --> 00:08:15.400]  都不能夠在B Area生存
[00:08:15.400 --> 00:08:16.400]  所以大家知不知道
[00:08:16.400 --> 00:08:18.400]  我們整隊童工隊
[00:08:18.400 --> 00:08:20.400]  我們15個教目童工
[00:08:20.400 --> 00:08:22.400]  有超過一半
[00:08:22.400 --> 00:08:26.400]  是住在B Area以外的地方
[00:08:26.400 --> 00:08:29.400]  我們有住在Seaside
[00:08:29.400 --> 00:08:31.400]  Monterey
[00:08:31.400 --> 00:08:33.400]  不是因為他們喜歡
[00:08:33.400 --> 00:08:34.400]  海景這麼簡單
[00:08:34.400 --> 00:08:35.400]  是因為
[00:08:35.400 --> 00:08:39.400]  因為已經住不了
[00:08:39.400 --> 00:08:40.400]  然後
[00:08:40.400 --> 00:08:42.400]  我們有童工住在Los Banos
[00:08:42.400 --> 00:08:44.400]  知不知道Los Banos在哪裡
[00:08:44.400 --> 00:08:46.400]  你走152去LA
[00:08:46.400 --> 00:08:48.400]  去到5
[00:08:48.400 --> 00:08:50.400]  這個Interstate 5那裡
[00:08:50.400 --> 00:08:51.400]  和152交界
[00:08:51.400 --> 00:08:52.400]  就是那裡
[00:08:52.400 --> 00:08:53.400]  上山落山
[00:08:53.400 --> 00:08:55.400]  如果你要回來教會
[00:08:55.400 --> 00:08:56.400]  兩個小時
[00:08:56.400 --> 00:08:59.400]  我們有童工住在Mantika
[00:08:59.400 --> 00:09:00.400]  Tracy
[00:09:00.400 --> 00:09:03.400]  已經十十歲了
[00:09:03.400 --> 00:09:04.400]  Mantika
[00:09:04.400 --> 00:09:07.400]  以前Pastor Tim住在Starkton
[00:09:07.400 --> 00:09:11.400]  我們有Pastor Eileen住在Discovery Bay
[00:09:11.400 --> 00:09:15.400]  這些都是我們面對的困難
[00:09:15.400 --> 00:09:17.400]  我很感謝住
[00:09:17.400 --> 00:09:19.400]  有我太太撐住
[00:09:19.400 --> 00:09:21.400]  我可以住在B Area
[00:09:21.400 --> 00:09:22.400]  我都吃軟飯
[00:09:22.400 --> 00:09:23.400]  吃了很多年
[00:09:23.400 --> 00:09:25.400]  但是都沒有辦法
[00:09:25.400 --> 00:09:27.400]  要放下自己
[00:09:27.400 --> 00:09:29.400]  要來B Area試風
[00:09:29.400 --> 00:09:31.400]  這個要明白
[00:09:31.400 --> 00:09:33.400]  要體諒
[00:09:33.400 --> 00:09:36.400]  我們請教會童工是很難請的
[00:09:36.400 --> 00:09:39.400]  特別在外州來
[00:09:39.400 --> 00:09:42.400]  因為我也曾經試過找德州
[00:09:42.400 --> 00:09:44.400]  我認識一些很好的教會
[00:09:44.400 --> 00:09:45.400]  我說不如你過來
[00:09:45.400 --> 00:09:46.400]  會怎樣
[00:09:46.400 --> 00:09:48.400]  幫手服侍
[00:09:48.400 --> 00:09:50.400]  一聽到是在B Area
[00:09:50.400 --> 00:09:51.400]  已經不願意
[00:09:51.400 --> 00:09:53.400]  因為真的生存得到
[00:09:53.400 --> 00:09:55.400]  我以前有一個很好的童工
[00:09:55.400 --> 00:09:56.400]  來到
[00:09:56.400 --> 00:09:57.400]  他看到
[00:09:57.400 --> 00:09:58.400]  給他工資
[00:09:58.400 --> 00:09:59.400]  已經不是差的了
[00:09:59.400 --> 00:10:01.400]  會怎樣那個工資
[00:10:01.400 --> 00:10:02.400]  但是你一個人
[00:10:02.400 --> 00:10:04.400]  跟著太太要看著兩個小孩
[00:10:04.400 --> 00:10:05.400]  不可以工作
[00:10:05.400 --> 00:10:07.400]  那你怎樣生存呢
[00:10:07.400 --> 00:10:09.400]  你拿著五千元多一點
[00:10:09.400 --> 00:10:11.400]  還未完稅
[00:10:11.400 --> 00:10:13.400]  剛剛就畢業出來的
[00:10:13.400 --> 00:10:15.400]  那你怎樣去
[00:10:15.400 --> 00:10:17.400]  在B Area生存得到
[00:10:17.400 --> 00:10:19.400]  這個就是我們每一個教務童工
[00:10:19.400 --> 00:10:21.400]  面對的困難
[00:10:21.400 --> 00:10:23.400]  希望大家多點去
[00:10:23.400 --> 00:10:25.400]  為我們去代討
[00:10:25.400 --> 00:10:26.400]  但是
[00:10:26.400 --> 00:10:27.400]  有些人怎麼看
[00:10:27.400 --> 00:10:30.400]  做牧師這件事
[00:10:30.400 --> 00:10:31.400]  我覺得
[00:10:31.400 --> 00:10:33.400]  不單只是工作上
[00:10:33.400 --> 00:10:36.400]  我們工作的妙術
[00:10:36.400 --> 00:10:38.400]  牧師有一個
[00:10:38.400 --> 00:10:40.400]  被人誤解的地方就是
[00:10:40.400 --> 00:10:43.400]  我們是一個很矛盾的人
[00:10:43.400 --> 00:10:45.400]  我覺得牧師可以被人視為
[00:10:45.400 --> 00:10:47.400]  不是社會的寄生蟲
[00:10:47.400 --> 00:10:50.400]  是一個受薪的聖人
[00:10:50.400 --> 00:10:52.400]  我們是
[00:10:52.400 --> 00:10:53.400]  接受一份薪水
[00:10:53.400 --> 00:10:54.400]  給教會的僱傭
[00:10:54.400 --> 00:10:56.400]  但是我們卻是一個
[00:10:56.400 --> 00:10:58.400]  侍奉神的人
[00:10:58.400 --> 00:10:59.400]  所以
[00:10:59.400 --> 00:11:01.400]  那個身份很多時候被誤解
[00:11:01.400 --> 00:11:03.400]  或者是會
[00:11:03.400 --> 00:11:05.400]  有混亂在當中
[00:11:05.400 --> 00:11:07.400]  再舉一個例子
[00:11:07.400 --> 00:11:08.400]  有一次我在香港
[00:11:08.400 --> 00:11:10.400]  那時候還有一百多年的教會
[00:11:10.400 --> 00:11:12.400]  去探訪
[00:11:12.400 --> 00:11:14.400]  我就安排好schedule
[00:11:14.400 --> 00:11:17.400]  因為每個禮拜只能夠探訪一個家庭
[00:11:17.400 --> 00:11:19.400]  幾十個家庭
[00:11:19.400 --> 00:11:22.400]  每個禮拜探訪一個家庭
[00:11:22.400 --> 00:11:23.400]  編到
[00:11:23.400 --> 00:11:25.400]  下個禮拜就去
[00:11:25.400 --> 00:11:28.400]  那個頂姐妹的家去探訪
[00:11:28.400 --> 00:11:30.400]  到門口喝完茶之後
[00:11:30.400 --> 00:11:33.400]  那個姐妹就說了一句話
[00:11:33.400 --> 00:11:35.400]  她說 梁牧師
[00:11:35.400 --> 00:11:39.400]  為什麼這麼有空來探訪我
[00:11:39.400 --> 00:11:40.400]  她就說
[00:11:40.400 --> 00:11:43.400]  你們做牧師不是很忙嗎
[00:11:43.400 --> 00:11:45.400]  我就在想
[00:11:45.400 --> 00:11:47.400]  我怎麼回答她呢
[00:11:47.400 --> 00:11:48.400]  如果我說
[00:11:48.400 --> 00:11:50.400]  是啊 今天有空來探訪你
[00:11:50.400 --> 00:11:52.400]  那就是說我很有空
[00:11:52.400 --> 00:11:53.400]  其實我不是很有空
[00:11:53.400 --> 00:11:54.400]  真的有很多事要做
[00:11:54.400 --> 00:11:56.400]  不過schedule中
[00:11:56.400 --> 00:11:58.400]  我安排了來探訪你
[00:11:58.400 --> 00:11:59.400]  就是來探訪你
[00:11:59.400 --> 00:12:00.400]  但是我不能這樣說
[00:12:00.400 --> 00:12:01.400]  如果我說
[00:12:01.400 --> 00:12:02.400]  姐妹
[00:12:02.400 --> 00:12:04.400]  其實我因為一年前安排了來探訪你
[00:12:04.400 --> 00:12:06.400]  今天才來探訪你
[00:12:06.400 --> 00:12:09.400]  那好像很無情
[00:12:09.400 --> 00:12:11.400]  不夠愛心
[00:12:11.400 --> 00:12:12.400]  但是如果你說
[00:12:12.400 --> 00:12:13.400]  姐妹
[00:12:13.400 --> 00:12:14.400]  其實我很關心你
[00:12:14.400 --> 00:12:15.400]  很愛你
[00:12:15.400 --> 00:12:16.400]  所以我才來探訪你
[00:12:16.400 --> 00:12:18.400]  但是好像很虛偽
