
[00:00:00.000 --> 00:00:01.520]  大英姊妹平安
[00:00:01.520 --> 00:00:09.180]  這個星期其實
[00:00:09.180 --> 00:00:10.640]  個人不太舒服
[00:00:10.640 --> 00:00:15.780]  起初上個星期開始的時候
[00:00:15.780 --> 00:00:18.760]  就覺得很累
[00:00:18.760 --> 00:00:22.140]  喉嚨開始有點癢癢癢
[00:00:22.140 --> 00:00:24.840]  到星期的中間
[00:00:24.840 --> 00:00:26.660]  依然很累
[00:00:27.060 --> 00:00:30.440]  但是喉嚨的癢癢就變成咳嗽
[00:00:30.440 --> 00:00:32.840]  好像現在還是很癢
[00:00:32.840 --> 00:00:36.540]  而且晚上睡覺的時候
[00:00:36.540 --> 00:00:40.460]  就比日間有時咳嗽還要嚴重
[00:00:40.460 --> 00:00:44.120]  雖然幾天之後咳嗽都慢慢減少
[00:00:44.120 --> 00:00:46.040]  或者消失了
[00:00:46.040 --> 00:00:50.120]  但是那種好像有一隻螞蟻在喉嚨
[00:00:50.120 --> 00:00:53.580]  很癢的感覺
[00:00:53.580 --> 00:00:56.960]  很想伸手去喉嚨咬那種感覺
[00:00:57.940 --> 00:01:04.180]  那種感覺是很令人很不舒服的
[00:01:04.180 --> 00:01:07.580]  另一個問題就是累了
[00:01:07.580 --> 00:01:12.820]  早上因為晚上咳嗽可能睡得不好
[00:01:12.820 --> 00:01:15.060]  所以又是很累
[00:01:15.060 --> 00:01:20.660]  想下午來個午睡來補眠
[00:01:20.660 --> 00:01:23.660]  但是因為要上課就不行了
[00:01:23.660 --> 00:01:26.300]  上了一連課之後
[00:01:26.300 --> 00:01:28.580]  一個人已經有氣無力
[00:01:28.580 --> 00:01:31.300]  連吸都好像有心無力一樣
[00:01:31.300 --> 00:01:35.580]  所以今個星期的課章很遲才完成
[00:01:35.580 --> 00:01:42.120]  所以對那些要傳譯的姊妹們要先說聲對不起
[00:01:42.120 --> 00:01:46.140]  平時你沒有病沒有痛
[00:01:46.140 --> 00:01:51.340]  其實你不會很在意自己的身體機能
[00:01:51.340 --> 00:01:55.260]  呼吸會很自然
[00:01:55.260 --> 00:01:57.820]  走路吃飯睡覺
[00:01:57.820 --> 00:01:59.820]  甚至大小二便
[00:01:59.820 --> 00:02:01.820]  都沒有什麼特別的意識
[00:02:01.820 --> 00:02:06.980]  今天有很多崇基的同學在我們中間
[00:02:06.980 --> 00:02:09.860]  他們年輕人特別沒有什麼問題
[00:02:09.860 --> 00:02:12.700]  吃飯睡覺去廁所
[00:02:12.700 --> 00:02:16.260]  他們甚至可以不睡不吃
[00:02:16.260 --> 00:02:21.180]  對他們來說身體可以好好運用
[00:02:21.180 --> 00:02:25.260]  但是如果像我這樣人到中年了
[00:02:25.260 --> 00:02:28.260]  身體又不太舒服的時候
[00:02:28.260 --> 00:02:32.580]  你又會漸漸覺得身體不太聽從你
[00:02:32.580 --> 00:02:37.060]  正所謂人年紀大機器壞
[00:02:37.060 --> 00:02:40.540]  不知道你有沒有想過這一點
[00:02:40.540 --> 00:02:44.100]  有沒有想過你的靈魂離開了你的身體
[00:02:44.100 --> 00:02:46.620]  拋下身體就只有靈魂
[00:02:46.620 --> 00:02:49.500]  多麼輕鬆多麼自在
[00:02:49.500 --> 00:02:52.740]  我們這些坐在辦公室
[00:02:52.740 --> 00:02:55.100]  我是神學院老師
[00:02:55.100 --> 00:02:58.620]  最主要的工作除了教書之外
[00:02:58.620 --> 00:03:02.380]  就是坐在辦公室讀書和寫字
[00:03:02.380 --> 00:03:05.420]  讀書寫字其實都沒什麼
[00:03:05.420 --> 00:03:09.500]  但是當你坐到一段時間的時候
[00:03:09.500 --> 00:03:13.340]  你就開始希望你的背脊
[00:03:13.340 --> 00:03:14.540]  你的腳
[00:03:14.540 --> 00:03:17.860]  甚至你的臀部會消失
[00:03:17.860 --> 00:03:21.500]  可不可以只有腦袋在看書寫字
[00:03:21.500 --> 00:03:24.180]  身體不會阻礙你的呢
[00:03:24.180 --> 00:03:26.020]  我不知道大家有沒有這樣的想法
[00:03:26.020 --> 00:03:28.300]  我有時候是會這樣想的
[00:03:28.300 --> 00:03:31.540]  身體尤其是下半身不見了就好了
[00:03:31.540 --> 00:03:36.260]  因為坐得太久很辛苦
[00:03:36.260 --> 00:03:42.420]  或者不用肚餓不用累
[00:03:42.420 --> 00:03:46.860]  我就可以在這裡看書做我想做的事
[00:03:46.860 --> 00:03:49.940]  不過年紀大了
[00:03:49.940 --> 00:03:51.420]  我不知道是不是
[00:03:51.420 --> 00:03:54.620]  我這樣說這樣分享會觸動到
[00:03:54.620 --> 00:03:58.220]  有些弟兄姊妹的痛處
[00:03:58.220 --> 00:04:01.660]  或者在座當中有些人
[00:04:01.660 --> 00:04:04.980]  一直都在受身體的疾病
[00:04:04.980 --> 00:04:09.980]  身體的軟弱困擾著
[00:04:09.980 --> 00:04:15.260]  年輕的時候可以看書很集中精神
[00:04:15.260 --> 00:04:17.180]  看它一兩個小時都沒問題
