
[00:00:00.000 --> 00:00:02.000]  各位兄姊妹,早晨
[00:00:02.000 --> 00:00:05.000]  願神的恩惠常與你們同在
[00:00:05.000 --> 00:00:07.000]  今天是父親節
[00:00:07.000 --> 00:00:11.000]  願天父看顧世上每一位父親
[00:00:11.000 --> 00:00:15.000]  為父的,現在越來越艱難
[00:00:15.000 --> 00:00:18.000]  要讓一個家庭好好地生活
[00:00:18.000 --> 00:00:22.000]  要讓子女能夠完整地成長
[00:00:22.000 --> 00:00:25.000]  要承擔的壓力越來越大
[00:00:25.000 --> 00:00:28.000]  願天父賜福給你們
[00:00:29.000 --> 00:00:32.000]  戰爭從來都是悲慘的
[00:00:32.000 --> 00:00:34.000]  但是很不幸
[00:00:34.000 --> 00:00:37.000]  縱使明知是悲慘
[00:00:37.000 --> 00:00:41.000]  人類仍然是要戰爭的
[00:00:41.000 --> 00:00:44.000]  有一首漢代的樂虎詩
[00:00:44.000 --> 00:00:46.000]  戰勝南
[00:00:46.000 --> 00:00:50.000]  我們中學的一個閱讀的文本
[00:00:50.000 --> 00:00:51.000]  這樣說
[00:00:51.000 --> 00:00:54.000]  戰勝南,死國不
[00:00:54.000 --> 00:00:57.000]  野死不葬,烏可食
[00:00:57.000 --> 00:01:01.000]  為我為烏,且為客豪
[00:01:01.000 --> 00:01:07.000]  野死兩不葬,負欲安能去子土
[00:01:07.000 --> 00:01:11.000]  講到戰士在城南打仗
[00:01:11.000 --> 00:01:16.000]  在城北就有很多戰死沙場的人
[00:01:16.000 --> 00:01:18.000]  他們捕獅荒野
[00:01:18.000 --> 00:01:21.000]  那些烏鴉來到剁食
[00:01:21.000 --> 00:01:24.000]  詩人就跟烏鴉說
[00:01:24.000 --> 00:01:29.000]  可不可以先為那些戰死的人哀悼呢
[00:01:29.000 --> 00:01:33.000]  他們的屍體一定沒有辦法安葬
[00:01:33.000 --> 00:01:39.000]  那些腐肉又怎樣能夠逃得過你們的剁食呢
[00:01:39.000 --> 00:01:42.000]  戰爭剛剛結束
[00:01:42.000 --> 00:01:44.000]  遍地撕鞋
[00:01:44.000 --> 00:01:47.000]  無處話淒涼
[00:01:47.000 --> 00:01:50.000]  在耶利米的時代
[00:01:50.000 --> 00:01:55.000]  哈比倫大軍圍攻耶路撒冷
[00:01:55.000 --> 00:01:57.000]  圍城一年半
[00:01:57.000 --> 00:02:02.000]  在主前五百八十七年就攻下耶路撒冷
[00:02:02.000 --> 00:02:06.000]  維持四百多年的大衛王朝終結
[00:02:06.000 --> 00:02:10.000]  猶大亡國,人民被擄
[00:02:10.000 --> 00:02:14.000]  今天我們看耶利米埃哥
[00:02:14.000 --> 00:02:19.000]  耶利米埃哥就是那些劫後餘生
[00:02:19.000 --> 00:02:22.000]  都被擄到去巴比倫
[00:02:22.000 --> 00:02:27.000]  而仍然留在耶路撒冷人的埃哥
[00:02:27.000 --> 00:02:30.000]  他們坐在廢墟之上
[00:02:30.000 --> 00:02:33.000]  故國不肯回首
[00:02:33.000 --> 00:02:36.000]  眼下無盡的淒涼
[00:02:36.000 --> 00:02:38.000]  透過這首埃哥
[00:02:38.000 --> 00:02:43.000]  他們毫不掩飾地描繪人間的悲劇
[00:02:43.000 --> 00:02:46.000]  表達他們無盡的哀愁
[00:02:46.000 --> 00:02:50.000]  他們流著眼淚無語問蒼天
[00:02:50.000 --> 00:02:53.000]  我們看看這首埃哥
[00:02:53.000 --> 00:02:58.000]  經文印在剛才讀的經文的後一頁
[00:02:58.000 --> 00:03:03.000]  耶利米埃哥第一章第一至第五節
[00:03:03.000 --> 00:03:05.000]  詩人這樣說
[00:03:05.000 --> 00:03:08.000]  他說:先前滿有人民的城
[00:03:08.000 --> 00:03:11.000]  現在何景獨坐
[00:03:11.000 --> 00:03:16.000]  先前在列國中為大的 現在景如寡婦
[00:03:16.000 --> 00:03:20.000]  先前在諸省中為皇后的
[00:03:20.000 --> 00:03:23.000]  或者應該也為公主的
[00:03:23.000 --> 00:03:25.000]  現在成為進貢的
[00:03:25.000 --> 00:03:29.000]  進貢的其實就是成為了一個奴隸
[00:03:29.000 --> 00:03:34.000]  第二節 他夜間哀哭 流淚滿腮
[00:03:34.000 --> 00:03:37.000]  在一切所親愛的中間
[00:03:37.000 --> 00:03:39.000]  沒有一個安慰他的
[00:03:39.000 --> 00:03:42.000]  他的朋友都以鬼詐待他
[00:03:42.000 --> 00:03:44.000]  成為他的仇敵
[00:03:44.000 --> 00:03:47.000]  由大恩遭遇苦難
[00:03:47.000 --> 00:03:51.000]  由恩多伏 勞苦 就遷到外邦
[00:03:51.000 --> 00:03:55.000]  他住在列國中 尋不著安息
[00:03:55.000 --> 00:03:59.000]  最迫他的 都在狹窄之地將他追上
[00:03:59.000 --> 00:04:01.000]  石岸的路徑
[00:04:01.000 --> 00:04:05.000]  因無人來守節 就悲傷
[00:04:05.000 --> 00:04:09.000]  他的城門淒涼 他的祭司嘆息
[00:04:09.000 --> 00:04:11.000]  他的處女受艱難
[00:04:11.000 --> 00:04:13.000]  自己也受苦
