
[00:00:00.000 --> 00:00:05.000]  我們今天的分享題目是「突破障礙,跟隨真神」
[00:00:05.000 --> 00:00:09.200]  認識我的人知道我很喜歡吃印度咖喱
[00:00:09.200 --> 00:00:12.500]  但是其實我還沒試過印度咖喱之前
[00:00:12.500 --> 00:00:15.600]  我是沒有想過我自己會喜歡吃印度咖喱的
[00:00:15.600 --> 00:00:18.100]  因為我裡面有一些障礙
[00:00:18.100 --> 00:00:20.700]  我有一種感覺就是覺得
[00:00:20.700 --> 00:00:23.300]  印度人是有味道的
[00:00:23.300 --> 00:00:25.000]  不僅如此
[00:00:25.000 --> 00:00:27.200]  我擔心吃完印度咖喱
[00:00:27.200 --> 00:00:29.100]  不知道會不會肚子餓呢
[00:00:29.100 --> 00:00:32.000]  因著這個障礙我一直都不敢試
[00:00:32.000 --> 00:00:35.500]  大家可能聽過我第一次吃印度咖喱的故事
[00:00:35.500 --> 00:00:38.000]  就是我在英國讀技術學校的時候
[00:00:38.000 --> 00:00:41.400]  有一個印度同學欠我錢不還
[00:00:41.400 --> 00:00:44.400]  其實他大概欠我四至五鎊
[00:00:44.400 --> 00:00:46.000]  就是大概四五十元左右
[00:00:46.000 --> 00:00:48.000]  我就不斷追他還錢
[00:00:48.000 --> 00:00:50.000]  追呀追呀他都不肯還
[00:00:50.000 --> 00:00:51.400]  他說你再追我也沒用的了
[00:00:51.400 --> 00:00:53.300]  於是他寫了一張欠單給我
[00:00:53.300 --> 00:00:55.100]  他說這張欠單是給你
[00:00:55.100 --> 00:00:58.300]  去我爸爸在鎮上開的那間印度餐館
[00:00:58.300 --> 00:01:00.100]  吃一頓印度餐
[00:01:00.100 --> 00:01:02.600]  我說我不要印度餐
[00:01:02.600 --> 00:01:03.800]  我要錢
[00:01:03.800 --> 00:01:05.600]  他說錢是沒有的了
[00:01:05.600 --> 00:01:07.100]  印度餐是有一頓
[00:01:07.100 --> 00:01:08.600]  你自己決定吃不吃
[00:01:08.600 --> 00:01:12.600]  我就拿著那張欠單去到那間餐館
[00:01:12.600 --> 00:01:15.100]  我一進去他爸爸就已經差不多要向我鞠躬
[00:01:15.100 --> 00:01:17.600]  我想我不是第一個拿欠單進去的了
[00:01:17.600 --> 00:01:20.600]  他就說我兒子欠你錢
[00:01:20.600 --> 00:01:22.300]  我說是呀是呀
[00:01:22.300 --> 00:01:24.100]  他說你坐你坐你坐
[00:01:24.100 --> 00:01:27.600]  我請你吃一頓好吃的印度餐
[00:01:27.600 --> 00:01:30.100]  我心想印度餐其實有多好吃呢
[00:01:30.100 --> 00:01:31.100]  不過真的是
[00:01:31.100 --> 00:01:34.600]  唯有拿不回來錢就拿一頓飯
[00:01:34.600 --> 00:01:37.900]  他來到的時候他就擺了一盤咖喱在我面前
[00:01:37.900 --> 00:01:39.900]  然後他就向我做出了這樣的手術
[00:01:39.900 --> 00:01:44.600]  我心想印度人真是誇張
[00:01:44.600 --> 00:01:46.600]  印度餐有多好吃呢
[00:01:46.600 --> 00:01:48.600]  哇誰知道我吃了第一口之後
[00:01:48.600 --> 00:01:49.600]  哇
[00:01:49.600 --> 00:01:50.900]  正呀
[00:01:50.900 --> 00:01:52.900]  然後我回到爸爸那裡
[00:01:52.900 --> 00:01:56.900]  有一些東西你放下了障礙
[00:01:56.900 --> 00:01:59.400]  你發現原來原來是這麼正的
[00:01:59.400 --> 00:02:02.400]  同樣有些人知道我喜歡聽Beyond的音樂
[00:02:02.400 --> 00:02:05.400]  其實我還沒接觸Beyond音樂之前
[00:02:05.400 --> 00:02:07.400]  我都沒想過我喜歡Beyond的音樂
[00:02:07.400 --> 00:02:08.400]  為什麼呢
[00:02:08.400 --> 00:02:10.400]  因為在我的年代
[00:02:10.400 --> 00:02:13.400]  戴耳環的那些男孩子
[00:02:13.400 --> 00:02:15.400]  通常都是壞孩子
[00:02:15.400 --> 00:02:17.400]  或者我們稱為拐仔的
[00:02:17.400 --> 00:02:19.400]  有人知道拐字是什麼意思嗎
[00:02:19.400 --> 00:02:21.400]  是呀
[00:02:21.400 --> 00:02:23.400]  你知道你是我的年代或以上
[00:02:23.400 --> 00:02:24.400]  是呀
[00:02:24.400 --> 00:02:27.400]  所以我現在跟少年說你知道拐字是什麼意思嗎
[00:02:27.400 --> 00:02:29.400]  少年說過拐字是什麼意思嗎
[00:02:29.400 --> 00:02:31.400]  原來已經不流行這個字了
[00:02:31.400 --> 00:02:33.400]  但是在我們的年代
[00:02:33.400 --> 00:02:35.400]  戴耳環的男孩子就叫做拐仔
[00:02:35.400 --> 00:02:37.400]  所以我不會聽他們的音樂
[00:02:37.400 --> 00:02:39.400]  但是在一九九零
[00:02:39.400 --> 00:02:41.400]  哎呀講錯了日子
[00:02:41.400 --> 00:02:43.400]  在一九九零年的時候
[00:02:43.400 --> 00:02:46.400]  我們那時候是聽收音機的年代
[00:02:46.400 --> 00:02:48.400]  聽了一個電台的訪問
[00:02:48.400 --> 00:02:51.400]  裡面聽到他們分享他們音樂的理念
