
[00:00:00.000 --> 00:00:04.500]  我好開心返返嚟屋企度
[00:00:04.500 --> 00:00:07.340]  I cannot express to you
[00:00:07.340 --> 00:00:10.580]  What a joy it is to sing that old hymn
[00:00:10.580 --> 00:00:15.300]  我唔可以表達我頭先剛剛唱嗰首老嘅詩歌嗰種感受
[00:00:15.300 --> 00:00:17.440]  That it is well with my soul
[00:00:17.440 --> 00:00:20.140]  係月我靈係安好嘅
[00:00:20.140 --> 00:00:23.340]  I trust that it is well with your soul this morning
[00:00:23.340 --> 00:00:26.940]  我都相信大家都係安好嘅
[00:00:26.940 --> 00:00:33.360]  I do bring you greetings from over 40 evangelical Chinese churches in Paris
[00:00:33.360 --> 00:00:39.000]  我代表法國華人嘅福音教派教會同大家問安
[00:00:39.000 --> 00:00:43.900]  You know when I visit and I preach in the Chinese churches of Paris
[00:00:43.900 --> 00:00:46.500]  I often get one question
[00:00:46.500 --> 00:00:51.600]  我去探訪或者傳導喺法國教會嘅時候通常都被問到一個問題
[00:00:51.600 --> 00:00:54.700]  Which church do you preach in in Paris?
[00:00:54.700 --> 00:00:58.640]  Sorry, which church do you belong to in Paris?
[00:00:58.640 --> 00:01:02.900]  你喺法國邊個教會度侍奉㗎
[00:01:02.900 --> 00:01:04.300]  I tell them no no
[00:01:04.300 --> 00:01:05.800]  我話聽唔係呀
[00:01:05.800 --> 00:01:10.060]  My church is in Los Angeles, California
[00:01:10.060 --> 00:01:12.400]  我嘅教會喺加州羅省
[00:01:12.400 --> 00:01:16.560]  My home church is at Monterey Park Chinese Baptist Church
[00:01:16.560 --> 00:01:19.700]  我嘅母會就係母導員華人真信會
[00:01:19.700 --> 00:01:24.140]  Thank you MPCBC for being my family's home church
[00:01:24.140 --> 00:01:25.860]  多謝母導員華人真信會
[00:01:25.860 --> 00:01:28.460]  你係我嘅家庭嘅母會
[00:01:28.460 --> 00:01:34.760]  My wife could not be with you, be with us these few days
[00:01:34.760 --> 00:01:38.700]  我師母今日唔可以同大家一齊崇拜
[00:01:38.700 --> 00:01:43.060]  She is in Paris still, serving faithfully I am sure
[00:01:43.060 --> 00:01:45.740]  佢仍然喺法國度忠心咁侍奉
[00:01:45.740 --> 00:01:49.940]  Some of you may know that a few weeks ago we were actually in Korea
[00:01:49.940 --> 00:01:53.440]  或者有啲人知道我哋幾個禮拜之前我哋去咗韓國
[00:01:53.440 --> 00:02:00.440]  Sujong's mom is in hospice so we expect her to go be with Jesus at any time
[00:02:00.440 --> 00:02:03.640]  師母嘅媽媽喺善忠嗰個醫院
[00:02:03.640 --> 00:02:07.700]  我哋會覺得佢會快會返癲家
[00:02:07.700 --> 00:02:14.300]  But she is still in this world but we went back a few weeks ago to say goodbye to her
[00:02:14.300 --> 00:02:17.900]  佢仲喺呢個世上我哋幾個禮拜前返去同佢道別
[00:02:17.900 --> 00:02:24.860]  And we will be back to LA for our furlough in next August
[00:02:24.860 --> 00:02:28.660]  我哋嚟緊呢個八月份我會返返嚟麥羅省
[00:02:28.660 --> 00:02:34.400]  So I am sure you will see more of us for a full school year during that time
[00:02:34.400 --> 00:02:39.700]  我相信喺嗰一年之當中大家會見到我更加多嘅機會
[00:02:39.700 --> 00:02:43.940]  But friends, it has been an amazing four years in Paris
[00:02:43.940 --> 00:02:47.340]  朋友們,我喺法國係精彩嘅四年
[00:02:47.340 --> 00:02:53.600]  The Lord has done some amazing things through us and through your prayers
[00:02:53.600 --> 00:02:57.440]  And through your giving a financial support in our ministry
[00:02:57.440 --> 00:03:00.660]  藉著大家嘅禱告同埋你哋經濟上嘅支持
[00:03:00.660 --> 00:03:03.640]  神係為我哋嘅士工做到好多奇妙嘅事
[00:03:03.640 --> 00:03:09.340]  Our strategy there initially was to get to know the local Chinese churches
[00:03:09.340 --> 00:03:14.300]  我哋嘅策略當初係想去認識當地嘅華人教會
[00:03:14.300 --> 00:03:17.740]  So that we could cast a vision for the Great Commission
[00:03:17.740 --> 00:03:22.260]  And train and lead them out in the streets to share the good news of Jesus
[00:03:22.260 --> 00:03:25.140]  以至我哋可以為大使命投射異象
[00:03:25.140 --> 00:03:30.860]  去訓練佢哋同埋鼓勵佢哋出去去傳福音
[00:03:30.860 --> 00:03:35.500]  There is usually no Sunday that I am not preaching in one of those churches in Paris
[00:03:35.500 --> 00:03:39.640]  通常冇一個星期日我唔會喺某個教會度去講道嘅
[00:03:39.640 --> 00:03:41.140]  But that is a means to an end
[00:03:41.140 --> 00:03:45.540]  It's so that we can work with them to share the good news
[00:03:45.540 --> 00:03:49.340]  咁樣係同大家可以互助一齊去分享神嘅訊息
[00:03:49.340 --> 00:03:51.140]  And so this past summer
[00:03:51.140 --> 00:03:52.580]  喺過去一個暑假
