
[00:00:00.000 --> 00:00:02.820]  歡迎大家來到我們的週六崇拜
[00:00:02.820 --> 00:00:07.100]  今天是最靠近聖誕的週六崇拜
[00:00:07.100 --> 00:00:11.060]  在這裡我想代表十家基督教會
[00:00:11.060 --> 00:00:14.100]  祝大家聖誕快樂
[00:00:14.100 --> 00:00:15.200]  新年蒙恩
[00:00:15.200 --> 00:00:16.860]  Merry Christmas
[00:00:16.860 --> 00:00:18.520]  Happy New Year
[00:00:18.520 --> 00:00:22.820]  今天也讓我搭單再加上一個廣告
[00:00:22.820 --> 00:00:24.620]  就是四天之後
[00:00:24.620 --> 00:00:27.220]  在12月15日早上11點
[00:00:27.220 --> 00:00:30.960]  在這裡我們將會有一個聖誕的崇拜
[00:00:30.960 --> 00:00:35.760]  在那一天我會再講另一個福音的訊息
[00:00:35.760 --> 00:00:37.760]  那個題目挺有趣的
[00:00:37.760 --> 00:00:39.660]  叫做The Last Christmas
[00:00:39.660 --> 00:00:41.520]  最後的一個聖誕
[00:00:41.520 --> 00:00:42.620]  最後的一個聖誕
[00:00:42.620 --> 00:00:46.420]  也是人類歷史的最後一天
[00:00:46.420 --> 00:00:49.720]  從此以後再沒有新年
[00:00:49.720 --> 00:00:53.360]  再沒有Happy New Year
[00:00:53.360 --> 00:00:57.220]  最後的一個聖誕是一個怎樣的日子呢
[00:00:57.220 --> 00:01:00.560]  是一個上帝憤怒的日子
[00:01:00.560 --> 00:01:06.760]  是一個聖結上帝公義審判世人罪孽的時刻
[00:01:06.760 --> 00:01:10.060]  在那一天無論你在地球的哪一個角落
[00:01:10.060 --> 00:01:12.260]  甚至上了月球火星
[00:01:12.260 --> 00:01:14.320]  居住太空
[00:01:14.320 --> 00:01:18.500]  上帝大能的天使都會將你拉回到地下
[00:01:18.500 --> 00:01:20.760]  叫你跪拜在耶穌基督的面前
[00:01:20.760 --> 00:01:24.460]  接受祂永恆的審判
[00:01:24.460 --> 00:01:25.700]  可能有人會說
[00:01:25.700 --> 00:01:28.420]  林牧師你這樣說真的很恐怖
[00:01:28.420 --> 00:01:30.160]  我一直以為基督徒跟我說
[00:01:30.160 --> 00:01:32.920]  聖誕節是普天同慶的日子
[00:01:32.920 --> 00:01:35.020]  原來不是
[00:01:35.020 --> 00:01:37.260]  「是」就是普天同慶
[00:01:37.260 --> 00:01:39.400]  不過「慶」就不是「慶祝」的「慶」
[00:01:39.400 --> 00:01:41.260]  是「慶」合「合」的「慶」
[00:01:41.260 --> 00:01:42.320]  普天同慶
[00:01:42.320 --> 00:01:46.160]  廣東話真是非常精景
[00:01:46.160 --> 00:01:49.220]  普天同慶當耶穌回來的日子
[00:01:49.220 --> 00:01:54.060]  地上會有上帝憤怒的燃燒
[00:01:54.060 --> 00:01:54.900]  你會說
[00:01:54.900 --> 00:01:57.420]  我們還有沒有希望?
[00:01:57.420 --> 00:01:58.320]  有
[00:01:58.320 --> 00:01:59.020]  希望在哪裏?
[00:01:59.020 --> 00:02:01.660]  希望在第一個聖誕
[00:02:01.660 --> 00:02:02.860]  那個是最後一個聖誕
[00:02:02.860 --> 00:02:04.100]  但是我們的希望
[00:02:04.100 --> 00:02:05.760]  是在第二個聖誕登基
[00:02:05.760 --> 00:02:09.720]  我講的不是聖嬰耶穌誕生的那一天
[00:02:09.720 --> 00:02:12.760]  我是講祂誕生之後33年
[00:02:12.760 --> 00:02:16.660]  成年耶穌被釘在十字架上面的那一天
[00:02:16.660 --> 00:02:18.560]  那一天是我們唯一的出路
[00:02:18.560 --> 00:02:21.000]  是我們唯一的希望
[00:02:21.000 --> 00:02:22.120]  而那一天
[00:02:22.120 --> 00:02:24.660]  當耶穌被釘在十字架上面
[00:02:24.660 --> 00:02:26.520]  是聖誕的目的
[00:02:26.520 --> 00:02:29.100]  是聖誕的承傳
[00:02:29.100 --> 00:02:32.460]  是聖誕的真正的意義
[00:02:32.460 --> 00:02:33.360]  十字架
[00:02:33.360 --> 00:02:35.020]  我想大家記住
[00:02:35.020 --> 00:02:39.460]  是我們唯一的拯救
[00:02:39.460 --> 00:02:42.360]  但是我們回到今天的聖經
[00:02:42.360 --> 00:02:46.960]  那段《彈爾里書》第一章第一至二節
[00:02:46.960 --> 00:02:48.660]  如果有人問我們
[00:02:48.660 --> 00:02:52.300]  我們說《彈爾里書》是一本怎樣的書
[00:02:52.300 --> 00:02:54.520]  盧牧師上兩個星期已經跟你說
[00:02:54.520 --> 00:02:57.200]  《彈爾里書》是一本Ebook
[00:02:57.200 --> 00:02:59.520]  一本關於Excel的書
[00:02:59.520 --> 00:03:03.520]  《彈爾里書》是一本關於在秘魯中
[00:03:03.520 --> 00:03:08.460]  等待聖誕等待上帝來臨的一本書
[00:03:08.460 --> 00:03:10.400]  那個序幕一打開
[00:03:10.400 --> 00:03:15.300]  就是猶太人秘魯巴比倫歷史的場景
[00:03:15.300 --> 00:03:16.400]  《彈爾里書》第一章
[00:03:16.400 --> 00:03:18.120]  第一節這麼說
[00:03:18.120 --> 00:03:21.560]  猶大王約瓦徑在位第三年
[00:03:21.560 --> 00:03:23.360]  巴比倫王尼布甲尼撒
[00:03:23.360 --> 00:03:25.160]  來到耶路撒冷
[00:03:25.160 --> 00:03:26.500]  將城圍困
[00:03:26.500 --> 00:03:27.400]  如果大家記得
[00:03:27.400 --> 00:03:31.920]  那天大概是公元前605年
[00:03:31.920 --> 00:03:36.360]  那天也是彈爾里秘魯巴比倫的日子
[00:03:36.360 --> 00:03:40.260]  南國的猶大為什麼會遭遇不幸
[00:03:40.260 --> 00:03:45.160]  聖城耶路撒冷為什麼會被敵國所圍困
[00:03:45.160 --> 00:03:51.600]  原來原因是因為猶大王約瓦徑的惡行
[00:03:51.600 --> 00:03:55.460]  當我們回到《獵王紀夏》第二十三章的時候
[00:03:55.460 --> 00:03:57.060]  聖經告訴我們
[00:03:57.060 --> 00:04:01.920]  之所以有秘魯是因為約瓦徑在耶路撒冷作王
