
[00:00:00.000 --> 00:00:02.000]  丁姐妹新年好
[00:00:02.000 --> 00:00:05.600]  感謝上帝讓我們能夠踏進2025年
[00:00:05.600 --> 00:00:10.720]  雖然這個新的一年有很多不確定的因素
[00:00:10.720 --> 00:00:13.960]  也在開年之初我們也看到
[00:00:13.960 --> 00:00:16.960]  無論我們香港或者世界各地
[00:00:16.960 --> 00:00:19.400]  都是真的有不平康的時候
[00:00:19.400 --> 00:00:22.680]  西九那條公路一個奪命的車禍
[00:00:22.680 --> 00:00:27.600]  也都在這個韓國的飛機也都失事
[00:00:27.600 --> 00:00:32.240]  而在美國也都有人是開車撞入群眾裏面
[00:00:32.240 --> 00:00:34.760]  是傷及很多的無辜
[00:00:34.760 --> 00:00:37.600]  我們真的不知道這個新的年頭
[00:00:37.600 --> 00:00:40.160]  究竟我們要走的路是怎樣
[00:00:40.160 --> 00:00:41.720]  但我們只知道一件事
[00:00:41.720 --> 00:00:45.000]  就是你要專心要依靠上帝
[00:00:45.000 --> 00:00:47.440]  行在他的心意裏面的時候
[00:00:47.440 --> 00:00:49.200]  無論任何的風雨
[00:00:49.200 --> 00:00:51.040]  無論任何的挑戰
[00:00:51.040 --> 00:00:56.960]  或者不是我們所原先的規劃的行程表
[00:00:56.960 --> 00:01:00.120]  有很多的可能突發的需要和事情
[00:01:00.120 --> 00:01:02.840]  但我們在應變不同的危機的時候
[00:01:02.840 --> 00:01:06.920]  我們心中有上主與我們同行這一份的同在
[00:01:06.920 --> 00:01:10.600]  以及恩典平安以及能力
[00:01:10.600 --> 00:01:13.400]  我今天選了這個詩篇118篇
[00:01:13.400 --> 00:01:15.320]  就是很想和大家聊聊看
[00:01:15.320 --> 00:01:17.960]  昔日神的子民在他們回歸
[00:01:17.960 --> 00:01:22.840]  回到聖地他們要重建聖殿聖場
[00:01:22.840 --> 00:01:24.440]  他們怎樣來學習
[00:01:24.440 --> 00:01:27.400]  去真正的這種歸回
[00:01:27.400 --> 00:01:30.240]  我們要清謝耶和華
[00:01:30.240 --> 00:01:32.800]  詩篇分為五卷
[00:01:32.800 --> 00:01:36.600]  有不同的一些體裁的詩歌
[00:01:36.600 --> 00:01:40.840]  但是卷五可以說是一個歸回的詩篇
[00:01:40.840 --> 00:01:42.600]  四十四首的詩篇
[00:01:42.600 --> 00:01:44.920]  都是講述到神的子民
[00:01:44.920 --> 00:01:46.880]  他們怎樣去回歸
[00:01:46.880 --> 00:01:52.480]  回到聖地去敬拜和侍奉上帝
