
[00:00:00.000 --> 00:00:04.640]  今天我跟各位來看一段的禱告
[00:00:04.640 --> 00:00:13.160]  今天所看的經文是跟我們過去有讀傳道書
[00:00:13.160 --> 00:00:19.240]  然後我曾經也用耶穌在福音書當中的跟門徒的教導
[00:00:19.240 --> 00:00:23.960]  我們一起來學 我們真的是懂得禱告嗎
[00:00:23.960 --> 00:00:29.360]  所以今天其實我很想從就約一個禱告裡面來讓我們
[00:00:29.360 --> 00:00:32.640]  其實也是接續傳道書的信息
[00:00:32.640 --> 00:00:38.240]  然後我希望這個禱告是幫助我們怎麼樣在我們生活當中
[00:00:38.240 --> 00:00:42.440]  或者說剛才在主持帶領我們的禱告裡面說
[00:00:42.440 --> 00:00:45.600]  柬埔寨他們的那種狀況
[00:00:45.600 --> 00:00:53.040]  他們那些人如果他們真的很想改變他們的人生的話
[00:00:53.040 --> 00:01:00.720]  那我們會是怎麼樣的可以在當中來學會學一個功課
[00:01:00.720 --> 00:01:03.320]  這段經文其實是對於我們來說
[00:01:03.320 --> 00:01:08.240]  我不曉得有多少弟兄姐妹你曾經有讀過這段經文
[00:01:08.240 --> 00:01:10.520]  或者說你認識這個禱告
[00:01:10.520 --> 00:01:14.320]  我把它的題目叫做禍福與共的禱告
[00:01:14.320 --> 00:01:17.080]  就像我們剛才有讀起經文
[00:01:17.080 --> 00:01:18.640]  你大概還有印象
[00:01:18.640 --> 00:01:23.920]  有些是講到什麼是什麼人有福了 然後是什麼人有禍
[00:01:23.920 --> 00:01:29.920]  這個是在人生當中是會有福 也有禍的時候
[00:01:29.920 --> 00:01:32.840]  今天這段經文只有兩節的經文
[00:01:32.840 --> 00:01:40.840]  但我相信我需要用兩次來跟各位來去領受這段經文
[00:01:40.840 --> 00:01:43.240]  所以今天是第一講
[00:01:43.240 --> 00:01:48.720]  然後兩個禮拜以後我就會再繼續講這段經文的第二講
[00:01:48.720 --> 00:01:59.080]  所以今天你大概還聽過以後大概還沒有完全是講到的信息
[00:01:59.080 --> 00:02:03.680]  我跟各位先看這段經文好了
[00:02:03.680 --> 00:02:10.440]  一代之上的第四章的九到十節
[00:02:10.440 --> 00:02:14.120]  有誰之前有看過這段經文的
[00:02:14.120 --> 00:02:16.560]  好 都有一些弟兄姐妹
[00:02:16.560 --> 00:02:18.200]  我們先讀一遍好了
[00:02:18.200 --> 00:02:21.560]  因為有些弟兄姐妹大概還沒有讀過這段經文
[00:02:21.560 --> 00:02:24.000]  我們看到的 我們有看到嗎
[00:02:24.000 --> 00:02:25.280]  這邊都有看到
[00:02:25.280 --> 00:02:26.920]  我們一起來讀這段的經文
[00:02:26.920 --> 00:02:28.320]  預備 來
[00:02:28.320 --> 00:02:32.520]  亞比斯比他中弟兄更尊貴
[00:02:32.520 --> 00:02:36.280]  他母親給他起名叫亞比斯
[00:02:36.280 --> 00:02:40.280]  意思說我生他甚是痛苦
[00:02:40.280 --> 00:02:44.000]  亞比斯求告以色列的神說
[00:02:44.000 --> 00:02:49.040]  聖怨祢賜福於我 擴張我的境界
[00:02:49.040 --> 00:02:55.120]  常與我同在 保佑我不遭患難 不受艱苦
[00:02:55.120 --> 00:03:00.880]  神就應允他所求的
[00:03:00.880 --> 00:03:02.400]  這個意思大概就是說
[00:03:02.400 --> 00:03:05.560]  亞比斯用了這個禱告
[00:03:05.560 --> 00:03:06.760]  向神禱告
[00:03:06.760 --> 00:03:10.680]  神有沒有聽 神有沒有答應
[00:03:10.680 --> 00:03:12.520]  有
[00:03:12.520 --> 00:03:16.160]  有沒有人試過你這樣子跟他學他的禱告
[00:03:16.160 --> 00:03:19.560]  神有沒有聽你的禱告
[00:03:19.560 --> 00:03:20.760]  有沒有人
[00:03:20.760 --> 00:03:23.240]  有些人他們以前曾經希望
[00:03:23.240 --> 00:03:26.880]  他說鼓勵你把這個禱告背起來
[00:03:26.880 --> 00:03:29.400]  當你每一次上神禱告的時候
[00:03:29.400 --> 00:03:31.680]  你就用這段經文來禱告
[00:03:31.680 --> 00:03:33.920]  把它重複的禱告
[00:03:33.920 --> 00:03:36.040]  一次不夠兩次三次
[00:03:36.040 --> 00:03:40.080]  他就會大概呼籲你說神就會應允的
[00:03:40.080 --> 00:03:41.440]  神就會答應的
[00:03:41.440 --> 00:03:44.960]  我不知道你有沒有這樣子的經驗
[00:03:44.960 --> 00:03:49.320]  今天禱告文講到一個人叫亞比斯
[00:03:49.320 --> 00:03:52.680]  亞比斯他是在救約的時候
