
[00:00:00.000 --> 00:00:03.000]  弟兄們 平安
[00:00:03.000 --> 00:00:06.500]  想一下你今天開車來到教會
[00:00:06.500 --> 00:00:08.600]  你經歷了什麼
[00:00:08.600 --> 00:00:10.600]  你打開了車門
[00:00:10.600 --> 00:00:12.900]  然後坐在駕駛座上
[00:00:12.900 --> 00:00:15.200]  啟動 換檔
[00:00:15.200 --> 00:00:16.900]  然後在開車的路上
[00:00:16.900 --> 00:00:19.700]  你打開音樂或者廣播
[00:00:19.700 --> 00:00:21.000]  到了教會
[00:00:21.000 --> 00:00:23.600]  如果你找到一個比較近一點的停車位
[00:00:23.600 --> 00:00:26.300]  你說今天真幸運
[00:00:26.300 --> 00:00:27.900]  但是今天
[00:00:27.900 --> 00:00:32.300]  你有沒有因為開你這輛車
[00:00:32.300 --> 00:00:34.700]  而感到興奮呢
[00:00:34.700 --> 00:00:36.200]  如果有的話呢
[00:00:36.200 --> 00:00:40.500]  表示你剛買新車
[00:00:40.500 --> 00:00:41.600]  事實上
[00:00:41.600 --> 00:00:44.500]  因為你太熟悉這輛車子
[00:00:44.500 --> 00:00:49.100]  所以你不太會因為開它而感到興奮
[00:00:49.100 --> 00:00:50.200]  但是你還記得
[00:00:50.200 --> 00:00:53.500]  你第一次開這台車的感覺嗎
[00:00:53.500 --> 00:00:55.300]  非常不懂 對嗎
[00:00:55.300 --> 00:00:57.100]  你很興奮地去研究
[00:00:57.100 --> 00:00:59.500]  車子的各種的功能
[00:00:59.500 --> 00:01:02.100]  聞那股新車的味道
[00:01:02.100 --> 00:01:06.300]  你們多少人的汽車芳香劑是選這個新車味的
[00:01:06.300 --> 00:01:08.100]  新車味
[00:01:08.100 --> 00:01:09.900]  你開著新車在路上
[00:01:09.900 --> 00:01:13.000]  你覺得你是萬人矚目的焦點
[00:01:13.000 --> 00:01:14.400]  所有人都在看你的車
[00:01:14.400 --> 00:01:17.400]  事實上沒有多少人在看
[00:01:17.400 --> 00:01:21.300]  但是你當時你的心思都在這輛車上面
[00:01:21.300 --> 00:01:26.100]  一點灰塵你都把它擦得乾乾淨淨
[00:01:26.100 --> 00:01:29.700]  但是當你習慣之後就不一樣了
[00:01:29.700 --> 00:01:30.900]  有句話說
[00:01:30.900 --> 00:01:35.700]  熟悉會帶來忽視
[00:01:35.700 --> 00:01:36.700]  意思就是說
[00:01:36.700 --> 00:01:39.200]  當激情消失
[00:01:39.200 --> 00:01:41.700]  一切被視為理所當然的時候
[00:01:41.700 --> 00:01:44.600]  就會帶來忽略
[00:01:44.600 --> 00:01:47.700]  而基督徒跟神的關係也是一樣的
[00:01:47.700 --> 00:01:50.300]  很多時候當基督徒在教會久了之後
[00:01:50.300 --> 00:01:56.600]  我們也會把敬拜侍奉神變為一個熟悉的習慣
[00:01:56.600 --> 00:02:00.500]  結果關係就被忽視了
[00:02:00.500 --> 00:02:01.600]  那麼弟兄姊妹
[00:02:01.600 --> 00:02:04.600]  在我們現在的信仰階段當中
[00:02:04.600 --> 00:02:09.200]  有沒有可能我們因為太過熟悉信仰的事物
[00:02:09.200 --> 00:02:14.700]  反而遺失了起初我們認識神的那個美好呢
[00:02:14.700 --> 00:02:17.700]  聖經的最後一卷書《啟示錄》
[00:02:17.700 --> 00:02:22.300]  就是要提醒所有在末世當中的信徒
[00:02:22.300 --> 00:02:25.200]  世界的結局將到
[00:02:25.200 --> 00:02:30.500]  而我們是否仍在正確的道路上面前進呢
[00:02:30.500 --> 00:02:34.600]  或者我們遺失了一些重要的事情
[00:02:34.600 --> 00:02:38.400]  今天我們要從《啟示錄》來學習主耶穌的教訓
[00:02:38.400 --> 00:02:39.600]  在《啟示錄》當中
