
[00:00:00.000 --> 00:00:02.560]  好 邀請大家先一起低頭祈禱
[00:00:02.560 --> 00:00:09.200]  聖賢子 祢的話語滿有生命
[00:00:09.200 --> 00:00:11.200]  滿有亮光和盼望
[00:00:11.200 --> 00:00:14.360]  懇求聖靈 祢都是去巧遇我們
[00:00:14.360 --> 00:00:17.640]  讓我們能夠明白祢話語中的奧秘
[00:00:17.640 --> 00:00:21.040]  成為生命力量的泉源和方向
[00:00:21.040 --> 00:00:22.940]  多謝祢聽我們的祈禱
[00:00:22.940 --> 00:00:24.480]  藉著耶穌基督的名求
[00:00:24.480 --> 00:00:25.440]  阿們
[00:00:29.000 --> 00:00:30.440]  雖然大家都經歷了
[00:00:30.440 --> 00:00:34.160]  二零二五年是一個令人很動盪不安的年頭
[00:00:34.160 --> 00:00:37.080]  剛才施班去代表我們
[00:00:37.080 --> 00:00:38.760]  來到向上帝獻詩的時候
[00:00:38.760 --> 00:00:39.920]  都問了一個問題
[00:00:39.920 --> 00:00:42.960]  誰主宰明天呢?
[00:00:42.960 --> 00:00:46.880]  剛才卓偉大兄帶我們祈禱的時候
[00:00:46.880 --> 00:00:48.520]  都點出了一樣東西就是
[00:00:48.520 --> 00:00:52.840]  當美國的新的總統就職之後
[00:00:52.840 --> 00:00:54.440]  一連串的操作
[00:00:54.840 --> 00:00:59.640]  有人形容這位總統是鼓勵不了的總統
[00:00:59.640 --> 00:01:05.840]  帶來的就是很多的政治局勢更加緊張
[00:01:05.840 --> 00:01:11.120]  經濟不單止我們感覺到在香港都很不穩定
[00:01:11.120 --> 00:01:13.320]  都是席捲全球
[00:01:13.320 --> 00:01:15.760]  人與人之間的價值觀
[00:01:15.760 --> 00:01:18.720]  我們發現不單止不同
[00:01:18.720 --> 00:01:19.960]  沒問題的不同
[00:01:19.960 --> 00:01:22.800]  不過似乎出現了一些分化和對立
[00:01:22.800 --> 00:01:24.600]  並且非常之嚴重
[00:01:25.640 --> 00:01:28.960]  科技的發展令我們都很開心
[00:01:28.960 --> 00:01:34.040]  但同時也會令我們有些迷失和迷惘的狀況
[00:01:34.040 --> 00:01:36.920]  我相信我們大家都會同意
[00:01:36.920 --> 00:01:39.560]  我們正面臨一個很巨大的挑戰
[00:01:39.560 --> 00:01:43.640]  在這個狀況之下
[00:01:43.640 --> 00:01:47.600]  今天的經文給我們有什麼提醒呢?
[00:01:47.600 --> 00:01:51.240]  原來正好給我們有四方面的提醒
[00:01:51.240 --> 00:01:54.720]  包括我們要效法屬靈的榜樣
[00:01:55.520 --> 00:01:59.080]  包括我們要警惕當代一些錯誤的生活方式
[00:01:59.080 --> 00:02:02.920]  包括我們要活出天國子民的身份
[00:02:02.920 --> 00:02:06.520]  以及在這個不安的世代裡
[00:02:06.520 --> 00:02:10.520]  我們怎樣可以靠著上帝去站立得穩
[00:02:10.520 --> 00:02:13.240]  新一十七節
[00:02:13.240 --> 00:02:15.120]  保羅說:弟兄們
[00:02:15.120 --> 00:02:17.200]  你們要一同效法我
[00:02:17.200 --> 00:02:20.840]  也應該留意那些效法我們榜樣的人
[00:02:20.840 --> 00:02:23.240]  保羅邀請我們效法他
[00:02:24.120 --> 00:02:26.760]  就好像他效法基督一樣
[00:02:26.760 --> 00:02:29.120]  我們跟著耶穌
[00:02:29.120 --> 00:02:31.440]  我們要擺一個師傅
[00:02:31.440 --> 00:02:35.920]  當然要跟一個真真正正
[00:02:35.920 --> 00:02:37.840]  跟著我們的師傅
