
[00:00:00.000 --> 00:00:03.000]  敵兄弟妹平安
[00:00:03.000 --> 00:00:07.000]  今天我想跟各位來看一段的經文
[00:00:07.000 --> 00:00:11.000]  可能是對一些敵兄弟妹很熟悉的經文
[00:00:11.000 --> 00:00:15.000]  也就像宋軍牧師講
[00:00:15.000 --> 00:00:17.000]  他上次講馬可福音
[00:00:17.000 --> 00:00:20.000]  我今天還是會講馬可福音
[00:00:20.000 --> 00:00:23.000]  上次他有一位姐妹送他一本書
[00:00:23.000 --> 00:00:27.000]  讓他可以在講馬可福音之前來看看
[00:00:27.000 --> 00:00:31.000]  那本書是我跟宋牧師同一個神學院
[00:00:31.000 --> 00:00:34.000]  是我們神學院老師寫的書
[00:00:34.000 --> 00:00:36.000]  這是我們好好讀下
[00:00:36.000 --> 00:00:40.000]  讓我們講的不要太離譜
[00:00:40.000 --> 00:00:42.000]  沒關係
[00:00:42.000 --> 00:00:45.000]  我想是跟各位來講一個
[00:00:45.000 --> 00:00:47.000]  在福音書當中
[00:00:47.000 --> 00:00:52.000]  你看到耶穌祂行了很多的審計
[00:00:52.000 --> 00:00:54.000]  一個很熟悉的
[00:00:54.000 --> 00:00:58.000]  對很多人來講是一個蠻熟悉的神跡
[00:00:58.000 --> 00:01:00.000]  就是叫五秉二虞
[00:01:00.000 --> 00:01:02.000]  而且這個特別的地方是什麼
[00:01:02.000 --> 00:01:05.000]  如果你知道在聖經裡面
[00:01:05.000 --> 00:01:10.000]  有四卷的福音書記載耶穌的生平
[00:01:10.000 --> 00:01:14.000]  在當中五秉二虞
[00:01:14.000 --> 00:01:19.000]  是四個福音書當中都有記載的神跡
[00:01:19.000 --> 00:01:20.000]  這是一個很特別的
[00:01:20.000 --> 00:01:23.000]  所以這次我在我的講到的安排當中
[00:01:23.000 --> 00:01:25.000]  我很想跟各位來看一下
[00:01:25.000 --> 00:01:29.000]  在馬可福音講到五秉二虞的神跡
[00:01:29.000 --> 00:01:34.000]  然後我會看約翰福音的五秉二虞的神跡
[00:01:34.000 --> 00:01:37.000]  當中他們有很多相同的地方
[00:01:37.000 --> 00:01:39.000]  但也有一些不同的重點
[00:01:39.000 --> 00:01:42.000]  所以我想從兩個福音書當中
[00:01:42.000 --> 00:01:45.000]  講五秉二虞的時候跟大家來講
[00:01:45.000 --> 00:01:48.000]  我今天第一次講的時候
[00:01:48.000 --> 00:01:50.000]  我先跟各位講
[00:01:50.000 --> 00:01:53.000]  馬可福音的五秉二虞的神跡
[00:01:53.000 --> 00:01:54.000]  這是第一講
[00:01:54.000 --> 00:01:58.000]  以後我還會陸續會繼續講五秉二虞
[00:01:58.000 --> 00:02:03.000]  所以如果你以後有機會吃到餅跟魚的話
[00:02:03.000 --> 00:02:06.000]  希望你記得這個神跡
[00:02:06.000 --> 00:02:11.000]  我們先來讀一遍馬可福音的經文
[00:02:11.000 --> 00:02:13.000]  讓大家有點印象
[00:02:13.000 --> 00:02:16.000]  看我們對馬可福音五秉二虞的神跡
[00:02:16.000 --> 00:02:20.000]  有一點印象
[00:02:20.000 --> 00:02:23.000]  這個題目我把它先叫做你們給他們吃吧
[00:02:23.000 --> 00:02:26.000]  這個是在馬可福音裡面有出現的
[00:02:26.000 --> 00:02:29.000]  在約翰福音就有耶穌沒記載
[00:02:29.000 --> 00:02:30.000]  耶穌講這句話
[00:02:30.000 --> 00:02:34.000]  所以我們先看馬可福音五秉二虞的神跡
[00:02:34.000 --> 00:02:36.000]  有看到嗎
[00:02:36.000 --> 00:02:38.000]  可以看清楚嗎
[00:02:38.000 --> 00:02:40.000]  你們大概的視力比我好
[00:02:40.000 --> 00:02:47.000]  我們一起來讀一遍馬可福音的六章30到40事節
[00:02:47.000 --> 00:02:49.000]  看到我們一起來讀
