
[00:00:00.000 --> 00:00:02.680]  羅馬書的第28講
[00:00:02.680 --> 00:00:07.020]  羅馬書的第11章1至第10節
[00:00:07.020 --> 00:00:10.380]  我需要做一些回溫
[00:00:10.380 --> 00:00:13.560]  就是我們在第9章剛剛講完
[00:00:13.560 --> 00:00:17.220]  神將以色列人放在一邊暫時
[00:00:17.220 --> 00:00:18.440]  什麼原因?
[00:00:18.440 --> 00:00:21.260]  第9章說是因為神的主權
[00:00:21.260 --> 00:00:23.660]  是神將他們放在一邊
[00:00:23.660 --> 00:00:28.020]  但是以色列人不能夠逃避責任
[00:00:28.020 --> 00:00:30.720]  也是在第10章告訴我們
[00:00:30.720 --> 00:00:33.000]  是因為他們自己的不信
[00:00:33.000 --> 00:00:34.460]  他們的背叛
[00:00:34.460 --> 00:00:37.780]  所以神暫時將他們放在一邊
[00:00:37.780 --> 00:00:39.380]  所以有一次讓我們看到
[00:00:39.380 --> 00:00:42.460]  神的主權和人的責任
[00:00:42.460 --> 00:00:44.860]  永遠是相輔相成
[00:00:44.860 --> 00:00:46.520]  到了第11章
[00:00:46.520 --> 00:00:48.940]  一個很明顯的問題就是
[00:00:48.940 --> 00:00:51.940]  既然神將以色列人放在一邊
[00:00:51.940 --> 00:00:55.140]  神是不是已經棄絕了以色列人?
[00:00:55.140 --> 00:01:00.120]  這就是我們在第11章要回答的問題
[00:01:00.120 --> 00:01:04.480]  其實這個題目都很應時
[00:01:04.480 --> 00:01:06.800]  我們最近看到什麼?
[00:01:06.800 --> 00:01:09.500]  以色列和哈馬斯爭戰
[00:01:09.500 --> 00:01:12.940]  以色列又和伊朗爭戰
[00:01:12.940 --> 00:01:17.640]  這些國家都要將以色列趕盡殺絕
[00:01:17.640 --> 00:01:20.420]  將以色列人完全消滅
[00:01:20.420 --> 00:01:24.100]  究竟神是不是已經放棄了以色列人?
[00:01:24.100 --> 00:01:28.520]  究竟以色列會不會真的被這些國家消滅?
[00:01:28.520 --> 00:01:32.620]  我們今天就要回答這個問題
[00:01:32.620 --> 00:01:36.100]  很多人看書都喜歡怎樣?
[00:01:36.100 --> 00:01:38.580]  回到最後那章來看看
[00:01:38.580 --> 00:01:41.700]  究竟是喜劇還是悲劇?
[00:01:41.700 --> 00:01:44.700]  如果你現在在電腦看電影的話
[00:01:44.700 --> 00:01:46.740]  你也可以快速前進
[00:01:46.740 --> 00:01:48.620]  到最後那一集
[00:01:48.620 --> 00:01:51.620]  看看究竟是喜劇還是悲劇
[00:01:51.620 --> 00:01:54.060]  很多人說悲劇我就不看了
[00:01:54.060 --> 00:01:56.820]  喜劇我就看
[00:01:56.820 --> 00:01:58.660]  我們都可以這樣做
[00:01:58.660 --> 00:02:00.620]  我們現在快速前進
[00:02:00.620 --> 00:02:04.260]  去到第11章最後的幾節經文
[00:02:04.260 --> 00:02:08.140]  就是11章的33節至36節
[00:02:08.140 --> 00:02:12.180]  我們看看究竟是喜劇還是悲劇
[00:02:12.180 --> 00:02:13.460]  經文怎麼說?
[00:02:13.460 --> 00:02:18.380]  保羅說願將榮耀歸給他直到永遠
[00:02:18.380 --> 00:02:22.500]  最後是以榮耀的祝福來結束
[00:02:22.500 --> 00:02:24.460]  保羅亦都說心災
[00:02:24.460 --> 00:02:27.380]  神豐富的智慧和知識
[00:02:27.380 --> 00:02:30.100]  祂的判斷何其難測
[00:02:30.100 --> 00:02:33.060]  祂的蹤跡何其難尋
[00:02:33.060 --> 00:02:37.620]  誰知道神的心誰作過祂的謀事呢?
[00:02:37.620 --> 00:02:42.420]  以讚美神以喜樂來結束第11章
[00:02:42.420 --> 00:02:44.220]  是喜劇收場
[00:02:44.220 --> 00:02:47.700]  就好像迪士尼的電影一樣
[00:02:47.700 --> 00:02:48.740]  喜劇收場
[00:02:48.740 --> 00:02:53.100]  所以我們知道神是不會放棄以色列
[00:02:53.100 --> 00:02:55.220]  這一章的主題是什麼?
[00:02:55.220 --> 00:02:57.500]  以色列將會復興
[00:02:57.500 --> 00:03:01.740]  得到神給以色列人所有的應許
[00:03:01.740 --> 00:03:04.020]  所有的榮耀
[00:03:04.020 --> 00:03:04.940]  為什麼?
[00:03:04.940 --> 00:03:09.340]  因為羅馬書的11章33至36節
[00:03:09.340 --> 00:03:14.220]  是以讚美來結束這一章的經文
[00:03:14.220 --> 00:03:19.540]  要明白這一章的書 我們要明白神的屬性
[00:03:19.540 --> 00:03:21.100]  神是怎樣的?
[00:03:21.100 --> 00:03:22.740]  神是信實的
[00:03:22.740 --> 00:03:26.020]  祂是言出必行的神
[00:03:26.020 --> 00:03:28.660]  在聖經裡面告訴我們神是信實的
[00:03:28.660 --> 00:03:30.260]  有什麼經文呢?
[00:03:30.260 --> 00:03:34.020]  希伯來書的10章第23節
