
[00:00:00.000 --> 00:00:05.000]  剛才我講了我今天的人物講的是以利亞
[00:00:05.000 --> 00:00:12.000]  以利亞其實是生長在以色列國分裂的時代
[00:00:12.000 --> 00:00:16.000]  即是以色列去分南國和北國的時候
[00:00:16.000 --> 00:00:18.000]  以利亞就是北國的先知
[00:00:18.000 --> 00:00:21.000]  大家在螢光幕那裏你會見到
[00:00:21.000 --> 00:00:26.000]  在北國裏面第一個的王就是耶羅波安
[00:00:26.000 --> 00:00:29.000]  早前其實已經有Pastor Ronald在我們當中
[00:00:29.000 --> 00:00:32.000]  去分享耶羅波安的事蹟
[00:00:32.000 --> 00:00:37.000]  而以利亞他就是生長在一路下去這麼多個王之後
[00:00:37.000 --> 00:00:39.000]  去到阿哈
[00:00:39.000 --> 00:00:41.000]  阿哈是哪一位呢
[00:00:41.000 --> 00:00:44.000]  就是上個星期Pastor Gloria在我們當中分享
[00:00:44.000 --> 00:00:46.000]  暗利的兒子
[00:00:46.000 --> 00:00:48.000]  他就是阿哈
[00:00:48.000 --> 00:00:51.000]  阿哈王他就娶了他的太太
[00:00:51.000 --> 00:00:54.000]  他的老婆就叫做耶洗別
[00:00:54.000 --> 00:00:57.000]  耶洗別他不是一個以色列人
[00:00:57.000 --> 00:00:59.000]  他是一個加南人
[00:00:59.000 --> 00:01:03.000]  並且他是加南人西頓王的女兒
[00:01:03.000 --> 00:01:05.000]  所以我們會知道的就是
[00:01:05.000 --> 00:01:09.000]  一個以色列人他和一個加南人他們結婚
[00:01:09.000 --> 00:01:15.000]  而在聖經裏面他記載原來阿哈很出名
[00:01:15.000 --> 00:01:17.000]  人出名只有兩樣東西
[00:01:17.000 --> 00:01:19.000]  一是你很好
[00:01:19.000 --> 00:01:21.000]  一是你很差
[00:01:21.000 --> 00:01:24.000]  而阿哈他出名之處是什麼呢
[00:01:24.000 --> 00:01:25.000]  就是後者
[00:01:25.000 --> 00:01:28.000]  在聖經記載他所行的
[00:01:28.000 --> 00:01:31.000]  爺爺和華以色列神的怒氣
[00:01:31.000 --> 00:01:35.000]  比他以前的以色列諸王更甚
[00:01:35.000 --> 00:01:38.000]  就是說阿哈他很出名
[00:01:38.000 --> 00:01:40.000]  是出名差
[00:01:40.000 --> 00:01:42.000]  在這麼多個以色列王的裏面
[00:01:42.000 --> 00:01:44.000]  他不止差
[00:01:44.000 --> 00:01:46.000]  他還是最差那個
[00:01:46.000 --> 00:01:48.000]  可能你又會問
[00:01:48.000 --> 00:01:51.000]  差有多差他做了些什麼
[00:01:51.000 --> 00:01:55.000]  令到在聖經裏面對他有這樣的記載
[00:01:55.000 --> 00:01:59.000]  他差就是因為他討好他老婆
[00:01:59.000 --> 00:02:00.000]  須起一個女人手
[00:02:00.000 --> 00:02:01.000]  就是什麼呢
[00:02:01.000 --> 00:02:04.000]  他為了討好他老婆爺洗別
[00:02:04.000 --> 00:02:06.000]  他就容讓爺洗別
[00:02:06.000 --> 00:02:10.000]  把那些加南文化引入去以色列國當中
[00:02:10.000 --> 00:02:11.000]  做了一樣東西
[00:02:11.000 --> 00:02:18.000]  就是他在首都建設了一個巴力的神廟
[00:02:18.000 --> 00:02:20.000]  巴力大家有沒有聽過
[00:02:20.000 --> 00:02:21.000]  有吧
[00:02:21.000 --> 00:02:23.000]  聖經常常都說巴力巴力
[00:02:23.000 --> 00:02:25.000]  他不止有巴力神廟
[00:02:25.000 --> 00:02:29.000]  還會樹立了一個叫做阿舍拉的神廚
[00:02:29.000 --> 00:02:33.000]  巴力其實就是加南人去敬拜的偶像
[00:02:33.000 --> 00:02:37.000]  負責的就是掌管雨水和風暴
[00:02:37.000 --> 00:02:39.000]  那時候的人就相信
[00:02:39.000 --> 00:02:41.000]  如果我討好巴力的時候
[00:02:41.000 --> 00:02:43.000]  巴力就會有雨水
