
[00:00:00.000 --> 00:00:05.000]  今天我們會看生命記第二十章
[00:00:05.000 --> 00:00:08.500]  這是很重要的一章聖經
[00:00:08.500 --> 00:00:14.000]  神給我們每一個人都有一個普遍的照明
[00:00:14.000 --> 00:00:16.500]  當然也有特別的照明
[00:00:16.500 --> 00:00:20.000]  譬如我被神呼召成傳道人
[00:00:20.000 --> 00:00:23.500]  但不是神呼召所有人都成為傳道人
[00:00:23.500 --> 00:00:25.500]  但是傳福音這個使命
[00:00:25.500 --> 00:00:28.500]  每一個紀錄圖都要承擔
[00:00:28.500 --> 00:00:31.500]  我們究竟有些什麼的照明呢?
[00:00:31.500 --> 00:00:36.000]  我們不如來看看前書第二章第九節
[00:00:36.000 --> 00:00:38.000]  我們請二汪同學讀出來好嗎?
[00:00:38.000 --> 00:00:41.000]  唯有你們是被簡選的族類
[00:00:41.000 --> 00:00:43.500]  是有君尊的祭司
[00:00:43.500 --> 00:00:45.000]  是聖潔的國道
[00:00:45.000 --> 00:00:47.000]  是屬神的子民
[00:00:47.000 --> 00:00:48.500]  要叫你們宣揚
[00:00:48.500 --> 00:00:50.000]  那照你們出黑暗
[00:00:50.000 --> 00:00:52.500]  入奇妙光明者的美德
[00:00:52.500 --> 00:00:54.500]  這裡很清楚說到
[00:00:54.500 --> 00:00:57.000]  神來帶去簡選了我們
[00:00:57.000 --> 00:00:58.500]  是有君尊的祭司
[00:00:58.500 --> 00:01:00.000]  是聖潔的國道
[00:01:00.000 --> 00:01:01.500]  是屬神的子民
[00:01:01.500 --> 00:01:02.500]  要宣揚
[00:01:02.500 --> 00:01:03.500]  那照你們出黑暗
[00:01:03.500 --> 00:01:05.500]  入奇妙光明者的美德
[00:01:05.500 --> 00:01:07.500]  這是很重要的
[00:01:07.500 --> 00:01:09.500]  所以我們要知道
[00:01:09.500 --> 00:01:11.500]  我們每一個紀錄圖都要承擔責任
[00:01:11.500 --> 00:01:13.000]  但是正如我剛才所說
[00:01:13.000 --> 00:01:15.500]  譬如神會呼召保羅
[00:01:15.500 --> 00:01:17.000]  呼召彼得
[00:01:17.000 --> 00:01:18.500]  成為他的使徒
[00:01:18.500 --> 00:01:20.500]  而神也呼召了我們
[00:01:20.500 --> 00:01:22.500]  去作為神的僕人
[00:01:22.500 --> 00:01:24.500]  所以我們每人都要思想
[00:01:24.500 --> 00:01:27.000]  究竟神有什麼特別的照明
[00:01:27.000 --> 00:01:28.000]  在我們身上
[00:01:28.000 --> 00:01:29.500]  我們要好好地遵從
[00:01:29.500 --> 00:01:30.000]  好了
[00:01:30.000 --> 00:01:33.000]  那神在以色列人進入迦南地之前
[00:01:33.000 --> 00:01:35.000]  就有一個特別的照明
[00:01:35.000 --> 00:01:36.000]  我們已經說過了
[00:01:36.000 --> 00:01:37.500]  生命記嘛
[00:01:37.500 --> 00:01:40.500]  就是重新把神的律例誡命告訴他們
[00:01:40.500 --> 00:01:41.500]  但是這個新一代
[00:01:41.500 --> 00:01:43.500]  他們要進入迦南地了
[00:01:43.500 --> 00:01:46.500]  那神就會給他們一個特別的照明
[00:01:46.500 --> 00:01:48.000]  有一些法例
[00:01:48.000 --> 00:01:49.500]  十字十戒
[00:01:49.500 --> 00:01:51.500]  或者那些律法典章
[00:01:51.500 --> 00:01:54.500]  有些可以應用在我們今天的生活上
[00:01:54.500 --> 00:01:57.000]  給我們現世人一些反省
[00:01:57.000 --> 00:01:59.500]  但是有些就未必一定能夠應用
[00:01:59.500 --> 00:02:01.500]  在生命記十章裡面
[00:02:01.500 --> 00:02:03.000]  是神命令他們
[00:02:03.000 --> 00:02:06.500]  怎樣跟迦南地的人去作戰
[00:02:06.500 --> 00:02:10.000]  要拿那個地方為他們的產業
[00:02:10.000 --> 00:02:12.500]  這一章就說到
[00:02:12.500 --> 00:02:14.500]  怎樣去參軍
[00:02:14.500 --> 00:02:16.500]  參軍的條件是怎麼樣
[00:02:16.500 --> 00:02:18.500]  在戰爭的過程
[00:02:18.500 --> 00:02:21.000]  應該有什麼程序
[00:02:21.000 --> 00:02:23.000]  才會發動戰爭呢
[00:02:23.000 --> 00:02:25.000]  還有那個方法
[00:02:25.000 --> 00:02:28.000]  當中有時候會使我們質疑
[00:02:28.000 --> 00:02:30.500]  為什麼神這麼殘忍呢
[00:02:30.500 --> 00:02:32.500]  這個是我自己
[00:02:32.500 --> 00:02:34.500]  順著的時候看到這些經文
[00:02:34.500 --> 00:02:37.500]  我也覺得神為什麼會這樣做
[00:02:37.500 --> 00:02:41.000]  要以色列人滅光別人的民族
[00:02:41.000 --> 00:02:42.000]  是很恐怖的
[00:02:42.000 --> 00:02:44.000]  當然今天我們也會好好的分析
[00:02:44.000 --> 00:02:45.500]  這一章的聖經裡面
[00:02:45.500 --> 00:02:47.000]  我們也會看一看
[00:02:47.000 --> 00:02:48.500]  而十章第一到第九節
[00:02:48.500 --> 00:02:51.500]  就是普遍戰爭的條例是什麼
[00:02:51.500 --> 00:02:54.000]  第十到第十八節
[00:02:54.000 --> 00:02:57.500]  就是特別針對迦南人的戰爭
[00:02:57.500 --> 00:02:59.500]  所以這一段就未必等於
[00:02:59.500 --> 00:03:03.000]  今天適用在我們現在的社會裡面
[00:03:03.000 --> 00:03:05.500]  那麼十九到二十節
[00:03:05.500 --> 00:03:08.500]  就是攻陷之後那個地方
[00:03:08.500 --> 00:03:10.500]  你要守什麼原則
[00:03:10.500 --> 00:03:14.500]  這個是這一章聖經裡面的分章節
[00:03:14.500 --> 00:03:16.500]  我們一開始看的時候是怎麼樣
[00:03:16.500 --> 00:03:19.500]  這場戰爭是什麼呢
[00:03:19.500 --> 00:03:21.500]  不只是人去打的
[00:03:21.500 --> 00:03:24.500]  是和神一起去作戰的
[00:03:24.500 --> 00:03:26.500]  是神人共戰
[00:03:26.500 --> 00:03:29.500]  我們先看看二十章的第一節
[00:03:29.500 --> 00:03:31.000]  二十章第一節
[00:03:31.000 --> 00:03:34.000]  你出去與仇敵爭戰的時候
[00:03:34.000 --> 00:03:36.000]  看見馬匹、車輛
[00:03:36.000 --> 00:03:38.000]  並有比你多的人民
[00:03:38.000 --> 00:03:39.000]  不要怕他們
[00:03:39.000 --> 00:03:42.000]  因為領你出埃及地的耶和華
[00:03:42.000 --> 00:03:43.500]  你神與你同在
[00:03:43.500 --> 00:03:45.500]  一開始的時候
[00:03:45.500 --> 00:03:47.500]  神就提醒一幫子民
