
[00:00:00.000 --> 00:00:04.600]  今天的講題是《私比受更為有福》
[00:00:04.600 --> 00:00:08.240]  基於我們第三季的主題
[00:00:08.240 --> 00:00:11.620]  關愛社群 樂善好事
[00:00:11.620 --> 00:00:15.580]  希望透過這次的分享
[00:00:15.580 --> 00:00:18.320]  特別是將我們社會服務的部分
[00:00:18.320 --> 00:00:20.860]  去感恩
[00:00:20.860 --> 00:00:22.620]  在當中給予提醒
[00:00:22.620 --> 00:00:26.020]  鼓勵警察會預備心為主走出去
[00:00:26.020 --> 00:00:27.060]  我們誓有禱告
[00:00:27.060 --> 00:00:31.200]  天父 多謝祢保守我們能夠真的一起去敬拜祢
[00:00:31.200 --> 00:00:33.200]  去親近祢
[00:00:33.200 --> 00:00:35.540]  所以我們更加願意在祢面前
[00:00:35.540 --> 00:00:37.980]  將自己完全的擺上
[00:00:37.980 --> 00:00:39.680]  用我們的恩賜
[00:00:39.680 --> 00:00:41.680]  讓我們能夠在這個地上
[00:00:41.680 --> 00:00:44.820]  能夠作圓作光的去服侍祢
[00:00:44.820 --> 00:00:48.120]  多謝祢在教會過往的日子裡面
[00:00:48.120 --> 00:00:50.320]  一直拖帶並且啟示
[00:00:50.320 --> 00:00:53.260]  將智慧和能力賜予給我們
[00:00:53.260 --> 00:00:58.060]  讓我們能夠立志走出這個安全區
[00:00:58.060 --> 00:01:03.100]  讓我們能夠更加帶著祢自己的愛和你的寬容
[00:01:03.100 --> 00:01:05.260]  去傳揚福音
[00:01:05.260 --> 00:01:06.840]  去關心我們身邊的人
[00:01:06.840 --> 00:01:09.240]  聽我們吐靠奉教主耶穌基督的名
[00:01:09.240 --> 00:01:10.240]  Amen
[00:01:10.240 --> 00:01:13.740]  平時相信大家《私比受更為有福》
[00:01:13.740 --> 00:01:15.040]  其實是經常都聽的
[00:01:15.040 --> 00:01:16.680]  甚至可能在最初的時候
[00:01:16.680 --> 00:01:19.780]  我們都在想這句話其實是不是來自教會呢
[00:01:19.780 --> 00:01:21.620]  還是來自外面呢
[00:01:21.620 --> 00:01:25.960]  跟旁邊的人說這句話是耶穌親自說的
[00:01:25.960 --> 00:01:28.520]  記住了
[00:01:28.520 --> 00:01:30.560]  只是整本聖經
[00:01:30.560 --> 00:01:34.100]  只有《使徒行傳》的二十章三十五節
[00:01:34.100 --> 00:01:36.900]  是有記載了這句話的
[00:01:36.900 --> 00:01:39.640]  這句話是由我寶羅來的
[00:01:39.640 --> 00:01:42.940]  寶羅是跟他自己一班的會眾
[00:01:42.940 --> 00:01:45.280]  差不多說再見的那篇講章來的
[00:01:45.280 --> 00:01:48.680]  他說我凡事給你們作榜樣
[00:01:48.680 --> 00:01:51.720]  叫你們知道應當這樣勞苦
[00:01:51.720 --> 00:01:53.360]  扶助軟弱的人
[00:01:53.360 --> 00:01:55.760]  有當紀念主耶穌的話說
[00:01:55.760 --> 00:01:58.260]  私比受更為有福
[00:01:58.260 --> 00:02:00.060]  你看到寶羅的時候
[00:02:00.060 --> 00:02:01.900]  他說出這句話我們都是很佩服的
[00:02:01.900 --> 00:02:03.700]  因為寶羅一生真是一個
[00:02:03.700 --> 00:02:05.960]  成為我們很榜樣的人
[00:02:05.960 --> 00:02:08.700]  但是當他突然間寫著
[00:02:08.700 --> 00:02:10.300]  主耶穌曾經說的
[00:02:10.300 --> 00:02:11.400]  可能大家會想
[00:02:11.400 --> 00:02:14.680]  其實寶羅是沒有跟耶穌相遇過的
[00:02:14.680 --> 00:02:16.340]  在肉體上
[00:02:16.340 --> 00:02:18.280]  但是你又要知道
[00:02:18.280 --> 00:02:21.540]  為什麼寶羅一順口說的時候
[00:02:21.540 --> 00:02:24.080]  就說起耶穌說的這句話呢
[00:02:24.080 --> 00:02:25.720]  一般你想起某一個人
[00:02:25.720 --> 00:02:28.280]  經常都覺得他經常都說這句話
[00:02:28.280 --> 00:02:31.900]  就是因為他常常都掛在後面
[00:02:31.900 --> 00:02:33.220]  反而我們讀《基督生平》
[00:02:33.220 --> 00:02:34.860]  耶穌教導的《耶穌事蹟》
[00:02:34.860 --> 00:02:36.360]  門徒反而沒有寫過
[00:02:36.360 --> 00:02:38.100]  反而寶羅是一個
[00:02:38.100 --> 00:02:41.700]  沒有親自與耶穌相遇的使徒
[00:02:41.700 --> 00:02:43.200]  但反而他常常會記住
[00:02:43.200 --> 00:02:44.500]  我相信當時
[00:02:44.500 --> 00:02:47.300]  寶羅接觸的教會群體
[00:02:47.300 --> 00:02:49.340]  施比受更為有福
[00:02:49.340 --> 00:02:52.880]  一定是不斷在互相鼓勵
[00:02:52.880 --> 00:02:54.580]  互相鼓勵去做的
[00:02:54.580 --> 00:02:56.280]  正如今天我們也會鼓勵你
[00:02:56.280 --> 00:02:57.620]  學習這個精神
[00:02:57.620 --> 00:03:02.080]  好讓我們能夠樂意地做到福事
[00:03:02.080 --> 00:03:03.780]  我們多謝寶依依
[00:03:03.780 --> 00:03:06.820]  上個星期給我們一個很好的開頭
[00:03:06.820 --> 00:03:08.960]  讓我們知道小組也有很多討論
[00:03:08.960 --> 00:03:11.420]  究竟我們是否真的可以怨人
[00:03:11.420 --> 00:03:12.860]  怎樣對待自己
[00:03:12.860 --> 00:03:15.360]  我們會先怎樣對待人呢
[00:03:15.360 --> 00:03:18.740]  還是我們通常是先看看你怎樣對待我
[00:03:18.740 --> 00:03:20.600]  我才怎樣對待你
[00:03:20.600 --> 00:03:21.900]  耶穌說這句話
[00:03:21.900 --> 00:03:26.040]  其實與整個聖經的教導都頗為一致
[00:03:26.040 --> 00:03:27.780]  這個上瞻下留的祝福
[00:03:27.780 --> 00:03:29.440]  其實是從上帝而來的
[00:03:29.440 --> 00:03:31.980]  猶太人怎樣去看敬乾呢
[00:03:31.980 --> 00:03:33.920]  他們不是剔死大本份的
[00:03:33.920 --> 00:03:36.460]  他們不會去看教會上了多少次
[00:03:36.460 --> 00:03:38.280]  因為猶太人是很遠的
[00:03:38.280 --> 00:03:40.560]  但是一般的猶太人他們知道
[00:03:40.560 --> 00:03:42.860]  他們去周祭貧窮人
