
[00:00:00.000 --> 00:00:03.280]  好了 什麼叫做馳承哀索呢?
[00:00:03.280 --> 00:00:06.420]  其實如果我們去留意到的時候
[00:00:06.420 --> 00:00:08.860]  在《生命記》裡面很強調就是
[00:00:08.860 --> 00:00:13.520]  神他頒下了律法、誡命、典章、律例
[00:00:13.520 --> 00:00:16.280]  最重要我們很熟悉的就是十誡
[00:00:16.280 --> 00:00:19.740]  當然十誡是不止這麼簡單十條誡命
[00:00:19.740 --> 00:00:21.620]  裡面還有很多的細節
[00:00:21.620 --> 00:00:24.020]  譬如很簡單 說不可殺人
[00:00:24.020 --> 00:00:25.280]  就是這個誡命
[00:00:25.280 --> 00:00:28.540]  但是哪種情況之下他要判死刑呢?
[00:00:28.540 --> 00:00:31.680]  哪種情況之下他就算殺了人
[00:00:31.680 --> 00:00:34.020]  也不用處死呢?
[00:00:34.020 --> 00:00:36.640]  就有這些細節去探討
[00:00:36.640 --> 00:00:40.940]  所以我會跟大家一起去探討這些誡命、典章
[00:00:40.940 --> 00:00:43.940]  然後怎麼應用在我們今天的生活裡面
[00:00:43.940 --> 00:00:45.720]  這個是很重要的
[00:00:45.720 --> 00:00:49.380]  因為神的誡命今天仍然會在我們當中
[00:00:49.380 --> 00:00:51.700]  去實踐著
[00:00:51.700 --> 00:00:55.380]  最重要要了解律法的目的是什麼?
[00:00:55.380 --> 00:00:58.240]  律法的目的就是去維持秩序
[00:00:58.240 --> 00:01:02.420]  好 我們看看羅馬書第二章14到第16節
[00:01:02.420 --> 00:01:04.700]  我們請阮太華讀出來 好不好?
[00:01:04.700 --> 00:01:06.560]  沒有律法的外邦人
[00:01:06.560 --> 00:01:09.260]  若信在本性行律法上的事
[00:01:09.260 --> 00:01:10.900]  他們雖然沒有律法
[00:01:10.900 --> 00:01:12.900]  自己就是自己的律法
[00:01:12.900 --> 00:01:16.460]  這是顯出律法的功用刻在他們心裡
[00:01:16.460 --> 00:01:18.940]  他們是非之心同作見證
[00:01:18.940 --> 00:01:21.380]  凝視他們的思念互相較量
[00:01:21.380 --> 00:01:23.760]  或以為是或以為非
[00:01:23.760 --> 00:01:28.060]  就在神藉耶穌基督審判人隱蔽時的日子
[00:01:28.060 --> 00:01:30.280]  照著我的福音所言
[00:01:30.280 --> 00:01:33.500]  這裏很清楚的讓我們看到一件事就是
[00:01:33.500 --> 00:01:35.640]  原來沒有律法之先
[00:01:35.640 --> 00:01:38.880]  原來都已經人的內心裡面
[00:01:38.880 --> 00:01:43.860]  因為神是親自用他的靈的氣吹進我們人的裡面
[00:01:43.860 --> 00:01:46.240]  我們有神的靈在我們當中
[00:01:46.240 --> 00:01:49.940]  我們就能夠知道善與惡、是與非
[00:01:49.940 --> 00:01:51.940]  這樣未有律法之先
[00:01:51.940 --> 00:01:54.580]  我們都已經有了這個道德的標準
[00:01:54.580 --> 00:01:57.740]  所以某些程度律法並不是一件新鮮的事
[00:01:57.740 --> 00:02:00.460]  譬如剛才說的不可殺人
[00:02:00.460 --> 00:02:04.020]  未有這個十誡裏面的這條誡命之先
[00:02:04.020 --> 00:02:06.160]  他們都知道殺人是不對的
[00:02:06.160 --> 00:02:10.020]  其實一個國家、一個社會、一個家庭裏面
[00:02:10.020 --> 00:02:15.460]  一定要有律法才能夠維繫那個運作
[00:02:15.460 --> 00:02:18.180]  家庭也有?很簡單舉個例
[00:02:18.180 --> 00:02:22.940]  我想我們從小到大都被父母教導我們要做些事
[00:02:22.940 --> 00:02:25.180]  譬如去別人家裏的時候
[00:02:25.180 --> 00:02:28.580]  不要做些甚麼 特別是新年的時候
[00:02:28.580 --> 00:02:32.520]  特別現在新一代我更加要提醒父母
[00:02:32.520 --> 00:02:36.000]  譬如你的小朋友從小就訓練起的
[00:02:36.000 --> 00:02:39.540]  他們要玩手機、要上網看東西的時候
[00:02:39.540 --> 00:02:41.900]  你要限定他們的時間
[00:02:41.900 --> 00:02:45.340]  這些就是你們要定的律法
[00:02:45.340 --> 00:02:50.280]  一至五可能就不可以用手機看太多了
[00:02:50.280 --> 00:02:52.280]  做完功課搞定了
[00:02:52.280 --> 00:02:56.420]  就有半個小時至九個小時 不可以多
[00:02:56.420 --> 00:02:59.960]  星期六、日可能會多一點
[00:02:59.960 --> 00:03:02.560]  這個是我們做父母要定的
[00:03:02.560 --> 00:03:05.260]  你想想如果不去定這些規條
[00:03:05.260 --> 00:03:08.160]  你小朋友有沒有這個自制的能力?
[00:03:08.160 --> 00:03:11.700]  會不會好一點的 打半個小時就夠了
[00:03:11.700 --> 00:03:14.900]  打機 然後我們會讀書 如果是的話就要感恩
[00:03:14.900 --> 00:03:17.760]  就要去開感恩會
[00:03:17.760 --> 00:03:22.320]  但是你想一旦沒有這些規範 他就會放縱了
[00:03:22.320 --> 00:03:25.120]  同樣一個社會、一個國家
[00:03:25.120 --> 00:03:27.620]  如果沒有了律法的話
[00:03:27.620 --> 00:03:31.080]  我想沒有人敢出街 特別是女孩子 是不是?
[00:03:31.080 --> 00:03:35.180]  你也不會有安全感 打劫也沒有事
[00:03:35.180 --> 00:03:38.680]  現在有很大的悲哀 在美國甚至英國
[00:03:38.680 --> 00:03:42.920]  譬如你被人打劫 但是損失的人不是很多
[00:03:42.920 --> 00:03:46.180]  他們是不會去追究的 不會去查的
[00:03:46.180 --> 00:03:48.300]  繼續有縱容這件事
[00:03:48.300 --> 00:03:51.080]  所以神賜律法的目的
[00:03:51.080 --> 00:03:55.460]  就是要引導我們走上一條正確的路
[00:03:55.460 --> 00:03:59.280]  讓我們能夠活得平安穩妥
[00:03:59.280 --> 00:04:04.000]  律法是禁止我們做一些不義的事情 是不是?
[00:04:04.000 --> 00:04:05.740]  所以很多人都說
[00:04:05.740 --> 00:04:09.420]  你信耶穌給很多東西規範住的
[00:04:09.420 --> 00:04:12.400]  我就會問他 他規範我們那些是什麼?
[00:04:12.400 --> 00:04:14.680]  譬如很簡單舉個例子 不可姦淫
[00:04:14.680 --> 00:04:19.280]  我們就要對我們的配偶 一生一世是忠於對方的
[00:04:19.280 --> 00:04:21.740]  這樣家庭裡面就不會有混亂
[00:04:21.740 --> 00:04:25.000]  就不會有這些婚外情
[00:04:25.000 --> 00:04:27.140]  甚至破壞了家庭之間的關係
[00:04:27.140 --> 00:04:30.580]  所以你留意就是禁止我們做非義的事情
[00:04:30.580 --> 00:04:33.960]  維繫我們彼此之間的關係
[00:04:33.960 --> 00:04:37.820]  是神和人 人和自己
[00:04:37.820 --> 00:04:41.320]  人和別人 甚至跟大地的關係 是不是?
[00:04:41.320 --> 00:04:42.560]  很簡單舉個例子
[00:04:42.560 --> 00:04:44.920]  我們想一下 十誡裡面和神的關係
[00:04:44.920 --> 00:04:47.380]  除了我以外 你不可有別的神
[00:04:47.380 --> 00:04:50.920]  不可雕刻偶像來隨便去敬拜
[00:04:50.920 --> 00:04:54.800]  這個就是我們要單單的去敬拜 侍奉我們的神
[00:04:54.800 --> 00:04:56.900]  這個就是人和神的關係
[00:04:56.900 --> 00:04:59.600]  人和自己的關係 記不記得
[00:04:59.600 --> 00:05:03.100]  十誡裡面最長的誡命是哪一條?
[00:05:03.100 --> 00:05:05.900]  就是當守安息日
[00:05:05.900 --> 00:05:09.200]  不是這五個字 誡命是最長的
[00:05:09.200 --> 00:05:13.000]  原來他們在安息日裡面 他們什麼工作都不准做
[00:05:13.000 --> 00:05:15.200]  他們就要怎麼樣? 好好的休息
[00:05:15.200 --> 00:05:19.820]  今天有時候我們就會成為一個工作裡面的奴隸
[00:05:19.820 --> 00:05:23.340]  長時間工作 隨時會猝死
[00:05:23.340 --> 00:05:25.340]  我們需要來休息
[00:05:25.340 --> 00:05:28.780]  所以在安息日裡面 他們就要去敬拜神
[00:05:28.780 --> 00:05:31.760]  就是一段時間 然後就什麼都不可以做
[00:05:31.760 --> 00:05:34.580]  就要自己休息 接著又怎麼樣?
[00:05:34.580 --> 00:05:36.780]  跟家人共聚天倫
[00:05:36.780 --> 00:05:42.280]  所以這個就是人和神 人和自己一個很重要的關係
[00:05:42.280 --> 00:05:47.480]  這個時候 更加是跟人與人之間的關係
[00:05:47.480 --> 00:05:51.100]  對我們的父母 我們就要孝敬父母
[00:05:51.100 --> 00:05:53.760]  對我們的配偶不可姦淫 是不是?
[00:05:53.760 --> 00:05:57.100]  更加跟別人不可作假見證
[00:05:57.100 --> 00:05:59.480]  去陷害人 不可偷渡
[00:05:59.480 --> 00:06:01.360]  一會兒我們會再提一次
[00:06:01.360 --> 00:06:06.020]  所以當人要拒絕遵守這些誡命的時候
[00:06:06.020 --> 00:06:10.580]  這個時候 人的道德就會降低
[00:06:10.580 --> 00:06:13.820]  人與人之間的關係都會受到破壞
