
[00:00:00.000 --> 00:00:01.360]  (主席)各位電視節目早安
[00:00:01.360 --> 00:00:03.360]  (主席)首先恭喜
[00:00:03.360 --> 00:00:07.340]  (主席)江牧師和全日堂電視節目能夠來到一個新地方敬拜
[00:00:07.340 --> 00:00:11.320]  (主席)我也可以在一個新地方跟大家分享新的話語
[00:00:11.320 --> 00:00:15.200]  (主席)剛才主席多謝你幫我們讀出這節經文
[00:00:15.200 --> 00:00:16.800]  (主席)但是這節經文讀
[00:00:16.800 --> 00:00:19.520]  (主席)如果你有留心聽這節經文
[00:00:19.520 --> 00:00:22.480]  (主席)再看看講題好像不相關
[00:00:22.480 --> 00:00:26.000]  (主席)經文是講自衛,講題是講因典,為什麼呢?
[00:00:26.000 --> 00:00:27.000]  (主席)待會我講一講
[00:00:27.000 --> 00:00:30.320]  (主席)作為一個有子女的教睦
[00:00:30.320 --> 00:00:32.200]  (主席)最大的惡夢是什麼呢?
[00:00:32.200 --> 00:00:36.600]  (主席)最大的惡夢就是子女成長的時候不跟我回教會
[00:00:36.600 --> 00:00:44.080]  (主席)每一個不只是教睦而是服侍的基督徒
[00:00:44.080 --> 00:00:45.480]  (主席)如果有子女的
[00:00:45.480 --> 00:00:47.000]  (主席)其實最擔心的就是
[00:00:47.000 --> 00:00:51.400]  (主席)糟了,他長大了會不會不回教會
[00:00:51.400 --> 00:00:54.080]  (主席)學壞,離棄神
[00:00:54.080 --> 00:00:57.840]  (主席)這是經常令我們讀書的時候
[00:00:57.840 --> 00:01:00.160]  (主席)或者出來服侍的時候都睡不著
[00:01:00.160 --> 00:01:03.840]  (主席)因典我兩個小朋友都有跟我回教會
[00:01:03.840 --> 00:01:07.520]  (主席)在這方面暫時都交到功課
[00:01:07.520 --> 00:01:09.760]  (主席)因為最重要的是他們自己回去
[00:01:09.760 --> 00:01:11.760]  (主席)長大了都自己回教會
[00:01:11.760 --> 00:01:14.680]  (主席)而不是小時候你捉住他的手
[00:01:14.680 --> 00:01:16.840]  (主席)他沒辦法,他一定要跟你回去
[00:01:16.840 --> 00:01:19.160]  (主席)因為有朋友玩,有朋友仔
[00:01:19.160 --> 00:01:20.800]  (主席)但是長大了就不同了
[00:01:20.800 --> 00:01:23.960]  (主席)所以在歷代歷世
[00:01:23.960 --> 00:01:26.240]  (主席)怎樣去教導孩童
[00:01:26.240 --> 00:01:28.680]  (主席)在聖經都有很多的著墨
[00:01:28.680 --> 00:01:33.040]  (主席)其實很有趣,我今天講道的結構
[00:01:33.040 --> 00:01:37.320]  (主席)我不是只是講針研這一段的聖經
[00:01:37.320 --> 00:01:39.200]  (主席)我還會跟大家講一個
[00:01:39.200 --> 00:01:41.040]  (主席)你會很熟悉的
[00:01:41.040 --> 00:01:43.920]  (主席)新約的耶穌的教訓
[00:01:43.920 --> 00:01:46.640]  (主席)就是浪子的比喻
[00:01:46.640 --> 00:01:49.960]  (主席)有沒有人沒聽過浪子的比喻?
[00:01:49.960 --> 00:01:51.160]  (主席)有沒有?
[00:01:51.160 --> 00:01:52.080]  (主席)不要拍他
[00:01:52.080 --> 00:01:55.480]  (主席)OK,不要緊,我會講多一點基礎
[00:01:55.480 --> 00:01:58.960]  (主席)就是大家都很熟悉的
[00:01:58.960 --> 00:02:01.960]  (主席)做父母最擔心的就是這件事
[00:02:01.960 --> 00:02:04.680]  (主席)當然我們知道我們沒辦法做完美的父母
[00:02:04.680 --> 00:02:07.080]  (主席)所以神也知道這件事
[00:02:07.080 --> 00:02:10.600]  (主席)所以在聖經裡面賜給我們
[00:02:10.600 --> 00:02:12.160]  (主席)很重要的
[00:02:12.160 --> 00:02:14.400]  (主席)其實大家看到兩節經文
