
[00:00:00.000 --> 00:00:05.000]  感恩又有機會跟大家一起分享訊息
[00:00:05.000 --> 00:00:08.000]  多謝剛才主席的祈禱
[00:00:08.000 --> 00:00:13.000]  為到香港經歷一個怪獸級的風暴
[00:00:13.000 --> 00:00:17.000]  來感謝神 讓我們有平安
[00:00:17.000 --> 00:00:20.000]  在過去的禮拜二 禮拜三
[00:00:20.000 --> 00:00:25.000]  我想我們都經歷了一個不一樣的風暴
[00:00:25.000 --> 00:00:32.000]  天文台在禮拜一預告 禮拜二中午會掛八號風球
[00:00:32.000 --> 00:00:36.000]  不知道大家聽到這個消息之後 有什麼體會呢
[00:00:36.000 --> 00:00:40.000]  有沒有覺得你望出窗的時候 其實風平浪靜
[00:00:40.000 --> 00:00:42.000]  那天還挺曬的 是不是
[00:00:42.000 --> 00:00:46.000]  很難想像八號風球是怎樣呢
[00:00:46.000 --> 00:00:51.000]  甚至乎禮拜二下午掛八號風球的時候
[00:00:51.000 --> 00:00:56.000]  其實我覺得還挺熱的 好像一滴風都沒有
[00:00:56.000 --> 00:01:07.000]  特別新聞就說到很多人開始去超市做一個超前的預備
[00:01:07.000 --> 00:01:09.000]  做一個簡單的調查
[00:01:09.000 --> 00:01:14.000]  我想問大家哪個禮拜一你去過超市或者街市買過東西吃
[00:01:14.000 --> 00:01:18.000]  七仔都算了 Circle K都算了
[00:01:18.000 --> 00:01:20.000]  其他沒有去過嗎
[00:01:20.000 --> 00:01:22.000]  工人姐姐有沒有去過
[00:01:22.000 --> 00:01:26.000]  有 其他沒有舉手的工人姐姐去過
[00:01:26.000 --> 00:01:31.000]  或者你沒有舉手 但家人去買了
[00:01:31.000 --> 00:01:34.000]  可能媽媽買了 或者太太買了
[00:01:34.000 --> 00:01:40.000]  原來當我們知道風暴來臨 災禍來臨的時候
[00:01:40.000 --> 00:01:42.000]  我們一定有兩手準備
[00:01:42.000 --> 00:01:46.000]  我自己特別準備得多一點
[00:01:46.000 --> 00:01:50.000]  因為她說打風 我想禮拜二 禮拜三 禮拜四
[00:01:50.000 --> 00:01:56.000]  作為一個打工仔 我都很希望打到禮拜四
[00:01:56.000 --> 00:02:03.000]  不過她只打到禮拜三 我都欣然接受
[00:02:03.000 --> 00:02:06.000]  亦都不到我不接受
[00:02:06.000 --> 00:02:09.000]  有一個超前的準備
[00:02:09.000 --> 00:02:15.000]  於是我就想 其實今天說啟示錄說到第幾章
[00:02:15.000 --> 00:02:21.000]  十八章 大大話話今天是幾號 幾多月
[00:02:21.000 --> 00:02:29.000]  九月廿七號 原來說啟示錄說了四分三的年
[00:02:29.000 --> 00:02:34.000]  說了九個月 原來這個超前的預備
[00:02:34.000 --> 00:02:39.000]  我覺得啟示錄的作者好像天文台一樣
[00:02:39.000 --> 00:02:42.000]  不斷提醒我們 災禍來臨
[00:02:42.000 --> 00:02:45.000]  面對的審判來臨
[00:02:45.000 --> 00:02:48.000]  不知道弟兄姊妹有沒有很著緊
[00:02:48.000 --> 00:02:53.000]  來做一個超前準備 來好好預備自己
[00:02:53.000 --> 00:02:57.000]  如果我們去聽天文台的說
[00:02:57.000 --> 00:02:59.000]  然後我們就去準備的話
[00:02:59.000 --> 00:03:04.000]  我們有沒有聽聖經去說 來準備我們自己的人生呢
[00:03:04.000 --> 00:03:09.000]  今天我給的主題是「好勝必亡 人勝得生」
[00:03:09.000 --> 00:03:12.000]  因為好勝這兩個字
[00:03:12.000 --> 00:03:15.000]  我當然要上網查一下什麼叫好勝
[00:03:15.000 --> 00:03:18.000]  雖然大家都知道什麼叫好勝
[00:03:18.000 --> 00:03:22.000]  德國哲學家叔本華就這樣說
[00:03:22.000 --> 00:03:25.000]  他說人類有三個愚蠢的特質
[00:03:25.000 --> 00:03:29.000]  就是好勝 虛榮和驕傲
[00:03:29.000 --> 00:03:32.000]  而三個的共通點都是一樣的
[00:03:32.000 --> 00:03:38.000]  就是要滿足自己的私慾
[00:03:38.000 --> 00:03:41.000]  為什麼我今天會用好勝這個字
[00:03:41.000 --> 00:03:43.000]  來作為一個標題呢
[00:03:43.000 --> 00:03:46.000]  因為我們讀下去的時候
[00:03:46.000 --> 00:03:49.000]  就發現今天要說的內容
[00:03:49.000 --> 00:03:53.000]  其實很多都是在說滿足人的私慾
[00:03:53.000 --> 00:03:55.000]  而亞國書告訴我們
[00:03:55.000 --> 00:03:58.000]  私慾既懷了胎就生出罪
[00:03:58.000 --> 00:04:02.000]  罪既長成 罪帶來什麼 弟兄姊妹
[00:04:02.000 --> 00:04:06.000]  罪會帶來死亡
[00:04:06.000 --> 00:04:08.000]  對了 多謝黃瑛在前面
[00:04:08.000 --> 00:04:11.000]  罪是會帶來死亡
[00:04:11.000 --> 00:04:14.000]  原來啟示錄好像天文台一樣
[00:04:14.000 --> 00:04:17.000]  告訴我們罪帶來死亡
[00:04:17.000 --> 00:04:20.000]  讓我們好好地作出預備
[00:04:20.000 --> 00:04:22.000]  然後好勝必亡
[00:04:22.000 --> 00:04:25.000]  我想整本聖經都在教我們這件事
[00:04:25.000 --> 00:04:28.000]  千萬不要好勝
[00:04:28.000 --> 00:04:33.000]  因為滿足私慾最終只會帶來罪帶來死亡
[00:04:33.000 --> 00:04:39.000]  而韌性就是面對挫折 逆境和壓力的時候
[00:04:39.000 --> 00:04:42.000]  保持你那份堅定
[00:04:42.000 --> 00:04:47.000]  也能夠恢復我們自己那份能力
