
[00:00:00.000 --> 00:00:03.580]  唔知大家開心嘅時候你嘅反應係點樣㗎啦
[00:00:03.580 --> 00:00:05.380]  牧師咁都緊問㗎
[00:00:05.380 --> 00:00:06.640]  梗係開心到不得了啦
[00:00:06.640 --> 00:00:08.700]  合不攏嘴啦笑到係咪
[00:00:08.700 --> 00:00:12.540]  就好似人悲傷嘅時候喊一樣啦
[00:00:12.540 --> 00:00:18.940]  笑同喊其實都係人一個好自然表達情緒嘅方式
[00:00:18.940 --> 00:00:21.500]  我想問下大家你覺得忍笑容易
[00:00:21.500 --> 00:00:23.300]  忍住啲眼淚容易呢
[00:00:23.300 --> 00:00:25.860]  冷知識呀原來我上網查一查嘅話呢
[00:00:25.860 --> 00:00:28.420]  根據一啲學術研究呢原來呢
[00:00:28.420 --> 00:00:31.740]  除非你極度嘅悲傷如果唔係嘅話呢
[00:00:31.740 --> 00:00:35.840]  忍笑係難過忍眼淚㗎
[00:00:35.840 --> 00:00:38.400]  當呢一個嘅
[00:00:38.400 --> 00:00:40.200]  好開心嘅時候呢
[00:00:40.200 --> 00:00:42.240]  人其實唔單止係會笑
[00:00:42.240 --> 00:00:43.780]  仲會係
[00:00:43.780 --> 00:00:45.580]  會係大聲歡呼
[00:00:45.580 --> 00:00:49.420]  製造響聲手舞足蹈互相擁抱
[00:00:49.420 --> 00:00:54.540]  甚至呢就我哋好想同我哋周圍嘅人呢分享我哋嘅快樂㗎
[00:00:54.540 --> 00:00:59.660]  今日呢我哋所督嘅經文呢就係呢一班嘅以色列人呢
[00:00:59.660 --> 00:01:01.700]  好開心嘅嚟到去
[00:01:01.700 --> 00:01:03.500]  表達佢哋嘅感受
[00:01:03.500 --> 00:01:06.820]  咁你話點解佢哋咁開心點解佢哋咁喜樂呀
[00:01:06.820 --> 00:01:09.140]  因為呢經文話畀我哋聽
[00:01:09.140 --> 00:01:12.980]  佢哋
[00:01:12.980 --> 00:01:16.040]  畀人奪走咗嘅約櫃
[00:01:16.040 --> 00:01:18.860]  終於返返嚟耶路撒冷
[00:01:18.860 --> 00:01:23.980]  而大家都知道啦約櫃係代表住神嘅同在
[00:01:23.980 --> 00:01:26.540]  當人嚟到神嘅
[00:01:26.540 --> 00:01:29.360]  即係同在嘅時候呢
[00:01:29.360 --> 00:01:30.900]  我哋都知道人
[00:01:30.900 --> 00:01:35.500]  不能自制不祈現嘅就會係被感動進入
[00:01:35.500 --> 00:01:36.780]  深深嘅敬拜
[00:01:36.780 --> 00:01:38.700]  將榮耀歸比神
[00:01:38.700 --> 00:01:40.360]  呢個就係我哋自然嘅反應
[00:01:40.360 --> 00:01:46.000]  我哋成日都話敬拜我成日都話榮耀神呢個係好多時候我哋基督教喺教會裏面
[00:01:46.000 --> 00:01:47.020]  一個嘅
[00:01:47.020 --> 00:01:48.040]  咩呀
[00:01:48.040 --> 00:01:49.320]  嘅
[00:01:49.320 --> 00:01:55.460]  術語嚟㗎咁呀咁究竟咩叫榮耀神咩叫敬拜神呢今日通過呢張經文呢
[00:01:55.460 --> 00:02:01.860]  上次睇三個關於榮耀神或者敬拜神嘅事實
[00:02:01.860 --> 00:02:05.440]  我哋首先睇一睇呢一段經文呢
[00:02:05.440 --> 00:02:07.500]  一啲嘅歷史背景先
[00:02:07.500 --> 00:02:08.780]  喺
[00:02:08.780 --> 00:02:14.660]  呢一個嘅以色列人未有王統治佢哋之前呢
[00:02:14.660 --> 00:02:18.000]  嗰段嘅時間呢即係當呢個撒姆爾
[00:02:18.000 --> 00:02:22.600]  喺以色列做士司做領袖嘅時候呢
[00:02:22.600 --> 00:02:27.720]  以色列嘅民族經常同另外一個民族呢嚟到係有戰爭嘅咩民族呀
[00:02:27.720 --> 00:02:28.760]  非利士人
[00:02:28.760 --> 00:02:31.060]  呢兩個民族經常打仗嘅
[00:02:31.060 --> 00:02:34.640]  好喇有一次喺戰場上面呢嚟到係好
[00:02:34.640 --> 00:02:35.400]  劇烈
[00:02:35.400 --> 00:02:36.940]  嘅戰爭
[00:02:36.940 --> 00:02:38.480]  以色列人呢就
[00:02:38.480 --> 00:02:39.760]  打輸
[00:02:39.760 --> 00:02:43.600]  漸漸嘅嚟到唔夠唔夠呢個嘅非利士人打
[00:02:43.600 --> 00:02:48.980]  當時有啲嘅以色列人就話唔係喎我哋而家打輸緊喎不如我哋將約桂
[00:02:48.980 --> 00:02:51.540]  抬到去呢一個戰場上面
[00:02:51.540 --> 00:02:55.640]  有神喺戰場上面佢哋呢一班嘅非利士人一定會
[00:02:55.640 --> 00:02:56.660]  唔夠我哋打㗎喇
[00:02:56.660 --> 00:02:58.200]  好就咁樣要咁做啦
[00:02:58.200 --> 00:03:03.560]  咁就將呢一個約桂呢就拉拉拉到去呢一個嘅前線嗰度
[00:03:03.560 --> 00:03:05.880]  不過好不幸
[00:03:05.880 --> 00:03:08.680]  戰爭冇因為約桂出現
[00:03:08.680 --> 00:03:11.240]  而扭轉嗰個局勢
