
[00:00:00.000 --> 00:00:02.000]  頂姊妹平安
[00:00:02.000 --> 00:00:04.600]  我想問問大家
[00:00:04.600 --> 00:00:08.000]  你覺得自己是否一個勇敢的人
[00:00:08.000 --> 00:00:10.000]  是否一個有勇氣的人
[00:00:10.000 --> 00:00:13.200]  誰覺得自己挺有勇氣的?
[00:00:13.200 --> 00:00:15.200]  挺勇敢的?
[00:00:15.200 --> 00:00:17.200]  不太多
[00:00:17.200 --> 00:00:23.840]  有一位著名的奧地利猶太裔醫生
[00:00:23.840 --> 00:00:25.840]  也是心理治療師
[00:00:25.840 --> 00:00:27.840]  Alfred Adler
[00:00:27.840 --> 00:00:31.840]  他寫過一些書
[00:00:31.840 --> 00:00:33.840]  當中提到一個人有勇氣
[00:00:33.840 --> 00:00:35.840]  有五個特徵
[00:00:35.840 --> 00:00:37.840]  看你有沒有
[00:00:37.840 --> 00:00:40.840]  第一是覺得自己有能力
[00:00:40.840 --> 00:00:42.840]  有價值
[00:00:42.840 --> 00:00:44.840]  第二是比較容易成功
[00:00:44.840 --> 00:00:46.840]  擁有成功
[00:00:46.840 --> 00:00:50.840]  第三是可以解決自己的課題
[00:00:50.840 --> 00:00:53.840]  或者有些事情容易自己解決
[00:00:53.840 --> 00:00:56.840]  而且還可以對人有所貢獻
[00:00:56.840 --> 00:00:58.840]  另外當遇到問題時
[00:00:58.840 --> 00:01:00.840]  他可以從容面對
[00:01:00.840 --> 00:01:02.840]  不會全力以赴
[00:01:02.840 --> 00:01:04.840]  他會積極正面
[00:01:04.840 --> 00:01:06.840]  從容面對
[00:01:06.840 --> 00:01:08.840]  最後是擁有良好的人際關係
[00:01:08.840 --> 00:01:10.840]  不知道大家認不認同
[00:01:10.840 --> 00:01:12.840]  今早我們會
[00:01:12.840 --> 00:01:14.840]  嘗試透過一班人
[00:01:14.840 --> 00:01:16.840]  來驗證一下
[00:01:16.840 --> 00:01:18.840]  Adler的說法
[00:01:18.840 --> 00:01:20.840]  看看是否正確
[00:01:20.840 --> 00:01:22.840]  在進入經文之前
[00:01:22.840 --> 00:01:24.840]  我想和大家說說
[00:01:24.840 --> 00:01:27.840]  《小約書亞記》這本書的背景
[00:01:27.840 --> 00:01:29.840]  和以色列的歷史
[00:01:29.840 --> 00:01:31.840]  在《約書亞記》
[00:01:31.840 --> 00:01:33.840]  如果大家看過這本書
[00:01:33.840 --> 00:01:35.840]  全卷書有二十一章
[00:01:35.840 --> 00:01:38.840]  有很明確的分段
[00:01:38.840 --> 00:01:40.840]  頭五章是說到
[00:01:40.840 --> 00:01:42.840]  以色列人過約旦河
[00:01:42.840 --> 00:01:44.840]  摩西死後
[00:01:44.840 --> 00:01:47.840]  約書亞帶領以色列人過約旦河
[00:01:47.840 --> 00:01:49.840]  由六章開始到十二章
[00:01:49.840 --> 00:01:51.840]  說到他們進入迦南地
[00:01:51.840 --> 00:01:53.840]  去得到那些地
[00:01:53.840 --> 00:01:55.840]  十三到二十一章
[00:01:55.840 --> 00:01:59.840]  說到十二支派分地
[00:01:59.840 --> 00:02:01.840]  因為他們有十二支派
[00:02:01.840 --> 00:02:03.840]  如何分地
[00:02:03.840 --> 00:02:05.840]  在十三到二十一章
