
[00:00:00.000 --> 00:00:01.780]  各位弟兄姊妹
[00:00:01.780 --> 00:00:06.420]  各位在網上一起崇拜的朋友
[00:00:06.420 --> 00:00:08.280]  大家有沒有留意到
[00:00:08.280 --> 00:00:15.840]  今天我們在燃燭禮所燃點的蠟燭的顏色改變了
[00:00:15.840 --> 00:00:19.720]  我們之前兩個星期都是在燃點紫色的蠟燭
[00:00:19.720 --> 00:00:24.200]  今天是燃點了粉紅色的蠟燭
[00:00:24.200 --> 00:00:27.560]  因為今天是張臨的第三主日
[00:00:27.560 --> 00:00:30.040]  稱為喜樂主日
[00:00:30.040 --> 00:00:39.120]  燃點的蠟燭粉紅色是代表著喜樂主日的顏色
[00:00:39.120 --> 00:00:42.720]  我們很少問人你喜不喜樂
[00:00:42.720 --> 00:00:46.000]  多數都是問人你快不快樂
[00:00:46.000 --> 00:00:48.960]  如果我們問這個城市的人
[00:00:48.960 --> 00:00:52.360]  你快不快樂
[00:00:52.360 --> 00:00:56.000]  可能聰明的人會說你偷換概念
[00:00:56.000 --> 00:00:59.760]  因為喜樂主日你就問人快不快樂
[00:00:59.760 --> 00:01:02.680]  喜樂和快樂是兩回事
[00:01:02.680 --> 00:01:07.200]  我真的去看聖經的字是怎樣用的
[00:01:07.200 --> 00:01:10.320]  原來真的有幾個不同的字
[00:01:10.320 --> 00:01:11.920]  不過在翻譯上
[00:01:11.920 --> 00:01:14.080]  有時翻譯做喜樂 有時翻譯做快樂
[00:01:14.080 --> 00:01:15.920]  有時翻譯做歡喜快樂
[00:01:15.920 --> 00:01:19.520]  原來他們在某程度上是共通的
[00:01:19.520 --> 00:01:22.920]  又不是偷換得很厲害
[00:01:22.920 --> 00:01:25.520]  例如我們平時說Happy
[00:01:25.520 --> 00:01:27.800]  即是開心
[00:01:27.800 --> 00:01:30.880]  可不可以是快樂或者幸福呢
[00:01:30.880 --> 00:01:32.040]  都可以的
[00:01:32.040 --> 00:01:34.360]  因為你都聽過有一個叫做
[00:01:34.360 --> 00:01:36.480]  World Happiness Report
[00:01:36.480 --> 00:01:40.120]  我們通常都很少翻譯做世界快樂報告
[00:01:40.120 --> 00:01:42.640]  通常翻譯做世界
[00:01:42.640 --> 00:01:45.160]  都有翻譯做世界快樂報告
[00:01:45.160 --> 00:01:47.800]  但就很少翻譯做世界開心報告
[00:01:47.800 --> 00:01:50.640]  快樂報告或者幸福報告都有的
[00:01:50.640 --> 00:01:53.240]  所以我們就暫時寬鬆一點
[00:01:53.240 --> 00:02:00.080]  就當這組詞彙都是在表達類似的概念
