
[00:00:00.000 --> 00:00:01.800]  頂止梅伍安
[00:00:01.800 --> 00:00:04.800]  新奇一年先在此恭祝大家
[00:00:04.800 --> 00:00:06.000]  因典滿滿
[00:00:06.000 --> 00:00:09.000]  身心靈都健壯
[00:00:09.000 --> 00:00:13.400]  我開始的時候想和大家介紹一個人
[00:00:13.400 --> 00:00:17.800]  這個人叫艾利·魏瑟爾
[00:00:17.800 --> 00:00:20.800]  他是一個作家
[00:00:20.800 --> 00:00:23.000]  是一位教師
[00:00:23.000 --> 00:00:26.800]  他經歷過猶太人的大屠殺
[00:00:26.800 --> 00:00:29.200]  是一位倖存者
[00:00:29.200 --> 00:00:35.600]  在1986年他獲得諾貝爾和平獎
[00:00:35.600 --> 00:00:38.400]  所以都很厲害
[00:00:38.400 --> 00:00:41.000]  他寫書的
[00:00:41.000 --> 00:00:45.400]  所以他寫了一個這樣的故事
[00:00:45.400 --> 00:00:47.800]  這個故事的主角
[00:00:47.800 --> 00:00:52.800]  就是生活在二戰時期的
[00:00:52.800 --> 00:00:55.800]  猶太社區當中
[00:00:55.800 --> 00:01:03.400]  當然在德國納粹入侵時
[00:01:03.400 --> 00:01:06.000]  生活很艱難
[00:01:06.000 --> 00:01:12.600]  在這個困難的環境之中
[00:01:12.600 --> 00:01:16.000]  猶太人仍然決定
[00:01:16.000 --> 00:01:19.400]  他要相信上帝
[00:01:19.400 --> 00:01:22.400]  在淪陷的那一天
[00:01:22.400 --> 00:01:26.200]  他所身處的社區
[00:01:26.200 --> 00:01:28.000]  他只有一個選擇
[00:01:28.000 --> 00:01:30.200]  就是躲起來
[00:01:30.200 --> 00:01:36.000]  當他知道德軍遠離之後
[00:01:36.000 --> 00:01:39.400]  他就從躲起來的地方走出來
[00:01:39.400 --> 00:01:44.800]  他第一時間就去到猶太人的會堂
[00:01:44.800 --> 00:01:47.200]  然後他仰望天花板
[00:01:47.200 --> 00:01:49.200]  大聲地叫
[00:01:49.200 --> 00:01:51.000]  「神啊!你看不看到?」
[00:01:51.000 --> 00:01:54.000]  「我們還在這裡」
[00:01:54.000 --> 00:02:04.600]  不過自從猶太人被德國納粹壓迫的時候
[00:02:04.600 --> 00:02:08.400]  在過程中不斷被追捕
[00:02:08.400 --> 00:02:13.600]  所以他眼見越來越多猶太人
[00:02:13.600 --> 00:02:16.600]  當被捉拿之後
[00:02:16.600 --> 00:02:19.200]  就被送上火車
[00:02:19.200 --> 00:02:21.800]  大家都知道火車去哪裏了
[00:02:21.800 --> 00:02:26.200]  結果這些同胞就全無音訊
[00:02:26.200 --> 00:02:30.200]  以後都見不到他們了
[00:02:30.200 --> 00:02:34.400]  在一次又一次的鎮壓之後
[00:02:34.400 --> 00:02:40.800]  到往後他又是追捕來了
[00:02:40.800 --> 00:02:42.600]  又是躲起來
[00:02:42.600 --> 00:02:45.400]  不過這次當他出來
[00:02:45.400 --> 00:02:49.000]  再去到猶太人會堂的時候
[00:02:49.000 --> 00:02:56.000]  他發現原來整個猶太社區都不見了
[00:02:56.000 --> 00:02:58.400]  只剩下他一個
[00:02:58.400 --> 00:03:02.200]  這次他就不敢大聲叫了
[00:03:02.200 --> 00:03:05.400]  他小聲地跟神說
[00:03:05.400 --> 00:03:08.000]  「神啊!你看不看到?」
[00:03:08.000 --> 00:03:10.600]  「我們還在這裡」
[00:03:10.600 --> 00:03:13.800]  不過他停了一停之後
[00:03:13.800 --> 00:03:19.200]  他就加多一句「神啊!我在這裏」
[00:03:19.200 --> 00:03:22.200]  「不過你去了哪裏?」
[00:03:22.200 --> 00:03:25.600]  他發生了一個這樣的疑問
[00:03:25.600 --> 00:03:30.600]  轉眼之間我們已經進入了2026年了
[00:03:30.600 --> 00:03:34.600]  我不知道在座的弟兄姊妹
[00:03:34.600 --> 00:03:36.400]  包括我
[00:03:36.400 --> 00:03:41.200]  在2025年其實都經歷了很多事情
[00:03:41.200 --> 00:03:45.400]  就算2025年你過得多好
[00:03:45.400 --> 00:03:47.600]  那就感恩了
[00:03:47.600 --> 00:03:54.000]  但是去年11月尾在大埔弘福院那場火
[00:03:54.000 --> 00:03:58.200]  相信都令到我們很心痛
[00:03:58.200 --> 00:04:02.000]  我相信不少人都會問同一個問題
[00:04:02.000 --> 00:04:05.000]  「神啊!你去了哪裏?」
[00:04:05.000 --> 00:04:11.000]  今年我就選了以蔡阿書來跟大家分享
[00:04:11.000 --> 00:04:15.200]  希望能夠透過以色列文的歷史
[00:04:15.200 --> 00:04:16.800]  讓我們看得到
[00:04:16.800 --> 00:04:22.600]  神對於他所揀選的子民永遠的恩情
[00:04:22.600 --> 00:04:26.200]  即使以色列文不停地播譯
[00:04:26.200 --> 00:04:28.800]  但是神的恩典
[00:04:28.800 --> 00:04:33.000]  神的信實仍然是沒有變的
[00:04:33.000 --> 00:04:36.000]  以蔡阿這個名字
[00:04:36.000 --> 00:04:40.000]  其實意思就是耶和華是請救
[00:04:40.000 --> 00:04:42.600]  在這本書一開始的時候
[00:04:42.600 --> 00:04:47.000]  第一章第一節就已經告訴我們
[00:04:47.000 --> 00:04:55.400]  其實以蔡阿是阿摩斯當時他所生的兒子
[00:04:55.400 --> 00:05:01.000]  在烏西亞約坦、阿哈斯和希西加
[00:05:01.000 --> 00:05:04.400]  連續四個王的年代
[00:05:04.400 --> 00:05:07.600]  他都是在猶大做先知的
[00:05:07.600 --> 00:05:13.000]  加起來就超過五十年那麼長了
[00:05:13.000 --> 00:05:18.800]  如果我們看回當時發生什麼事
[00:05:18.800 --> 00:05:21.000]  都有同期的先知的
[00:05:21.000 --> 00:05:26.000]  荷西亞、尼加就是同期的先知
[00:05:26.000 --> 00:05:29.600]  在這四卷先知書當中
[00:05:29.600 --> 00:05:38.000]  你說只是用了以蔡阿自己的名字來做書卷的名字
[00:05:38.000 --> 00:05:40.800]  不過請你不要誤會
[00:05:40.800 --> 00:05:43.800]  其實所記述的內容
[00:05:43.800 --> 00:05:47.800]  不只是單單環繞這個人
[00:05:47.800 --> 00:05:51.000]  而是好像十二小先知那樣
[00:05:51.000 --> 00:05:55.600]  好像的覆蓋了整個以色列文
[00:05:55.600 --> 00:06:03.600]  他亡國被擄這一段日子是非常之黑暗和艱辛的
[00:06:03.600 --> 00:06:10.000]  按照整卷書的文學結構和經文的歷史
[00:06:10.000 --> 00:06:13.400]  我們對比一下這些證據
[00:06:13.400 --> 00:06:17.000]  其實以蔡阿書除了在第一章
[00:06:17.000 --> 00:06:20.400]  我們當他是一個隱言
[00:06:20.400 --> 00:06:26.400]  大概可以分成以下這五個部分
[00:06:26.400 --> 00:06:31.400]  因為我們一年只有五十二個星期
[00:06:31.400 --> 00:06:35.800]  如果我們扣分一些特別的節期日子
[00:06:35.800 --> 00:06:38.200]  我們也有外來講員
[00:06:38.200 --> 00:06:39.400]  你計一計
[00:06:39.400 --> 00:06:44.200]  其實我們不可能完成整卷以蔡阿書的
[00:06:44.200 --> 00:06:49.200]  所以我只選了以蔡阿書的後半部分
[00:06:49.200 --> 00:06:52.800]  即是由第四十章開始
[00:06:52.800 --> 00:06:58.800]  容讓我們不同的同工陸陸續續和大家分享
[00:06:58.800 --> 00:07:03.800]  雖然我們是由第四十章開始和大家講
[00:07:03.800 --> 00:07:10.200]  但是因為第四十章和上文其實很不同
[00:07:10.200 --> 00:07:13.400]  這是一個很大的轉折位
[00:07:13.400 --> 00:07:21.400]  所以我必須簡單講一講上文究竟是講什麼
[00:07:21.400 --> 00:07:24.800]  在上文三十六至三十七章
[00:07:24.800 --> 00:07:31.800]  是講到亞述王西拿基納對耶路撒冷的威脅
[00:07:31.800 --> 00:07:36.800]  但是神卻在三十七章的第三十六節
[00:07:36.800 --> 00:07:38.400]  這裡寫給你的
[00:07:38.400 --> 00:07:40.200]  是幫助猶大
[00:07:40.200 --> 00:07:44.000]  用了一個很神奇的方法
[00:07:44.000 --> 00:07:51.000]  一次過擊敗了亞述十八萬五千的大軍
[00:07:51.000 --> 00:07:56.000]  第三十九章這個段落就結束了
[00:07:56.000 --> 00:08:02.000]  三十九章的第一至第四節提到另外一個故事
[00:08:02.000 --> 00:08:08.400]  當時是講巴比倫的使者尼訪希西加王
[00:08:08.400 --> 00:08:17.200]  希西加王當時很想和巴比倫一起結盟打亞述
[00:08:17.200 --> 00:08:27.000]  但是他們剛剛才在無需要依靠別人的幫助下
[00:08:27.000 --> 00:08:32.200]  打了一場非常漂亮的勝仗
[00:08:32.200 --> 00:08:43.600]  希西加為了證實猶大可以成為巴比倫的盟友
[00:08:43.600 --> 00:08:47.800]  也不是一個弱雞的國家
[00:08:47.800 --> 00:08:53.200]  於是他就把自己國庫裡面所有的東西
[00:08:53.200 --> 00:08:57.400]  拿出來給巴比倫的使者來看
[00:08:57.400 --> 00:09:05.200]  現在才知道很不滿意希西加王當時要靠其他人
[00:09:05.200 --> 00:09:07.000]  即是巴比倫
[00:09:07.000 --> 00:09:11.400]  靠人的力量去打贏亞述
[00:09:11.400 --> 00:09:17.800]  於是就預言希西加的兒女和整個猶大國
[00:09:17.800 --> 00:09:21.400]  將來要被擄到巴比倫
[00:09:21.400 --> 00:09:27.200]  即使他們經歷了三十七章三十六節
[00:09:27.200 --> 00:09:30.800]  這個神奇的神蹟
[00:09:30.800 --> 00:09:35.000]  但是他們仍然有懷疑
