
[00:00:00.000 --> 00:00:03.760]  今日的講題是亞國之爭的首部曲
[00:00:03.760 --> 00:00:06.480]  「以數之爭」
[00:00:06.480 --> 00:00:09.280]  先和大家分享一個片段
[00:00:09.280 --> 00:00:13.360]  二十世紀的足球壇上曾經出現過一位
[00:00:13.360 --> 00:00:15.840]  很出色的中場球員
[00:00:15.840 --> 00:00:18.240]  他不但球技精湛
[00:00:18.240 --> 00:00:23.120]  更有著風波萬千女士的俊俏外貌
[00:00:23.120 --> 00:00:25.520]  去年他剛剛五十歲
[00:00:25.520 --> 00:00:27.520]  風采依然
[00:00:27.520 --> 00:00:30.480]  大家知道我說誰嗎?
[00:00:30.480 --> 00:00:32.080]  我聽到大家說
[00:00:32.080 --> 00:00:35.200]  就是大衛碧咸
[00:00:35.200 --> 00:00:38.640]  然而近年圍繞著碧咸的新聞
[00:00:38.640 --> 00:00:41.040]  不再是他球場上的英姿
[00:00:41.040 --> 00:00:44.320]  甚至不再是說他怎樣做老闆
[00:00:44.320 --> 00:00:46.320]  而是關於他的家族
[00:00:46.320 --> 00:00:50.880]  特別是他和他的大兒子之間的關係
[00:00:50.880 --> 00:00:53.600]  曾幾何時我們見到
[00:00:53.600 --> 00:00:56.000]  是一個幸福家庭的模範
[00:00:56.000 --> 00:01:00.000]  拿獎的時候有個兒子坐在他的肩膀上
[00:01:00.000 --> 00:01:02.000]  很溫馨
[00:01:02.000 --> 00:01:04.000]  但是在幾個月前
[00:01:04.000 --> 00:01:06.480]  碧咸的長子大兒子
[00:01:06.480 --> 00:01:09.040]  這個坐在他肩膀上的大兒子
[00:01:09.040 --> 00:01:10.800]  就在社交媒體上
[00:01:10.800 --> 00:01:13.200]  一夜之間將他全家
[00:01:13.200 --> 00:01:17.440]  父母、弟妹全部封鎖
[00:01:17.440 --> 00:01:22.160]  在碧咸上年五十大壽的宴會上
[00:01:22.160 --> 00:01:24.640]  見不到大兒子的身影
[00:01:24.640 --> 00:01:30.240]  甚至早前大兒子就發律師信通知父母
[00:01:30.240 --> 00:01:34.560]  以後只可以透過律師聯絡接觸他
[00:01:34.560 --> 00:01:39.360]  甚至禁止家人在社交媒體提及他
[00:01:39.360 --> 00:01:43.200]  不禁都叫我們感嘆
[00:01:43.200 --> 00:01:48.080]  究竟是什麼令一個原本令人羨慕的家庭
[00:01:48.080 --> 00:01:51.520]  變到如斯的戰場
[00:01:51.520 --> 00:01:54.960]  在職場上、在教會裡
[00:01:54.960 --> 00:01:59.440]  可能我們彼此維持著彬彬有禮的形象
[00:01:59.440 --> 00:02:03.440]  但在最親密的家人面前
[00:02:03.440 --> 00:02:06.880]  我們往往卻卸下了防備
[00:02:06.880 --> 00:02:15.200]  卻同時暴露了本性最赤裸、最真實、最醜陋的一面
[00:02:15.200 --> 00:02:18.000]  說到家庭裡的爭執
[00:02:18.000 --> 00:02:20.560]  我就想到聖經裡的雅各
[00:02:20.560 --> 00:02:26.960]  雅各的一生彷彿是一個不斷爭取的奮鬥史
[00:02:26.960 --> 00:02:30.000]  出生的時候他就捉住哥哥的腳
[00:02:30.000 --> 00:02:31.760]  捉住耳掃的腳
[00:02:31.760 --> 00:02:34.400]  長大後他要爭奬子的名分
[00:02:34.400 --> 00:02:38.480]  還要爭爸爸對耳撒的祝福
[00:02:38.480 --> 00:02:43.600]  然而雅各的一生除了充滿著爭取
[00:02:43.600 --> 00:02:47.440]  同時也充滿著謊言、詭詐
[00:02:47.440 --> 00:02:51.920]  和家庭撕裂的血淚史
[00:02:51.920 --> 00:02:57.440]  今天讓我們聚焦在他的雅各生命裡的首部曲
[00:02:57.440 --> 00:03:03.600]  在他原生家庭裡他與哥哥耳掃如何爭奪
[00:03:03.600 --> 00:03:06.320]  透過兩個我們非常熟悉的片段
[00:03:06.320 --> 00:03:09.280]  一個是用紅湯換名分
[00:03:09.280 --> 00:03:12.400]  一個是握取父親的祝福
[00:03:12.400 --> 00:03:14.560]  我們都去思想一下
[00:03:14.560 --> 00:03:17.840]  當一個家庭變得像戰場一樣
[00:03:17.840 --> 00:03:22.240]  當我們試圖用自己的手去捉住祝福的時候
[00:03:22.240 --> 00:03:25.280]  我們會負上什麼代價呢?
[00:03:25.280 --> 00:03:30.560]  而神在這個不完美的雅各身上
[00:03:30.560 --> 00:03:33.520]  神又有什麼計劃呢?
[00:03:33.520 --> 00:03:40.160]  第一個片段就是用紅湯換長子名分的事件
[00:03:40.160 --> 00:03:43.200]  聖經在《創世紀》二十五章記載
[00:03:43.200 --> 00:03:49.120]  有一天善於打獵的常在田間出沒的哥哥耳掃回來
[00:03:49.120 --> 00:03:52.480]  他回來之後又肚子餓又累
[00:03:52.480 --> 00:03:55.200]  剛剛雅各煲了湯
[00:03:55.200 --> 00:04:00.480]  耳掃就叫弟弟雅各「不如給我湯喝吧」
[00:04:00.480 --> 00:04:05.040]  不過雅各第一時間他不是憐憫
[00:04:05.040 --> 00:04:07.520]  他是趁機開出一個條件
[00:04:07.520 --> 00:04:11.600]  「你今天將長子的名分賣給我」
[00:04:11.600 --> 00:04:14.160]  「一個怨打一個怨捱」
[00:04:14.160 --> 00:04:16.960]  「師就這樣成了」
[00:04:16.960 --> 00:04:20.560]  這一役雅各是贏了
[00:04:20.560 --> 00:04:25.440]  得到了他看中的長子的名分
[00:04:25.440 --> 00:04:26.880]  讀到這段經文
[00:04:26.880 --> 00:04:30.400]  我們不時會聽到很多對耳掃的指責
[00:04:30.400 --> 00:04:32.880]  批評耳掃貪食
[00:04:32.880 --> 00:04:36.400]  為眼前的事不顧後果
[00:04:36.400 --> 00:04:40.320]  沒錯 這也是我們在《創世紀》最後一節
[00:04:40.320 --> 00:04:47.440]  我們見到這是將耳掃輕看了他長子的名分
[00:04:47.440 --> 00:04:50.560]  成為這個故事的結尾一個結語
[00:04:50.560 --> 00:04:53.760]  甚至我們在新約希伯來書也見到
[00:04:53.760 --> 00:04:58.560]  新約也形容耳掃是一個貪戀世俗的人
[00:04:58.560 --> 00:05:02.560]  但既然今天我們的主題是「雅各之憎」
[00:05:02.560 --> 00:05:04.080]  但我們也要想想
[00:05:04.080 --> 00:05:10.320]  究竟雅各的做法 雅各的手段是否正確呢
[00:05:10.320 --> 00:05:11.600]  可能我們會說
[00:05:11.600 --> 00:05:15.600]  「一個想要紅湯 一個想要名分」
[00:05:15.600 --> 00:05:18.320]  「各取所需 互惠互利」
[00:05:18.320 --> 00:05:21.920]  這個很符合合約精神
[00:05:21.920 --> 00:05:25.840]  在商業社會 這些叫做精明的生意人
[00:05:25.840 --> 00:05:27.600]  雅各是很精明的
[00:05:27.600 --> 00:05:31.920]  懂得低買高賣
