
[00:00:00.000 --> 00:00:10.000]  《錄音》或《錄影》的版權 是屬於基督教宣導會北角堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一 是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此《錄音》或《錄影》的連結 傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意 未經授權 請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:24.000 --> 00:00:30.000]  甚願好像《仕途行傳》二十章三十二節下所說
[00:00:30.000 --> 00:00:37.000]  「這道能建立你們 叫你們和一切誠誠的人 同得基業」
[00:00:37.000 --> 00:00:40.000]  各位電影姊妹平安
[00:00:40.000 --> 00:00:49.000]  我想問一下 有哪位電影姊妹上星期日在這個禮堂聚會的?
[00:00:49.000 --> 00:00:53.000]  上星期日我是答應了去一間教會講道的
[00:00:53.000 --> 00:00:58.000]  但是星期六就被他們呼召 去到他們教會
[00:00:58.000 --> 00:01:02.000]  我去到的時候是一個空的禮堂
[00:01:02.000 --> 00:01:05.000]  在空的禮堂是六部崇拜的講道
[00:01:05.000 --> 00:01:10.000]  預備明天在家中放給電影姊妹一起參與崇拜
[00:01:10.000 --> 00:01:15.000]  今天回來和電影姊妹一同在教會裡面敬拜
[00:01:15.000 --> 00:01:18.000]  更加感受到是恩典
[00:01:18.000 --> 00:01:22.000]  每一次能夠和你的電影姊妹一起敬拜上帝不是必然的
[00:01:22.000 --> 00:01:26.000]  所以我想請你和你身邊的電影姊妹一起來到這裡講道
[00:01:26.000 --> 00:01:29.000]  感謝上帝 我們可以一起敬拜上帝
[00:01:29.000 --> 00:01:40.000]  感謝上帝 每一次都是恩典
[00:01:40.000 --> 00:01:44.000]  我請大家和我一起祈禱 我們同心 仰望著
[00:01:44.000 --> 00:01:51.000]  我們的主 我們的上帝
[00:01:51.000 --> 00:01:54.000]  祢的寶座 納定在天上
[00:01:54.000 --> 00:01:58.000]  祢的權柄 統管萬有
[00:01:58.000 --> 00:02:03.000]  主在祢的權柄 帶著慈愛 帶著憐憫
[00:02:03.000 --> 00:02:06.000]  當我們在人生經歷不同的事情的時候
[00:02:06.000 --> 00:02:08.000]  無論是信還是逆
[00:02:08.000 --> 00:02:12.000]  我們心知道都在祢的慈愛裡面
[00:02:12.000 --> 00:02:15.000]  因此我們到祢面前來我們敬拜祢
[00:02:15.000 --> 00:02:17.000]  承認祢是我們生命的主宰
[00:02:17.000 --> 00:02:21.000]  我們願意信從祢 信靠祢
[00:02:21.000 --> 00:02:25.000]  我們很願意祢自己透過祢聖經的說話
[00:02:25.000 --> 00:02:29.000]  不斷勉勵我們的心 加添我們的力量
[00:02:29.000 --> 00:02:33.000]  叫我們人生的路上堅定的跟隨祢
[00:02:33.000 --> 00:02:36.000]  天父啊 求祢賜寬一段時間
[00:02:36.000 --> 00:02:38.000]  祢遮蓋人的不足
[00:02:38.000 --> 00:02:43.000]  讓祢自己的恩賢淋到我們眾人的心中
[00:02:43.000 --> 00:02:47.000]  我們仰望祈禱 奉主耶穌 成名祈求
[00:02:47.000 --> 00:02:49.000]  阿們
[00:03:13.000 --> 00:03:20.000]  這個地方是一個室外的園亭
[00:03:20.000 --> 00:03:22.000]  裡面有一個很特別的迷宮
[00:03:22.000 --> 00:03:25.000]  這個迷宮是用一些很矮的樹叢
[00:03:25.000 --> 00:03:29.000]  一路造成的
[00:03:29.000 --> 00:03:32.000]  小朋友和孫兒見到這個情況很開心
[00:03:32.000 --> 00:03:34.000]  馬上就衝進去
[00:03:34.000 --> 00:03:38.000]  要到處轉動 到處走
[00:03:38.000 --> 00:03:42.000]  我看到他們在樹叢下面一路走
[00:03:42.000 --> 00:03:44.000]  前面有些障礙
[00:03:44.000 --> 00:03:46.000]  但是發覺右邊有一條直路
[00:03:46.000 --> 00:03:48.000]  馬上衝去右邊
[00:03:48.000 --> 00:03:52.000]  但是我知道那條路其實是不通的
[00:03:52.000 --> 00:03:55.000]  因為我比較高
[00:03:55.000 --> 00:04:01.000]  我在那個迷宮上已經看了所有通道在哪裡
[00:04:01.000 --> 00:04:05.000]  我就大聲叫 不要走右邊 走左邊
[00:04:05.000 --> 00:04:08.000]  但是似乎他們不太肯聽
[00:04:08.000 --> 00:04:11.000]  走著走著的時候 他們發覺沒有出路
[00:04:11.000 --> 00:04:13.000]  但是他們想到一些方法
[00:04:13.000 --> 00:04:17.000]  在樹叢之間有些空位
[00:04:17.000 --> 00:04:21.000]  因為他就鑽進樹叢裡面
[00:04:21.000 --> 00:04:24.000]  從另一邊穿出來
[00:04:24.000 --> 00:04:27.000]  我在旁邊看到的時候覺得很開心
[00:04:27.000 --> 00:04:33.000]  也體會到我們真的有很短小的眼光
[00:04:33.000 --> 00:04:37.000]  看我們人生的路
[00:04:37.000 --> 00:04:41.000]  我們很需要上帝給我們智慧
[00:04:41.000 --> 00:04:47.000]  能夠看到人生的路應該怎麼走
[00:04:47.000 --> 00:04:49.000]  我們這段時間讀到《針研》
[00:04:49.000 --> 00:04:53.000]  第一章第一第二節一開始就說
[00:04:53.000 --> 00:04:57.000]  所羅門為什麼會寫《針研》呢?
[00:04:57.000 --> 00:05:04.000]  他說這個目的是叫人曉得智慧
[00:05:04.000 --> 00:05:07.000]  是能夠領受智慧
[00:05:07.000 --> 00:05:11.000]  領受神的說話 以致可以領受智慧
[00:05:11.000 --> 00:05:13.000]  《針研》說到智慧的時候
[00:05:13.000 --> 00:05:16.000]  不單單說一些知識學問
[00:05:16.000 --> 00:05:20.000]  不單說一些分析事情的能力
[00:05:20.000 --> 00:05:24.000]  是更加說一種心靈的洞悉
[00:05:24.000 --> 00:05:28.000]  看透了事情的根本
[00:05:28.000 --> 00:05:33.000]  以致你能夠知道哪些是重要 哪些是次要
[00:05:33.000 --> 00:05:37.000]  而作出適當的抉擇
[00:05:37.000 --> 00:05:41.000]  《針研》說到神要將一種屬天的智慧
[00:05:41.000 --> 00:05:44.000]  賜給敬畏祂的人
[00:05:44.000 --> 00:05:48.000]  人生的路因此可以走在祂的裡面
[00:05:48.000 --> 00:05:50.000]  走在光明的路上
[00:05:50.000 --> 00:05:52.000]  所以你記得上個星期
[00:05:52.000 --> 00:05:54.000]  當我們讀到第二章的時候
[00:05:54.000 --> 00:05:57.000]  《針研》就提到
[00:05:57.000 --> 00:06:07.000]  智謀要庇護你 聰明必保護你 救你脫離惡人的道
[00:06:07.000 --> 00:06:11.000]  人生的路你會遇到很多惡人的道
[00:06:11.000 --> 00:06:14.000]  你不察覺你走了在上面
[00:06:14.000 --> 00:06:16.000]  你自己就受害
[00:06:16.000 --> 00:06:18.000]  但請告訴我們知道
[00:06:18.000 --> 00:06:23.000]  智慧要保護我們 救我們脫離惡人的道
[00:06:23.000 --> 00:06:25.000]  今天讀到聖經三章就提到
[00:06:25.000 --> 00:06:30.000]  在你一切所行的路上都要認定祂
[00:06:30.000 --> 00:06:34.000]  祂必使你的道路平直
[00:06:34.000 --> 00:06:38.000]  你人生的路會平直
[00:06:38.000 --> 00:06:42.000]  會能夠走在光明正直的路上
[00:06:42.000 --> 00:06:45.000]  因為你認定祂
