
[00:00:00.000 --> 00:00:01.620]  第二節我們又一齊讀聖經
[00:00:01.620 --> 00:00:06.360]  生命樹為大家預備的聖經人士
[00:00:06.360 --> 00:00:09.960]  今天看背後上帝的工作
[00:00:09.960 --> 00:00:14.120]  今天講的「借夜視耶和華的夜」
[00:00:14.120 --> 00:00:16.460]  這個是上帝講的 耶和華講的
[00:00:16.460 --> 00:00:17.720]  我們的神講的
[00:00:17.720 --> 00:00:20.600]  這一天是耶和華的夜
[00:00:20.600 --> 00:00:22.000]  那就是說什麼?
[00:00:22.000 --> 00:00:24.260]  這個是我生日
[00:00:24.260 --> 00:00:25.920]  那就是說今天是我生日
[00:00:25.920 --> 00:00:27.600]  就是我說了算
[00:00:27.600 --> 00:00:30.120]  「借夜視耶和華的夜」
[00:00:30.120 --> 00:00:32.360]  「借夜視我們的國慶」
[00:00:32.360 --> 00:00:35.660]  那你知道那個是屬於誰的
[00:00:35.660 --> 00:00:37.200]  「借夜視耶和華的夜」
[00:00:37.200 --> 00:00:41.860]  是指這個晚上特別屬於耶和華
[00:00:41.860 --> 00:00:44.120]  每一個晚上都屬於耶和華的
[00:00:44.120 --> 00:00:46.660]  是 不過這個晚上特別一點的
[00:00:46.660 --> 00:00:49.900]  好 追及的第十二章
[00:00:49.900 --> 00:00:54.060]  以色列人經過了第十災
[00:00:54.060 --> 00:00:56.120]  於是就發怒起來
[00:00:56.120 --> 00:00:58.420]  全部埃及人都哭了
[00:00:58.420 --> 00:01:00.100]  因為每一家都死一個人
[00:01:00.100 --> 00:01:01.900]  於是就叫他們走啊走啊
[00:01:01.900 --> 00:01:05.520]  馬上走 半夜就趕他們走
[00:01:05.520 --> 00:01:08.460]  哇 他們就沒有鞋子玩劇
[00:01:08.460 --> 00:01:11.400]  就拿著很多東西走了
[00:01:11.400 --> 00:01:12.220]  在哪裡走呢?
[00:01:12.220 --> 00:01:19.600]  以色列人就從蘭塞起行往疏角去
[00:01:19.600 --> 00:01:23.400]  除了婦人孩子暴行的男人約有六十萬
[00:01:23.400 --> 00:01:26.120]  這個就是十二章第三十七節
[00:01:26.120 --> 00:01:27.660]  以色列人從蘭塞
[00:01:27.660 --> 00:01:30.200]  蘭塞是一個城
[00:01:30.200 --> 00:01:31.720]  這個城是誰建的呢?
[00:01:31.720 --> 00:01:34.320]  是以色列人奴隸建的
[00:01:34.320 --> 00:01:35.520]  他們做什麼呢?
[00:01:35.520 --> 00:01:38.160]  是用來建得很漂亮很大
[00:01:38.160 --> 00:01:39.920]  用來擺貨的
[00:01:39.920 --> 00:01:40.920]  擺什麼貨呢?
