
[00:00:00.000 --> 00:00:02.000]  好了,又讀聖經了,弟兄姊妹
[00:00:02.000 --> 00:00:05.000]  生命說書的網絡和你一起看聖經人,聖經事
[00:00:05.000 --> 00:00:10.000]  今次的題目我的神,他名是耶和華
[00:00:10.000 --> 00:00:13.000]  這一句是一陣子的經文裏面出現的
[00:00:13.000 --> 00:00:15.000]  不過呢,就比這個長一點
[00:00:15.000 --> 00:00:18.000]  我將它做題目呢,就短了一點
[00:00:18.000 --> 00:00:21.000]  我的神,他叫什麽名啊?
[00:00:21.000 --> 00:00:26.000]  我的神,他就是耶和華了,他名是耶和華
[00:00:26.000 --> 00:00:31.000]  耶和華呢,是"I am" 自有永有者,這樣叫的
[00:00:31.000 --> 00:00:35.000]  好,《出一及記》第十四章三十節
[00:00:35.000 --> 00:00:40.000]  當日,耶和華這樣拯救以色列人
[00:00:40.000 --> 00:00:43.000]  脫離埃及人的手
[00:00:43.000 --> 00:00:49.000]  以色列人是看見埃及人的死屍都在海邊
[00:00:49.000 --> 00:00:58.000]  他們就在這邊,就是這個叫做密奪
[00:00:58.000 --> 00:01:03.000]  過海,去到那邊巴力西芬
[00:01:03.000 --> 00:01:08.000]  自己走了海底的乾爐窩
[00:01:08.000 --> 00:01:12.000]  然後埃及士兵追下來,他們回望
[00:01:12.000 --> 00:01:14.000]  哇,死了,又追過來了,怎麽辦呢?
[00:01:14.000 --> 00:01:17.000]  這個時候摩西一伸脹,海水合番
[00:01:17.000 --> 00:01:22.000]  哇,這樣我想他們嘔吐了很多次
[00:01:22.000 --> 00:01:25.000]  就是哇,埃及官兵來了
[00:01:25.000 --> 00:01:28.000]  哇,摩西你這麽壞,帶我們來
[00:01:28.000 --> 00:01:30.000]  然後摩西說向前走
[00:01:30.000 --> 00:01:33.000]  哇,你不是說向前走,是海來的
[00:01:33.000 --> 00:01:34.000]  然後一指,海分開了
[00:01:34.000 --> 00:01:37.000]  然後他們說哇,海水都分開了,地都乾了
[00:01:37.000 --> 00:01:38.000]  於是他們下去了
[00:01:38.000 --> 00:01:43.000]  一路走的時候,哇,海水變矮了
[00:01:43.000 --> 00:01:45.000]  哇,好驚啊
[00:01:45.000 --> 00:01:48.000]  走上去,走上去,就回望了
[00:01:48.000 --> 00:01:49.000]  站好之後回望
[00:01:49.000 --> 00:01:52.000]  哇,埃及官兵又下去追我們了
[00:01:52.000 --> 00:01:54.000]  哇,沒有了,這次還不趕快走
[00:01:54.000 --> 00:01:58.000]  哇,我想他們是嘔吐了無數次
[00:01:58.000 --> 00:02:02.000]  但是當他們看到海水合起來之後
[00:02:02.000 --> 00:02:09.000]  哇,那些埃及人的屍體衝過來岸邊
[00:02:09.000 --> 00:02:13.000]  死屍都在海邊了
[00:02:13.000 --> 00:02:17.000]  他們三十一節,以色列人看見耶和華
[00:02:17.000 --> 00:02:22.000]  向埃及人所行的大事敬畏耶和華
[00:02:22.000 --> 00:02:27.000]  又信服他神和他的僕人摩西
[00:02:27.000 --> 00:02:30.000]  第一點呢,藍色螢光
[00:02:30.000 --> 00:02:33.000]  留意了,有幾個動詞
[00:02:33.000 --> 00:02:37.000]  看見,敬畏,信服
[00:02:37.000 --> 00:02:39.000]  有時候都是這樣的
[00:02:39.000 --> 00:02:41.000]  只是深信不行,要看
[00:02:41.000 --> 00:02:45.000]  看,看一下,做點神蹟看一下
[00:02:45.000 --> 00:02:48.000]  那我才能夠信的
[00:02:48.000 --> 00:02:50.000]  這樣就看見
[00:02:50.000 --> 00:02:52.000]  以色列人呢,很有恩典
[00:02:52.000 --> 00:02:56.000]  因為他看見耶和華所行的大事
[00:02:56.000 --> 00:02:59.000]  然後才全服了
[00:02:59.000 --> 00:03:02.000]  哎呀,對不起啊,上帝,我們不信靠你
[00:03:02.000 --> 00:03:04.000]  哎呀,真是對不起,摩西大哥
[00:03:04.000 --> 00:03:07.000]  哎呀,我們還要去埋怨你呢
[00:03:07.000 --> 00:03:09.000]  對不起,我們會跟你的了
[00:03:09.000 --> 00:03:13.000]  你做大哥了,繼續說你怎麼說,我們怎麼做
[00:03:13.000 --> 00:03:17.000]  看見耶和華向埃及人所做的大事
[00:03:17.000 --> 00:03:21.000]  就敬畏耶和華,又信服耶和華
[00:03:21.000 --> 00:03:23.000]  與他的僕人摩西
[00:03:23.000 --> 00:03:26.000]  這個就是上帝很想他們有的
[00:03:26.000 --> 00:03:29.000]  就是要敬畏與信服
[00:03:29.000 --> 00:03:31.000]  敬畏與信服就是我們今天
[00:03:31.000 --> 00:03:34.000]  上帝對每一個信徒的要求
[00:03:34.000 --> 00:03:37.000]  是敬畏與信服
[00:03:37.000 --> 00:03:40.000]  信,我信,不過不服而已
