
[00:00:00.000 --> 00:00:00.720]  各位探險姐妹
[00:00:00.720 --> 00:00:02.720]  讓我們在聆聽主的說話之中
[00:00:02.720 --> 00:00:04.920]  我們一起再次同心低頭禱告
[00:00:04.920 --> 00:00:09.200]  父神感謝祢
[00:00:09.200 --> 00:00:10.880]  讓我們有生命有氣息
[00:00:10.880 --> 00:00:13.160]  讓我們能夠在一個
[00:00:13.160 --> 00:00:16.640]  無論或晴或雨的日子
[00:00:16.640 --> 00:00:20.080]  都能夠有一份追求上帝祢真理
[00:00:20.080 --> 00:00:22.600]  明白主祢心腸的生命
[00:00:22.600 --> 00:00:25.480]  藏在我們每人的生命當中
[00:00:25.480 --> 00:00:28.480]  讓我們真的可以體貼到
[00:00:28.480 --> 00:00:31.080]  上帝祢是怎樣的一位神
[00:00:31.080 --> 00:00:33.480]  要讓我們真的誠心
[00:00:33.480 --> 00:00:37.040]  來去降伏在上主祢的當中
[00:00:37.040 --> 00:00:38.840]  讓我們的信仰
[00:00:38.840 --> 00:00:41.440]  讓我們對上帝祢的毀身
[00:00:41.440 --> 00:00:45.280]  不是出於只是一個宗教的一個活動
[00:00:45.280 --> 00:00:47.120]  或者一個宣言
[00:00:47.120 --> 00:00:50.600]  而是一個真誠在上主祢裏面
[00:00:50.600 --> 00:00:53.400]  與祢結連的一個關係
[00:00:53.400 --> 00:00:56.920]  而這份關係是在永恆的當中
[00:00:56.920 --> 00:00:58.440]  不可分割的
[00:00:58.720 --> 00:01:01.120]  求祢讓我們好好在今天
[00:01:01.120 --> 00:01:03.400]  珍惜這份屬靈的生命
[00:01:03.400 --> 00:01:05.640]  在聆聽祢的說話
[00:01:05.640 --> 00:01:08.160]  打開讀祢的啟示
[00:01:08.160 --> 00:01:11.760]  並且在當中去尋索的過程裏面
[00:01:11.760 --> 00:01:14.200]  都有祢的聲音陪伴我們
[00:01:14.200 --> 00:01:17.080]  藉著我們在主耶穌基督
[00:01:17.080 --> 00:01:20.960]  祢的獨生兒子的救恩的基礎上
[00:01:20.960 --> 00:01:24.320]  我們可以有根有機地去成長
[00:01:24.440 --> 00:01:29.360]  踏穩在永恆國道裏面神國子民的這個身份
[00:01:29.360 --> 00:01:31.520]  和我們的雜腳點
[00:01:31.520 --> 00:01:36.120]  很想我們能夠預備好在永恆的裏面與祢同住
[00:01:36.120 --> 00:01:39.080]  我們再次將這段時間恭敬交上
[00:01:39.080 --> 00:01:42.240]  讓每一個我們都能夠在祢當中
[00:01:42.240 --> 00:01:43.480]  同蒙恩福
[00:01:43.480 --> 00:01:46.200]  禱告奉靠主耶穌基督
[00:01:46.200 --> 00:01:47.520]  得聖名自求
[00:01:47.520 --> 00:01:48.240]  阿們
[00:01:48.240 --> 00:01:52.720]  無論是天災或者是人禍
[00:01:52.720 --> 00:01:56.280]  往往當一些不幸的事情發生之後
[00:01:56.280 --> 00:01:59.000]  人或者他身邊的人
[00:01:59.000 --> 00:02:04.680]  往往就會出現兩種很極端的表現
[00:02:04.680 --> 00:02:07.280]  其中一款的就是什麼呢?
[00:02:07.280 --> 00:02:11.520]  首先就是當事人會經常問一個問題
[00:02:11.520 --> 00:02:12.960]  為什麼?
[00:02:12.960 --> 00:02:16.320]  為什麼一些不幸的事情
[00:02:16.320 --> 00:02:20.560]  會偏偏選中我或者選中我家人
[00:02:20.560 --> 00:02:22.600]  甚至是我的朋友呢?
[00:02:23.480 --> 00:02:26.600]  好像剛剛香港好像打完風
[00:02:26.600 --> 00:02:28.560]  有沒有上十號風球?
[00:02:28.560 --> 00:02:29.320]  好像沒有吧?
[00:02:29.320 --> 00:02:30.440]  九號風球而已
[00:02:30.440 --> 00:02:33.280]  聽聞第一件事
[00:02:33.280 --> 00:02:35.080]  我看新聞的就是
[00:02:35.080 --> 00:02:37.040]  原來傷了18個人
[00:02:37.040 --> 00:02:39.440]  有些人就說
[00:02:39.440 --> 00:02:42.440]  現在這麼科技先進的一個城市世界
[00:02:42.440 --> 00:02:45.200]  都還會有人受傷的嗎?
[00:02:45.200 --> 00:02:48.000]  但是真的的而且確
[00:02:48.000 --> 00:02:50.880]  除了那些人喜歡出去看浪
[00:02:51.280 --> 00:02:52.720]  看風那些人之外
[00:02:52.720 --> 00:02:54.560]  自找麻煩
[00:02:54.560 --> 00:02:58.120]  往往真的不是道理說的
[00:02:58.120 --> 00:03:01.040]  為什麼會有這樣的遭遇呢?
[00:03:01.040 --> 00:03:02.880]  或者有些人就會說
[00:03:02.880 --> 00:03:05.160]  我家人患了癌症
[00:03:05.160 --> 00:03:07.800]  或者發生交通意外
[00:03:07.800 --> 00:03:10.160]  為什麼這麼多的人
[00:03:10.160 --> 00:03:12.840]  不會是撞上
[00:03:12.840 --> 00:03:16.400]  是偏偏遇著是我會撞上呢?
[00:03:16.400 --> 00:03:19.400]  甚至有些基督徒
[00:03:19.400 --> 00:03:21.440]  當遇見這樣的情況的時候
[00:03:21.440 --> 00:03:23.920]  就會向上帝去申訴了
[00:03:23.920 --> 00:03:25.520]  他們還聲稱
[00:03:25.520 --> 00:03:28.800]  這個是基督徒的優越的位置
[00:03:28.800 --> 00:03:31.320]  可以有多個對象
[00:03:31.320 --> 00:03:33.040]  一位創造世界
[00:03:33.040 --> 00:03:34.560]  掌管萬有的神
[00:03:34.560 --> 00:03:36.680]  可以讓我們去和祂談一下
[00:03:36.680 --> 00:03:39.560]  但是往往這些的傾銜
[00:03:39.560 --> 00:03:43.360]  變成是向上帝大事
[00:03:43.360 --> 00:03:46.280]  來去發出問責
[00:03:46.280 --> 00:03:47.280]  上帝
[00:03:47.480 --> 00:03:51.080]  為什麼你要讓我遭遇這些事情呢?
[00:03:51.080 --> 00:03:56.480]  有些信徒甚至以此來威脅上帝
[00:03:56.480 --> 00:03:59.200]  如果你不為我解決這個問題
[00:03:59.200 --> 00:04:01.920]  我不信你
[00:04:01.920 --> 00:04:05.040]  很多基督徒是這樣
[00:04:05.040 --> 00:04:08.080]  不究其原因
[00:04:08.080 --> 00:04:09.760]  因為他相信的神
[00:04:09.760 --> 00:04:11.320]  不是聖經裡面的神
[00:04:11.320 --> 00:04:15.040]  他所聲稱所相信的耶穌
[00:04:15.040 --> 00:04:18.720]  其實是沒有曾經有任何關聯的關係
[00:04:18.720 --> 00:04:20.920]  他只不過是當耶穌
[00:04:20.920 --> 00:04:24.440]  是一個為他提供益處的媒介而已
[00:04:24.440 --> 00:04:26.240]  簡單一點來說
[00:04:26.240 --> 00:04:27.400]  利用上帝
[00:04:27.400 --> 00:04:29.880]  這是其中一批
[00:04:29.880 --> 00:04:31.480]  另一批的人
[00:04:31.480 --> 00:04:33.000]  他就帶著一種
[00:04:33.000 --> 00:04:35.640]  報應論的觀念
[00:04:35.640 --> 00:04:37.120]  是怎麼樣呢?
[00:04:37.120 --> 00:04:39.440]  這類人又可以分為兩大類的
[00:04:39.440 --> 00:04:41.400]  第一類的就是
[00:04:41.400 --> 00:04:42.920]  他認為自己真的
[00:04:42.920 --> 00:04:46.720]  罪孽深重,做得太多壞事
[00:04:46.720 --> 00:04:47.800]  或者說
[00:04:47.800 --> 00:04:49.840]  作孽太多
[00:04:49.840 --> 00:04:52.160]  只不過時辰已到
[00:04:52.160 --> 00:04:54.880]  時辰已到,這些就是報應
[00:04:54.880 --> 00:04:56.280]  認命
[00:04:56.280 --> 00:04:59.800]  這是另一批的一種反應
[00:04:59.800 --> 00:05:01.480]  而另一批的呢
[00:05:01.480 --> 00:05:04.360]  他們在這樣的情況之下
[00:05:04.360 --> 00:05:10.240]  就帶著一頂審判官的帽子
[00:05:10.680 --> 00:05:16.280]  在這個時候就向著那些被懲罰或者受害的人
[00:05:16.280 --> 00:05:19.200]  就說其實是活該他們死的
[00:05:19.200 --> 00:05:21.760]  因為他們從來
[00:05:21.760 --> 00:05:24.840]  都沒有輕看他自己所犯的罪惡
[00:05:24.840 --> 00:05:26.720]  於是乎
[00:05:26.720 --> 00:05:32.080]  他還以為上帝的報應是遲了
[00:05:32.080 --> 00:05:33.560]  或者太過輕
[00:05:33.560 --> 00:05:36.800]  正所謂天無眼
[00:05:36.800 --> 00:05:40.440]  這些人應該老早踩多他兩腳
[00:05:40.720 --> 00:05:42.880]  使得他們能夠真的
[00:05:42.880 --> 00:05:49.280]  以償自己一種的洩憤的一種的心智
[00:05:49.280 --> 00:05:51.800]  有些人又曉包裝
[00:05:51.800 --> 00:05:53.360]  在這個時候
[00:05:53.360 --> 00:05:56.560]  就表現出好像大義滅親一樣
[00:05:56.560 --> 00:05:58.760]  尤其是那個受害者是他家人
[00:05:58.760 --> 00:06:02.960]  我不會因為他是我家人,我偏袒他
[00:06:02.960 --> 00:06:06.080]  所以上帝你糟蹋他了
[00:06:08.360 --> 00:06:14.080]  在這個世界的人對於這一些天災橫禍
[00:06:14.080 --> 00:06:18.240]  往往就落在這些現象裡面
[00:06:18.240 --> 00:06:20.120]  甚至有人藉機
[00:06:20.120 --> 00:06:23.240]  乘此機會去得益
[00:06:23.240 --> 00:06:28.240]  無論是真正利益實體上得到的
[00:06:28.240 --> 00:06:30.360]  或者在名譽上面
[00:06:30.360 --> 00:06:34.600]  將自己抬高好像自己是一位正人君子
[00:06:34.920 --> 00:06:38.520]  其實他不知道自己已經跌入了
[00:06:38.520 --> 00:06:41.200]  偽君子的光景
[00:06:41.200 --> 00:06:43.400]  他所謂的大公無私
[00:06:43.400 --> 00:06:48.160]  也只不過是一種手段來包裝自己
[00:06:48.160 --> 00:06:52.400]  使得自己好像在這個世界高人一等
[00:06:52.400 --> 00:06:53.440]  不過
[00:06:53.440 --> 00:06:55.520]  無論是哪一種的人
[00:06:55.520 --> 00:06:58.880]  在這個世界不信主的人
[00:06:58.880 --> 00:07:01.040]  其實看這些東西看得很清楚的
[00:07:02.320 --> 00:07:06.680]  往往當我們有些人的表現是這樣的時候
[00:07:06.680 --> 00:07:09.720]  他們很容易就看到他們的破綻
[00:07:09.720 --> 00:07:13.560]  那你說牧師為什麼會這麼容易看到他們的破綻呢?
[00:07:13.560 --> 00:07:16.440]  因為他們本身自己就是這樣做慣了
[00:07:16.440 --> 00:07:20.480]  所以當他一看到你的表現跟他們很相似的時候
[00:07:20.480 --> 00:07:24.000]  他馬上就會看得到你的作為
[00:07:24.000 --> 00:07:26.280]  其實跟他們沒什麼分別
[00:07:26.280 --> 00:07:30.880]  大家都是出來裝作好像很光明
[00:07:31.560 --> 00:07:33.520]  這種的情況
[00:07:33.520 --> 00:07:41.560]  其實正正就是俄巴底亞書要去處理的一連串的問題
[00:07:41.560 --> 00:07:44.440]  尤其是今天我們看到
[00:07:44.440 --> 00:07:47.160]  那個內容的主人翁
[00:07:47.160 --> 00:07:48.960]  包括以東人
[00:07:48.960 --> 00:07:54.040]  以及他的兄弟幫這個猶大國
[00:07:54.040 --> 00:07:57.520]  他們現在可以說是一起
[00:07:57.520 --> 00:08:01.080]  是跌入了上帝的審判裡面
[00:08:01.560 --> 00:08:05.120]  而以東當看到過去自己
[00:08:05.120 --> 00:08:11.760]  好像被猶大國去虧損了他們的利益的時候
[00:08:11.760 --> 00:08:15.960]  現在當猶大國跌入一個不幸的時刻
[00:08:15.960 --> 00:08:17.960]  他們的反應
[00:08:17.960 --> 00:08:20.080]  上帝就在這段聖經裡面
[00:08:20.080 --> 00:08:22.600]  充分講了出來給我們知道
[00:08:22.600 --> 00:08:27.320]  並且要作一連串的糾正
[00:08:28.840 --> 00:08:33.400]  問題是這些糾正能不能夠在以東人的身上
[00:08:33.400 --> 00:08:35.760]  或者由猶大國的角度來看
[00:08:35.760 --> 00:08:40.360]  他們看不看到上帝在這一連串對於以東的糾正
[00:08:40.360 --> 00:08:43.480]  是有一份挽回的動機呢
[00:08:43.480 --> 00:08:49.920]  所以俄巴底亞書不是一般所看的
[00:08:49.920 --> 00:08:52.040]  只是懲罰以東
[00:08:52.040 --> 00:08:53.680]  為猶大國報仇
[00:08:53.680 --> 00:08:54.360]  不是
[00:08:55.160 --> 00:08:59.480]  上帝有一連串的糾正挽回的工作要做的
[00:08:59.480 --> 00:09:01.120]  那不是光說的
[00:09:01.120 --> 00:09:05.080]  他要真是和猶大國與及以東
[00:09:05.080 --> 00:09:07.600]  一起走他人生的道路
[00:09:07.600 --> 00:09:09.320]  在什麼時候教
[00:09:09.320 --> 00:09:13.480]  在什麼時候去施這些督導
[00:09:13.480 --> 00:09:15.720]  就是在他犯錯的時候
[00:09:15.720 --> 00:09:19.000]  所以我很喜歡用這個例子
[00:09:19.000 --> 00:09:21.440]  往往有些小朋友去到玩具店
[00:09:21.440 --> 00:09:25.360]  扭計要父母買玩具的時候點床點脊
[00:09:25.360 --> 00:09:27.480]  在大地那裡
[00:09:27.480 --> 00:09:29.760]  在那個時候
[00:09:29.760 --> 00:09:31.840]  如果父母是妥協的
[00:09:31.840 --> 00:09:32.960]  算了買給他
[00:09:32.960 --> 00:09:34.120]  那你就不用教了
[00:09:34.120 --> 00:09:36.840]  他只會打多一重石屎下去
[00:09:36.840 --> 00:09:38.800]  鎖實他這種頑固的態度
[00:09:38.800 --> 00:09:41.080]  如果你在那一刻
[00:09:41.080 --> 00:09:42.880]  不教他的
[00:09:42.880 --> 00:09:44.720]  算數不理他的
[00:09:44.720 --> 00:09:47.960]  那你又未必把握好這個時機
[00:09:48.800 --> 00:09:51.840]  所以教小朋友要把握時機
[00:09:51.840 --> 00:09:56.040]  教我們在屬靈上能夠更貼近上帝
[00:09:56.040 --> 00:09:58.480]  上帝就在那個時機的時候
[00:09:58.480 --> 00:10:00.320]  教導他們
[00:10:00.320 --> 00:10:03.000]  那這個就是今天我們一起去看一下
[00:10:03.000 --> 00:10:05.280]  這段聖經上帝怎樣
[00:10:05.280 --> 00:10:07.360]  在這一連串
[00:10:07.360 --> 00:10:10.360]  發生的不幸事件
[00:10:10.360 --> 00:10:13.320]  你可以說是人禍
[00:10:13.320 --> 00:10:14.320]  未至於天災
[00:10:14.320 --> 00:10:17.160]  不過其實是上帝在這裡運作的時候
[00:10:17.600 --> 00:10:22.000]  在這些種種的不幸降臨到的時候
[00:10:22.000 --> 00:10:24.840]  原來正正就是在測試著
[00:10:24.840 --> 00:10:27.120]  你和我自己的屬靈生命
[00:10:27.120 --> 00:10:29.080]  那個的成熟程度有多少
[00:10:29.080 --> 00:10:30.280]  所以今天的講題叫做
[00:10:30.280 --> 00:10:34.320]  當不幸降臨時的試驗
[00:10:34.320 --> 00:10:35.600]  就是這樣的原因
[00:10:35.600 --> 00:10:38.960]  那麼讓我們再次去打開俄巴底亞書
[00:10:38.960 --> 00:10:41.920]  我們會一起去看一下這段的經文
[00:10:41.920 --> 00:10:43.320]  今天所看的經文
[00:10:43.320 --> 00:10:46.640]  我們是從第十二節到第十四節
[00:10:46.640 --> 00:10:50.600]  那麼請我們一起再次讀一下這段聖經
[00:10:50.600 --> 00:10:53.200]  讀一下你就會覺得深刻一點了
[00:10:53.200 --> 00:10:54.440]  因為為什麼呢?
[00:10:54.440 --> 00:10:55.600]  讀
[00:10:55.600 --> 00:10:57.200]  你的耳朵會聽
[00:10:57.200 --> 00:10:58.640]  那麼你就會看見
[00:10:58.640 --> 00:10:59.120]  咦?
[00:10:59.120 --> 00:11:00.920]  這段聖經有一些東西
[00:11:00.920 --> 00:11:02.800]  在我的耳朵
[00:11:02.800 --> 00:11:04.640]  在我的心靈裡面
[00:11:04.640 --> 00:11:06.840]  好像打起一個響號了
[00:11:06.840 --> 00:11:10.520]  好,我們一起去打開俄巴底亞書
[00:11:10.520 --> 00:11:14.920]  第十二節至第十四節
[00:11:14.920 --> 00:11:16.240]  我們慢慢讀一下
[00:11:16.240 --> 00:11:19.360]  因為我今天沒有帶一份大字聖經
[00:11:19.360 --> 00:11:22.920]  我只有一本很小的字體的聖經
[00:11:22.920 --> 00:11:24.840]  我是看不清楚的
[00:11:24.840 --> 00:11:27.040]  所以讀得慢一點
[00:11:27.040 --> 00:11:29.040]  好,我們一起讀吧
[00:11:29.040 --> 00:11:29.720]  十二節
[00:11:29.720 --> 00:11:33.840]  你兄弟遭難的日子
[00:11:33.840 --> 00:11:37.360]  你不當睜眼向著
[00:11:37.360 --> 00:11:40.760]  猶大人被滅的日子
[00:11:40.760 --> 00:11:43.920]  你不當因此歡樂
[00:11:44.320 --> 00:11:46.920]  他們遭難的日子
[00:11:46.920 --> 00:11:50.520]  你不當說狂傲的話
[00:11:50.520 --> 00:11:53.920]  我們遭災的日子
[00:11:53.920 --> 00:11:57.480]  你不當進他們的城門
