
[00:00:00.000 --> 00:00:08.220]  今日的訊息其實是一個很安靜的訊息
[00:00:08.220 --> 00:00:13.200]  大家可否幫助大家安靜一下
[00:00:13.200 --> 00:00:16.800]  很安靜 為何這麼安靜呢?
[00:00:16.800 --> 00:00:20.600]  現已夜深 我們要將聲量收細
[00:00:20.600 --> 00:00:27.880]  我們再讀耶穌平靜風浪的故事
[00:00:27.880 --> 00:00:30.560]  今次我再讀這個故事的時候
[00:00:30.560 --> 00:00:33.760]  我發現原來耶穌不只是想平靜風浪
[00:00:33.760 --> 00:00:37.320]  當然祂是有能力 亦已經平靜了風浪
[00:00:37.320 --> 00:00:42.000]  但祂更加想平靜的 原來是我們的內心
[00:00:42.000 --> 00:00:52.360]  因為當晚耶穌講道 講了一天的道
[00:00:52.360 --> 00:00:54.720]  有點延遲 回頭看
[00:00:54.720 --> 00:00:56.440]  講了一天的道
[00:00:56.440 --> 00:01:01.840]  祂和門徒說 我們坐船去對面海
[00:01:01.840 --> 00:01:05.440]  當時耶穌很累 因為祂做了一天的事
[00:01:05.440 --> 00:01:10.880]  經文說 祂靠著枕頭睡得很熟
[00:01:10.880 --> 00:01:15.080]  當時天色很美 天氣很好
[00:01:15.080 --> 00:01:19.240]  祂一路過海 耶穌睡得很熟
[00:01:19.240 --> 00:01:21.760]  接著大家都知道發生甚麼事
[00:01:21.760 --> 00:01:26.600]  狂風暴雨突然來臨 很吵
[00:01:26.600 --> 00:01:30.480]  大家可否想像 行雷閃電 狂風暴雨很吵
[00:01:30.480 --> 00:01:33.400]  但更加吵的是門徒的聲音
[00:01:33.400 --> 00:01:37.400]  門徒很吵 水已經浸滿了船
[00:01:37.400 --> 00:01:41.160]  大家快些把水舀出去 很吵
[00:01:41.160 --> 00:01:44.040]  吵到一個地步 他們要吵醒耶穌
[00:01:44.040 --> 00:01:47.400]  他們說 老師 老師 我們死了
[00:01:47.400 --> 00:01:50.960]  你不救我們嗎? 我們死了
[00:01:50.960 --> 00:01:56.800]  於是耶穌一醒來 祂第一個字是
[00:01:56.800 --> 00:02:00.360]  住了吧 靜了吧
[00:02:00.360 --> 00:02:05.480]  祂說很吵 原來祂罵那些狂風暴雨
[00:02:05.480 --> 00:02:08.520]  祂說你們很吵 住了吧 靜了吧
[00:02:08.520 --> 00:02:10.560]  祂不是叫那些狂風離開
[00:02:10.560 --> 00:02:14.280]  原來住了吧的意思不是停止
[00:02:14.280 --> 00:02:18.280]  原來住了吧的意思在原文是Be Muscle
[00:02:18.280 --> 00:02:19.840]  甚麼是Be Muscle?
[00:02:19.840 --> 00:02:23.480]  就是以前的動物有個圈在鼻子上
[00:02:23.480 --> 00:02:26.680]  主人可以拉著那個圈來牽制牠
[00:02:26.680 --> 00:02:29.320]  原來住了吧的意思是
[00:02:29.320 --> 00:02:33.160]  你們要被我牽制 你要安靜
[00:02:33.160 --> 00:02:38.080]  好像孫悟空的金剛箍一戴
[00:02:38.080 --> 00:02:42.320]  很奇怪 祂和狂風暴雨好像對人一樣說
[00:02:42.320 --> 00:02:46.440]  你們要受我牽制 你們要安靜 你們太吵了
[00:02:46.440 --> 00:02:52.400]  祂罵完狂風暴雨後 祂就質問那些門徒
[00:02:52.400 --> 00:02:56.360]  祂不是那麼開心 祂質問那些門徒
[00:02:56.360 --> 00:02:59.000]  為甚麼怯懦呢? 為甚麼害怕呢?
[00:02:59.000 --> 00:03:02.240]  你們還是沒有信心嗎?
[00:03:02.240 --> 00:03:04.320]  有時我看這個故事看了很多次
[00:03:04.320 --> 00:03:06.440]  我都替那些門徒不值
[00:03:06.440 --> 00:03:10.800]  快要死了 我是不是叫救命都不行?
[00:03:10.800 --> 00:03:14.600]  你會覺得為甚麼耶穌會質問那些門徒呢?
[00:03:14.600 --> 00:03:16.920]  為甚麼耶穌會不開心呢?
[00:03:16.920 --> 00:03:20.160]  這次我再讀這個故事的時候
[00:03:20.160 --> 00:03:22.480]  我可以解釋得清楚一點
[00:03:22.480 --> 00:03:26.320]  但我會在後面的部分才解釋這件事
[00:03:26.320 --> 00:03:29.920]  其實耶穌是有原因的
[00:03:29.920 --> 00:03:32.600]  我們再看這個題目
[00:03:32.600 --> 00:03:36.920]  其實我再讀這個故事的時候
[00:03:36.920 --> 00:03:41.080]  我經歷了神一個很奇妙的帶領
[00:03:41.080 --> 00:03:45.880]  話說 其實我是很怕坐飛機的
[00:03:45.880 --> 00:03:48.840]  有沒有人都怕坐飛機的? 有沒有人陪我?
[00:03:48.840 --> 00:03:51.160]  有 有些共鳴
[00:03:51.160 --> 00:03:53.800]  很怕坐飛機 為甚麼呢?
[00:03:53.800 --> 00:03:55.200]  我小時候不怕的
[00:03:55.200 --> 00:03:58.000]  我移民過來坐大航空公司
[00:03:58.000 --> 00:04:00.680]  坐飛機沒甚麼事 就坐飛機
[00:04:00.680 --> 00:04:02.320]  直至有一次
[00:04:02.320 --> 00:04:04.840]  我在拉斯維加斯回來的時候
[00:04:04.840 --> 00:04:07.280]  坐飛機變成坐跳樓機
[00:04:07.280 --> 00:04:10.160]  真的一下子掉下去
[00:04:10.160 --> 00:04:13.240]  我旁邊的人全部都抓緊了
[00:04:13.240 --> 00:04:14.520]  不只是我一個人害怕
[00:04:14.520 --> 00:04:16.040]  整個飛機的人都害怕
[00:04:16.040 --> 00:04:18.360]  自從那次之後我就很害怕
[00:04:18.360 --> 00:04:19.640]  我不是害怕死
[00:04:19.640 --> 00:04:22.920]  而是我真的不知道我這次再坐飛機的時候
[00:04:22.920 --> 00:04:24.560]  是不是又是坐跳樓機
[00:04:24.560 --> 00:04:26.400]  你坐跳樓機你都可以預備
[00:04:26.400 --> 00:04:27.560]  現在來了 現在來了
[00:04:27.560 --> 00:04:30.800]  但坐飛機你沒有這樣的心理準備
[00:04:30.800 --> 00:04:32.560]  大家知道其實我早兩個星期
[00:04:32.560 --> 00:04:34.880]  我又飛去Kangkoon
[00:04:34.880 --> 00:04:35.680]  我飛去Kangkoon
[00:04:35.680 --> 00:04:40.240]  我在機場跟自己有些心理預備 心理建設
[00:04:40.240 --> 00:04:41.880]  不用怕的 不用怕
[00:04:41.880 --> 00:04:43.480]  耶穌會平靜風浪
[00:04:43.480 --> 00:04:45.080]  我經常都會想起這個故事
[00:04:45.080 --> 00:04:45.960]  每次坐飛機
[00:04:45.960 --> 00:04:49.280]  我就會想起耶穌平靜風浪這個故事
[00:04:49.280 --> 00:04:52.160]  但我對這個故事有少少熟悉
[00:04:52.160 --> 00:04:53.480]  你要知道
[00:04:53.480 --> 00:04:55.240]  就算神與你同在
[00:04:55.240 --> 00:04:58.120]  坐在你的飛機上
[00:04:58.120 --> 00:05:00.760]  你都是會遇見風浪的
[00:05:00.760 --> 00:05:03.920]  你都是會遇見風浪的
[00:05:03.920 --> 00:05:05.760]  為什麼我會這麼害怕呢
