
[00:00:00.000 --> 00:00:01.900]  又一齊讀《路德記》了
[00:00:01.900 --> 00:00:04.700]  《生命說書的網絡》跟大家看聖經人士
[00:00:04.700 --> 00:00:06.600]  和看聖經裡面的神
[00:00:06.600 --> 00:00:10.000]  這次我的題目也是《路德記》第二章的取材
[00:00:10.000 --> 00:00:12.200]  就是波亞斯對路德
[00:00:12.200 --> 00:00:14.400]  是欣賞與恩待
[00:00:14.400 --> 00:00:16.900]  這個就是我給的字
[00:00:16.900 --> 00:00:21.200]  波亞斯是對路德又欣賞又恩待
[00:00:21.200 --> 00:00:22.400]  啊,厲害
[00:00:22.400 --> 00:00:24.000]  其實呢
[00:00:24.000 --> 00:00:29.400]  波亞斯對於路德的印象是深刻的
[00:00:29.400 --> 00:00:31.400]  但是其實會不會說
[00:00:31.400 --> 00:00:33.000]  哎呀,我想娶她為妻
[00:00:33.000 --> 00:00:34.000]  那又未有
[00:00:34.000 --> 00:00:36.500]  只不過是印象很深刻
[00:00:36.500 --> 00:00:38.200]  啊,路德這個女孩
[00:00:38.200 --> 00:00:39.900]  真的不錯
[00:00:39.900 --> 00:00:41.100]  看看
[00:00:41.100 --> 00:00:43.500]  波亞斯就對路德說了
[00:00:43.500 --> 00:00:44.800]  第一,她的反應
[00:00:44.800 --> 00:00:48.700]  第一個,為什麼我上次叫《仁慈的波亞斯》呢
[00:00:48.700 --> 00:00:51.800]  就是《遇見努力的路德》嘛
[00:00:51.800 --> 00:00:52.800]  昨天的題目
[00:00:52.800 --> 00:00:54.400]  仁慈就是她
[00:00:54.400 --> 00:00:56.500]  波亞斯就對路德說了
[00:00:56.500 --> 00:00:57.300]  第一點
[00:00:57.300 --> 00:01:00.200]  女兒啊,為什麼跟
[00:01:00.200 --> 00:01:02.700]  這個拿俄米的稱呼一樣呢
[00:01:02.700 --> 00:01:04.700]  叫她做女兒
[00:01:04.700 --> 00:01:06.900]  是不是每個人都來收拾東西的
[00:01:06.900 --> 00:01:08.000]  老實說
[00:01:08.000 --> 00:01:11.900]  出來收拾東西的多數都是窮家的女人
[00:01:11.900 --> 00:01:13.500]  或者小朋友
[00:01:13.500 --> 00:01:14.700]  跟著媽媽出來
[00:01:14.700 --> 00:01:16.100]  男人不收拾的嗎
[00:01:16.100 --> 00:01:19.100]  男人打了工幫忙收割
[00:01:19.100 --> 00:01:21.000]  除非他是殘疾的
[00:01:21.000 --> 00:01:22.100]  明白了嗎
[00:01:22.100 --> 00:01:24.000]  那麼多都是女的
[00:01:24.000 --> 00:01:24.900]  是不是也有人說
[00:01:24.900 --> 00:01:27.000]  哎呀,女兒啊,女兒啊,女兒啊
[00:01:27.000 --> 00:01:27.900]  不會啦
[00:01:27.900 --> 00:01:29.300]  那麼這個看到她
[00:01:29.300 --> 00:01:31.000]  她是聽完她說之後
[00:01:31.000 --> 00:01:33.500]  她說,哎呀,女兒啊
[00:01:33.500 --> 00:01:35.000]  聽我說
[00:01:35.000 --> 00:01:36.800]  聽我說之後說,留意啊
[00:01:36.800 --> 00:01:39.000]  女兒啊,留意,留意
[00:01:39.000 --> 00:01:40.200]  留意什麼呢
[00:01:40.200 --> 00:01:41.600]  我當你好像女兒一樣
[00:01:41.600 --> 00:01:42.800]  就是我很欣賞你
[00:01:42.800 --> 00:01:43.700]  很疼你
[00:01:43.700 --> 00:01:45.200]  聽我說
[00:01:45.200 --> 00:01:48.900]  不要往別人田裡去拾取墨水
[00:01:48.900 --> 00:01:51.000]  不要離開這裡
[00:01:51.000 --> 00:01:54.500]  要常與我侍女們在一處
[00:01:54.500 --> 00:01:55.700]  那些侍女呢
[00:01:55.700 --> 00:01:57.400]  就是我侍女們
[00:01:57.400 --> 00:01:58.100]  也就是說
[00:01:58.100 --> 00:01:59.100]  第一,她是有錢人
[00:01:59.100 --> 00:02:00.600]  所以侍女多
[00:02:00.600 --> 00:02:04.700]  第二,這些侍女是她請的全職
[00:02:04.700 --> 00:02:07.500]  譬如無法探的全職工人
[00:02:07.500 --> 00:02:11.100]  有男人,有女人,有僕人,有侍女
[00:02:11.100 --> 00:02:13.800]  那些侍女都幫忙出來收割了
[00:02:13.800 --> 00:02:15.500]  因為要很急
[00:02:15.500 --> 00:02:17.400]  好了,這些是請的
[00:02:17.400 --> 00:02:20.200]  不要去別人的田裡
[00:02:20.200 --> 00:02:21.300]  不用去
[00:02:21.300 --> 00:02:22.700]  不用去別人那裡
[00:02:22.700 --> 00:02:25.400]  不要離開我的田
[00:02:25.400 --> 00:02:26.800]  你和我的侍女一起
[00:02:26.800 --> 00:02:28.500]  跟著我的侍女一起
[00:02:28.500 --> 00:02:29.600]  那是什麼呢
[00:02:29.600 --> 00:02:32.000]  你好像我的侍女一樣
[00:02:32.000 --> 00:02:33.500]  這樣跟著我們
[00:02:33.500 --> 00:02:34.600]  就可以了
[00:02:34.600 --> 00:02:37.400]  不過她沒有說
[00:02:37.400 --> 00:02:38.800]  我請你做我的侍女
[00:02:38.800 --> 00:02:40.700]  給多少錢,她沒有
[00:02:40.700 --> 00:02:41.400]  而是說
[00:02:41.400 --> 00:02:42.800]  你跟著我的侍女
[00:02:42.800 --> 00:02:43.800]  他們去到哪裡
[00:02:43.800 --> 00:02:44.600]  你就在那裡拾取
[00:02:44.600 --> 00:02:45.900]  去到哪裡就在那裡拾取
[00:02:45.900 --> 00:02:47.500]  跟著我的侍女一起
[00:02:47.500 --> 00:02:49.600]  我的僕人在哪塊田收割
[00:02:49.600 --> 00:02:51.200]  你跟著他們去
[00:02:51.200 --> 00:02:53.000]  我已經吩咐了僕人
[00:02:53.000 --> 00:02:55.900]  不可以欺負你
[00:02:55.900 --> 00:02:57.200]  會有人欺負你嗎
[00:02:57.200 --> 00:02:58.200]  當然有
[00:02:58.200 --> 00:03:00.000]  老老實實
[00:03:00.000 --> 00:03:03.400]  不同種族很多時候都被人欺負
[00:03:03.400 --> 00:03:05.600]  外族那些都被人欺負
[00:03:05.600 --> 00:03:07.400]  你們說在哪裡哪裡
[00:03:07.400 --> 00:03:11.700]  有這個Anti-Discrimination Board
[00:03:11.700 --> 00:03:13.700]  不知哪個國家哪個城市
[00:03:13.700 --> 00:03:16.300]  有這個反種族歧視
[00:03:16.300 --> 00:03:18.700]  反歧視委員會
[00:03:18.700 --> 00:03:20.700]  當一有反歧視委員會
[00:03:20.700 --> 00:03:23.500]  即是說他那裡的歧視已經很嚴重
[00:03:23.500 --> 00:03:25.700]  才有反歧視委員會
[00:03:25.700 --> 00:03:27.000]  你要知道
[00:03:27.000 --> 00:03:29.000]  唉,真是反歧視法
[00:03:29.000 --> 00:03:32.000]  即是說都覺得重要才會反歧視
[00:03:32.000 --> 00:03:34.200]  他們會欺負你
[00:03:34.200 --> 00:03:35.100]  很有趣
[00:03:35.100 --> 00:03:37.600]  不要說不同種族
[00:03:37.600 --> 00:03:40.000]  不同衣服
[00:03:40.000 --> 00:03:41.300]  我記得在學校的時候
[00:03:41.300 --> 00:03:43.800]  不同衣服是分黨的
[00:03:43.800 --> 00:03:45.400]  大家拾取中學的時候
[00:03:45.400 --> 00:03:48.200]  大家拾取的袋是不一樣的
[00:03:48.200 --> 00:03:49.800]  不同黨拾取的袋不一樣
[00:03:49.800 --> 00:03:52.400]  有時候我發覺那些女生
[00:03:52.400 --> 00:03:57.700]  當時是很流行拾取不同航空公司的旅行袋
[00:03:57.700 --> 00:04:00.000]  唉,我這個是Pan Am
[00:04:00.000 --> 00:04:01.200]  泛美航空
[00:04:01.200 --> 00:04:02.600]  唉,我這個是BLAC
[00:04:02.600 --> 00:04:04.200]  英國航空
[00:04:04.200 --> 00:04:07.000]  你拾取中國航空
[00:04:07.000 --> 00:04:08.200]  這樣被人笑
[00:04:08.200 --> 00:04:10.700]  大家穿的鞋又一樣
[00:04:10.700 --> 00:04:12.000]  你穿白飯魚
[00:04:12.000 --> 00:04:13.000]  這樣被人笑
[00:04:13.000 --> 00:04:15.000]  穿的衣服
[00:04:15.000 --> 00:04:16.200]  顏色都一樣
[00:04:16.200 --> 00:04:17.000]  好了
[00:04:17.000 --> 00:04:18.500]  我已經吩咐了那些僕人
[00:04:18.500 --> 00:04:20.100]  不可以欺負你
[00:04:20.100 --> 00:04:21.500]  如果你口渴
[00:04:21.500 --> 00:04:23.300]  就可以去戲命那裡
[00:04:23.300 --> 00:04:26.700]  喝僕人打來的水
[00:04:26.700 --> 00:04:27.700]  喂
[00:04:27.700 --> 00:04:28.400]  喂,你是誰?
[00:04:28.400 --> 00:04:29.400]  怎麼搞的
[00:04:29.400 --> 00:04:31.100]  喝我們打來的水
[00:04:31.100 --> 00:04:33.100]  你知不知道打水去到井裡多遠
[00:04:33.100 --> 00:04:34.500]  多辛苦
[00:04:34.500 --> 00:04:36.100]  你這樣來拾東西
[00:04:36.100 --> 00:04:37.100]  喝我們的水
[00:04:37.100 --> 00:04:38.300]  一定被人欺負
[00:04:38.300 --> 00:04:39.800]  不打你算偷笑
[00:04:39.800 --> 00:04:41.500]  你看到
[00:04:41.500 --> 00:04:43.200]  我已經吩咐了僕人
[00:04:43.200 --> 00:04:44.800]  不可以拒絕你
[00:04:44.800 --> 00:04:45.800]  不要欺負你
[00:04:45.800 --> 00:04:47.600]  可以在我那裡坐
[00:04:47.600 --> 00:04:49.700]  可以喝水
[00:04:49.700 --> 00:04:51.600]  任拾不撈
[00:04:51.600 --> 00:04:53.000]  哇,這樣
[00:04:53.000 --> 00:04:55.200]  這樣真的很仁慈
[00:04:55.200 --> 00:04:59.200]  其實是因為他很欣賞
[00:04:59.200 --> 00:05:03.700]  仁慈的邦亞斯是遇見努力的路德
[00:05:03.700 --> 00:05:05.800]  不過這一集是說
[00:05:05.800 --> 00:05:07.800]  他很欣賞他的
[00:05:07.800 --> 00:05:10.300]  路德就俯伏在地
[00:05:10.300 --> 00:05:11.200]  叩拜
[00:05:11.200 --> 00:05:12.000]  對他說
[00:05:12.000 --> 00:05:13.000]  哎呀
[00:05:13.000 --> 00:05:14.800]  我只不過是外邦人
[00:05:14.800 --> 00:05:16.400]  怎麼蒙你的恩
[00:05:16.400 --> 00:05:19.500]  這樣顧惜我呢
[00:05:19.500 --> 00:05:21.700]  哎呀,我這個外邦小女子
[00:05:21.700 --> 00:05:22.600]  蒙恩
[00:05:22.600 --> 00:05:24.000]  你這麼照顧我
