
[00:00:00.000 --> 00:00:03.000]  待會我們又繼續讀聖經
[00:00:03.000 --> 00:00:09.000]  生命樹和大家研究聖經人、聖經事、聖經裏面的神
[00:00:09.000 --> 00:00:13.000]  撒姆爾穿著細麻布的爾忽德就是今天的題目
[00:00:13.000 --> 00:00:16.000]  撒姆爾記上的第二章
[00:00:16.000 --> 00:00:18.000]  聖經人物就是撒姆爾
[00:00:18.000 --> 00:00:23.000]  他穿著細麻布的爾忽德
[00:00:23.000 --> 00:00:30.000]  在以往由士詩的時代至撒姆爾時代
[00:00:30.000 --> 00:00:34.000]  都見到有些人會穿著爾忽德
[00:00:34.000 --> 00:00:36.000]  士詩都有人穿著爾忽德
[00:00:36.000 --> 00:00:39.000]  有人做一件
[00:00:39.000 --> 00:00:43.000]  就是用金來做一件金的爾忽德
[00:00:43.000 --> 00:00:45.000]  掛在那裏給人們紀念神
[00:00:45.000 --> 00:00:48.000]  結果那些人就要來敬拜等等
[00:00:48.000 --> 00:00:50.000]  很多事發生的
[00:00:50.000 --> 00:00:57.000]  和大家看看撒姆爾穿著細麻布的爾忽德
[00:00:57.000 --> 00:01:01.000]  撒姆爾記上的第二章第十八節
[00:01:01.000 --> 00:01:05.000]  那時撒姆爾還是孩子
[00:01:05.000 --> 00:01:08.000]  穿著細麻布的爾忽德
[00:01:08.000 --> 00:01:11.000]  是立在耶和華面前
[00:01:11.000 --> 00:01:13.000]  這個時候是甚麼來的呢
[00:01:13.000 --> 00:01:15.000]  就是哈拿禱告
[00:01:15.000 --> 00:01:17.000]  上帝呀我母仔
[00:01:17.000 --> 00:01:20.000]  經常被人笑被人糟蹋
[00:01:20.000 --> 00:01:22.000]  好慘呀可不可以給我一個兒子
[00:01:22.000 --> 00:01:24.000]  如果你給我生一個兒子
[00:01:24.000 --> 00:01:26.000]  我就將他歸給耶和華
[00:01:26.000 --> 00:01:28.000]  清酒濃酒都不喝
[00:01:28.000 --> 00:01:30.000]  就一生侍奉你
[00:01:30.000 --> 00:01:32.000]  不用剃頭刀剃他的頭
[00:01:32.000 --> 00:01:33.000]  大家還記得嗎
[00:01:33.000 --> 00:01:35.000]  結果他就懷孕了
[00:01:35.000 --> 00:01:38.000]  生了一隻撒姆爾
[00:01:38.000 --> 00:01:40.000]  他真是厲害
[00:01:40.000 --> 00:01:41.000]  一斷奶
[00:01:41.000 --> 00:01:44.000]  哈拿除了禱告很誠心
[00:01:44.000 --> 00:01:46.000]  很會祈禱之外
[00:01:46.000 --> 00:01:47.000]  還有一件好事
[00:01:47.000 --> 00:01:50.000]  就是他沒有找藉口
[00:01:50.000 --> 00:01:52.000]  兒子還未長大
[00:01:52.000 --> 00:01:54.000]  長大一點再拿給耶和華
[00:01:54.000 --> 00:01:56.000]  他就臭到他斷奶
[00:01:56.000 --> 00:01:59.000]  即是說不用再媽媽照顧他
[00:01:59.000 --> 00:02:02.000]  就可以用其他奶媽都可以
[00:02:02.000 --> 00:02:04.000]  起碼有一段時間跟自己
[00:02:04.000 --> 00:02:06.000]  或者起碼斷奶了
[00:02:06.000 --> 00:02:07.000]  吃普通食品
[00:02:07.000 --> 00:02:09.000]  就找其他人照顧都可以
[00:02:09.000 --> 00:02:12.000]  將他送去以利濟斯那裡
[00:02:12.000 --> 00:02:14.000]  沒有食言的
[00:02:14.000 --> 00:02:16.000]  厲害,許了願是還願的
[00:02:16.000 --> 00:02:18.000]  就送去了
[00:02:18.000 --> 00:02:19.000]  那個時候
[00:02:19.000 --> 00:02:22.000]  撒姆爾還是孩子
[00:02:22.000 --> 00:02:24.000]  跟著那個濟斯
[00:02:24.000 --> 00:02:25.000]  以利
[00:02:25.000 --> 00:02:27.000]  孩子這個字
[00:02:27.000 --> 00:02:28.000]  出現過很多次
[00:02:28.000 --> 00:02:29.000]  又解過很多次
[00:02:29.000 --> 00:02:30.000]  就是拉娅
[00:02:30.000 --> 00:02:32.000]  拉娅這個希伯來文
[00:02:32.000 --> 00:02:33.000]  就是少年人
[00:02:33.000 --> 00:02:35.000]  或者是小孩子
[00:02:35.000 --> 00:02:38.000]  小孩子都不應該是很小的
[00:02:38.000 --> 00:02:39.000]  幼稚園小孩子
[00:02:39.000 --> 00:02:40.000]  不知道多少
