
[00:00:00.000 --> 00:00:04.000]  各位兄弟姐妹晚安
[00:00:04.000 --> 00:00:09.000]  今天我們很慢地說話
[00:00:09.000 --> 00:00:13.000]  一個月前我們在中環碼頭崇拜
[00:00:13.000 --> 00:00:17.000]  在Armbeat裏面的第一個
[00:00:17.000 --> 00:00:18.000]  不要太低了
[00:00:18.000 --> 00:00:22.000]  一個月前我們在中環碼頭崇拜
[00:00:22.000 --> 00:00:24.000]  Armbeat崇拜
[00:00:24.000 --> 00:00:26.000]  所以我說第一篇到
[00:00:26.000 --> 00:00:31.000]  我們會唱Everywhere
[00:00:31.000 --> 00:00:33.000]  其實我很想說這篇
[00:00:33.000 --> 00:00:40.000]  因為我覺得Armbeat應該是慢歌
[00:00:40.000 --> 00:00:42.000]  我今天穿同一件衣服
[00:00:42.000 --> 00:00:44.000]  同一句說話
[00:00:44.000 --> 00:00:48.000]  我覺得Armbeat不一定要很快
[00:00:48.000 --> 00:00:51.000]  Armbeat應該是慢才行
[00:00:51.000 --> 00:00:54.000]  如果你想想你要去Armbeat
[00:00:54.000 --> 00:00:55.000]  應該怎樣做
[00:00:55.000 --> 00:00:57.000]  Armbeat你要做甚麼
[00:00:57.000 --> 00:01:00.000]  基本上你要做幾個步驟
[00:01:00.000 --> 00:01:02.000]  第一步驟
[00:01:02.000 --> 00:01:05.000]  當你發現自己錯了節拍
[00:01:05.000 --> 00:01:07.000]  你就停下來
[00:01:07.000 --> 00:01:09.000]  無論是隔樂器還是音樂
[00:01:09.000 --> 00:01:10.000]  第一步驟
[00:01:10.000 --> 00:01:13.000]  停下來自己錯了節拍
[00:01:13.000 --> 00:01:14.000]  第二步驟
[00:01:14.000 --> 00:01:19.000]  你就去聆聽對節拍的聲音
[00:01:19.000 --> 00:01:21.000]  第三步驟是甚麼
[00:01:21.000 --> 00:01:23.000]  一個很重要的第三步驟
[00:01:23.000 --> 00:01:25.000]  就是你要等一等
[00:01:25.000 --> 00:01:28.000]  等到某個位置去進入
[00:01:28.000 --> 00:01:33.000]  然後我就彈奏
[00:01:33.000 --> 00:01:39.000]  其實等待我想說Armbeat的課題
[00:01:39.000 --> 00:01:43.000]  當我們很想去啱上帝的別
[00:01:43.000 --> 00:01:47.000]  我們這八個星期裡說Armbeat
[00:01:47.000 --> 00:01:50.000]  很重要的一定要說的課題
[00:01:50.000 --> 00:01:53.000]  就是我們要去等上帝的別
[00:01:53.000 --> 00:01:57.000]  然後去同步他的別
[00:01:57.000 --> 00:02:00.000]  所以如果世上有一樣東西
[00:02:00.000 --> 00:02:02.000]  叫做上帝的別的時候
[00:02:02.000 --> 00:02:04.000]  我們一定要去學習
[00:02:04.000 --> 00:02:07.000]  等待這件事情
