
[00:00:00.000 --> 00:00:02.000]  大英姐妹平安
[00:00:02.000 --> 00:00:06.000]  今天選擇休閒一點坐下來說
[00:00:06.000 --> 00:00:10.000]  來到月提的第七篇
[00:00:10.000 --> 00:00:12.000]  有關減的主題
[00:00:12.000 --> 00:00:14.000]  我自己也很驚訝
[00:00:14.000 --> 00:00:20.000]  這兩個月連續地說了七篇有關減的講道
[00:00:20.000 --> 00:00:24.000]  減肥、減醋、減膩、減時間、減消料、減碳
[00:00:24.000 --> 00:00:26.000]  又有一次減醋
[00:00:26.000 --> 00:00:30.000]  今天會說減產
[00:00:30.000 --> 00:00:36.000]  我這幾年真的減了產
[00:00:36.000 --> 00:00:41.000]  寫完《勒動人的時光》後也沒時間寫書
[00:00:41.000 --> 00:00:43.000]  很慘
[00:00:43.000 --> 00:00:47.000]  很多朋友問我何時再出書
[00:00:47.000 --> 00:00:48.000]  我說沒有
[00:00:48.000 --> 00:00:51.000]  現在寫都是寫文宣
[00:00:51.000 --> 00:00:53.000]  寫一些通告
[00:00:53.000 --> 00:00:56.000]  報名的東西
[00:00:56.000 --> 00:00:58.000]  奧運會的東西
[00:00:58.000 --> 00:01:00.000]  寫一些無聊的東西
[00:01:00.000 --> 00:01:02.000]  這些是不能出書的
[00:01:02.000 --> 00:01:05.000]  這兩年也沒有出書
[00:01:05.000 --> 00:01:08.000]  或者說一直在寫
[00:01:08.000 --> 00:01:10.000]  但這次還沒寫完
[00:01:10.000 --> 00:01:12.000]  所以也完成不了
[00:01:12.000 --> 00:01:13.000]  也減了
[00:01:13.000 --> 00:01:16.000]  我自己講道也減了產
[00:01:16.000 --> 00:01:19.000]  基本上我現在或下年
[00:01:19.000 --> 00:01:23.000]  每個月出外一次講道
[00:01:23.000 --> 00:01:25.000]  星期日也不會出外講道
[00:01:25.000 --> 00:01:28.000]  因為星期六也要一整天時間
[00:01:28.000 --> 00:01:30.000]  也要時間陪家人
[00:01:30.000 --> 00:01:32.000]  也是的
[00:01:32.000 --> 00:01:34.000]  我自己也覺得自從上次Breakdown後
[00:01:34.000 --> 00:01:37.000]  我答應過自己不要太忙
[00:01:37.000 --> 00:01:39.000]  很多人也知道我忙
[00:01:39.000 --> 00:01:43.000]  但很多人也覺得我應該很忙
[00:01:43.000 --> 00:01:46.000]  好像很興奮
[00:01:46.000 --> 00:01:49.000]  其實我也覺得很內疚
[00:01:49.000 --> 00:01:52.000]  我們做人不應該太忙
[00:01:52.000 --> 00:01:55.000]  我們香港人很忙
[00:01:55.000 --> 00:01:58.000]  是一句很自然會說的話
[00:01:58.000 --> 00:02:01.000]  你很想跟別人說我不忙
[00:02:01.000 --> 00:02:03.000]  你不好意思說
[00:02:03.000 --> 00:02:05.000]  你不會說這些東西
