
[00:00:00.000 --> 00:00:02.000]  其實我們日常很多時
[00:00:02.000 --> 00:00:06.000]  我們會覺得信仰和我們的生活好像沒有什麼關係
[00:00:06.000 --> 00:00:08.000]  因為你打開證件 證件不會告訴你
[00:00:08.000 --> 00:00:12.000]  證件有高黃金的
[00:00:12.000 --> 00:00:14.000]  證件有講地價的
[00:00:14.000 --> 00:00:17.000]  但有講你自己不買樓的
[00:00:17.000 --> 00:00:20.000]  如果你參考一下
[00:00:20.000 --> 00:00:24.000]  如果你記得買樓最出色就是
[00:00:24.000 --> 00:00:26.000]  在最危機的時候你去買樓
[00:00:26.000 --> 00:00:30.000]  證件會叫你告訴你師姐
[00:00:30.000 --> 00:00:32.000]  你可以給一些誘因去查一下哪些是正確的
[00:00:32.000 --> 00:00:35.000]  告訴你師姐 現在年資來得好
[00:00:35.000 --> 00:00:36.000]  你可以去買樓
[00:00:36.000 --> 00:00:38.000]  你死了你會漲價的
[00:00:38.000 --> 00:00:40.000]  看見東西就買樓
[00:00:40.000 --> 00:00:42.000]  70多年之後就會漲價
[00:00:42.000 --> 00:00:48.000]  但它是沒有講股票和投資的東西
[00:00:48.000 --> 00:00:53.000]  但其實證件很多時候是和我們的生活很吻合的
[00:00:53.000 --> 00:00:57.000]  它會教我們一些原則和處理日常生活的問題
[00:00:57.000 --> 00:01:01.000]  所以我開頭會講我怎樣看
[00:01:01.000 --> 00:01:03.000]  分享我怎樣看證件
[00:01:03.000 --> 00:01:06.000]  我自己的專業和分別
[00:01:06.000 --> 00:01:09.000]  那個關係 怎樣理財的關係
[00:01:09.000 --> 00:01:13.000]  接著我會講一些簡單的理財的知識
[00:01:13.000 --> 00:01:14.000]  這個真的很簡單
[00:01:14.000 --> 00:01:18.000]  因為我會分享一個最難的方法
[00:01:18.000 --> 00:01:20.000]  理財最難的方法
[00:01:20.000 --> 00:01:22.000]  其實你就可以包括在你家人身上
[00:01:22.000 --> 00:01:26.000]  可以解答一些基本上經常有人問的問題
[00:01:26.000 --> 00:01:31.000]  但是一些比較深的問題
[00:01:31.000 --> 00:01:33.000]  我今天應該沒有時間講
[00:01:33.000 --> 00:01:35.000]  我大概想一小時半小時
[00:01:35.000 --> 00:01:38.000]  給你們問我任何問題
[00:01:38.000 --> 00:01:41.000]  我都會知道的回答你們
[00:01:41.000 --> 00:01:46.000]  所以如果你說希望我們將來有進階
[00:01:46.000 --> 00:01:50.000]  有基本部份有進階的機會的話
[00:01:50.000 --> 00:01:55.000]  我會講一些簡單的分析
[00:01:55.000 --> 00:01:57.000]  或者我們怎樣計算
[00:01:57.000 --> 00:01:59.000]  計算來講其實很有趣
[00:01:59.000 --> 00:02:00.000]  我們怎樣計算呢
[00:02:00.000 --> 00:02:03.000]  例如有人說這是一個年金計劃
[00:02:03.000 --> 00:02:05.000]  這個年金計劃到底要看來看去
[00:02:05.000 --> 00:02:08.000]  你是需要一點點計算的
