
[00:00:00.000 --> 00:00:02.000]  鼎姐妹早晨
[00:00:02.000 --> 00:00:05.440]  今早第三個星期我們有聖餐
[00:00:05.440 --> 00:00:07.840]  所以稍後講完道之後
[00:00:07.840 --> 00:00:11.000]  牧師就會和大家藉著線上面
[00:00:11.000 --> 00:00:13.200]  我們一起來去守聖餐
[00:00:13.200 --> 00:00:15.800]  去紀念耶穌基督的大愛
[00:00:15.800 --> 00:00:19.200]  鼎姐妹可以先預備你的聖餐
[00:00:19.200 --> 00:00:20.800]  其實可能已經預備了
[00:00:20.800 --> 00:00:24.200]  我們待會在聖餐的時段就會拿出來
[00:00:24.200 --> 00:00:27.200]  大家一起我們藉著線上鏡頭
[00:00:27.200 --> 00:00:30.600]  我們一起心靈向著我們的主耶穌
[00:00:30.600 --> 00:00:32.200]  一起來守聖餐
[00:00:32.200 --> 00:00:35.000]  今早和大家去看第六章
[00:00:35.000 --> 00:00:38.800]  其實是上一次的講道的延續
[00:00:38.800 --> 00:00:41.600]  上一次一個主題
[00:00:41.600 --> 00:00:45.000]  保羅看自己是一個雅氣
[00:00:45.000 --> 00:00:49.600]  承載的是基督無價之寶的福音
[00:00:49.600 --> 00:00:51.600]  這個好消息
[00:00:51.600 --> 00:00:56.600]  所以他用盡神給他的一切的恩典
[00:00:56.600 --> 00:01:00.000]  他覺得自己是蒙連文的執事
[00:01:00.000 --> 00:01:01.200]  福音的執事
[00:01:01.200 --> 00:01:03.200]  或者說新約的執事
[00:01:03.200 --> 00:01:06.000]  他要來將這個福音傳給
[00:01:06.000 --> 00:01:07.600]  特別是外邦人
[00:01:07.600 --> 00:01:09.000]  在這個時候
[00:01:09.000 --> 00:01:11.800]  哥倫多教會特別是後書
[00:01:11.800 --> 00:01:13.600]  是有假的試圖
[00:01:13.600 --> 00:01:16.400]  對保羅諸般的挑剔
[00:01:16.400 --> 00:01:21.000]  以及來離間哥倫多教會
[00:01:21.000 --> 00:01:24.400]  和保羅之間的關係
[00:01:24.400 --> 00:01:29.600]  所以保羅不得不為自己這個試圖的身份
[00:01:29.600 --> 00:01:32.000]  來做一個辯護
[00:01:32.000 --> 00:01:34.400]  但是在過程裏面
[00:01:34.400 --> 00:01:37.600]  我們一會兒看看他怎樣去表白自己
[00:01:37.600 --> 00:01:40.800]  由第四節一直到第十節
[00:01:40.800 --> 00:01:42.800]  有三個向導
[00:01:42.800 --> 00:01:44.000]  他講自己
[00:01:44.000 --> 00:01:46.000]  可能就是肉身上的
[00:01:46.000 --> 00:01:47.600]  心靈上的
[00:01:47.600 --> 00:01:51.400]  甚至乎在一些假試圖的面前
[00:01:51.400 --> 00:01:55.400]  面對的是一些聲譽的受損
[00:01:55.400 --> 00:01:58.400]  試圖怎樣來表白呢?
[00:01:58.400 --> 00:02:01.400]  一會兒我們一起去看
[00:02:01.400 --> 00:02:03.800]  我們先一個祈禱
[00:02:03.800 --> 00:02:05.400]  多謝主耶穌
[00:02:05.400 --> 00:02:07.800]  讓今早做好成為美好
[00:02:07.800 --> 00:02:10.000]  我們要來到祢的面前
[00:02:10.000 --> 00:02:12.000]  歐哥重讚祢
[00:02:12.000 --> 00:02:14.600]  真的要來到帶著我們的心靈
[00:02:14.600 --> 00:02:16.200]  去敬拜祢
[00:02:16.200 --> 00:02:18.800]  我們今早在祢面前等候
[00:02:18.800 --> 00:02:20.400]  求主施恩
[00:02:20.400 --> 00:02:22.400]  我們這樣感恩禱告
[00:02:22.400 --> 00:02:24.400]  奉耶穌基督的名
[00:02:24.400 --> 00:02:25.400]  阿們
[00:02:25.400 --> 00:02:28.200]  其實整十節聖經
[00:02:28.200 --> 00:02:30.200]  是一個的勸勉
[00:02:30.200 --> 00:02:31.800]  就是第一節
[00:02:31.800 --> 00:02:33.000]  保羅說
[00:02:33.000 --> 00:02:35.400]  你們哥林多教會
[00:02:35.400 --> 00:02:39.200]  不要徒受神的恩典
[00:02:39.200 --> 00:02:45.200]  就是說不要浪費了神這麼大的恩典
[00:02:45.200 --> 00:02:47.400]  在你們的生命裏面
[00:02:47.400 --> 00:02:50.000]  你們不要去徒受
[00:02:50.000 --> 00:02:53.000]  就是說要好像保羅一樣
[00:02:53.000 --> 00:02:59.400]  為福音盡你一切的努力去服侍主
[00:02:59.400 --> 00:03:02.000]  在保羅這一大段聖經
[00:03:02.000 --> 00:03:07.200]  其實由二章他等待提多回來的時間
[00:03:07.200 --> 00:03:09.000]  一直到七章
[00:03:09.000 --> 00:03:16.600]  提多帶著馬其頓和哥林多的一個消息給保羅
[00:03:16.600 --> 00:03:22.800]  保羅在第七章有一個很大的心靈的改變
[00:03:22.800 --> 00:03:24.400]  就是他很開心
[00:03:24.400 --> 00:03:30.000]  因為聽到提多在哥林多帶回來的好消息
[00:03:30.000 --> 00:03:31.600]  聽到那個人
[00:03:31.600 --> 00:03:34.000]  有可能是前書所說的
[00:03:34.000 --> 00:03:37.600]  那個娶了繼母為妻的人
[00:03:37.600 --> 00:03:38.800]  悔改
[00:03:38.800 --> 00:03:41.800]  願意在眾人面前悔改
[00:03:41.800 --> 00:03:43.400]  有一個改變
[00:03:43.400 --> 00:03:47.200]  所以保羅聽到提多帶回來的好消息之後
[00:03:47.200 --> 00:03:48.600]  就很開心
[00:03:48.600 --> 00:03:51.000]  所以第七章一直再繼續說
[00:03:51.000 --> 00:03:52.400]  然後第八章
[00:03:52.400 --> 00:03:55.800]  第九章就勸導哥林多教會
[00:03:55.800 --> 00:04:01.000]  要來做那個已經籌備了一年的奉獻
[00:04:01.000 --> 00:04:02.800]  帶那個捐項
[00:04:02.800 --> 00:04:05.000]  集齊了那些奉獻
