
[00:00:00.000 --> 00:00:04.200]  孩子我去一步一步去成為你的僕人
[00:00:04.200 --> 00:00:08.000]  主願今天所分享的
[00:00:08.000 --> 00:00:10.200]  求主的靈去帶著
[00:00:10.200 --> 00:00:11.800]  願到當中的話
[00:00:11.800 --> 00:00:15.200]  能夠親自透過彼得的生命
[00:00:15.200 --> 00:00:18.800]  一樣去激勵我們每一個弟兄姊妹
[00:00:18.800 --> 00:00:21.200]  願我們開放我們的心
[00:00:21.200 --> 00:00:23.400]  去聽、去學、去行
[00:00:23.400 --> 00:00:25.200]  多謝你聽我們禱告
[00:00:25.200 --> 00:00:26.400]  奉主明求
[00:00:26.400 --> 00:00:27.400]  阿門
[00:00:27.400 --> 00:00:32.600]  多謝主席為我們分享了
[00:00:32.600 --> 00:00:40.200]  在《路加福音》22章54至62節的經文
[00:00:40.200 --> 00:00:42.400]  看回這段經文
[00:00:42.400 --> 00:00:45.000]  剛才大家都讀過了
[00:00:45.000 --> 00:00:46.400]  都看到
[00:00:46.400 --> 00:00:49.600]  都是我們很耳熟能詳的
[00:00:49.600 --> 00:00:53.200]  彼得三次不認主
[00:00:53.200 --> 00:00:57.200]  去應驗主耶穌之前的預言
[00:00:57.200 --> 00:01:00.600]  同時間在我們今天的講章
[00:01:00.600 --> 00:01:02.400]  今天的分享裏面
[00:01:02.400 --> 00:01:05.200]  我們都不能不回顧
[00:01:05.200 --> 00:01:13.600]  在耶穌22章31至34節的預言的內容
[00:01:13.600 --> 00:01:16.800]  請大家打開聽我讀出來
[00:01:16.800 --> 00:01:24.200]  主有說
[00:01:24.200 --> 00:01:26.400]  西門
[00:01:26.400 --> 00:01:28.400]  撒旦要得著你門
[00:01:28.400 --> 00:01:31.400]  好西你門像物質一樣
[00:01:31.400 --> 00:01:34.000]  但我已經為你求
[00:01:34.000 --> 00:01:37.200]  使你不至於失去信心
[00:01:37.200 --> 00:01:38.800]  你回頭以後
[00:01:38.800 --> 00:01:41.400]  要顧兼顧你的弟兄
[00:01:41.400 --> 00:01:43.000]  彼得對他說
[00:01:43.000 --> 00:01:46.600]  主啊我已準備好要同你下監
[00:01:46.600 --> 00:01:48.000]  與你同死
[00:01:48.000 --> 00:01:49.200]  耶穌說
[00:01:49.200 --> 00:01:51.200]  彼得我告訴你
[00:01:51.200 --> 00:01:53.800]  今日雞環沒有叫
[00:01:53.800 --> 00:02:00.400]  你要三次說不認得我
[00:02:00.400 --> 00:02:03.800]  一篇的預言
[00:02:03.800 --> 00:02:06.400]  一篇的回應
[00:02:06.400 --> 00:02:09.200]  一篇的應驗
[00:02:09.200 --> 00:02:11.400]  其實在路加福音
[00:02:11.400 --> 00:02:14.000]  那個結構都幾有趣
